1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1,0,6558,38,0,0,0,1395,0,1063,0,102,230,24,0,24,2,0,5099,0,0,4899,200,6557,ND,6384,173,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1,1,6757,36,0,0,0,1491,0,1085,0,129,277,30,0,30,3,0,5197,0,0,4997,200,6757,ND,6585,172,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1,1,7279,53,0,0,0,1842,0,1324,0,183,335,37,0,37,7,0,5340,0,0,5204,136,7279,ND,7132,147,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1,3,7653,78,0,0,0,1681,0,1070,0,200,411,43,0,43,9,0,5842,0,0,6038,-196,7655,ND,7539,116,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q2,0,1,3950,27,17,0,2,1046,0,577,1,53,415,22,0,22,191,0,2645,0,8,2637,0,3951,ND,3789,162,ND,ND
1953:Q3,1,1,3882,28,17,0,0,769,0,326,1,56,386,23,0,23,202,0,2843,0,7,2835,1,3882,ND,3721,161,ND,ND
1953:Q4,1,1,3792,17,17,0,1,534,0,85,19,61,369,24,0,24,221,0,2978,0,9,2969,0,3792,ND,3633,159,ND,ND
1954:Q1,1,1,3649,6,19,0,2,681,0,219,1,63,398,25,0,25,241,0,2675,0,8,2661,6,3649,ND,3476,173,ND,ND
1954:Q2,1,1,3738,-3,19,0,2,1011,0,495,3,66,447,25,0,25,255,0,2429,0,6,2417,6,3738,ND,3560,178,ND,ND
1954:Q3,1,1,3658,-5,20,0,2,642,0,87,-4,70,489,27,0,27,266,0,2706,0,8,2688,10,3658,ND,3463,195,ND,ND
1954:Q4,1,1,3787,-2,20,0,3,770,0,179,2,74,515,30,0,30,278,0,2688,0,11,2659,18,3787,ND,3563,224,ND,ND
1955:Q1,0,2,3726,7,21,0,5,639,0,103,7,80,449,34,0,34,292,0,2728,0,13,2683,32,3727,ND,3477,250,ND,ND
1955:Q2,0,2,3958,12,23,0,7,988,0,499,7,86,396,36,0,36,329,0,2563,0,22,2506,35,3959,ND,3669,290,ND,ND
1955:Q3,1,2,3953,13,23,0,7,904,0,458,7,90,349,40,0,40,371,0,2595,0,21,2529,45,3954,ND,3632,322,ND,ND
1955:Q4,1,2,3963,6,24,0,7,640,0,209,11,91,329,42,0,42,411,0,2833,0,15,2766,52,3964,ND,3634,330,ND,ND
1956:Q1,1,2,3992,5,24,0,8,712,0,203,18,93,398,46,0,46,454,0,2743,0,16,2672,55,3993,ND,3629,364,ND,ND
1956:Q2,1,2,4226,1,26,0,10,862,0,286,3,95,478,48,0,48,461,0,2818,0,6,2737,75,4227,ND,3841,386,ND,ND
1956:Q3,1,2,4410,2,27,0,8,1167,0,489,9,98,571,53,0,53,471,0,2682,0,7,2602,73,4411,ND,4013,398,ND,ND
1956:Q4,1,2,4756,8,28,0,8,698,0,-58,7,101,648,58,0,58,495,0,3461,0,15,3395,51,4757,ND,4334,423,ND,ND
1957:Q1,1,1,4994,19,29,0,6,849,0,56,25,104,664,63,0,63,504,0,3524,0,9,3469,46,4994,ND,4577,417,ND,ND
1957:Q2,1,1,5378,29,30,0,5,1079,0,280,15,108,676,67,0,67,551,0,3617,0,22,3573,22,5378,ND,4948,430,ND,ND
1957:Q3,1,1,5390,29,31,0,5,831,0,10,17,109,695,72,0,72,550,0,3872,0,3,3833,36,5390,ND,4975,415,ND,ND
1957:Q4,1,1,5250,21,32,0,4,746,0,-87,39,108,686,77,0,77,559,0,3811,0,5,3769,37,5250,ND,4850,400,ND,ND
1958:Q1,1,1,4970,14,34,0,5,988,0,161,34,109,684,80,0,80,592,0,3257,0,15,3219,23,4970,ND,4551,419,ND,ND
1958:Q2,1,1,4972,10,35,0,3,950,0,215,-26,112,649,83,0,83,639,0,3252,0,21,3219,12,4972,ND,4518,454,ND,ND
1958:Q3,1,1,5095,6,36,0,4,1075,0,320,10,108,637,90,0,90,703,0,3181,0,26,3145,10,5095,ND,4587,508,ND,ND
1958:Q4,1,1,5184,7,38,0,6,928,0,191,5,95,637,102,0,102,779,0,3324,0,29,3275,20,5184,ND,4610,574,ND,ND
