1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,29324,0,4935,4970,0,-564,-1074,-42,275,277,965,1545,266,0,2728,13803,676,60470,18564,10521,29961,0,1424,35159,5608,6831,22720,25311,12956,3690,7241,0,1424,12387,6542,2328,1403,577,1538,940,43187,7241,291,18,35673,25879,9794,237177,18.20877933773833,15.04068125065569,10.91126036673033,4.129420883925352
1952:Q1,9354,0,-883,1292,0,2469,819,44,1759,-153,726,293,144,0,668,3671,974,14592,4544,2522,7242,0,285,8938,1473,1785,5680,5654,3071,737,1562,0,285,1835,1274,410,-753,170,734,259,13432,1562,77,287,12080,3288,8793,57300,23.44140173842472,21.08232669479471,5.737347294938918,15.34497939985579
1952:Q2,7842,0,-1911,2275,0,2093,-341,-123,2336,221,394,194,128,0,708,3872,89,14866,4667,2486,7296,0,417,9126,1491,1804,5831,5740,3176,681,1466,0,417,5412,1732,764,2281,189,446,270,8440,1466,186,100,6888,7945,-1057,63016,13.39330758501363,10.93123446072773,12.60790910245017,-1.676674641722438
1952:Q3,11802,0,2609,1529,0,1687,1141,0,771,-225,260,142,125,0,739,4051,660,14415,4665,2233,6934,0,584,9204,1511,1822,5872,5211,3154,411,1062,0,584,3786,1842,595,1087,63,199,276,13503,1062,84,-69,12288,8202,4086,63946,21.1170670250008,19.21662798096738,12.8264974607382,6.390130520229173
1952:Q4,10677,0,1857,2378,0,561,344,-1,351,-133,521,161,108,0,773,4152,166,15465,4886,2472,7935,0,172,9393,1534,1838,6022,6072,3353,634,1914,0,172,4380,1776,331,2557,88,-372,251,12620,1914,41,-296,10370,8372,1997,66192,19.06602365499678,15.66607879740393,12.64838406308896,3.017694734314974
1953:Q1,9625,0,671,1894,0,387,-433,53,918,-151,132,208,137,0,774,4121,1301,16203,4969,2591,8415,0,228,9302,1544,1868,5890,6901,3425,724,2525,0,228,3644,1590,237,379,336,1102,306,13189,2525,51,348,10961,3569,7392,62327,21.16049689975664,17.58620325494781,5.726250260721677,11.85995299422614
1953:Q2,8679,0,-3310,2632,0,3574,2356,83,868,267,280,347,83,0,760,4230,83,15917,4992,2665,8375,0,-114,9501,1568,1882,6051,6417,3424,782,2324,0,-114,5444,2219,709,1771,295,450,263,9915,2324,137,115,7569,9402,-1833,68649,14.44310446998947,11.02534376786452,13.69507820608533,-2.669734438220803
1953:Q3,9976,0,2587,1578,0,324,-184,74,799,-365,150,36,77,0,738,4162,324,16079,4847,2776,8269,0,188,9638,1590,1896,6153,6441,3257,880,2117,0,188,3368,1980,456,682,-9,259,278,13327,2117,82,-63,11066,7524,3542,66979,19.89776804686407,16.52134923058888,11.23295647532631,5.288392755262565
1953:Q4,7704,0,1140,2131,0,-575,-1090,-55,331,239,556,-18,86,0,710,4078,-404,16070,4788,2759,8056,0,468,9720,1611,1909,6200,6350,3177,850,1856,0,468,1570,1733,229,1260,65,-1717,301,12785,1856,58,-377,10495,8696,1799,68030,18.79339398780076,15.42650940336957,12.78254893962612,2.643960463743448
1954:Q1,6643,0,-1510,2002,0,389,158,-14,513,-268,-24,12,100,0,692,3937,1045,15571,4813,2629,7958,0,172,10071,1626,1927,6518,5501,3188,702,1439,0,172,1678,1413,271,-1870,269,1595,299,10764,1439,5,400,9720,4214,5506,64052,16.80562750151013,15.1753051449781,6.579055217070572,8.596249927907532
