1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q4,13228,0,1100,1100,0,0,0,0,0,12128,13228,13228,0
1964:Q1,13324,0,1420,1420,0,0,0,0,0,11904,13324,13324,0
1964:Q2,13448,0,1088,1088,0,0,0,0,0,12360,13448,13448,0
1964:Q3,13964,0,1440,1440,0,0,0,0,0,12524,13964,13964,0
1964:Q4,13964,0,1048,1048,0,0,0,0,0,12916,13964,13964,0
1965:Q1,14100,0,1368,1368,0,0,0,0,0,12732,14100,14100,0
1965:Q2,14568,0,1560,1560,0,0,0,0,0,13008,14568,14568,0
1965:Q3,15016,0,1516,1516,0,0,0,0,0,13500,15016,15016,0
1965:Q4,15052,0,816,816,0,0,0,0,0,14236,15052,15052,0
1966:Q1,15268,0,1272,1272,0,0,0,0,0,13996,15268,15268,0
1966:Q2,15812,0,1464,1464,0,0,0,0,0,14348,15812,15812,0
1966:Q3,16292,0,1264,1264,0,0,0,0,0,15028,16292,16292,0
1966:Q4,16516,0,1012,1012,0,0,0,0,0,15504,16516,16516,0
1967:Q1,16632,0,1040,1040,0,0,0,0,0,15592,16632,16632,0
1967:Q2,17208,0,1436,1436,0,0,0,0,0,15772,17208,17208,0
1967:Q3,17496,0,1072,1072,0,0,0,0,0,16424,17496,17496,0
1967:Q4,17692,0,1712,1712,0,0,0,0,0,15980,17692,17692,0
1968:Q1,17820,0,1456,1456,0,0,0,0,0,16364,17820,17820,0
1968:Q2,18288,0,1936,1936,0,0,0,0,0,16352,18288,18288,0
1968:Q3,18656,0,992,992,0,0,0,0,0,17664,18656,18656,0
1968:Q4,18820,0,960,960,0,0,0,0,0,17860,18820,18820,0
1969:Q1,19052,0,1816,1816,0,0,0,0,0,17236,19052,19052,0
1969:Q2,19572,0,1284,1284,0,0,0,0,0,18288,19572,19572,0
1969:Q3,21532,0,2288,2288,0,0,0,0,0,19244,21532,21532,0
1969:Q4,21692,0,688,688,0,0,0,0,0,21004,21692,21692,0
1970:Q1,23396,0,2776,2776,0,0,0,0,0,20620,23396,23396,0
1970:Q2,24732,0,1396,1396,0,0,0,0,0,23336,24732,24732,0
1970:Q3,26580,0,2696,2696,0,0,0,0,0,23884,26580,26580,0
1970:Q4,27088,0,2656,2656,0,0,0,0,0,24432,27088,27088,0
1971:Q1,27536,0,3696,3696,0,0,0,0,0,23840,27536,27536,0
1971:Q2,27972,0,1460,1460,0,0,0,0,0,26512,27972,27972,0
1971:Q3,28964,0,3288,3288,0,0,0,0,0,25676,28964,28964,0
1971:Q4,29412,0,2928,2928,0,0,0,0,0,26484,29412,29412,0
1972:Q1,29420,0,3440,3440,0,0,0,0,0,25980,29420,29420,0
1972:Q2,29528,0,-1376,-1376,0,0,0,0,0,30904,29528,29528,0
1972:Q3,30824,0,5512,5512,0,0,0,0,0,25312,30824,30824,0
1972:Q4,30604,0,4396,4396,0,0,0,0,0,26208,30604,30604,0
1973:Q1,30248,0,3112,3112,0,0,0,0,0,27136,30248,30248,0
1973:Q2,30724,0,-1428,-1428,0,0,0,0,0,32152,30724,30724,0
1973:Q3,31700,0,3956,3956,0,0,0,0,0,27744,31700,31700,0
1973:Q4,31772,0,2900,2900,0,0,0,0,0,28872,31772,31772,0
1974:Q1,31272,0,2256,2256,0,0,0,0,0,29016,31272,31272,0
1974:Q2,31852,0,2656,2656,0,0,0,0,0,29196,31852,31852,0
1974:Q3,32092,0,5144,5144,0,0,0,0,0,26948,32092,32092,0
1974:Q4,31860,0,900,900,0,0,0,0,0,30960,31860,31860,0
1975:Q1,31680,0,2156,2156,0,0,0,0,0,29524,31680,31680,0
1975:Q2,31812,0,5916,5916,0,0,0,0,0,25896,31812,31812,0
1975:Q3,32252,0,8068,8068,0,0,0,0,0,24184,32252,32252,0
1975:Q4,32044,0,-1320,-1320,0,0,0,0,0,33364,32044,32044,0
