1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1983:Q2,603866,1778,6967,0,289194,25122,22088,20265,9852,211867,198436,53711,144725,63874,2816,0,0,0,1111,39690,569746,0,0,0,227081,265284,2069,688,74624,2137
1983:Q3,618421,1344,6286,0,299305,26722,24513,22151,10022,215897,201216,53860,147356,63867,2697,0,0,0,1150,42556,581154,0,0,0,229072,272354,2033,721,76974,2124
1983:Q4,631755,2527,6195,0,307788,25162,28636,25863,9986,218141,205062,54063,150999,62193,2671,0,0,0,1368,43951,594718,0,0,0,231043,281650,2017,712,79296,2460
1984:Q1,641625,1248,6566,0,320955,28696,30886,28094,9014,224265,205485,54184,151301,59286,2683,0,0,0,1341,44061,605415,0,0,0,232215,287889,2017,668,82626,2338
1984:Q2,655192,1843,6685,0,332194,30312,31752,30538,8712,230880,207856,54325,153531,56945,2673,0,0,0,1347,45649,618311,0,0,0,233281,295754,2019,709,86548,2277
1984:Q3,676179,1189,8003,0,344830,31871,35035,33223,8444,236257,209811,54439,155372,61533,2749,0,0,0,1380,46684,638292,0,0,0,234584,310503,2036,686,90483,2199
1984:Q4,696034,3059,8561,0,357730,29306,41204,36870,8713,241637,211204,54505,156699,60311,3019,0,0,0,1543,50607,660799,0,0,0,235996,328343,2078,913,93469,2849
1985:Q1,717567,1519,8445,0,373212,31975,42665,39898,8891,249783,212950,54480,158470,65348,3526,0,0,0,1488,51079,678912,0,0,0,238070,340677,2146,882,97137,2738
1985:Q2,741928,1622,8876,0,387558,31560,45019,42861,8914,259204,216542,54428,162114,68622,3979,0,0,0,1579,53150,701241,0,0,0,240444,356665,2236,921,100975,2798
1985:Q3,758216,2454,8522,0,404020,32737,46615,47568,9044,268056,219111,54351,164760,64158,4171,0,0,0,1594,54186,713339,0,0,0,243201,363585,2345,1032,103176,3128
1985:Q4,794640,7546,6651,0,419013,29063,51700,49368,9708,279174,226166,54369,171797,73983,3514,0,0,0,1634,56133,749264,0,0,0,246421,260441,2470,1380,238552,5080
1986:Q1,822832,6055,7007,0,436879,28699,53627,53500,10023,291030,229364,54368,174996,79514,6894,0,0,0,1579,55540,775260,0,0,0,250317,273503,2624,1326,247490,4736
1986:Q2,851824,6957,6940,0,450657,29451,52798,55885,10791,301732,234865,54369,180496,83286,9525,0,0,0,1234,58360,803948,0,0,0,254412,295200,2818,1375,250143,4849
1986:Q3,871523,7212,6972,0,468009,33428,55032,56720,11648,311181,240325,54345,185980,75634,11032,0,0,0,1310,61029,820538,0,0,0,258907,305164,3007,1700,251760,6021
1986:Q4,904150,9535,6253,0,484824,34484,59033,59976,11659,319672,247897,54055,193842,76385,14460,0,0,0,1878,62918,854002,0,0,0,263623,327834,3145,1917,257483,7060
1987:Q1,943981,7981,5370,0,504141,35168,61253,62756,10658,334306,249454,53711,195743,95617,13587,0,0,0,1889,65942,891285,0,0,0,270495,341662,3233,2162,273733,7339
1987:Q2,970240,7682,4488,0,519343,33215,57641,64744,10944,352799,253917,53535,200382,100356,13018,0,0,0,1901,69535,915142,0,0,0,276387,349662,3271,2267,283555,7628
1987:Q3,1008780,8192,3879,0,541932,36511,57246,67654,10208,370313,257940,53677,204263,108905,12078,0,0,0,1935,73919,950633,0,0,0,282663,362946,3303,2527,299194,7501
1987:Q4,905774,7976,3138,0,519395,24885,51325,62266,10450,370469,262149,53626,208523,40002,5415,0,0,0,2307,65392,842845,0,0,0,278999,349403,3370,1630,209443,5179
1988:Q1,939377,5957,4104,0,541780,26692,51213,63821,10330,389724,265286,53142,212144,42975,5837,0,0,0,2392,71046,874403,0,0,0,284717,370992,3459,1584,213651,5475
1988:Q2,967476,5866,4476,0,560797,27606,52360,66255,9797,404779,270016,53652,216364,44802,6697,0,0,0,2353,72469,899706,0,0,0,290286,386150,3556,1504,218210,5247
1988:Q3,991026,5038,5180,0,579294,29601,52530,67774,9271,420118,274872,53965,220907,43507,7591,0,0,0,2446,73098,920102,0,0,0,295461,400161,3674,1640,219166,5573
1988:Q4,1013754,4835,6144,0,598613,28195,52494,70725,8892,438307,282789,54236,228553,40155,8121,0,0,0,2824,70273,949976,0,0,0,302525,419300,3829,1577,222745,5501
1989:Q1,1032538,4746,5287,0,616563,31176,50747,76357,8590,449693,287592,54972,232620,38536,7921,0,0,0,2725,69168,966695,0,0,0,305662,426030,4031,1995,228977,5989
1989:Q2,1059869,5516,4131,0,638353,29564,48457,84056,8566,467710,293621,55874,237747,38810,7355,0,0,0,2627,69456,993042,0,0,0,313012,439919,4290,2004,233817,5934
1989:Q3,1080628,6202,3276,0,652403,30068,45976,90277,8710,477372,299649,56481,243168,39498,6867,0,0,0,2450,70283,1011326,0,0,0,318128,447466,4550,2037,239145,6315
1989:Q4,1104948,10011,857,0,671205,32701,45927,95081,8747,488749,307741,57265,250476,38251,6817,0,0,0,3572,66494,1038635,0,0,0,328025,458030,4755,2045,245780,7729
1990:Q1,1128577,10278,2532,0,691832,31563,51786,98776,9025,500682,317455,60915,256540,35936,7382,0,0,0,3652,59510,1060423,0,0,0,333757,472671,4904,2119,246972,8059
1990:Q2,1167751,9098,3740,0,715082,35106,51190,102332,10650,515804,324082,62937,261145,38918,8225,0,0,0,3638,64968,1098744,0,0,0,340538,502936,4994,2081,248195,7901
1990:Q3,1176150,7307,5541,0,737924,36907,51723,108454,11488,529352,322847,60434,262413,31833,9192,0,0,0,4033,57473,1106881,0,0,0,346389,505289,5090,2056,248057,7941
1990:Q4,1196901,5297,7595,0,750582,34524,50580,113982,11964,539532,325618,61344,264274,36806,6281,0,0,0,3204,61518,1129727,0,0,0,351859,520953,5255,2308,249352,8229
1991:Q1,1235255,4682,8406,0,774972,38807,53602,121251,13623,547689,329799,64570,265229,41217,5901,0,0,0,3355,66923,1160826,0,0,0,358726,534428,5479,2240,259953,8574
1991:Q2,1260041,4802,8441,0,803514,40281,54749,137043,10913,560528,332832,65134,267698,39240,5634,0,0,0,3344,62234,1181538,0,0,0,365410,537818,5750,2384,270176,8537
1991:Q3,1278842,5088,8476,0,818379,42349,61118,139665,11461,563786,332367,66395,265972,40023,5237,0,0,0,3181,66091,1195993,0,0,0,369069,543169,6049,2546,275160,9670
1991:Q4,1276324,5132,8511,0,821791,34345,65789,154321,9748,557588,321463,66076,255387,42282,5136,0,0,0,4714,67295,1199479,0,0,0,372844,539500,6358,1843,278934,8987
1992:Q1,1293858,5094,8546,0,843286,35860,67826,161364,9637,568599,320992,66611,254381,42304,4907,0,0,0,4888,63841,1216570,0,1,0,379589,543940,6680,1862,284498,9286
1992:Q2,1312174,4975,8580,0,864828,35868,69307,166104,9757,583792,318130,67680,250450,42681,4782,0,0,0,5074,63124,1234743,0,4,0,382786,555738,7022,1971,287222,9654
1992:Q3,1331955,4758,8615,0,887310,34252,72580,174492,10194,595792,314341,69121,245220,43881,4456,0,0,0,5037,63557,1255945,0,49,0,391400,564445,7381,1904,290766,9546
1992:Q4,1347740,4501,8650,0,906758,31210,74498,181232,10802,609016,309950,71719,238231,44841,4148,0,0,0,4825,64067,1277837,0,7,0,397221,577743,7754,2064,293048,10411
1993:Q1,1378974,4527,8685,0,939848,33253,81147,187022,10902,627524,308403,72531,235872,45825,4090,0,0,0,4911,62685,1301668,0,39,0,404046,586647,8154,1936,300846,9469
1993:Q2,1406830,4550,8719,0,968955,35302,86104,196415,11922,639212,307196,73508,233688,46260,3877,0,0,0,4668,62605,1323207,0,184,0,411293,594465,8597,2142,306526,9921
1993:Q3,1430721,4570,8754,0,998458,33748,92516,203520,13248,655426,304417,75348,229069,47132,3767,0,0,0,4623,59000,1344174,0,149,0,418781,601182,9027,2271,312764,10126
1993:Q4,1442847,4587,8789,0,1016014,32836,93327,209081,14058,666712,297442,77356,220086,49005,3542,0,0,0,7135,56333,1357080,0,246,0,426145,599369,9389,3186,318745,13824
1994:Q1,1469630,4678,8824,0,1038283,34460,89994,214992,13931,684906,295673,78793,216880,48210,3401,0,0,0,7234,63327,1374397,0,255,0,431692,605801,9677,3237,323735,14274
1994:Q2,1472505,4767,8858,0,1046747,34352,92668,213371,12356,694000,295863,81153,214710,48186,3312,0,0,0,7494,57278,1379237,0,261,0,436713,601845,9886,3237,327295,14302
1994:Q3,1504760,4856,8893,0,1068231,36451,96103,214141,11926,709610,295423,82937,212486,49476,3401,0,0,0,7377,67103,1403327,0,269,0,452737,604555,10093,3290,332383,14538
1994:Q4,1514159,4945,8928,0,1083852,36432,90323,220309,12164,724624,295991,84665,211326,48786,3325,0,0,0,6734,61598,1417801,0,592,0,457454,607196,10378,2372,339809,11045
1995:Q1,1544759,4841,8963,0,1111944,38675,93180,227318,11014,741757,297109,85945,211164,50076,3381,0,0,0,6759,61686,1441900,0,585,0,467896,609262,10741,2325,351091,11317
1995:Q2,1574790,4735,8997,0,1138301,38490,92513,228091,12386,766821,298609,87355,211254,52005,3435,0,0,0,7020,61688,1467634,0,622,0,479285,613637,11154,2360,360576,11458
1995:Q3,1592356,4629,9032,0,1146810,39896,91603,230762,11894,772655,302415,89383,213032,54215,3445,0,0,0,6903,64907,1479948,0,609,0,485283,614299,11590,2406,365761,11781
1995:Q4,1602717,4524,9068,0,1153069,32577,86697,225215,11035,797545,305517,96988,208529,54783,3319,0,0,0,8642,63795,1487007,0,512,0,492084,608533,11975,2750,371153,17673
1996:Q1,1612939,4238,9102,0,1162516,38121,84548,221564,11479,806804,307201,98757,208444,56252,3284,0,0,0,8860,61486,1486719,0,1143,0,494771,603113,12090,2877,372725,17740
1996:Q2,1616337,4047,9137,0,1160146,39047,79670,217291,11268,812870,308244,99887,208357,57717,3234,0,0,0,9043,64769,1487424,0,1213,0,500347,595760,12200,2914,374990,17809
1996:Q3,1638910,3860,9172,0,1189140,36990,80438,224779,11524,835409,306851,102728,204123,58725,3162,0,0,0,9296,58704,1500340,0,1112,0,513087,589983,12350,2942,380866,18216
1996:Q4,1712344,3443,10253,0,1239234,35808,71056,228216,12612,891542,305567,101256,204311,67566,3147,0,0,0,10648,72486,1537477,0,1600,0,526508,526129,7761,3539,471940,25520
1997:Q1,1724642,2755,10102,0,1262000,41236,71037,227164,12834,909729,305840,102956,202884,67371,3015,0,0,0,11387,62172,1542198,0,1788,0,537099,531025,7725,3834,460727,26070
1997:Q2,1786523,3214,10033,0,1302354,43942,71274,229639,13116,944383,308332,104897,203435,73066,3180,0,0,0,11510,74834,1583747,0,1822,0,548947,545500,7688,4446,475344,29150
1997:Q3,1828931,2918,9946,0,1326504,49485,74159,233253,13583,956024,307229,105882,201347,77818,3228,0,0,0,11360,89928,1608762,0,1867,0,562021,553055,7652,4527,479640,30071
1997:Q4,1825180,6563,9918,0,1333479,51381,62855,210453,16309,992481,307615,105420,202195,76881,3011,0,0,0,15206,72507,1607001,0,1783,0,568982,546970,7615,5481,476170,44527
1998:Q1,1856893,1790,9969,0,1353794,51847,60713,208313,16956,1015965,306994,105730,201264,82308,3289,0,0,0,15848,82901,1629392,0,1785,0,571935,536755,7914,5573,505430,44691
1998:Q2,1872045,2969,10032,0,1362142,51410,57971,204355,17482,1030924,309482,107202,202280,84394,3309,0,0,0,16742,82975,1639767,0,1632,0,576662,537104,8213,5768,510388,45244
1998:Q3,1889908,2651,10022,0,1376547,58381,55075,200067,17998,1045026,310571,108303,202268,75984,2997,0,0,0,16039,95097,1658427,0,2037,0,581993,550075,8512,5907,509903,45383
1998:Q4,1895305,4168,10124,0,1381274,53827,52174,195979,18552,1060742,316329,107731,208598,85157,3391,0,0,0,21250,73612,1657493,0,2475,0,598617,527996,8811,6182,513412,58400
1999:Q1,1923180,1417,10275,0,1393572,51706,51414,198454,18793,1073205,317304,103534,213770,87827,3406,0,0,0,21618,87761,1691431,0,3288,0,605990,530435,9010,6710,535998,58595
1999:Q2,1934755,2615,10468,0,1391433,48509,49555,198976,18845,1075548,322505,102798,219707,90722,3539,0,0,0,22108,91365,1707827,0,4033,0,616083,524377,9209,7607,546518,67502
1999:Q3,1937420,2521,10557,0,1389654,52792,47461,198439,18792,1072170,324731,103262,221469,89709,3338,0,0,0,22764,94146,1721998,0,4307,0,620272,523549,9408,8022,556440,67408
1999:Q4,2020670,3950,10643,1,1376268,57801,44915,195754,18533,1059265,330045,104122,225923,94253,3721,10965,46467,24633,18669,101055,1809530,0,3200,15986,677901,536687,9607,7802,558347,72359
2000:Q1,2045806,2566,10915,2,1391847,53090,44306,198776,18647,1077028,328484,104118,224366,96381,3933,11239,47316,24927,19487,108709,1823333,0,3016,16621,686252,513983,9621,8041,585799,74085
2000:Q2,2072916,4170,11045,2,1400978,56657,43427,199952,18539,1082403,332750,105334,227416,98193,3850,11515,48165,25221,19917,117110,1840176,0,2746,17258,690964,524826,9635,8400,586347,76930
2000:Q3,2107368,2207,11182,2,1420480,60409,42816,202594,18560,1096101,336668,107327,229341,100681,3901,11788,49014,25514,20353,125578,1866228,0,2659,17892,700670,536545,9649,10659,588154,86016
2000:Q4,2115658,3603,11526,2,1427302,56875,41769,204233,18517,1105908,338430,108180,230250,95576,3644,12063,49862,25808,18111,129731,1878764,0,2481,18528,710222,555436,9663,9824,572610,71982
2001:Q1,2196221,17283,11077,1523,1452379,44513,41723,207247,18559,1140337,338447,109381,229066,86727,3263,12707,52211,26773,18727,175104,1937848,2650,1884,19802,735493,603863,12919,10789,550448,73509
2001:Q2,2256265,22944,11271,3189,1488357,44556,41587,209949,18557,1173708,340924,109766,231158,92094,3425,13354,54559,27739,18716,179693,1987350,2396,1908,21081,746639,605455,11948,11206,586717,75637
2001:Q3,2312408,24528,11153,1789,1537389,51441,41567,213407,18605,1212369,344204,111248,232956,88088,3002,13998,56906,28704,18922,183725,2045709,2827,2773,22355,755802,667455,11912,11612,570973,76528
2001:Q4,2316474,25723,10275,1365,1546868,32807,45280,214187,18406,1236188,347666,111188,236478,77649,4436,14642,59254,29668,11455,187473,2057848,1279,3119,23629,764074,645767,11279,9728,598973,53455
2002:Q1,2396838,23886,11766,6939,1608501,31816,52234,231793,19063,1273595,348318,111570,236748,76507,4620,15873,61502,30607,11596,196723,2133192,15874,3716,26585,780702,625027,10727,10012,660549,54701
2002:Q2,2464824,23365,12767,8942,1662508,34868,59142,248321,19574,1300603,350176,111799,238377,75592,4374,17104,63752,31547,13554,201143,2195905,17305,4025,29544,799043,672379,9332,9459,654818,55722
2002:Q3,2548735,32359,14121,11180,1725670,31410,67273,267757,20257,1338973,351566,112463,239103,71875,4014,18335,65999,32484,13951,207181,2269355,14892,4518,32500,824912,726343,9216,9136,647838,56801
2002:Q4,2599846,23952,12590,4800,1775888,35144,73205,284991,20717,1361831,356582,113537,243045,73175,4371,19567,68247,33423,12797,214454,2291830,13887,5142,35458,814692,767482,10098,11422,633649,52153
2003:Q1,2701249,32488,15244,12282,1839398,29243,73702,292838,22366,1421249,357429,113238,244191,76221,4539,20508,71199,34599,12773,224569,2382508,19696,6250,36924,834708,802099,8160,10914,663757,52668
2003:Q2,2777172,32167,15596,9859,1900129,27098,71918,299721,24008,1477384,360978,113679,247299,82660,5375,21444,74152,35773,13139,225900,2436038,19774,6619,38389,847829,797842,8295,10491,706799,51356
2003:Q3,2829830,33597,18152,8616,1936651,28436,70747,301788,25314,1510366,363527,113331,250196,84966,5820,22384,77102,36949,13336,228730,2475387,22839,7405,39857,862062,799349,8610,9861,725404,51498
2003:Q4,2851949,32243,13094,2273,1961633,21565,64472,304026,26663,1544907,367564,113661,253903,84926,6624,23325,80054,38123,18505,223585,2485977,14680,8030,41324,863739,804313,8188,8946,736757,60044
2004:Q1,2940198,30460,16479,3888,2018782,21646,65171,310805,28069,1593091,368882,113902,254980,89533,6805,25095,85162,40329,18323,236460,2558421,15327,7939,45038,866924,832916,9917,9091,771269,59967
2004:Q2,2999768,34112,17062,3697,2060689,19347,63992,315758,29360,1632232,371484,114922,256562,89833,6810,26865,90272,42535,19271,237138,2605604,17509,8615,48754,881316,851722,9257,10482,777949,72440
2004:Q3,3060308,33312,19727,3260,2106123,20983,63609,320393,30666,1670472,376269,116222,260047,91256,6794,28634,95379,44740,20158,234656,2654201,16826,8639,52469,894903,880469,8987,10806,781102,76049
2004:Q4,3110885,32596,18216,3834,2133170,15500,61974,323374,31856,1700466,382392,117165,265227,94739,7338,30404,100487,46945,21226,239538,2686212,13481,11063,56185,907911,886669,10045,11592,789266,87262
2005:Q1,3152987,26350,19866,10843,2162935,8612,66493,330501,32888,1724441,384302,117685,266617,93953,7381,31107,102383,48170,21590,244107,2739976,19935,8401,57846,919955,911311,9384,11571,801573,87815
2005:Q2,3169599,34107,17007,8708,2167159,7865,70394,329398,33353,1726149,389193,119487,269706,88716,7692,31810,104278,49392,22183,249354,2772088,19903,8966,59508,933331,909522,9544,10763,820551,89723
2005:Q3,3192312,35796,16672,6049,2180287,10116,74999,329030,33897,1732245,391975,120074,271901,89386,8176,32514,106174,50616,23722,250945,2801747,20717,9061,61170,946766,905336,8754,11448,838495,90284
2005:Q4,3175693,30531,14649,2852,2168687,11277,77091,326028,34088,1720203,398440,122243,276197,87470,8478,33219,108068,51838,24534,246927,2799475,20925,9184,62833,954538,920611,8425,10965,811994,81472
2006:Q1,3219688,32020,16740,2119,2198212,12501,75786,333504,35375,1741046,403431,124149,279282,93556,8223,34273,113285,55694,24764,237371,2846427,24061,9888,65965,974476,905003,8839,11253,846942,84860
2006:Q2,3245508,31989,18247,1984,2193864,12449,72585,329185,36153,1743492,413391,127320,286071,91656,7436,35328,118501,59548,24163,249401,2881137,23457,10218,69098,976655,906382,8151,13168,874008,93174
2006:Q3,3281415,31925,22008,2203,2188515,13561,70321,329294,36942,1738397,420524,129903,290621,97006,7041,36380,123717,63404,25587,263105,2914620,20358,10835,72231,992391,896263,8647,13952,899943,99766
2006:Q4,3292257,36452,25315,2782,2133784,13642,66568,322403,36906,1694265,425903,132056,293847,136173,6790,37435,128932,67258,28439,262994,2918593,21242,11942,75364,1005961,869079,11272,12570,911163,91560
2007:Q1,3315356,39273,24047,2182,2146709,15027,63770,325180,38441,1704291,432204,135577,296627,138425,7210,37361,130775,69285,29775,258110,2943569,17864,13183,78090,1017523,863970,9933,12071,930935,91285
2007:Q2,3349469,36896,23975,3049,2153311,15799,61016,327446,39888,1709162,442535,139845,302690,145882,7874,37289,132619,71311,32648,262080,2976358,18403,16335,80815,1031143,861896,8931,12419,946416,97675
2007:Q3,3391542,41417,22089,3156,2165953,15860,58074,330584,41481,1719954,451096,143299,307797,147440,8352,37215,134460,73338,35059,271967,3019349,19162,22364,83542,1041137,852946,9272,12459,978467,96739
2007:Q4,3396649,40704,23989,3028,2154639,19495,54560,330099,42567,1707918,461977,145317,316660,141194,8420,37143,136303,75363,36255,277634,3027848,20178,25666,86269,1055069,852470,9878,12653,965665,86363
2008:Q1,3388489,45924,30398,3374,2106802,23077,64319,324192,43264,1651950,471703,150177,321526,118423,7887,38065,141598,78218,34752,311345,3097086,21343,28571,90267,1067649,882826,9349,13588,983493,80946
2008:Q2,3355711,53741,33906,3540,2053894,23597,74649,317498,43837,1594313,481378,154275,327103,118978,7910,38988,146892,81074,33820,301590,3131358,23505,29868,94267,1086062,901462,7392,13733,975069,74899
2008:Q3,3305011,55651,30930,4070,1970897,18453,83468,307286,43970,1517720,494273,162528,331745,105562,7111,39912,152185,83928,29401,331091,3150753,21470,38490,98267,1114465,959149,5135,13584,900193,70116
2008:Q4,3304716,63981,41939,8521,1896540,18939,98584,295142,43775,1440100,494682,165548,329134,84604,5891,40835,157479,86782,19702,403760,3196546,12905,49291,102267,1138627,988412,5816,11274,887954,46416
2009:Q1,3355582,51824,45287,13231,1995058,24972,109793,292292,50004,1517997,486297,159999,326298,44234,5038,41246,159419,85386,17364,411198,3198273,13214,49647,102557,1159322,978811,5525,11467,877730,42850
2009:Q2,3408508,47560,43609,11463,2073767,30413,111665,296327,55955,1579407,479767,155944,323823,50823,5275,41656,161359,83989,22181,387059,3189200,10867,47622,102847,1167723,948354,5909,12754,893124,54655
2009:Q3,3498154,46386,40334,12280,2172893,32285,113004,297418,62406,1667780,473847,151510,322337,56096,5516,42069,163297,82592,27090,375754,3207285,14256,44951,103139,1173943,915924,5992,13715,935365,66640
2009:Q4,3581215,35412,36137,10922,2282480,35609,114140,301374,69162,1762195,457464,140430,317034,70449,5219,42480,165237,81195,29744,364476,3221171,12434,45471,103430,1190882,906112,7406,13053,942383,68140
2010:Q1,3625432,31779,32246,12197,2322238,20137,118407,300661,77534,1805499,451935,139520,312415,75558,5122,42010,163613,79124,31390,378220,3233309,9151,45006,102040,1197580,908630,6941,13465,950496,71592
2010:Q2,3686556,41154,28754,11887,2382335,23179,123038,299934,86980,1849204,448588,139583,309005,70605,4469,41541,161991,77051,28242,389939,3273266,9848,43774,100648,1207240,936151,6985,13411,955209,62879
2010:Q3,3757243,42155,25560,11915,2447714,29272,128009,299220,97458,1893755,449731,140287,309444,78563,4604,41075,160367,74980,31873,388706,3305247,10971,43540,99261,1225700,944948,8211,13541,959075,70846
2010:Q4,3795721,33598,23199,12002,2504906,23438,133376,298511,109306,1940275,449064,140255,308809,75636,4582,40605,158743,72907,50704,369775,3321100,10258,43415,97871,1232811,943497,8025,14940,970283,88445
2011:Q1,3860850,29333,22041,8726,2567257,22061,138764,303639,115159,1987634,449151,139281,309870,73180,5057,40998,157189,73908,53293,380717,3360219,12762,44236,95299,1250568,918627,8034,13759,1016934,87480
2011:Q2,3925861,30899,20390,9027,2611831,20183,143358,307033,120610,2020647,456612,141902,314710,77224,5363,41390,155635,74910,52611,389969,3400224,12522,44280,92727,1269894,929736,7877,14007,1029181,88780
2011:Q3,4041645,41085,19428,9384,2676166,24451,151614,311682,126809,2061610,466940,146063,320877,77516,5044,41784,154080,75909,43968,430341,3491377,11530,44600,90156,1307650,979331,6731,13022,1038357,68693
2011:Q4,4092542,43368,32555,6835,2713757,10808,162409,314617,132527,2093396,473206,148175,325031,76563,5614,42178,152526,76910,51681,417349,3518735,12108,44912,87586,1328816,958400,7202,18377,1061334,102855
2012:Q1,4145006,41915,28766,9654,2756852,12270,162237,316977,137279,2128089,475506,146200,329306,79581,5634,44889,156103,78360,58257,409489,3543728,14148,46123,90896,1337391,965861,8033,17378,1063898,113325
2012:Q2,4154724,45794,31776,9858,2738816,19065,159616,312153,138993,2108989,480516,147246,333270,73192,4980,47601,159678,79808,54976,427729,3535442,14862,49535,94206,1329975,950928,8203,17415,1070318,109220
2012:Q3,4220464,42536,30939,10347,2791596,23646,159980,315425,144399,2148146,484779,148445,336334,76832,4719,50312,163254,81257,58191,425702,3574696,16394,49443,97516,1341456,956467,8644,17735,1087041,115716
2012:Q4,4266335,43562,30557,9068,2825854,31194,161614,316101,148788,2168157,489668,151193,338475,77318,4261,53026,166829,82705,70434,413053,3593736,14373,48151,100828,1354193,970901,8359,16668,1080263,113878
2013:Q1,4246406,45259,23734,5434,2800646,28100,153083,308674,147907,2162882,486606,148240,338366,78277,4505,51929,172013,84176,73342,420485,3619549,22318,49123,99143,1363705,973849,8183,16889,1086339,126254
2013:Q2,4226613,36173,22099,6159,2776519,28588,146316,301365,147026,2153224,492450,149946,342504,79106,4501,50831,177194,85646,72362,423573,3643943,22887,50330,97459,1377331,987286,6335,16918,1085397,129595
2013:Q3,4226177,45391,24398,6353,2746046,33078,140340,292774,145380,2134474,499888,149569,350319,80298,4838,49737,182378,87114,78324,421412,3680596,22517,49441,95776,1395408,1006597,6946,16955,1086956,135945
2013:Q4,4226256,39576,23123,3280,2727987,39745,134078,286032,144482,2123650,508425,152513,355912,79775,5000,48640,187559,88584,80755,433552,3721091,20896,50111,94092,1410501,1020746,7084,13402,1104259,117870
2014:Q1,4308432,45680,22989,3071,2775353,34322,139282,290016,148580,2163153,513644,155738,357906,81874,5193,49365,188577,86771,78746,457169,3773314,20935,50498,95097,1426050,1035298,7217,13218,1125001,115708
2014:Q2,4365210,44463,22796,2867,2833372,30889,145085,294692,153990,2208716,520098,157596,362502,85480,5482,50089,189597,84958,79275,446733,3800374,23198,51081,96101,1444166,1044896,6933,13488,1120511,120872
2014:Q3,4435584,47551,24463,2900,2878168,29599,150874,297919,158763,2241013,529977,161610,368367,84694,5517,50816,190614,83144,76176,461564,3838300,22542,51402,97109,1463005,1055024,6550,14615,1128053,121058
2014:Q4,4508367,44986,29592,3310,2907815,29715,156394,299472,162629,2259605,541224,164809,376415,82953,5683,51541,191632,81331,87852,480448,3889732,21900,51928,98113,1486383,1070287,6592,13061,1141468,113949
2015:Q1,4464811,45562,29318,3137,2857431,27777,155159,291800,162859,2219836,538328,164967,373361,83329,5737,55232,195866,82621,92001,476249,3872999,22144,54076,102079,1471579,1055198,7663,14422,1145838,123283
2015:Q2,4452414,38080,28339,2880,2843610,25263,155128,287142,164720,2211357,545530,162369,383161,86320,5657,58927,200100,83912,91959,467100,3891421,22446,56223,106044,1483288,1079472,7746,14616,1121586,121841
2015:Q3,4502799,49637,33976,3305,2844554,28737,157476,283242,166992,2208107,552845,160665,392180,84719,5229,62618,204333,85201,82468,493914,3968120,22411,57239,110011,1499837,1114413,6471,14265,1143473,111288
2015:Q4,4502621,56930,30470,2828,2837520,24892,158009,279604,169909,2205106,568992,160634,408358,82135,5298,66312,208567,86490,67569,489510,3991482,21400,58121,113978,1512083,1138286,7364,12237,1128013,100707
2016:Q1,4678950,55394,29554,2967,2962727,27885,159477,286949,177452,2310964,579421,165883,413538,85269,5533,72512,219517,85739,58649,521668,4089930,21454,61115,118897,1534939,1157780,8436,13061,1174248,111917
2016:Q2,4882989,76436,26380,2860,3089006,29104,167248,292456,183912,2416286,586016,163601,422415,87410,5853,78712,230465,84988,57705,557158,4211235,21507,65710,123815,1566267,1187922,8123,13195,1224696,112058
2016:Q3,4932286,69878,23866,2785,3132480,31353,169765,293337,185471,2452554,594065,164107,429958,88528,6283,84911,241414,84236,59559,544281,4251334,21561,67995,128735,1584397,1202792,6880,13371,1225603,112679
2016:Q4,4776799,56089,19597,2475,3008199,29505,167122,280186,175584,2355802,599809,157688,442121,88679,6505,91111,252362,83485,65280,503208,4224605,21615,68257,133654,1592353,1180130,8411,14964,1205221,128264
2017:Q1,4853529,55010,21992,2479,3055051,29955,170054,283854,179244,2391944,608651,155882,452769,89480,6733,93882,260914,85443,70528,503366,4278874,21668,71198,143031,1609639,1193973,7977,14540,1216848,130008
2017:Q2,4939704,60675,23378,2353,3100715,28803,172553,287374,182692,2429293,621933,155988,465945,93826,6844,96655,269465,87400,73199,503261,4326821,22261,71225,152410,1620474,1196425,6656,14469,1242901,133635
2017:Q3,5015360,58335,25464,2287,3142907,28365,174613,290647,186119,2463163,632248,159162,473086,96239,7005,99426,278016,89357,74239,509837,4374833,21692,72040,161788,1639390,1203106,7222,14176,1255419,137341
2017:Q4,5048671,63124,25411,2040,3175473,25645,174620,292853,188999,2493356,640416,158795,481621,95996,7250,102199,286566,91314,88150,470732,4419452,21361,74757,171167,1656745,1211324,10599,15592,1257907,160684
2018:Q1,5017476,56680,23349,1968,3115546,23642,173565,290036,189259,2439044,651516,157519,493997,94048,7545,102010,277528,115620,88061,483605,4485819,20766,78800,174693,1667351,1247277,10397,15066,1271469,159320
2018:Q2,5034494,63177,26802,1956,3087100,22540,174484,283635,187553,2418888,665854,157395,508459,95204,7898,101824,268491,139927,75642,500619,4533153,20863,79790,178220,1678488,1284281,9499,13942,1268070,162722
