1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,66633,1085,0,0,39647,0,11034,0,1142,27471,21904,2590,19314,2221,0,0,0,0,126,1650,63221,0,0,0,51635,6575,133,59,4819,228
1952:Q1,67779,1015,0,0,40192,0,10818,0,1133,28241,22516,2627,19889,2236,0,0,0,0,126,1694,64292,0,0,0,52288,6845,165,59,4935,228
1952:Q2,68730,1077,0,0,40480,0,10363,0,1123,28994,23010,2661,20349,2301,0,0,0,0,128,1734,65428,0,0,0,52976,7129,148,59,5116,229
1952:Q3,70039,1065,0,0,41317,0,10455,0,1163,29699,23509,2697,20812,2245,0,0,0,0,130,1773,66618,0,0,0,53707,7417,159,60,5275,229
1952:Q4,71472,1146,0,0,41974,0,10252,0,1153,30569,23964,2713,21251,2446,0,0,0,0,135,1807,67837,0,0,0,54480,7700,149,63,5445,241
1953:Q1,72555,990,0,0,42691,0,10120,0,1203,31368,24499,2758,21741,2396,0,0,0,0,137,1842,69035,0,0,0,55246,7980,139,63,5607,242
1953:Q2,73669,948,0,0,43255,0,10090,0,1218,31947,25059,2806,22253,2395,0,0,0,0,139,1873,70194,0,0,0,55988,8259,125,63,5759,244
1953:Q3,74822,1030,0,0,43746,0,9987,0,1258,32501,25586,2850,22736,2413,0,0,0,0,141,1906,71334,0,0,0,56701,8539,160,64,5870,245
1953:Q4,76513,1215,0,0,44402,0,9829,0,1298,33275,26236,2914,23322,2573,0,0,0,0,145,1942,72482,0,0,0,57388,8825,231,65,5973,252
1954:Q1,77851,1060,0,0,45097,0,9720,0,1463,33914,26789,2972,23817,2773,0,0,0,0,147,1985,73655,0,0,0,58093,9113,185,66,6198,253
1954:Q2,79180,1101,0,0,45513,0,9399,0,1657,34457,27464,3032,24432,2920,0,0,0,0,150,2032,74864,0,0,0,58831,9401,140,66,6426,255
1954:Q3,80504,1111,0,0,45899,0,9138,0,1791,34970,28167,3084,25083,3093,0,0,0,0,153,2081,76079,0,0,0,59600,9695,168,67,6549,256
1954:Q4,82188,1240,0,0,46294,0,9070,0,1846,35378,29103,3127,25976,3268,0,0,0,0,155,2128,77273,0,0,0,60389,10000,183,73,6628,283
1955:Q1,83468,1061,0,0,46861,0,9136,0,1984,35741,29956,3188,26768,3261,0,0,0,0,158,2171,78486,0,0,0,61170,10322,189,74,6731,284
1955:Q2,84870,1089,0,0,47167,0,9086,0,1984,36097,30743,3225,27518,3499,0,0,0,0,161,2211,79744,0,0,0,61931,10663,156,74,6920,286
1955:Q3,86384,1160,0,0,47656,0,9164,0,2016,36476,31544,3267,28277,3606,0,0,0,0,164,2254,81038,0,0,0,62688,11004,198,75,7073,287
1955:Q4,87851,1265,0,0,47741,0,8576,0,2038,37127,32735,3290,29445,3633,0,0,0,0,167,2310,82351,0,0,0,63459,11325,222,80,7265,310
1956:Q1,89198,1050,0,0,48058,0,8077,0,2193,37788,33742,3346,30396,3800,0,0,0,0,170,2378,83649,0,0,0,64251,11624,204,81,7489,311
1956:Q2,90346,1086,0,0,48330,0,7954,0,2186,38190,34706,3414,31292,3591,0,0,0,0,173,2460,84916,0,0,0,65070,11895,154,81,7716,312
1956:Q3,91670,1084,0,0,48852,0,7834,0,2251,38767,35562,3450,32112,3453,0,0,0,0,176,2543,86159,0,0,0,65875,12175,244,81,7784,313
1956:Q4,93194,1281,0,0,49107,0,7555,0,2273,39279,36508,3519,32989,3503,0,0,0,0,179,2616,87397,0,0,0,66626,12500,262,82,7927,317
1957:Q1,94264,1074,0,0,49675,0,7478,0,2289,39908,37274,3595,33679,3378,0,0,0,0,182,2681,88620,0,0,0,67324,12868,261,83,8084,317
1957:Q2,95874,1142,0,0,50173,0,7348,0,2322,40503,37859,3678,34181,3773,0,0,0,0,185,2742,89812,0,0,0,67969,13279,185,83,8296,318
1957:Q3,97013,1150,0,0,50844,0,7289,0,2348,41207,38461,3766,34695,3570,0,0,0,0,188,2800,91020,0,0,0,68606,13700,224,83,8407,319
1957:Q4,98190,1292,0,0,51356,0,7029,0,2376,41951,39105,3869,35236,3391,0,0,0,0,192,2854,92289,0,0,0,69277,14100,264,80,8568,309
1958:Q1,99511,1170,0,0,52099,0,7087,0,2460,42552,39663,3970,35693,3479,0,0,0,0,195,2905,93596,0,0,0,69991,14475,387,80,8663,310
1958:Q2,100834,1210,0,0,52766,0,7075,0,2534,43157,40087,4058,36029,3626,0,0,0,0,199,2946,94948,0,0,0,70755,14826,300,80,8987,310
1958:Q3,102424,1217,0,0,53619,0,7295,0,2613,43711,40563,4125,36438,3831,0,0,0,0,202,2992,96268,0,0,0,71533,15189,335,80,9131,310
1958:Q4,104266,1366,0,0,54283,17,7183,50,2681,44352,41250,4188,37062,4109,0,0,0,0,206,3052,97497,0,0,0,72294,15600,348,89,9166,343
1959:Q1,105475,1218,0,0,55051,124,7212,61,2828,44826,41734,4273,37461,4133,0,0,0,0,210,3129,98755,0,0,0,73063,16068,380,89,9155,343
1959:Q2,107121,1206,0,0,55888,215,7228,74,2991,45380,42216,4367,37849,4375,0,0,0,0,213,3223,100073,0,0,0,73834,16602,339,89,9209,344
1959:Q3,108266,1158,0,0,56375,200,7183,82,3148,45762,42887,4474,38413,4309,0,0,0,0,217,3320,101516,0,0,0,74667,17129,418,90,9212,344
1959:Q4,109999,1309,0,0,56686,118,6868,72,3200,46428,43815,4618,39197,4561,0,0,0,0,221,3407,103111,0,0,0,75606,17575,434,93,9403,358
1960:Q1,111045,1127,0,0,57148,137,6828,73,3284,46826,44691,4786,39905,4368,0,0,0,0,225,3486,104654,0,0,0,76524,17946,376,93,9715,359
1960:Q2,112582,1188,0,0,57481,176,6574,100,3357,47274,45484,4966,40518,4642,0,0,0,0,229,3558,106060,0,0,0,77383,18248,337,94,9998,360
1960:Q3,113742,1183,0,0,58052,249,6577,105,3510,47611,46188,5112,41076,4456,0,0,0,0,233,3630,107323,0,0,0,78133,18532,383,94,10181,362
1960:Q4,115811,1330,0,0,58555,294,6427,101,3588,48145,47002,5231,41771,4981,0,0,0,0,237,3706,108485,0,0,0,78758,18850,418,97,10362,374
1961:Q1,117811,1232,0,0,59235,360,6543,91,3693,48548,47694,5373,42321,5621,0,0,0,0,241,3788,109728,0,0,0,79425,19191,424,98,10590,375
1961:Q2,119209,1270,0,0,59762,324,6408,81,3728,49221,48464,5523,42941,5593,0,0,0,0,245,3875,111135,0,0,0,80196,19544,357,98,10940,376
1961:Q3,120753,1309,0,0,60490,332,6428,103,3808,49819,49015,5634,43381,5729,0,0,0,0,249,3961,112652,0,0,0,81095,19900,379,98,11180,377
1961:Q4,122809,1392,0,0,60932,193,6134,110,3888,50607,49936,5733,44203,6258,0,0,0,0,254,4037,114198,0,0,0,82112,20250,386,109,11341,418
1962:Q1,124284,1219,0,0,61952,513,6307,121,4039,50972,50454,5848,44606,6290,4,0,0,0,258,4107,115718,0,0,0,83115,20591,495,109,11408,419
1962:Q2,124401,1213,0,0,62616,521,6279,115,4024,51677,51114,5995,45119,5017,11,0,0,0,263,4167,117195,0,0,0,84072,20920,429,109,11665,420
1962:Q3,126516,1289,0,0,63401,643,6331,142,4073,52212,51794,6124,45670,5520,18,0,0,0,268,4226,118688,0,0,0,84951,21258,471,109,11899,421
1962:Q4,129184,1457,0,0,63722,347,6170,105,4026,53074,53136,6234,46902,6280,22,0,0,0,272,4295,120259,0,0,0,85754,21625,440,104,12336,401
