date,FA156902505.A,FA156300003.A,FA156902605.A,FA156025005.A,FA156020001.A,FA156401001.A,FA156240101.A,FA156402101.A,FA156140005.A,FA156402101.A,FA156025105.A,FA156020101.A,FA156401101.A,FA156150105.A,FA156130101.A,FA156120105.A,FA156121101.A,FA156122101.A,FA156130001.A,FA156140005.A,FA156220001.A,FA156404105.A,FA156600001.A,FA156403101.A,FA156403001.A,FA156012095.A,FA156901001.A,FA156006005.A,FA156006315.A,FA156006005.A,FA155440005.A,FA155050905.A,FA155019005.A,FA155012005.A,FA165013005.A,FA156300003.A,FA155420003.A,FA155000905.A,FA155000905.A,FA154090005.A,FA154000005.A,FA153020005.A,FA153030005.A,FA153091003.A,FA313131003.A,FA154022005.A,FA153061105.A,FA153061705.A,FA153062005.A,FA153063005.A,FA154023005.A,FA154041005.A,FA153065005.A,FA153081005.A,FA153064105.A,FA153064205.A,FA153034005.A,FA152090205.A,FA153094305.A,FA153052005.A,FA153076005.A,FA153040005.A,FA153050005.A,FA153095105.A,FA313195105.A,FA163096005.A,FA154190005.A,FA163162003.A,FA154123005.A,FA154141005.A,FA153166000.A,FA153168005.A,FA153169005.A,FA153165005.A,FA543077073.A,FA163170005.A,FA155000005.A,FV158090185.A,FU155111005.A,FV152010005.A,FV158090085.A,FU157005045.A,FR152010085.A,FR155035005.A,FR165015205.A,FR165013765.A,FR155111005.A,FR158080095.A,FR154022005.A,FR153064105.A,FR153064205.A,FR152090205.A,FR153094305.A,FR153052045.A,FR158200095.A,FC152090005.A,FL152000005.A,LM152010005.A,LM155035005.A,LM155111005.A,LM165015205.A,LM165013765.A,FL154090005.A,FL154000005.A,FL153020005.A,LM153091003.A,FL153030005.A,FL313131003.A,LM154022005.A,LM153061105.A,LM153061705.A,LM153062005.A,LM153063005.A,FL154023005.A,FL154041005.A,FL153065005.A,FL153081005.A,LM153064105.A,LM153064205.A,FL153034005.A,LM152090205.A,LM153094305.A,FL153052005.A,FL153076005.A,FL153040005.A,FL153050005.A,FL153095105.A,FL313195105.A,FL163096005.A,FL152100005.A,FL154190005.A,FL163162003.A,FL154123005.A,FL154141005.A,FL153166000.A,FL153168005.A,FL153169005.A,FL153165005.A,FL543077073.A,FL163170005.A,FL152090005.A
1991,677329,129163,548166,252425,218326,34099,71472,224268,4726438,224268,3450515,2814478,636037,1390169,824264,565904,180170,385734,338513,4726438,588901,650507,430182,17636,36085,4339413,3943449,395964,381512,395964,14452,95475,228897,183356,45542,129163,-4260,286038,286038,612080,-35051,47351,-83430,1028,0,57722,11344,-4530,35045,15862,33530,31634,1896,174642,20685,95710,24701,33546,0,377094,4836,25119,342179,4960,0,4144,213541,3817,201389,18132,-8810,2587,24355,183257,-722,9057,398539,184695,39362,-1176,34007,-112502,87515,47599,421,589,38907,831205,0,732398,80151,-78418,0,97074,918720,1484927,28071277,10318399,8090172,2117389,78767,32071,17752878,3107236,510351,14565,2582320,0,1587370,527786,105075,694930,259579,265430,124300,141130,6596522,2454778,646801,445494,3049449,0,6125657,175175,418284,5447838,84360,0,70662,28071277,3951438,89511,3763689,1014725,815581,33942,165202,2748964,15737,82501,24119839
1992,720279,134687,585592,273018,234772,38246,73852,238722,5010200,238722,3668247,2965541,702707,1439027,810480,628547,189051,439496,335797,5010200,612802,731750,454951,16287,39053,4651430,4197559,453871,448191,453871,5680,124288,263239,215864,47375,134687,-4264,323903,323903,678750,-19207,107902,-128282,1173,0,70094,97168,18159,-41387,-3846,-14987,-8193,-6794,218804,63577,140574,-20542,35195,0,421554,9791,28546,375874,7343,0,2492,205418,2380,198285,18620,9188,3230,6202,179666,25,4728,473332,212711,56404,-9790,16668,-149429,164303,143417,834,590,19462,282860,0,282379,27664,-52077,0,24894,447163,1108065,29384760,10652429,8340768,2193255,82840,35566,18732331,2975743,618253,15600,2341890,0,1670973,625522,120632,653544,271275,250443,116107,134336,7031765,2763304,815039,424952,3028470,0,6730253,184966,447350,6006234,91703,0,73154,29384760,4156856,91891,3961974,1033345,824769,37172,171404,2928630,15762,87229,25227904
1993,772789,144014,628775,291410,250280,41130,73749,263616,5230014,263616,3817289,3079341,737949,1481688,803189,678499,204734,473765,332579,5230014,648755,778935,477425,14054,47169,4849655,4451984,397671,381116,397671,16555,140810,289116,242941,46175,144014,-4292,240307,240307,573328,-70933,53722,-123575,-1080,0,61413,65328,-69886,-46056,112026,21424,29691,-8267,101947,-142972,190125,5334,49460,0,455233,5699,35797,407531,6206,0,4244,255549,1061,245996,78734,61400,-8843,26177,167263,506,7986,317779,179689,73765,-1622,30073,-77472,185504,149761,249,437,35058,691635,0,433861,94779,103724,0,59271,877139,1437944,31080620,11048387,8623500,2302078,85114,37695,20032233,2906103,671975,15757,2218371,0,1761439,690850,52126,606038,412426,271867,145798,126069,7766590,3054193,1099943,430286,3182168,0,7248837,190665,484371,6475892,97909,0,77398,31080620,4414772,92952,4210337,1112078,886169,28329,197580,3098259,16268,95215,26665848
1994,824715,153469,671246,307628,264345,43283,77170,286449,5508236,286449,4006191,3236590,769602,1556917,815566,741351,235217,506135,341321,5508236,693073,815708,508180,13255,51595,5084351,4720965,363386,347920,363386,15466,165772,323784,276952,46832,153469,-4544,182149,182149,671690,-58927,-28265,-33756,3094,0,339141,155108,124559,-29191,88665,-786,7682,-8468,-16189,-99453,-2921,37765,48420,0,403869,6603,35787,355141,6338,0,4582,328921,3186,320782,154812,134999,6419,13394,165970,529,4424,342769,260298,93659,-4778,10797,-160621,197422,167443,416,1137,28426,109272,0,5622,-77695,183949,0,-2604,306694,914912,32324453,11497112,8945071,2424163,87566,40312,20827341,2847282,643709,18847,2184727,0,2111198,845958,183543,576847,504850,270722,153480,117242,7854576,2960362,1019327,468051,3406836,0,7661582,197268,519806,6840261,104247,0,81980,32324453,4743693,96138,4531119,1266890,1021168,34748,210974,3264229,16797,99639,27580760
1995,877785,162883,714902,324187,278543,45644,77528,313188,5801964,313188,4198086,3418022,780064,1672576,879546,793031,257987,535044,381886,5801964,748407,864727,532800,18728,54565,5349647,4962591,387056,368149,387056,18907,147859,315545,266594,48951,162883,-4803,220290,220290,668202,86552,-46261,128248,4565,0,-20520,-10714,28214,-82955,44935,27053,35094,-8041,137269,-30109,53445,88931,25002,0,433938,9557,40058,378408,5915,0,3910,333801,221,322751,168922,146990,13372,8560,153829,718,10111,334401,295144,94534,-1219,87719,-114111,196030,184262,275,937,10557,1637440,0,1045937,167176,155358,0,268969,1833469,2496763,35155019,11932497,9270700,2529254,90118,42425,23222522,2933916,597447,23356,2313112,0,2148957,835244,211757,493892,608064,297775,188574,109201,9359851,3976190,1239948,556982,3586731,0,8396133,206825,565522,7513624,110162,0,85890,35155019,5077496,96359,4853872,1435814,1168160,48120,219534,3418058,17515,109750,30077523
1996,923246,170612,752634,339663,292390,47273,79998,332974,6146721,332974,4416942,3616469,800473,1803019,899991,903029,302175,600854,406214,6146721,837084,906325,555078,22878,56898,5626865,5244596,382269,359159,382269,23110,175779,351035,299200,51835,170612,-4644,183380,183380,700412,86182,-59467,133284,12365,0,51835,-16662,108186,-44027,4337,42519,50610,-8091,92227,-172414,167767,96590,284,0,420669,2753,39986,372710,5220,0,6980,359078,6081,342962,134437,105718,-3315,32034,208525,791,9244,341334,296194,110224,0,28016,-157954,234996,247299,-1137,320,-11485,1163384,39149,663627,141441,125724,0,193443,1398381,2053734,37581585,12452183,9688399,2627993,91444,44347,25129402,3019679,537964,35469,2446247,0,2281474,888016,339881,448485,605093,341546,240436,101110,10316884,4462417,1489156,652572,3712739,0,9076593,209578,609828,8141805,115382,0,93226,37581585,5450328,102440,5210847,1571518,1273878,44805,252835,3639330,18306,118735,32131257
1997,975915,179877,796038,358223,308723,49501,82880,354935,6559682,354935,4708819,3876844,831975,1929089,948144,980945,337927,643018,433161,6559682,931821,935418,587241,19446,68414,5927070,5536790,390280,363306,390280,26974,191473,376181,312475,63706,179877,-4831,171833,171833,571943,122205,-35969,151641,6533,0,-79049,-135837,61798,14532,-19542,27312,34990,-7678,21499,-262049,205824,92277,-14553,0,472501,2000,46256,413976,10269,0,7476,357776,7131,340794,121176,70287,11069,39820,219618,335,9516,214167,151603,127580,0,-18312,-42334,395564,434226,-1869,754,-37546,2447238,58702,1446173,194542,381027,0,366794,2842802,3357710,41297072,13165782,10305447,2718027,94611,47697,28131290,3130430,501994,37179,2591256,0,2262224,806072,399223,464727,592202,368858,275426,93432,12360124,5651290,1884773,744849,4079212,0,9908952,211578,664058,8907665,125651,0,100702,41297072,5808104,109571,5551641,1692694,1344165,55874,292655,3858948,18641,128251,35488967
1998,1040610,192068,848542,384958,330048,54910,84408,379177,7068237,379177,5071139,4181616,889523,2072598,1016537,1056061,355442,700619,454677,7068237,1032421,957915,624651,25995,71296,6323779,5877248,446531,414138,446531,32393,232246,430207,355020,75187,192068,-5893,181892,181892,741239,100266,18021,81699,546,0,47616,-60679,83857,-2294,26731,71444,76585,-5141,-35656,-370130,158608,209500,-33634,0,547701,-1046,44008,497942,6797,0,9868,461478,11758,443458,130227,97107,11570,21550,313232,-1414,7676,279760,350190,167607,0,84715,-97868,733629,786769,-2168,863,-51835,2327390,40149,1464002,237887,288138,0,297214,3061019,3825348,45583898,14307564,11318641,2833799,103614,51510,31276334,3227223,520016,37725,2669482,0,2332989,774034,470679,465480,622796,440302,352011,88291,14314495,6745162,2281268,954349,4333716,0,10850755,210532,716983,9790792,132448,0,110570,45583898,6269583,121329,5995100,1822920,1441272,67444,314204,4172180,17227,135927,39314315
1999,1111235,208190,903045,407552,347307,60245,87318,408175,7453151,408175,5402682,4457926,944757,2121592,1018880,1102712,346572,756140,479298,7453151,1111914,992202,661285,33973,78337,6627789,6283758,344031,307764,344031,36268,253682,468455,388206,80250,208190,-6583,54082,54082,169587,53721,-20985,71772,2934,0,-28461,-11586,71912,16270,-105057,72841,66200,6641,-371006,-580708,108138,166135,-64571,0,439577,67,48528,383898,7084,0,2916,581729,10413,563408,180777,112351,-6972,75398,382631,2136,5772,-412141,-153998,213403,-1269,100091,466223,778880,835079,-1503,1385,-56081,3001586,-213143,2082172,355221,325221,0,452115,3780466,3934232,50097608,15549040,12387820,2991121,114288,55811,34548568,3287272,498609,40659,2748004,0,2034134,699712,503365,420539,410518,513143,418211,94932,16702153,8243610,2744523,1120484,4593536,0,11898380,266856,802712,10681406,147406,0,113486,50097608,6849061,131742,6556185,2003696,1553622,60472,389602,4552489,19435,141699,43248547
2000,1190735,226959,963776,434884,371413,63471,90284,438609,8057532,438609,5847146,4824946,1022200,2304060,1107624,1196436,383507,812929,532282,8057532,1236330,1044876,705840,42434,84051,7118622,6767180,351442,315802,351442,35640,263197,496971,408164,88807,226959,-6815,52605,52605,612775,182114,-99977,274478,7612,0,-50852,-197603,30922,17832,97997,119773,118954,819,-158590,-400968,82071,175444,-15137,0,510230,13226,43700,444175,9129,0,10100,596274,5759,584262,189478,176545,116,12817,394784,125,6128,16501,189024,246684,0,-21556,36104,1502463,1537901,-703,1314,-36048,-700048,89814,-774466,-268666,409109,0,-155839,802416,1307242,52010997,17558777,14169751,3201757,127343,59926,34452220,3444645,396732,48271,2999641,0,2035153,538198,578745,475606,442605,632916,537165,95751,15909540,7068176,2557928,1295928,4987508,0,12306379,280082,838831,11030931,156535,0,123586,52010997,7455208,137501,7150320,2204274,1741267,60588,402419,4946046,19560,147827,44555789
2001,1271687,246792,1024895,453482,386803,66680,95281,476132,8326768,476132,6038349,4953635,1084714,2377485,1113512,1263973,369349,894625,565198,8326768,1239047,1145830,733197,46769,90502,7456620,7073801,382819,352478,382819,30341,273943,528552,435737,92815,246792,-7817,78535,78535,927724,360378,78529,281445,405,0,-214307,-114416,-114728,49501,-34664,54103,48431,5672,122131,-241018,96592,271500,-4943,0,604534,40836,78040,475937,9721,0,884,627105,13827,614725,96378,150559,-22332,-31850,518347,-443,-1004,300619,638637,230676,-1989,187866,-222084,1489705,1559539,-858,-804,-68173,-842781,17603,-428650,-234825,210808,0,-407717,646924,1638039,54276141,19547538,15981685,3364260,140200,61393,34728603,3805024,475262,48676,3281086,0,1903286,367919,390737,520005,624625,687019,585596,101423,15576761,6398936,2417682,1567428,5192715,0,12632044,320918,903747,11241123,166256,0,124470,54276141,8082313,151328,7765045,2300652,1891827,38256,370569,5464393,19117,146823,46193828
2002,1344653,263007,1081646,489307,412261,77046,103290,489049,8429229,489049,6135115,4995844,1139272,2342987,1016031,1326956,398807,928149,537922,8429229,1052178,1251023,751496,34194,99340,7811432,7348941,462492,433430,462492,29062,303463,574797,473891,100906,263007,-8327,129967,129967,702050,275722,-23996,298457,1261,0,76500,-115251,-133502,95490,229763,-35622,-42339,6717,-217620,-177054,65429,-37123,-68872,0,598329,33622,63129,493208,8370,0,4740,795778,12569,764899,49015,105180,-20482,-35683,715884,886,17424,-93728,-83689,238878,0,-98872,223695,1202087,1280905,-1434,-451,-76933,-1669799,103086,-1294944,-440508,331827,0,-369260,-467712,-117971,54953949,21288996,17543720,3526205,154829,64242,33664953,4077265,451266,49937,3576062,0,2159032,265526,274315,646225,972966,651397,543257,108140,13772503,4970585,2062603,1530305,5209011,0,12875546,354540,948395,11382616,174626,15369,129210,54953949,8878092,163897,8529945,2349668,1997008,17774,334886,6180277,20003,164247,46075857
2003,1408772,286561,1122211,518060,432730,85330,109504,494648,8738420,494648,6353606,5138269,1215337,2412173,1021473,1390700,432145,958555,522006,8738420,1003538,1320995,779283,26260,105450,8197404,7740750,456655,443152,456655,13503,353043,648068,541882,106186,286561,-8463,90109,90109,1200622,260436,-31830,289362,2904,0,-124533,29823,29752,27145,-211253,91335,87512,3823,291413,240383,179937,-166184,37277,0,677564,31908,70551,544439,11055,19611,4408,1078299,13806,1056950,176910,105925,31121,39864,880040,943,6600,122324,514198,240167,0,241816,-32215,1278261,1369156,-3400,1212,-88707,2775106,38,1295923,490451,421505,0,567189,4053367,5010717,61061825,23157570,19243523,3677665,167569,68813,37904255,4421333,444530,52841,3923962,0,2253391,381206,307380,678771,886034,742732,630769,111963,16271795,6506891,2732990,1364121,5667793,0,14081387,386448,1045956,12428322,185681,34980,133618,61061825,9975252,177703,9605083,2535078,2102932,57395,374751,7070005,21619,170847,51086574
2004,1489198,318285,1170912,545719,452185,93535,115732,509462,9250766,509462,6719488,5421014,1298474,2556643,966684,1589959,561695,1028264,534826,9250766,1048745,1404471,829240,16771,116624,8677400,8231960,445439,443978,445439,1461,427427,754439,643777,110662,318285,-8727,16552,16552,1136790,382991,-754,374822,8923,0,153912,-36761,132677,150792,-92795,134447,125447,9000,-275600,-340105,137638,-124021,50888,0,731447,26794,39371,637563,10327,17392,9592,1151859,13878,1118635,184437,117186,-23847,91098,934198,1506,17840,-15069,1250232,255585,-12040,1038307,31621,2629606,2664233,-213,665,-35079,2590327,-18747,1054165,310957,987245,0,256707,5219934,6914144,69153088,26451355,22296577,3898171,183825,72782,42701733,4817394,443775,61764,4311855,0,3178159,383069,371201,1605423,818466,877179,756216,120963,18341970,7220951,3181585,1240100,6699334,0,15343821,413242,1102447,13579752,196008,52372,143210,69153088,11152371,201993,10738566,2719515,2220119,33548,465848,8019051,23125,188687,58000717
2005,1572801,356173,1216628,563571,466322,97249,122411,530646,9735479,530646,7066107,5691379,1374728,2748329,1118713,1629616,577770,1051846,609602,9735479,1212456,1490917,873347,25826,129349,9037071,8769066,268005,289780,268005,-21775,487401,852660,738814,113846,356173,-9086,-197621,-197621,1174446,359239,-88520,445676,2083,0,30526,-180981,37804,111789,61914,-5164,-11231,6067,65265,-79054,195387,21724,-72792,0,714700,51592,24265,604605,11222,23016,9880,1190928,14664,1161229,72140,100436,2191,-30487,1089089,939,14096,-16482,413622,253454,-50369,29398,-181139,2622373,2667904,-1867,1735,-45399,2244109,-48107,923295,27949,1033865,0,307107,4866482,5569884,75912822,29760139,25379109,4106226,197727,77077,46152683,5176917,355255,63847,4757815,0,3186077,238635,369270,1708557,869615,872015,744985,127030,20367885,8065191,3404921,1261824,7635949,0,16396699,464834,1136367,14516017,204093,75388,153090,75912822,12342220,216657,11899795,2791655,2320555,35739,435361,9108140,22985,202783,63570602
2006,1658926,389227,1269699,590999,490849,100151,132914,545786,10437175,545786,7479677,6056739,1422938,3105322,1260307,1845015,722798,1122217,693609,10437175,1356963,1593029,922538,20815,135629,9635889,9277236,358653,341935,358653,16719,448884,848268,723242,125027,389227,-10157,-106950,-106950,1101269,431895,-32439,458235,6099,0,-145144,-88593,-93622,59346,-22275,83917,103268,-19351,79269,-286177,201089,204106,-39749,0,643192,-9693,60594,560426,13784,18081,8140,1306715,16271,1273396,255484,120107,51181,84196,1017912,568,16480,-205446,584389,241195,0,441691,98497,622511,670882,-316,858,-48913,3138975,-37300,1612616,419732,678995,0,464932,3761485,4687809,81922913,31070395,26476243,4298508,215056,80588,50852518,5635813,317815,69946,5248052,0,3005494,140767,176986,1768002,919739,1024784,917105,107679,23602527,9856675,4005742,1465930,8274180,0,17422670,455141,1118908,15537275,217877,93469,161230,81922913,13664502,232928,13188758,3063193,2456716,86920,519557,10125565,23553,219263,68258411
2007,1749486,405841,1343645,616538,515712,100826,137456,589651,10972513,589651,7878475,6396392,1482083,3264752,1380555,1884197,815270,1068927,760365,10972513,1492489,1697335,961410,30758,147451,10099257,9746594,352664,345432,352664,7232,302973,720021,583532,136489,405841,-11207,42459,42459,1625440,411217,-96814,490255,17776,0,514602,-110379,472325,27816,124840,227047,242008,-14961,-181385,-912571,292012,501879,-62705,0,643987,3734,47113,555620,13736,23784,9972,976970,22818,935269,206798,150214,13281,43303,728471,1043,17840,648470,1116314,233331,0,276971,-606011,-963350,-906004,-1752,2303,-57897,1315584,-142833,795353,233235,191294,0,238535,352234,1813980,84685651,30640696,25849141,4473942,231664,85949,54044955,6041957,210001,87722,5744234,0,3516779,21462,626618,1649737,1218962,1251831,1159113,92718,24642587,9739457,4530989,1967809,8404333,0,18420599,458875,1177859,16414908,231613,137344,171202,84685651,14613261,255746,14095816,3272538,2609477,100201,562860,10823278,24596,237103,70072390
2008,1886889,406966,1479923,657914,549624,108290,145470,676539,11242085,676539,8056826,6534096,1522730,3261009,1400866,1860143,804608,1055535,752289,11242085,1507501,1919349,988358,35765,147904,10553436,10050084,503352,495854,503352,7498,158243,576000,425134,150867,406966,-10792,337611,337611,1229778,455636,310554,162912,-17830,0,991644,382067,200033,44246,365298,-146706,-162340,15634,-812202,-695130,-72205,317143,-362010,0,733886,19537,74901,603124,9822,26502,7520,22244,9501,-14603,-102397,34313,18684,-155394,87794,3186,24160,1207534,1042825,125281,-8316,55937,-869923,-2747689,-2715705,1049,933,-33966,-7645158,-227067,-3321267,-1543832,-916180,0,-1636811,-10392847,-8854167,75726933,28165707,23251457,4565257,255120,93873,47561226,6462544,485555,69892,5907097,0,4211136,411200,892611,1532135,1375190,1105084,996773,108311,18051414,5723060,2914951,2284952,7128451,0,17552326,477412,1170538,15499095,241435,163846,178722,75726933,14508710,265247,13954418,3170140,2643789,118885,407466,10784278,27782,261263,61218223
2009,1934941,397494,1537447,686412,565987,120425,154555,696481,10650789,696481,7759019,6249110,1509910,2883959,1301972,1581986,552982,1029004,688670,10650789,1152378,2107729,964272,39016,149997,10530887,9891218,639669,667768,639669,-28099,59684,467555,318780,148774,397494,-10376,608083,608083,760716,127418,49642,84944,-7168,0,-147907,417893,-666535,172785,-72050,-32572,-50900,18328,207296,217789,362409,-322671,-51427,1196,607241,5789,29431,547539,7915,16567,-760,97741,7031,53834,-29064,-94572,29731,35777,82898,-4928,41804,662975,102238,35593,0,11753,-54892,-2120434,-2076115,-3153,-335,-40830,1831914,330162,1202486,742438,-1211038,-302,768168,-288520,481486,76083313,26137874,21207284,4560020,268573,101997,49945439,6575430,535196,62724,5977510,0,4195688,771863,124255,1868894,1430676,1074834,948195,126639,19053881,7193335,4019799,1962281,5877573,894,18867643,483201,1237589,16717090,249350,180413,177962,76083313,14383603,272278,13785404,3146876,2555017,148616,443243,10638528,22854,303067,61699710
2010,1965038,396691,1568347,696479,577312,119167,155135,716733,11014542,716733,7925370,6372511,1552859,3002959,1244152,1758807,543880,1214927,630520,11014542,1237620,2281411,983747,43741,148757,10969570,10260256,709314,729726,709314,-20413,50005,456657,313862,142796,396691,-9962,679722,679722,993076,140935,3480,132908,4547,0,191948,265645,42213,78526,-194436,14790,9392,5398,-29910,-152244,260007,-322908,181280,3955,669045,-45722,15007,665623,11653,22484,6268,-112014,-2292,-83171,72085,-28154,26207,74032,-155256,2645,-29196,1105090,1270816,63681,0,781766,-425368,-562715,-474392,-1478,1416,-88260,2821194,27679,1504417,419379,395257,-1010,475472,2258479,4259021,80124279,25682727,20751371,4535441,284783,111132,54441552,6546848,527394,67271,5952183,0,4637815,1011692,140459,1902752,1582912,1089626,957589,132037,21508117,8545679,4699184,1790015,6469400,3839,20474916,437479,1272784,18300753,261003,202897,184230,80124279,14165548,269986,13596192,3405602,2646811,213516,545275,10190590,25499,273871,65958731
2011,2012009,402201,1609808,723831,596955,126876,157183,728794,11662386,728794,8226175,6626182,1599993,3289087,1256977,2032110,681522,1350588,581669,11662386,1453691,2310139,916651,48546,145869,11504860,10698857,806003,803634,806003,2369,56373,468120,314164,153956,402201,-9546,747262,747262,1475237,694273,296901,407283,-9911,0,204350,-112369,127128,12539,177052,-10556,-16652,6096,-78393,-346567,174878,-79078,171873,501,651199,27233,85691,507499,12245,18531,14364,37071,-7268,24817,77744,109414,-4092,-27578,-52927,-466,19988,1438166,801796,89838,0,21054,-690904,-596657,-618195,-163,2282,19419,-8942,223887,-141006,-148251,148961,877,-93410,-605599,999832,81013048,25230261,20155565,4644698,307342,122656,55782787,7233860,817139,57360,6359361,0,4961718,914032,287391,2065705,1694590,1079070,940937,138133,21302503,8105486,4682635,1711674,6797492,5217,21007043,464712,1350369,18697286,273248,221428,198594,81013048,14054486,262718,13472876,3483346,2756225,209424,517697,9989530,25033,293859,66958562
2012,2058385,412010,1646375,758770,624502,134269,158201,729404,12381721,729404,8567363,6928125,1639238,3636142,1319969,2316174,835106,1481067,551187,12381721,1509514,2322585,950526,40431,164264,12120433,11047363,1073070,1077881,1073070,-4811,103626,524767,358042,166726,412010,-9131,974255,974255,1291423,466087,121242,352725,-7880,0,34402,158358,-76551,-100049,52644,18137,31071,-12934,248319,-133885,329311,37600,18702,-3409,515471,-7658,-14392,519539,4635,13346,9008,80673,-14193,87078,185331,158680,-6664,33315,-98253,632,7156,1210750,335669,126987,-20869,-6945,-236496,412975,460123,-3762,813,-44199,3125753,122978,1418894,533707,506721,-49,543502,3538729,4952278,85905509,25850576,20662158,4727486,326900,134032,60054933,7661430,924758,49480,6687192,0,4983900,1058480,219486,2039302,1666632,1140833,1015634,125199,24008561,9390495,5545653,1749274,7321380,1759,22052606,457054,1352602,19730293,277883,234774,207602,85905509,13994668,248525,13419463,3669641,2912905,205724,551012,9749822,25665,301015,71910841
2013,2114223,437784,1676439,779997,641717,138280,162061,734382,12657784,734382,8835039,7113995,1721045,3607543,1267043,2340500,793324,1547176,519180,12657784,1676371,2385911,1104286,38438,171953,12129522,11363528,765995,745959,765995,20036,144916,591954,423923,168031,437784,-9255,601043,601043,904121,335495,191533,141363,2599,0,-718604,-197310,-122149,-50049,-349096,75206,78744,-3538,605598,300455,230990,-69004,144916,-1759,600786,32309,20912,524731,10677,12157,5640,317912,-13565,334060,336961,177563,10240,149158,-2901,3025,-5608,586209,1250066,147035,0,1117864,14834,1859906,1955601,-3700,2953,-94948,4757934,-314399,2468631,817535,829952,0,956215,6617840,8613864,94749079,28000840,22729730,4779573,346127,145410,66748239,7996955,1116291,52079,6828585,0,3879251,780344,117393,1853864,1127650,1216039,1094378,121661,28735101,12159581,6594178,1680270,8301072,0,24707651,489363,1407790,22275007,288560,246931,213242,94749079,14224374,234960,13665317,4006602,3090468,215964,700170,9658715,28690,295407,80524705
2014,2182905,467304,1715600,812152,669375,142777,168931,734517,13353993,734517,9250208,7476332,1773876,3894449,1338344,2556105,953203,1602902,525182,13353993,1784578,2498625,1153553,42926,178771,12778641,11847725,930916,921611,930916,9305,156740,633570,463894,169677,467304,-9527,764871,764871,1332220,436562,-30239,473160,-6359,0,-117833,-237661,129441,-43082,33469,59774,67947,-8173,520543,237413,218883,-3490,67737,0,405682,-4310,49765,337982,11867,10378,27492,191400,-6564,170082,168241,219071,19806,-70636,1841,1226,26656,1140820,820525,180387,0,264188,-375949,1313913,1416403,-2692,836,-100634,2944333,198497,1516939,247219,594810,0,386868,4258246,6000381,100895908,29649447,24273606,4859326,364073,152442,71246461,8496335,1086051,45720,7364564,0,3998340,605858,235109,1961540,1195833,1275813,1162325,113488,31617478,13913934,7060279,1676780,8966485,0,25617761,485053,1472138,23102834,300427,257309,240734,100895908,14370822,228396,13790447,4174844,3309540,235770,629534,9615603,29916,322063,86525086
2015,2260202,485391,1774811,852725,704919,147806,174447,747640,13947774,747640,9699419,7859482,1839937,4044523,1443303,2601220,1033056,1568164,543807,13947774,1939948,2635146,1204749,50261,190140,13298344,12263477,1034868,1013415,1034868,21453,210768,706600,523778,182822,485391,-10442,802647,802647,1531566,667664,112610,568890,-13836,0,190049,319203,189962,-37284,-281832,-69503,-54709,-14794,249537,-26776,97279,46857,132177,0,493583,26309,47223,407095,5571,7385,236,336860,-8179,324091,194161,233485,31543,-70867,129930,1720,19228,1194706,619957,209884,0,18013,-392060,1512661,1579458,-2681,-1940,-62176,-49707,-69428,-147960,-201714,526942,0,-157547,1462954,3096325,104185667,31580357,26032033,5007034,383812,157478,72605310,9179365,1200274,31884,7947207,0,3905715,911201,428459,1927251,638804,1206309,1107615,98694,32049134,13739198,6955844,1723637,9630456,0,26023817,511362,1510917,23430846,305998,264694,240970,104185667,14564256,220217,13971112,4239503,3400223,280613,558667,9731609,31636,341291,89621411
2016,2344088,509005,1835083,888479,730633,157846,181311,765293,14288527,765293,9966107,8091239,1874869,4111227,1466653,2644574,1077446,1567129,554100,14288527,1958225,2717282,1238836,59740,187387,13681102,12693266,987837,973154,987837,14683,247849,768126,577620,190506,509005,-11272,725304,725304,769037,661517,-58225,725356,-5614,0,-94940,101546,-54755,17483,-159214,-6618,-1406,-5212,-214157,76442,53874,-143441,-201032,0,420011,31059,41786,321512,12788,12866,3224,448365,-3147,443660,233511,236212,10644,-13345,210149,-332,8184,320672,12968,230796,0,186804,404632,1614288,1689990,-2556,2177,-75323,2485091,-38244,1219036,293896,545910,0,464493,4099378,5085500,109689531,33669519,27938243,5162507,401925,166844,76020012,9830181,1131126,26270,8672785,0,3684196,990321,374430,1909171,410274,1199691,1106209,93482,34037276,15176281,7303613,1580196,9977186,0,27024474,542421,1568114,24317593,318786,277560,244194,109689531,14982620,217070,14384771,4473015,3636436,291257,545322,9911756,31304,349475,94706911
2017,2436043,538437,1897606,919419,760864,158555,188386,789801,15002543,789801,10426138,8474687,1951451,4358976,1554806,2804170,1154501,1649669,572372,15002543,2048995,2807616,1298782,48744,195599,14315527,13239111,1076416,1091405,1076416,-14989,274687,825280,631387,193892,538437,-12155,816717,816717,1385032,364909,177039,175166,12704,0,-96468,-48107,18526,-34894,-31993,-63133,-59822,-3311,609664,130138,307969,72873,98684,0,554036,31616,19000,480807,13058,9555,16024,579115,1342,569556,267354,194316,7889,65149,302202,1777,6440,805917,288455,234720,-55246,119781,10800,1802548,1899408,-2337,3085,-97607,5525857,57353,2636421,1039465,744225,0,1048393,7328405,8708264,118951164,35923390,30029107,5299620,417994,176669,83027774,10159244,1308166,38974,8812104,0,3677138,1021130,397194,1923066,335748,1136559,1046388,90171,39043472,17942840,8651047,1653069,10796516,0,28751143,574037,1626562,25931585,331844,287115,260218,118951164,15535988,218412,14928580,4740369,3830752,299146,610471,10188211,33081,355915,103415176
