1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,447,447,0,2813,2813,261,261,0,0,0,0,0,0,0,1086,1086,2631,0,2631,0,7912,0,3832,1568,2512,0,0,0,0,0,0,0,0,0,0,0,0,24925,44532,22593,24925,44532,22593
1952:Q1,441,441,0,2777,2777,345,345,0,0,0,0,0,0,0,1105,1105,2699,0,2699,0,8156,0,3980,1600,2576,0,0,0,0,0,139,139,0,0,0,0,0,23810,46220,23150,23810,46220,23150
1952:Q2,435,435,0,2728,2728,407,407,0,0,0,0,0,0,0,1123,1123,2767,0,2767,0,8417,0,4138,1630,2649,0,0,0,0,0,145,145,0,0,0,0,0,24499,47761,23780,24499,47761,23780
1952:Q3,422,422,0,2680,2680,380,380,0,0,0,0,0,0,0,1142,1142,2838,0,2838,0,8677,0,4293,1659,2725,0,0,0,0,0,151,151,0,0,0,0,0,25422,49218,24265,25422,49218,24265
1952:Q4,433,433,0,2656,2656,420,420,0,0,0,0,0,0,0,1162,1162,3560,0,3560,0,8916,0,4432,1689,2795,0,0,0,0,0,160,160,0,0,0,0,0,26217,51036,24898,26217,51036,24898
1953:Q1,444,444,0,2618,2618,469,469,0,0,0,0,0,0,0,1184,1184,3652,0,3652,0,9140,0,4559,1721,2860,0,0,0,0,0,167,167,0,0,0,0,0,27129,52825,25362,27129,52825,25362
1953:Q2,422,422,0,2567,2567,505,505,0,0,0,0,0,0,0,1207,1207,3752,0,3752,0,9355,0,4677,1753,2925,0,0,0,0,0,175,175,0,0,0,0,0,27979,54445,25745,27979,54445,25745
1953:Q3,418,418,0,2509,2509,481,481,0,0,0,0,0,0,0,1231,1231,3853,0,3853,0,9557,0,4784,1785,2988,0,0,0,0,0,182,182,0,0,0,0,0,28801,56263,26157,28801,56263,26157
1953:Q4,420,420,0,2465,2465,558,558,0,0,0,0,0,0,0,1254,1254,3951,0,3951,0,9741,0,4877,1812,3052,0,0,0,0,0,191,191,0,0,0,0,0,29507,58124,26717,29507,58124,26717
1954:Q1,395,395,0,2415,2415,739,739,0,0,0,0,0,0,0,1275,1275,4044,0,4044,0,9901,0,4949,1835,3117,0,0,0,0,0,199,199,0,0,0,0,0,30110,59942,27255,30110,59942,27255
1954:Q2,454,454,0,2355,2355,819,819,0,0,0,0,0,0,0,1294,1294,4134,0,4134,0,10032,0,4998,1851,3183,0,0,0,0,0,205,205,0,0,0,0,0,30763,61587,27796,30763,61587,27796
1954:Q3,521,521,0,2304,2304,773,773,0,0,0,0,0,0,0,1315,1315,4225,0,4225,0,10160,0,5044,1868,3248,0,0,0,0,0,213,213,0,0,0,0,0,31307,63442,28462,31307,63442,28462
1954:Q4,531,531,0,2239,2239,802,802,0,0,0,0,0,0,0,1341,1341,4325,0,4325,0,10310,0,5104,1895,3311,0,0,0,0,0,224,224,0,0,0,0,0,31629,65317,29131,31629,65317,29131
1955:Q1,633,633,0,2200,2200,859,859,0,0,0,0,0,0,0,1371,1371,4432,0,4432,0,10479,0,5178,1929,3372,0,0,0,0,0,237,237,0,0,0,0,0,31889,67205,29882,31889,67205,29882
1955:Q2,732,732,0,2107,2107,855,855,0,0,0,0,0,0,0,1405,1405,4548,0,4548,0,10661,0,5263,1964,3434,0,0,0,0,0,259,259,0,0,0,0,0,31690,68879,30641,31690,68879,30641
1955:Q3,807,807,0,1997,1997,669,669,0,0,0,0,0,0,0,1442,1442,4665,0,4665,0,10849,0,5347,2008,3494,0,0,0,0,0,280,280,0,0,0,0,0,31552,70583,31366,31552,70583,31366
