date,Rest of the world; U.S. private deposits, including negotiable certificates of deposit; liability,Households and nonprofit organizations; private foreign deposits; asset,Nonfinancial corporate business; private foreign deposits; asset,Money market funds; private foreign deposits; asset,Instrument discrepancies; private foreign deposits
1945:Q4,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,35,0,35,0,0
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,-17,0,-17,0,0
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,-41,0,-41,0,0
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,47,0,47,0,0
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
1951:Q4,34,0,34,0,0
1952:Q1,-28,0,-28,0,0
1952:Q2,72,0,72,0,0
1952:Q3,-16,0,-16,0,0
1952:Q4,-92,0,-92,0,0
1953:Q1,108,0,108,0,0
1953:Q2,-112,0,-112,0,0
1953:Q3,44,0,44,0,0
1953:Q4,116,0,116,0,0
1954:Q1,4,0,4,0,0
1954:Q2,52,0,52,0,0
1954:Q3,88,0,88,0,0
1954:Q4,32,0,32,0,0
1955:Q1,-44,0,-44,0,0
1955:Q2,-80,0,-80,0,0
1955:Q3,-16,0,-16,0,0
1955:Q4,24,0,24,0,0
1956:Q1,-136,0,-136,0,0
1956:Q2,184,0,184,0,0
1956:Q3,-88,0,-88,0,0
1956:Q4,76,0,76,0,0
1957:Q1,240,0,240,0,0
1957:Q2,-88,0,-88,0,0
1957:Q3,-92,0,-92,0,0
1957:Q4,-88,0,-88,0,0
1958:Q1,116,0,116,0,0
1958:Q2,-112,0,-112,0,0
1958:Q3,160,0,160,0,0
1958:Q4,-92,0,-92,0,0
1959:Q1,-24,0,-24,0,0
1959:Q2,-24,0,-24,0,0
1959:Q3,32,0,32,0,0
1959:Q4,-52,0,-52,0,0
1960:Q1,-44,0,-44,0,0
1960:Q2,76,0,76,0,0
1960:Q3,204,0,204,0,0
1960:Q4,-224,0,-224,0,0
1961:Q1,164,0,164,0,0
1961:Q2,96,0,96,0,0
1961:Q3,100,0,100,0,0
1961:Q4,-8,0,-8,0,0
1962:Q1,-8,0,-8,0,0
1962:Q2,128,0,128,0,0
1962:Q3,-76,0,-76,0,0
1962:Q4,-544,0,-544,0,0
1963:Q1,152,0,152,0,0
1963:Q2,484,0,484,0,0
1963:Q3,-260,0,-260,0,0
1963:Q4,-1212,0,-1212,0,0
1964:Q1,544,0,544,0,0
1964:Q2,368,0,368,0,0
1964:Q3,224,0,224,0,0
1964:Q4,-724,0,-724,0,0
1965:Q1,-256,0,-256,0,0
1965:Q2,-844,0,-844,0,0
1965:Q3,280,0,280,0,0
1965:Q4,-428,0,-428,0,0
1966:Q1,412,0,412,0,0
1966:Q2,132,0,132,0,0
1966:Q3,60,0,60,0,0
1966:Q4,-188,0,-188,0,0
1967:Q1,264,0,264,0,0
1967:Q2,-432,0,-432,0,0
1967:Q3,-64,0,-64,0,0
1967:Q4,568,0,568,0,0
1968:Q1,1208,0,1208,0,0
1968:Q2,1568,0,1568,0,0
1968:Q3,332,0,332,0,0
1968:Q4,-980,0,-980,0,0
1969:Q1,1076,0,1076,0,0
1969:Q2,-188,0,-188,0,0
1969:Q3,-764,0,-764,0,0
1969:Q4,-1780,0,-1780,0,0
1970:Q1,-4,0,-4,0,0
1970:Q2,192,0,192,0,0
1970:Q3,-316,0,-316,0,0
1970:Q4,-1372,0,-1372,0,0
1971:Q1,1136,0,1136,0,0
1971:Q2,80,0,80,0,0
1971:Q3,548,0,548,0,0
1971:Q4,-20,0,-20,0,0
1972:Q1,748,0,748,0,0
1972:Q2,820,0,820,0,0
1972:Q3,776,0,776,0,0
1972:Q4,1408,0,1408,0,0
1973:Q1,2200,0,2200,0,0
1973:Q2,1132,0,1132,0,0
1973:Q3,-1104,0,-1104,0,0
1973:Q4,2400,0,2400,0,0
1974:Q1,1600,0,1600,0,0
1974:Q2,-800,0,-800,0,0
1974:Q3,-1600,0,-1600,0,0
1974:Q4,0,0,0,0,0
1975:Q1,304,0,76,0,228
1975:Q2,-800,0,-1724,0,924
1975:Q3,1800,0,84,0,1716
1975:Q4,2000,0,3448,0,-1448
1976:Q1,2624,0,2240,0,384
1976:Q2,2052,0,464,0,1588
1976:Q3,-712,0,-2356,0,1644
1976:Q4,2712,0,2920,0,-208
1977:Q1,3384,0,1832,0,1552
1977:Q2,5776,0,3388,0,2388
1977:Q3,-2964,0,680,0,-3644
1977:Q4,-936,0,3088,0,-4024
1978:Q1,5140,0,5644,0,-504
1978:Q2,604,0,1412,0,-808
1978:Q3,-2316,0,-3972,0,1656
1978:Q4,6368,0,7440,0,-1072
1979:Q1,20920,0,16828,4648,-556
1979:Q2,-1488,0,-5004,4544,-1028
1979:Q3,21172,0,-5984,6232,20924
1979:Q4,-1476,0,1212,5012,-7700
1980:Q1,12632,0,-3624,4828,11428
1980:Q2,6932,0,-2440,2960,6412
1980:Q3,-9428,0,424,6404,-16256
