1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q2,138552,102,43586,900,0,0,17555,432,16635,0,488,8456,28,8428,0,0,49793,13529,4632,167375,42647,304,0,42343,64726,26432,8004,30290,38007,16610,575,4811,157607,332500,2211
1952:Q3,144186,98,43932,900,0,0,18007,411,17018,0,578,8625,29,8596,0,0,53946,13827,4851,173303,43816,346,0,43470,65875,26920,8156,30799,40725,17238,584,5065,156907,332818,2249
1952:Q4,146354,75,44054,900,0,0,18655,195,17647,0,813,9751,30,9721,0,0,53704,14261,4954,178313,44828,331,0,44497,67709,27923,8508,31278,42703,17381,596,5096,146628,330657,2294
1953:Q1,145539,102,40918,900,0,0,19241,212,18164,0,865,8860,31,8829,0,0,55719,14635,5165,177532,45627,370,0,45257,68479,27901,8848,31730,41877,16007,614,4928,143052,329100,2362
1953:Q2,146116,74,42965,900,0,0,17581,194,16454,0,933,9337,32,9305,0,0,54869,15058,5332,179153,46567,297,0,46270,69241,27704,9232,32305,42294,15201,620,5229,133816,327734,2382
1953:Q3,150237,85,43080,900,0,0,19467,214,18232,0,1021,9249,32,9217,0,0,56411,15424,5622,184207,47147,347,0,46800,70179,28130,9286,32763,43411,17399,637,5434,129274,328684,2447
1953:Q4,149982,114,43767,900,0,0,20449,204,19240,0,1005,10139,32,10107,0,0,53254,15735,5625,184467,48414,402,0,48012,69195,26851,9054,33290,42793,17986,651,5428,144082,330217,2506
1954:Q1,146387,115,40982,950,0,0,19162,312,17887,0,963,8942,32,8910,0,0,54376,16031,5828,180728,49314,525,0,48789,69655,26615,9294,33746,41506,14340,665,5248,156255,330437,2562
1954:Q2,145798,128,42754,1000,0,0,16134,338,14874,0,922,9424,32,9392,0,0,54050,16440,5868,179645,50208,484,0,49724,69851,26209,9212,34430,41904,11324,686,5672,172550,330343,2634
1954:Q3,151636,150,44298,1050,0,0,17663,300,16366,0,997,9302,32,9270,0,0,56508,16649,6016,186040,51583,584,0,50999,70468,26302,9142,35024,44076,13163,702,6049,191985,331712,2707
1954:Q4,156111,158,45970,1100,0,0,18786,291,17523,0,972,10486,33,10453,0,0,56580,17036,5995,191938,52078,531,0,51547,71680,26422,9446,35812,46562,14767,701,6151,194840,333828,2698
1955:Q1,157455,147,44535,1075,0,0,19039,281,17543,150,1065,9335,36,9299,0,0,59761,17331,6231,191815,52555,500,0,52055,72767,26770,9419,36578,46762,12936,720,6076,202122,335800,2776
1955:Q2,160264,127,45547,1050,0,0,18399,352,16788,200,1059,10017,40,9977,0,0,60859,17837,6428,196950,53159,380,0,52779,75533,28158,9711,37664,48801,12026,744,6687,225533,336409,2862
1955:Q3,167777,123,46161,1025,0,0,20323,245,18619,250,1209,10090,44,10046,0,0,65275,18200,6581,207649,53624,371,0,53253,77743,29479,9662,38602,53311,15248,762,6960,240995,339574,2931
1955:Q4,173869,129,47206,1000,0,0,23017,217,21281,300,1219,11290,47,11243,0,0,65916,18720,6591,219292,54926,362,0,54564,81128,31399,10008,39721,57031,18430,768,7008,244222,343802,2957
1956:Q1,170642,95,44101,1000,0,0,20868,171,18878,325,1494,10136,49,10087,0,0,68043,19286,7113,217717,55348,362,0,54986,83709,32877,10368,40464,56195,15133,792,6541,262345,349606,3042
1956:Q2,170812,141,44957,1000,0,0,17675,325,15667,350,1333,10642,50,10592,0,0,69280,19961,7156,220912,56235,289,0,55946,86655,34824,10402,41429,58172,12175,812,6863,252704,354355,3120
1956:Q3,176017,119,45292,1000,0,0,17616,371,15575,375,1295,10708,51,10657,0,0,73252,20799,7231,228166,57414,401,0,57013,88251,35896,10212,42143,60373,14259,828,7041,246833,357938,3189
1956:Q4,180575,138,47085,1000,0,0,18765,305,16718,400,1342,11762,54,11708,0,0,72860,21740,7225,235534,58418,378,0,58040,90472,37026,10605,42841,62072,16754,843,6975,268373,360825,3242
1957:Q1,179459,198,44618,1000,0,0,18440,355,16166,500,1419,10357,58,10299,0,0,74943,22352,7551,234892,59863,353,0,59510,91927,37091,11275,43561,61358,14218,852,6673,254023,364546,3276
1957:Q2,179722,176,45455,1000,0,0,16579,349,14227,600,1403,11021,63,10958,0,0,74313,23597,7581,236463,61295,320,0,60975,94378,38707,11387,44284,61022,11957,863,6947,273076,367266,3323
1957:Q3,183628,153,46244,1000,0,0,17328,345,14773,700,1510,10907,68,10839,0,0,76095,24042,7859,241657,62852,364,0,62488,95057,38469,11554,45034,62219,13511,865,7153,245392,371022,3332
1957:Q4,185407,131,47786,1000,0,0,18303,435,15589,800,1479,11844,72,11772,0,0,73814,24524,8005,247636,64494,422,0,64072,96516,38703,11898,45915,63944,14621,898,7163,245747,373178,3453
1958:Q1,183264,160,45118,1550,0,0,17057,746,14394,700,1217,10214,76,10138,0,0,76167,24843,8155,243543,66653,716,0,65937,96544,37417,12567,46560,61146,11495,916,6789,261319,379184,3522
1958:Q2,185096,132,46923,2100,0,0,14977,455,12340,500,1682,10732,80,10652,0,0,76222,25469,8542,245035,67808,791,0,67017,97697,37785,12351,47561,62625,8991,936,6978,278565,382510,3599
1958:Q3,193239,172,48395,2000,0,0,15928,224,13175,550,1979,10859,84,10775,0,0,81327,25837,8720,252526,69258,795,0,68463,98329,37632,11887,48810,66146,10322,955,7516,310541,385537,3671
1958:Q4,199694,149,50418,1900,0,0,18860,210,16092,600,1958,12010,87,11923,0,0,81217,26443,8697,262048,70373,658,0,69715,101772,38938,12344,50490,69251,12026,957,7670,324670,387265,3678
1959:Q1,200694,143,47434,1800,0,0,20440,502,17280,700,1958,10954,74,10880,0,0,83580,26979,9364,264717,70959,652,0,70307,103536,38811,13174,51551,69800,11682,983,7757,332012,387979,3781
1959:Q2,205693,137,47908,1700,0,0,21635,622,18104,900,2009,11636,62,11574,0,0,85131,27750,9796,273055,71627,458,0,71169,108324,41393,13867,53064,71623,12591,1015,7874,346451,387553,3905
1959:Q3,209544,145,46864,1600,0,0,24006,240,20311,1000,2455,11497,21,11476,0,0,87132,28249,10051,277205,72264,527,0,71737,110249,42293,13634,54322,72281,13275,1039,8098,339875,387255,3999
1959:Q4,212652,132,47933,1500,0,0,25357,742,21621,1200,1794,13564,21,13543,0,0,85620,28752,9794,284469,73109,315,0,72794,113785,43782,14194,55809,74132,14150,1046,8247,362157,388616,4019
1960:Q1,212158,121,45006,1268,0,0,24375,740,19986,1200,2449,11204,22,11182,0,0,89703,29312,11169,287311,73643,427,0,73216,116521,44441,15471,56609,75121,12817,1065,8144,339310,391557,4093
1960:Q2,211446,140,45819,1087,0,0,22526,757,18247,1343,2179,12069,23,12046,0,0,89475,29641,10689,291486,74654,547,0,74107,119951,45706,16311,57934,75664,11903,1075,8239,347588,392612,4139
1960:Q3,213751,191,45882,1346,0,0,20832,648,16446,1190,2548,11704,24,11680,0,0,92565,29976,11254,294428,75671,782,0,74889,120624,45424,15913,59287,76905,11795,1094,8339,321285,395557,4202
1960:Q4,215094,148,46287,3000,0,0,20038,788,15752,1116,2382,12849,24,12825,0,0,90865,30670,11238,300243,76985,769,0,76216,123631,46509,16555,60567,77549,12560,1098,8421,365166,398552,4220
1961:Q1,213996,189,44478,3272,0,0,19503,562,15225,936,2780,10586,26,10560,0,0,92944,31393,11630,299902,77200,623,0,76577,125232,46612,16651,61969,76876,10921,1113,8560,410353,400869,4282
1961:Q2,219925,213,45834,3863,0,0,19264,613,14636,1233,2782,11337,28,11309,0,0,95241,32079,12095,304855,79256,726,0,78530,127142,46557,16850,63735,77979,10584,1135,8759,411555,404523,4366
1961:Q3,224066,238,46036,4606,0,0,17972,245,13288,1248,3191,11417,30,11387,0,0,99027,32846,11924,310241,80254,1017,0,79237,128724,46529,16604,65591,79581,11557,1146,8979,423621,409730,4411
1961:Q4,228380,236,49835,4100,0,0,18828,1089,14096,1248,2395,12780,33,12747,0,0,97157,33387,12057,318997,81705,1094,0,80611,132999,48044,17234,67721,80812,13274,1125,9082,437674,415779,4321
1962:Q1,228696,234,46388,5395,0,0,19393,562,14217,1238,3376,11346,38,11308,0,31,99050,33854,13005,320733,82568,1131,0,81437,134712,47706,17634,69372,80152,12916,1132,9254,427931,420714,4359
1962:Q2,231515,296,47655,5554,0,0,18221,907,13061,1184,3069,12470,44,12426,0,82,99621,34525,13091,327366,84073,1092,0,82981,139101,49621,17974,71506,80605,13001,1151,9435,326582,423947,4428
1962:Q3,236061,788,48433,4903,0,0,17088,1079,11645,1308,3056,12503,50,12453,0,134,103642,35133,13437,334426,84921,1363,0,83558,141501,50377,17576,73548,83279,13996,1163,9567,345363,428809,4473
1962:Q4,240246,790,52727,5000,0,0,17583,1304,12307,1275,2697,13759,54,13705,0,168,101234,35793,13192,341738,85841,1198,0,84643,146927,52799,18074,76054,83634,14355,1205,9776,424314,432848,4632
1963:Q1,241013,828,45910,5344,0,0,21755,1092,16367,930,3366,12372,56,12316,11691,187,103764,36685,2477,344324,86793,1214,0,85579,149141,52374,18981,77786,83543,13596,1218,10033,447981,434808,4681
1963:Q2,245785,1065,47273,5160,0,0,21340,1008,15252,1314,3766,13313,56,13257,12026,193,104997,37577,2841,351499,87682,987,0,86695,153881,53990,19485,80406,84677,13743,1246,10270,469026,434919,4789
1963:Q3,250447,1000,47860,5117,0,0,21017,445,14602,1399,4571,13536,56,13480,12268,195,108117,38183,3154,357792,88336,1111,0,87225,156338,54350,19155,82833,86626,14713,1271,10508,487677,434892,4888
1963:Q4,255548,731,51445,5687,0,0,21492,969,15128,1608,3787,14958,60,14898,12666,203,107041,39081,2245,369497,89382,968,0,88414,162774,57354,20005,85415,89609,15744,1243,10745,465779,438463,4781
1964:Q1,255552,867,46865,6724,0,68,22638,1341,16148,1325,3824,13830,65,13765,13226,214,108741,39821,2559,369811,90039,948,0,89091,165470,56947,21300,87223,86959,15109,1260,10973,495027,439360,4852
1964:Q2,260576,978,48854,6452,0,169,22000,1058,15240,1364,4338,14509,72,14437,13568,225,110307,40774,2741,378103,91251,889,0,90362,171126,59081,22238,89807,88513,14675,1283,11256,511094,444667,4938
1964:Q3,267031,1243,49083,6309,0,135,21074,1729,14402,1152,3791,14697,79,14618,13866,238,115925,41684,2777,386283,92139,1081,0,91058,174510,59824,22186,92500,91487,15338,1295,11514,528953,449036,4981
1964:Q4,270973,1097,50857,6671,0,309,20855,1694,14481,1000,3680,16144,84,16060,13844,253,115728,42632,2583,399403,93533,1125,0,92408,180659,62741,22589,95329,96002,16211,1282,11716,545955,458148,4931
1965:Q1,273628,1033,47544,7704,0,280,21054,995,14092,1078,4889,14988,86,14902,14085,270,119045,44164,3462,406316,94189,847,0,93342,186459,65429,23762,97268,96441,15891,1319,12018,559834,463179,5069
1965:Q2,279200,822,48384,8601,0,198,19512,678,12320,1059,5455,15787,86,15701,13763,289,121892,45578,4375,416985,95668,727,0,94941,193712,69066,24750,99896,98788,15316,1320,12181,539451,468063,5073
1965:Q3,285475,892,47468,9212,0,336,19162,893,11829,1254,5186,15801,86,15715,14731,309,127680,46527,3357,427213,97560,926,0,96634,197283,70461,24420,102402,102164,16329,1352,12526,587928,471930,5206
1965:Q4,299012,781,51276,8993,0,593,19756,1370,12548,1238,4600,17354,88,17266,15148,330,128822,53344,2615,443594,98057,797,0,97260,205730,75187,25589,104954,107342,18294,1368,12803,623812,485038,5256
1966:Q1,301580,884,46170,9886,0,512,20617,2375,12958,1216,4068,15966,93,15873,15646,351,132773,54309,4465,451479,101043,820,0,100223,211557,76787,27139,107631,106283,18132,1394,13071,606267,487739,5368
1966:Q2,306930,917,46966,9708,0,439,19245,2473,11330,1382,4060,16721,100,16621,15829,370,136705,55794,4236,462694,103651,861,0,102790,220852,82205,27890,110757,107913,15594,1415,13270,581050,501720,5447
1966:Q3,311605,932,45828,9774,0,481,18339,1952,10774,1107,4506,16285,108,16177,15179,393,142709,56929,4756,472872,106689,1466,0,105223,223621,83409,27016,113196,111304,16562,1409,13287,523227,507723,5418
1966:Q4,314422,885,50584,8603,0,895,18572,2852,11054,1027,3639,17499,114,17385,16847,425,141759,56731,1622,486038,109096,1622,0,107474,229106,86011,28043,115052,115347,17414,1474,13601,547891,518534,5669
1967:Q1,313403,951,47501,9556,0,568,18078,3495,10445,793,3345,16163,115,16048,18608,469,142910,58053,546,489077,113294,2677,0,110617,232470,86646,29106,116718,111230,16730,1515,13837,625556,522811,5826
1967:Q2,314695,843,49438,8777,0,667,15334,3418,7908,686,3322,16736,113,16623,18388,523,144541,58881,567,495823,117478,3242,0,114236,239073,90555,29103,119415,112449,11296,1560,13967,641312,528319,6000
1967:Q3,322015,827,50599,9099,0,605,15043,3916,7337,684,3106,16433,111,16322,19289,581,149272,60053,214,505735,122009,3264,0,118745,240376,89703,28592,122081,115517,11866,1589,14378,678588,533651,6113
1967:Q4,333465,1055,53161,9682,0,670,16971,3952,8714,1005,3300,17665,112,17553,18911,635,150620,63037,1058,524126,125166,3034,0,122132,245690,93926,29354,122410,121179,13225,1611,17255,712221,543197,6199
1968:Q1,337533,1357,51582,9375,0,1103,19393,3819,10100,1184,4290,16322,106,16216,18496,692,152301,64147,2765,532911,128216,3482,0,124734,251792,93860,30845,127087,118015,17667,1685,15537,652734,556272,6480
1968:Q2,344623,1749,53418,8129,0,1067,18504,4603,8827,1333,3741,16821,104,16717,21318,759,157433,65433,-8,545235,131662,3400,0,128262,259927,98466,31458,130003,122791,13031,1714,16109,731114,564493,6588
1968:Q3,352014,1832,53308,8539,0,1021,17765,5071,8129,1364,3201,16219,103,16116,22906,816,164757,67032,-2181,560129,136491,4928,0,131563,262850,98964,30969,132917,129254,12930,1738,16866,728536,571546,6686
1968:Q4,366309,1587,56030,9056,0,1121,19574,5099,9259,1434,3782,17748,100,17648,24109,845,167778,70780,-2320,581972,139274,4249,0,135025,273382,105226,31869,136287,135564,14330,1750,17672,843150,588293,6734
1969:Q1,374797,1856,55280,7692,0,2202,21326,6207,9749,1770,3600,16455,123,16332,25548,845,173398,72317,-2123,594484,143342,4880,0,138462,279467,107267,33473,138727,135794,15517,1814,18550,803399,599729,6983
1969:Q2,383269,1809,59098,4593,0,1946,20056,6806,8349,1601,3300,16993,260,16733,26502,816,179753,74151,-2448,613200,146657,4914,0,141743,291858,112791,37248,141819,141265,12220,1861,19339,774485,608676,7158
1969:Q3,391877,1618,59656,3525,0,2868,18061,7206,6236,1569,3050,16936,401,16535,27077,777,188378,75781,-2800,631050,150245,5778,0,144467,298221,112803,40730,144688,147998,12507,1912,20167,743955,612644,7355
1969:Q4,402453,1173,61700,3652,0,3311,18250,7628,6146,1676,2800,18275,536,17739,28569,745,191056,79799,-4077,652359,152356,5356,0,147000,308428,117529,42700,148199,155722,12628,2032,21193,705075,623263,7814
1970:Q1,407160,1172,59297,4548,0,3762,18112,8156,5805,1476,2675,17013,594,16419,28802,719,195275,81920,-3460,659115,157113,7044,0,150069,316182,115359,46981,153842,153511,12846,2156,17307,677754,632629,8287
1970:Q2,412741,1220,58026,5911,0,1259,19633,8432,6665,1486,3050,17475,702,16773,24169,688,197535,84423,2402,676853,162692,6895,0,155797,327876,119288,50168,158420,156571,10054,2203,17456,541573,650391,8469
1970:Q3,416911,1141,59171,6325,0,63,19138,8433,7616,1164,1925,18067,808,17259,28916,662,199986,86057,-2615,689825,168518,7361,0,161157,332289,121158,46928,164203,158447,10159,2278,18134,633467,645880,8765
1970:Q4,425727,798,62746,6747,0,234,19756,9389,6983,1209,2175,19405,914,18491,32658,645,198012,90606,-5880,706135,173889,7133,0,166756,338052,123984,44670,169398,162917,9996,2345,18936,702189,654582,9017
1971:Q1,435083,1082,58670,9344,0,1318,19913,9954,6485,1049,2425,20318,1194,19124,35609,645,201580,89150,-2547,719172,180555,8333,0,172222,341947,122523,46084,173340,162637,11698,2387,19947,774490,674669,9184
1971:Q2,445163,1102,59418,11024,0,6,21325,9791,7930,929,2675,21195,1474,19721,35451,659,204744,91419,-1180,737380,184497,6856,20,177621,355079,126387,48116,180576,164174,11110,2420,20099,778343,689717,9306
1971:Q3,458891,1239,59510,11865,0,1063,21408,10510,7071,902,2925,21715,1795,19920,35026,677,210501,93658,2228,754693,188691,7434,53,181204,362822,128250,47603,186969,167289,12805,2354,20733,765304,705146,9060
1971:Q4,477106,1234,61405,12509,0,1077,25318,11275,9957,911,3175,23140,2114,21026,36422,690,211924,99578,3809,778564,191896,6247,86,185563,371502,130618,47057,193827,176745,14123,2369,21929,823753,720885,9114
1972:Q1,490590,1421,59135,15140,0,2565,24793,12388,8157,823,3425,21830,2412,19418,37700,701,218854,96557,11894,793810,196002,7538,126,188338,381246,131631,48916,200699,175811,15798,2323,22630,871948,742592,8933
1972:Q2,502393,1626,59209,16124,0,3111,23902,13219,6200,808,3675,22661,2649,20012,37135,711,224373,98126,15416,816050,200569,8126,293,192150,397180,137010,49641,210529,179118,14020,2373,22790,874936,756530,9126
1972:Q3,516779,1820,62197,15141,0,2103,24291,13513,5878,975,3925,23324,2996,20328,37755,721,232379,100132,16916,840417,203414,7761,466,195187,407512,138744,49311,219457,188301,15950,2451,22789,893435,776772,9425
1972:Q4,555467,2172,64031,16490,0,2688,27427,14235,7981,1036,4175,24854,3226,21628,39717,732,238977,120465,17915,879467,205352,6968,634,197750,429013,146396,52123,230494,201035,18010,2532,23525,1032664,802061,9737
1973:Q1,576432,2722,61283,20589,0,6514,25860,13258,7080,1097,4425,23751,3434,20317,41532,743,249610,104576,39252,911845,206028,5871,955,199202,451346,157370,56353,237623,205488,20487,2731,25765,970552,829636,10509
1973:Q2,597183,3005,62417,23290,0,6345,25663,13437,5920,1256,5050,24952,3599,21353,42579,754,261126,107275,39776,954832,209771,6032,1490,202249,476607,167779,58963,249865,220039,18982,2975,26458,903639,862876,11444
1973:Q3,616922,2729,65208,23084,0,9501,23066,13633,3099,1659,4675,24992,3642,21350,48182,765,274447,109121,35826,991830,213220,6335,1979,204906,494717,173129,61211,260377,231944,21164,3078,27707,953484,904256,11842
1973:Q4,646545,3329,69968,22836,0,11262,24614,14876,3665,2035,4038,26202,3609,22593,46857,775,280403,120302,39997,1036434,217721,8382,2430,206909,509857,179013,63101,267743,252446,23290,3101,30019,809377,937150,11924
1974:Q1,662101,3729,66348,25526,0,12472,25278,16212,2167,2330,4569,25007,3751,21256,52182,785,294469,119192,37114,1066625,222690,9235,2841,210614,526473,185457,66382,274634,254569,26744,3481,32669,784167,956549,13389
1974:Q2,678702,3529,66933,26384,0,10046,25002,15131,2706,2607,4558,26375,3877,22498,54194,794,311006,121047,33392,1110821,229232,9967,3265,216000,551162,198577,69209,283376,266915,26144,3595,33772,723296,976642,13823
1974:Q3,697312,3129,69630,26591,0,8630,27813,16933,3207,3080,4593,26793,4035,22758,44800,804,319106,125217,44799,1149186,236357,12569,3596,220192,563422,203711,71701,288010,276869,30652,3928,37958,540407,1018522,15110
1974:Q4,695616,4946,71516,28248,0,5485,27978,16520,3851,2953,4654,27498,4139,23359,53476,816,258807,128224,88622,1087687,243170,12513,4078,226579,577145,209256,76019,291870,192328,30061,4102,40881,557581,1049329,15781
1975:Q1,820415,2170,75945,27638,0,1453,24199,6255,7716,3999,6229,34096,12525,21571,62821,832,276277,132008,182976,1363908,254526,14009,4508,236009,575095,201859,77239,295997,180549,28748,4125,320865,684902,1078049,15867
1975:Q2,839798,1739,78080,29922,0,794,26885,6685,9349,3555,7296,34955,12593,22362,69226,851,283132,135936,178278,1386315,261258,11658,5319,244281,581392,200406,79410,301576,181348,24716,4283,333318,791599,1107728,16473
1975:Q3,844015,1760,77573,32325,0,813,26605,7267,10435,3484,5419,35352,12737,22615,58781,871,299352,137066,173517,1416444,265658,11780,5920,247958,583406,197103,80483,305820,191931,27300,4279,343869,701690,1126184,16457
1975:Q4,856336,2622,82597,32218,0,1189,32019,8371,15538,3264,4846,36829,12949,23880,60832,890,285992,141045,180103,1435758,270077,9616,6678,253783,590189,198603,82685,308901,204807,28894,4551,337241,754817,1147450,17506
1976:Q1,892488,3182,83028,33151,0,3107,37004,9324,20508,3088,4084,35835,13190,22645,68056,912,304617,144667,178929,1471351,278165,10926,6985,260254,593483,192033,86859,314591,197014,32477,4832,365380,868179,1167897,18588
1976:Q2,925442,3298,84024,34764,0,1329,37266,9073,21690,3029,3474,37189,13492,23697,67776,942,319746,146557,192551,1506054,284516,11818,7487,265211,608264,196387,90638,321239,206206,30102,5016,371950,887651,1210730,19293
