date,Rest of the world; U.S. private deposits, including negotiable certificates of deposit; liability,Households and nonprofit organizations; private foreign deposits; asset,Nonfinancial corporate business; private foreign deposits; asset,Money market funds; private foreign deposits; asset,Instrument discrepancies; private foreign deposits
1945:Q4,33,0,33,0,0
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,68,0,68,0,0
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,51,0,51,0,0
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,10,0,10,0,0
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,10,0,10,0,0
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,57,0,57,0,0
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
1981:Q3,39943,0,10495,17072,12376
1981:Q4,41811,0,12386,18846,10579
1982:Q1,47174,0,10066,22466,14642
1982:Q2,48286,0,11310,23204,13772
1982:Q3,41159,0,8268,22819,10072
1982:Q4,49522,2427,10063,23759,13273
1983:Q1,51747,2536,11580,19182,18449
1983:Q2,50818,2490,11545,19644,17139
1983:Q3,53082,2601,13176,19890,17415
1983:Q4,141573,6937,14393,21911,98332
1984:Q1,146438,7190,15541,23774,99933
1984:Q2,147963,7280,16503,22971,101209
1984:Q3,142799,7026,12418,23651,99704
1984:Q4,139968,6902,13284,21197,98585
1985:Q1,141748,7017,12568,20941,101222
1985:Q2,136231,6812,11895,18582,98942
1985:Q3,141303,7207,12514,18983,102599
1985:Q4,148461,7791,16023,19011,105636
1986:Q1,152917,7952,17734,19157,108074
1986:Q2,159332,8126,18854,22030,110322
1986:Q3,168938,8447,18104,22612,119775
1986:Q4,179874,8753,19201,22140,129780
1987:Q1,180965,8687,16826,27061,128391
1987:Q2,181371,8525,15896,23889,133061
1987:Q3,182604,8400,15081,22668,136455
1987:Q4,213270,9759,16262,21579,165670
1988:Q1,211387,9724,18334,22067,161262
1988:Q2,220222,10130,25398,22080,162614
1988:Q3,224302,10318,26273,22463,165248
1988:Q4,228720,10708,21554,29648,166810
1989:Q1,242447,11153,18622,28983,183689
1989:Q2,245142,11032,17113,22296,194701
1989:Q3,250390,11268,13992,29354,195776
1989:Q4,266828,11874,14705,26328,213921
1990:Q1,261211,11755,15669,26996,206791
1990:Q2,273580,12312,15551,27990,217727
1990:Q3,287725,12949,14509,31756,228511
1990:Q4,297926,13427,14717,27025,242757
1991:Q1,296995,13959,15349,32892,234795
1991:Q2,284823,13957,12599,27191,231076
1991:Q3,282524,14409,13578,24164,230373
1991:Q4,273526,14565,16435,21806,220720
1992:Q1,264833,14566,14978,20424,214865
1992:Q2,267007,14953,14987,16786,220281
1992:Q3,271987,15504,15639,21576,219268
1992:Q4,267711,15600,15791,20557,215763
1993:Q1,265061,15445,13489,18881,217246
1993:Q2,263474,15352,13667,19261,215194
1993:Q3,252269,14697,15278,14012,208282
1993:Q4,271821,15757,14502,10083,231479
1994:Q1,271120,15716,15730,11457,228217
1994:Q2,290447,16847,16080,8959,248561
1994:Q3,299169,17357,12638,8572,260602
1994:Q4,373929,18847,15664,16020,323398
1995:Q1,382087,20324,13850,15239,332674
1995:Q2,410073,22461,14454,15599,357559
1995:Q3,403948,22103,15856,21509,344480
1995:Q4,418824,23356,17403,20056,358009
1996:Q1,444015,26021,20387,21589,376018
1996:Q2,444762,27693,19844,14403,382822
1996:Q3,474734,31693,20922,17971,404148
1996:Q4,521682,35469,28208,23568,434437
1997:Q1,567770,34112,28968,21145,483545
1997:Q2,573814,34459,33462,20655,485238
1997:Q3,599233,36014,33251,23449,506519
1997:Q4,618473,37179,23139,23601,534554
1998:Q1,612437,36817,27115,28778,519727
1998:Q2,628576,37785,20577,22275,547939
1998:Q3,657156,39500,18385,27148,572123
1998:Q4,627575,37725,30518,30714,528618
1999:Q1,654952,39368,36235,40128,539221
1999:Q2,673591,40486,32343,45490,555272
1999:Q3,684991,41170,33490,55369,554962
1999:Q4,676469,40659,31460,42096,562254
2000:Q1,751326,45150,35750,58635,611791
2000:Q2,762844,45841,29742,64970,622291
2000:Q3,740645,44509,13998,64607,617531
2000:Q4,803348,48271,24029,82095,648953
2001:Q1,845324,50790,16928,104776,672830
2001:Q2,806479,48459,17093,102027,638900
2001:Q3,805295,48388,14369,102712,639826
2001:Q4,810100,48676,15517,113612,632295
2002:Q1,795025,47771,16672,106311,624271
2002:Q2,802487,48219,18500,104313,631455
2002:Q3,828523,49781,20000,106904,651838
2002:Q4,914441,49937,20587,106890,737027
2003:Q1,940895,51628,21933,97149,770185
2003:Q2,982619,54115,30297,86298,811909
2003:Q3,936809,51146,34513,80522,770628
2003:Q4,953790,52841,38145,68694,794110
2004:Q1,989088,55204,41699,71865,820320
2004:Q2,1054727,57889,47625,78636,870577
2004:Q3,1053883,58864,44697,70198,880124
2004:Q4,1142212,61764,53705,69546,957197
2005:Q1,1233545,67402,61301,64843,1039999
2005:Q2,1185684,64549,57496,78612,985027
2005:Q3,1206169,66584,51419,89737,998429
2005:Q4,1165469,63847,63571,77329,960722
2006:Q1,1234576,67879,41996,82850,1041851
2006:Q2,1332161,72666,53045,64015,1142435
2006:Q3,1348809,71749,43697,55761,1177602
2006:Q4,1346130,69946,49336,67216,1159632
2007:Q1,1386778,73534,45306,63270,1204668
2007:Q2,1528188,79929,55824,53970,1338465
2007:Q3,1625841,84843,56965,81892,1402141
2007:Q4,1636214,87722,50250,102250,1395992
2008:Q1,1599644,84065,55037,112509,1348033
2008:Q2,1487846,78508,36837,112635,1259866
2008:Q3,1352787,70526,31580,102333,1148348
2008:Q4,1302936,69892,24704,87521,1120819
2009:Q1,1265830,65515,25736,77002,1097577
2009:Q2,1310456,65587,26241,89432,1129196
2009:Q3,1374194,66015,26260,105759,1176160
2009:Q4,1258432,62724,31528,99091,1065089
2010:Q1,1204754,58472,38111,94391,1013780
2010:Q2,1221270,61341,38657,94586,1026686
2010:Q3,1262385,63875,35791,106365,1056354
2010:Q4,1303877,67271,63991,107992,1064623
2011:Q1,1338512,69608,74765,111587,1082552
2011:Q2,1242958,65296,79608,116222,981832
2011:Q3,1195775,64382,58199,71574,1001620
2011:Q4,1066420,57360,52528,43839,912693
2012:Q1,1041284,56257,48491,40962,895574
2012:Q2,939913,50697,43135,33681,812400
2012:Q3,965122,52037,49706,40975,822404
2012:Q4,919488,49480,53621,44102,772285
2013:Q1,970235,52699,83188,49631,784717
2013:Q2,1020366,56511,98696,37758,827401
2013:Q3,1011247,56488,99460,36924,818375
2013:Q4,950580,52079,122171,34281,742049
2014:Q1,944194,52511,108869,19732,763082
2014:Q2,900467,49794,128031,27113,695529
2014:Q3,950339,52688,118642,23626,755383
2014:Q4,827576,45720,112862,24518,644476
2015:Q1,810222,44554,85895,20486,659287
2015:Q2,728228,39448,97445,22491,568844
2015:Q3,668979,36141,93866,12565,526407
2015:Q4,590920,31884,93857,11071,454108
2016:Q1,622895,32610,76374,17565,496346
2016:Q2,595204,31300,89387,12921,461596
2016:Q3,576006,30800,96159,4323,444724
2016:Q4,500567,26270,97587,1858,374852
2017:Q1,588734,30802,87663,3591,466678
