1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2011:Q4,74468805,36809,5200,44198,43839,1603103,379512,993726,541283,2688772,19963352,641083,5343698,5788114,1844147,6346310,18980280,2142707,1652090,13036108,2149375,10731626,3672444,228550,308788,78225,801564,13367534,70169982,1771468,2617259,8952205,2941890,3118484,12972816,701800,7559208,4711808,1593830,215796,1188489,189545,8941397,170793,1559864,18747834,87784,100097,6594261,4054202,27446,543230
2012:Q1,77157890,36386,5200,44389,40962,1598222,365468,1010108,544727,2679144,20855805,673390,5735439,6031054,1877519,6538403,18885731,2157232,1661122,12961284,2106093,12059455,3975346,232689,326453,79450,882597,13535759,72168815,1777965,2526452,9058445,2862155,3191241,12935889,688166,7515406,4732317,1555799,206039,1159052,190708,9888562,176214,1580831,19323417,92256,93994,7105595,4749776,37054,596917
2012:Q2,76791715,36050,5200,44517,33681,1558943,364768,997003,528589,2784978,21017653,662287,5789389,6062441,1899718,6603818,18897632,2214111,1666943,12891695,2124883,11511141,3838305,233335,331673,80543,821985,13705720,71704018,1727143,2602066,9118067,2785404,3257726,12727098,649285,7523678,4554135,1592432,199289,1202676,190467,9680764,174473,1564782,19282490,92066,96508,7002999,4549556,37479,590104
2012:Q3,78154013,36591,5200,44635,40975,1492873,364307,1039112,542893,2876628,21443238,649764,5914275,6064389,1948621,6866189,18975746,2249359,1739065,12842734,2144588,12149011,4038099,237570,337653,81696,862876,13584909,73022952,1652039,2645072,9234216,2858215,3295528,12823871,639687,7525897,4658287,1605427,210109,1202235,193083,10213795,176228,1583872,19635558,106515,97126,7095490,4825263,38088,620411
2012:Q4,78890212,35774,5200,44751,44102,1543670,397644,1044168,545935,2927893,21779654,646535,5977669,6153200,1984006,7018244,19075908,2329582,1737556,12820362,2188408,12298434,4086092,237360,340927,82822,900197,13499682,73709235,1565972,2875533,9465383,2996592,3326893,12666287,622584,7535416,4508287,1630063,215594,1220082,194387,10363508,179646,1596103,19786953,104722,91742,7059838,4989183,37886,613048
2013:Q1,80944606,34520,5200,44971,49631,1839797,397509,1090570,553301,2730377,22137382,686606,6110786,6284312,1985256,7070422,19019128,2329493,1763670,12771571,2154394,13287860,4360194,236375,348570,84285,960252,13764684,75617602,1988423,2894900,9518014,2922416,3188065,12678371,636197,7571534,4470640,1619951,219921,1200491,199539,11103241,178588,1617157,20502148,98059,93129,7215140,5535780,38699,680824
2013:Q2,81353455,34270,5200,45147,37758,2062641,379499,1068939,554679,2597140,21753952,687147,5912102,6265421,1931851,6957431,19184643,2379237,1844198,12773900,2187308,13439558,4379278,233211,355190,85740,937216,14199393,76321203,2474495,2900708,9566511,2901526,3070069,12564696,575746,7640080,4348870,1741690,221566,1305634,214490,11089666,176588,1628746,20904996,79916,93517,7128079,5763121,39236,698276
2013:Q3,83186927,34958,5200,45334,36924,2260725,415055,1156711,606293,2569047,21745856,686656,5911126,6252835,1895586,6999653,19418952,2410910,1971999,12816244,2219799,14325790,4631055,231719,362729,87198,1021880,14231501,77928777,2611542,2963150,9784299,3004474,3016159,12496861,526814,7692692,4277355,1744128,234137,1306023,203968,11656492,172055,1654393,21577938,93372,93012,7060902,5974611,36589,727542
2013:Q4,85031966,34610,5200,45493,34281,2276620,401557,1164309,624603,2479645,22140713,656792,6265790,6323085,1887614,7007432,19512906,2493198,1936487,12818224,2264997,15543783,4908854,227753,372523,88657,974301,14196158,79871255,2604868,3231476,9869053,3047282,2944384,12639166,541406,7773738,4324022,1824556,233332,1376973,214251,12333012,171060,1681375,22337921,84057,85166,7017879,6457620,40794,730292
2014:Q1,86268391,34848,5200,45749,19732,2492260,375960,1201322,593214,2453370,22521322,683764,6541295,6262321,1906621,7127321,19513844,2553281,1919542,12808611,2232410,15706575,4992520,231486,375709,86872,965060,14653348,80921929,2867575,3204962,10068185,2995782,2958764,12547524,541674,7701107,4304743,1868604,239791,1411717,217096,12640668,171905,1700730,22547901,88560,86281,7174488,6653923,42404,736151
2014:Q2,87865289,34912,5200,45963,27113,2500808,389608,1186570,591738,2500446,22956027,701377,6643905,6379960,1929985,7300800,19783405,2641354,2015925,12841011,2285115,16360164,5165746,235264,379249,85088,990817,14627172,82225845,2887905,3319104,10131218,2920671,3049388,12584566,525129,7754489,4304948,1917484,235832,1462919,218733,13148562,175496,1726290,22874340,95973,86601,7308247,6874853,43464,759632
2014:Q3,88158298,33167,5200,46171,23626,2549518,436709,1205924,593940,2425733,23235242,697034,6870488,6385660,1955416,7326644,19979350,2693432,2061503,12899987,2324428,16116350,5084576,233013,382351,83300,951609,14772519,82482082,2889644,3413724,10254362,2968844,2920556,12644247,508952,7813703,4321592,1981205,248700,1511237,221268,12978937,178185,1741980,22916458,102688,92426,7398826,6892599,44360,751604
2014:Q4,89184044,31960,5200,46301,24518,2428066,411974,1212337,631548,2459347,23725334,614551,7143186,6590396,1987883,7389318,20273289,2821388,2103810,12970079,2378012,16521313,5160213,230585,386168,81516,1029730,14524645,83259938,2627831,3559045,10447484,3072970,2953412,12731719,473731,7924009,4333979,2021553,264386,1525745,231422,13150628,176823,1769791,23168176,104948,93788,7381770,7355828,45121,803176
2015:Q1,90013493,30406,5200,46671,20486,2490559,407231,1176932,608810,2434825,23796636,629335,7129129,6572302,2010566,7455304,20340942,2885204,2135801,12983590,2336347,16903662,5268885,239987,392830,82810,1060157,14706465,83989422,2703226,3482964,10645453,3002355,2956068,12647128,461700,7880805,4304623,2009920,272969,1501437,235514,13519867,182006,1795334,23386883,108890,96939,7452389,7480319,45418,813933
2015:Q2,89916053,30728,5200,47000,22491,2299743,389585,1122810,585832,2457909,23412267,664126,6848930,6481989,1995966,7421256,20709125,2971990,2250675,13094170,2392290,16961212,5245439,247926,400219,84100,1061095,14833372,84016853,2486729,3685953,10590912,2957534,2912202,12713246,471316,7935226,4306704,2051944,288821,1524284,238839,13533574,190358,1807577,23473758,95895,99152,7418019,7534341,45459,812862
2015:Q3,88752853,30906,5200,47327,12565,2249782,413908,1091426,564327,2585347,23394966,681336,6877290,6504358,2010023,7321959,20879605,3002111,2234937,13199731,2442826,15565546,4892113,253092,406864,85380,965595,15308905,82998337,2435667,3592636,10738498,3015801,2969098,12745656,440951,8022975,4281730,2061729,285982,1533320,242427,12605717,194872,1810073,23171862,101321,105768,7449639,7042121,49711,750160
2015:Q4,89200021,30541,5200,47567,11071,2039481,401027,1002241,566358,2532657,23795484,624880,7404330,6488894,2033683,7243697,20843125,3107207,2024651,13342713,2368554,16289888,5022247,255601,413757,86673,878477,14978626,83465628,2179429,3852747,10836897,3078204,2927001,12634258,433193,8144448,4056617,2063145,290091,1537618,235436,12897215,200902,1828695,23498948,96322,111267,7260598,7341301,50404,817418
2016:Q1,90393593,31621,5200,47726,17565,2191168,413409,1022078,598158,2350939,24523550,709904,7644979,6578850,2078274,7511543,20920889,3187647,1994359,13396494,2342389,16157368,5061559,268368,427088,85891,888324,15382691,84302350,2301479,3878160,11052502,3064466,2760044,12707072,489214,8153951,4063907,2095547,289158,1565269,241120,12962099,206493,1853497,23695896,102590,115416,7507089,7170009,51637,885787
2016:Q2,91644256,32008,5200,48043,12921,2106250,449150,978612,608406,2484823,25033347,687606,7779030,6729515,2138333,7698863,21225345,3249985,2061295,13518509,2395556,16315771,5152806,275197,440459,85112,887936,15502870,85258848,2256851,4012843,11058948,2969440,2807248,12811783,494169,8299487,4018127,2173791,293019,1643170,237602,13208765,214728,1889926,23939928,103918,119215,7691464,7386854,51392,907339
2016:Q3,93080920,32362,5200,48370,4323,1984050,435982,759540,649941,2726867,25303267,547367,8049476,6803296,2116739,7786389,21482041,3274780,2078126,13684297,2444838,16963057,5314825,286417,453898,84331,939388,15607061,86473766,2082303,4022589,11214045,2943898,2951694,12952214,455830,8390329,4106055,2142467,300433,1609803,232231,13682571,225886,1917924,24280420,108357,217985,7731413,7737058,69638,846993
2016:Q4,92634688,30359,5200,48536,1858,1829431,429409,667076,705622,2570903,24921686,538150,8110316,6729059,2021884,7522277,21658972,3269245,2073861,13808232,2507634,17303395,5286365,283918,467168,83548,948826,15392416,86409455,1827995,4122995,11371517,2955224,2905769,12950036,433992,8496125,4019919,2145448,293184,1615795,236469,13615579,237730,1925948,24389745,99617,209480,7652372,8368735,67741,794399
2017:Q1,94684590,30920,5200,48781,3591,2218953,462316,724296,734632,2569893,25030286,591896,7946330,6778410,2026937,7686713,21876111,3269264,2235220,13904403,2467224,18295453,5522812,293685,478113,85505,1023326,15280716,88154228,2315473,3998099,11532454,2926657,2831068,12961452,437644,8547328,3976480,2129434,295795,1595854,237785,14327132,245966,1950211,24852145,91990,213140,7779007,8735387,69518,808365
2017:Q2,96095192,31621,5200,48986,3262,2049678,456057,742762,726507,2798289,25126997,565930,7819909,6881025,2050097,7810036,22218305,3319085,2342609,14046898,2509713,18926318,5665356,299932,489011,87461,1052181,15367269,89307139,2120104,4141568,11492337,2892645,3004790,13096114,418373,8642591,4035150,2186862,300975,1647330,238557,14795306,252497,1964515,25189832,94427,216333,7859809,9072990,68665,835478
2017:Q3,97821506,31961,5200,49175,5538,2138377,478170,763586,769577,2734610,25752411,654367,8171667,6965389,2058267,7902721,22301924,3340331,2233344,14184980,2543269,19766872,5845859,303465,500692,89416,1096734,15187939,90807474,2241499,4085870,11669135,3029916,2879589,13210120,407415,8734496,4068209,2178244,307880,1632999,237365,15346982,264538,1986665,25575761,106263,216898,8015994,9484537,70024,861238
2017:Q4,99415944,32176,5200,49381,3724,2025393,478295,714884,752940,2823495,26000231,629118,8256887,7012965,2096543,8004718,22796727,3374579,2443738,14364630,2613780,20789267,6030801,302923,511780,91372,1145865,14861491,92090797,2164958,4268349,11670438,3120533,2965524,13276374,397226,8842725,4036423,2148720,301192,1605484,242044,15898985,284193,2008838,26008415,160175,216167,7899128,10054234,68693,937235
2018:Q1,99422722,33090,5200,49517,1236,2174597,452138,685360,749587,2658158,26151375,694338,8537411,6900667,2071292,7947667,22697390,3404268,2260014,14464294,2568814,20621648,5971373,313540,504960,116406,1123268,15113879,92332409,2293961,4426541,11878600,3067973,2633284,13283875,415038,8847149,4021688,2118208,305849,1573791,238568,15874256,288426,2018425,26054829,146551,201360,8046120,9970481,74190,926072
2018:Q2,99968977,31932,5200,49617,2884,1956965,450729,694943,739540,2819832,25938552,696593,8453208,6866725,2039837,7882189,22994222,3477608,2290716,14628095,2597803,20980812,6043261,319251,497899,141455,1109886,15191997,92944120,2115339,4397673,11965884,3092120,2740888,13386629,434722,8936344,4015563,2140310,303166,1600275,236869,16077205,289469,2035059,26303172,144056,197652,8058664,10096017,76522,954476
2018:Q3,101153973,31669,5200,49691,2099,1836836,439681,727380,797325,2875655,25956249,686601,8463966,6786054,2003223,8016405,23174330,3494367,2265181,14772433,2642349,21917342,6194367,321152,491140,166534,1125502,15041821,93940532,1961531,4419017,12069486,3143468,2722649,13476798,429358,8998517,4048923,2103443,294475,1579542,229426,16559687,291252,2054161,26707636,149040,195714,8086650,10497376,78728,1023633
2018:Q4,98630691,31761,5200,49762,1535,1637289,456822,716163,765526,3241903,26337417,630909,8948230,6909990,1982016,7866272,23536584,3663760,2256066,14913749,2703009,18814100,5519163,321451,483518,191376,958903,15562218,91783189,1810922,4583737,12200473,3289687,2980948,13584631,431158,9089623,4063850,2138803,310983,1601592,226228,14669831,279963,2035213,25942077,159515,186057,7921332,9272131,78230,852709
2019:Q1,102282837,31435,5200,49865,1460,1649882,419920,745710,824200,3277133,26928954,707890,8799628,7034190,2016999,8370247,23742348,3677531,2402558,15002827,2659432,20751235,5885109,325046,487109,193191,1062197,15902843,94802138,1746471,4471452,12428857,3482976,2949801,13660844,442451,9123412,4094981,2053657,308694,1524432,220531,16179620,280179,2067910,26852842,157869,190029,8279631,10155547,78405,966337
2019:Q2,104254072,31808,5200,49930,2151,1492234,458208,797484,956217,3532306,27286364,719582,8708681,7162334,2046326,8649441,24053226,3750037,2443551,15150409,2709229,21232104,5999515,334028,491806,195162,1090648,16245681,96263199,1548090,4461934,12520543,3600902,3173673,13837605,439956,9242028,4155621,2073403,305973,1547700,219730,16669576,286812,2085892,27281124,158299,192126,8373220,10644589,78396,1000262
2019:Q3,105651926,31269,5200,49994,3935,1496937,495957,766781,902242,3824611,28401248,652844,9452268,7313672,2078874,8903590,24112685,3773430,2243304,15346443,2749508,21256688,6073732,336103,497401,198221,1093631,16105290,97365207,1560420,4670431,12682834,3834010,3284444,13911423,402418,9321770,4187235,2089583,309241,1560068,220274,16694746,295216,2106588,27506211,166714,183910,8378677,10725196,80594,1031852
2019:Q4,108358787,31563,5200,50071,7381,1631672,479643,757865,911609,3831025,28865816,619894,9895317,7309508,2110193,8930904,24319766,3803082,2215621,15491215,2809848,22827949,6379423,335204,500921,199537,1213911,16010230,99675107,1711936,4855981,12884599,4002466,3200743,13976612,397928,9408258,4170426,2068491,305076,1539103,224312,17659517,295167,2122402,28128800,172418,170591,8425384,11485509,83475,1170768
2020:Q1,108258739,31416,5200,50180,3752,2649288,816238,795011,1053819,4100236,30416942,684539,11332051,7799646,2064259,8536447,25347463,4450701,2536443,15623925,2736394,17894393,5250979,350883,504056,219720,955324,17813840,100454144,3063441,5771802,13499959,4727179,3458676,14592386,422031,9747918,4422437,2588644,413755,1949810,225079,14543146,320323,2122641,26892541,162346,167903,8543157,8676676,84809,928726
2020:Q2,115400690,31626,5200,50256,2113,2961720,712462,872689,1147717,3422602,34342673,605215,14086367,8009688,2136369,9505034,25124202,4479539,2197576,15765529,2681558,21307725,6022081,368412,508166,249077,1112221,17159748,106387263,3210889,7671292,14170984,5087590,2853467,14563344,403134,9722709,4437501,2221580,347053,1650748,223779,16776147,352427,2161333,28190904,168478,167154,8791674,10019295,88453,1115929
2020:Q3,117619048,32320,5200,50374,896,2898576,663041,803425,1104855,3400187,35185454,553940,14457130,8196358,2185614,9792412,25153063,4272494,2187908,15988736,2703925,22845479,6326114,382362,512123,268343,1168195,16819040,108042619,3080784,7926851,14212552,4846839,2884479,14596935,378739,9846036,4372160,2114112,341755,1546553,225804,17749306,380196,2195586,28853606,161800,168804,8870769,10548629,87085,1206962
2020:Q4,122919377,33060,5200,50455,719,3138138,715261,746471,1130941,3541609,36091852,568592,14792518,8420544,2245437,10064761,25436841,4216777,2263262,16212824,2743978,26001660,6965988,376326,516580,291277,1355387,16521613,112328147,3258213,9128629,13679775,4765920,2946674,14873710,390887,10066466,4416357,2122510,380915,1515140,226455,19562556,397218,2248937,29965737,164238,178121,9035909,12409780,90334,1428720
2021:Q1,125798950,31920,5200,50530,2162,3810533,806411,716883,1176610,3273013,36225042,689613,14777357,8554715,2264321,9939036,25750506,4241391,2418587,16391978,2698550,27527130,7141184,383224,517558,292333,1452742,16635969,115202716,3829133,9036193,14195156,4979998,2904824,15052158,455204,10206533,4390421,2167448,384027,1562573,220848,20271300,402653,2237565,30366121,151563,175810,9432794,13817537,93779,1508171
2021:Q2,129725696,31991,5200,50586,261,3644694,749448,679028,1182229,3782992,37059598,632253,15114830,8681580,2330201,10300734,26140335,4192674,2461506,16698902,2787253,29505440,7516104,394842,526667,297159,1576590,16582532,118187619,3654684,9128378,13990537,5015397,3723094,15350444,429200,10387647,4533597,2217861,438140,1560541,219180,21459746,407091,2278735,31112500,142978,172456,9533718,15200749,97975,1642444
2021:Q3,131145141,31737,5200,50674,859,3964382,801375,656450,1217535,4373989,36955016,613114,14727289,8893344,2349091,10372178,26640271,4142260,2625670,17029099,2843242,29218044,7428377,402580,532541,300809,1572868,16992435,119519252,4125982,8847716,14136275,5019225,4401636,15452594,394045,10516398,4542151,2234560,424857,1599367,210336,21374931,415001,2293482,31192884,150813,162645,9711508,15326080,99625,1659110
2021:Q4,134782577,31249,5200,50827,265,3747183,794222,620412,1268246,4576714,38027197,553617,15646670,8953070,2379516,10494325,27196151,4340165,2512165,17405408,2938413,31120757,7700004,417566,541441,303695,1658413,16723036,122514745,3922971,9360795,14443163,5205455,4660347,15688728,390461,10646356,4651911,2294434,421860,1666903,205671,22208748,422969,2333592,31924815,155327,160619,9732783,16239945,102230,1768030
