1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,28267,28267,0,0,28267,6757,0,0,625,50,16872,0,28,225,3497,16,11,0,0,0,186,0,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,33422,33422,0,0,33422,7274,0,0,710,100,19821,0,54,302,4943,25,16,0,0,0,177,0,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1982:Q4,1070187,1031175,5802,33210,1070187,77087,3760,8480,22143,28557,625935,0,1025,2686,16751,3282,3906,74316,174349,0,27630,280,ND,ND,ND,ND,ND,14203
1983:Q1,1087139,1026258,5976,54905,1087139,74195,4086,8741,21976,29721,624162,0,1010,2765,16422,2746,3950,76228,191975,0,28895,267,ND,ND,ND,ND,ND,14303
1983:Q2,1116296,1053751,6109,56436,1116296,74561,3847,9053,22388,30940,630939,0,1020,3535,15860,2989,3904,78617,208340,0,30049,254,ND,ND,ND,ND,ND,14535
1983:Q3,1153484,1087568,6583,59333,1153484,72351,5724,9492,22765,32063,647460,0,1035,4051,15534,2863,3899,79822,226385,0,29799,241,ND,ND,ND,ND,ND,14736
1983:Q4,1186271,1116384,7177,62710,1186271,71848,5885,10032,22891,33712,661631,0,1060,4381,15319,2797,3899,83685,239439,0,29464,228,ND,ND,ND,ND,ND,15184
1984:Q1,1216062,1144101,7392,64569,1216062,72613,4935,10944,22954,35098,672573,0,1085,5538,14900,3425,3891,87569,250431,0,29872,234,ND,ND,ND,ND,ND,14807
1984:Q2,1254448,1177677,8354,68417,1254448,74714,3911,11817,22964,36425,696113,0,1125,6398,14404,3305,3869,89128,257762,0,32273,240,ND,ND,ND,ND,ND,15337
1984:Q3,1289107,1211497,8322,69288,1289107,78158,1856,12593,22678,37547,714464,0,1150,7020,14159,3559,3845,90598,269261,0,31974,245,ND,ND,ND,ND,ND,16329
1984:Q4,1321526,1243294,8446,69786,1321526,68107,1392,13294,23513,39157,724234,0,1185,7534,14120,3737,3842,94426,282953,11000,32786,246,ND,ND,ND,ND,ND,17127
1985:Q1,1385660,1304981,8736,71943,1385660,91582,7550,13707,23717,40634,730639,0,1221,7788,14041,4040,3835,99584,297096,19153,30821,252,ND,ND,ND,ND,ND,17466
1985:Q2,1428061,1343287,9355,75419,1428061,94379,7432,14012,23767,41994,742196,0,1239,8821,14219,3805,3801,102889,313763,20969,34512,263,ND,ND,ND,ND,ND,18410
1985:Q3,1477181,1402164,7203,67814,1477181,91452,8257,14050,24155,43552,759106,0,1251,10041,14435,3626,3766,104812,335965,21561,40879,273,ND,ND,ND,ND,ND,18618
1985:Q4,1526876,1450249,7325,69302,1526876,91590,9520,13875,24403,45042,773548,0,1265,11086,13637,4466,3741,111639,360508,24016,38218,322,ND,ND,ND,ND,ND,19726
1986:Q1,1557666,1476952,6995,73719,1557666,92904,10846,13375,24241,46845,771714,0,1275,13622,13883,4388,3647,111517,385169,25472,38433,335,ND,ND,ND,ND,ND,20537
1986:Q2,1616328,1525857,7397,83074,1616328,94221,10251,14275,23753,47986,782260,0,1285,15128,13803,4337,3506,108912,419545,27637,49082,347,ND,ND,ND,ND,ND,21006
1986:Q3,1683521,1587994,7621,87906,1683521,92555,10728,14975,23508,48637,793551,0,1295,17255,14448,4132,3344,107951,465354,30032,55404,352,ND,ND,ND,ND,ND,21699
1986:Q4,1730129,1649024,7332,73773,1730129,91921,13025,14093,24058,48963,801323,0,1320,19325,14128,3981,3173,105943,519520,16617,52421,318,ND,ND,ND,ND,ND,22915
1987:Q1,1770490,1681564,8307,80619,1770490,99248,16421,13381,23883,49147,790833,0,1343,22046,13996,2316,3253,103920,561534,18500,50338,331,ND,ND,ND,ND,ND,24146
1987:Q2,1843953,1752706,8052,83195,1843953,102131,17382,12247,23733,48816,818316,0,1378,24928,13975,1857,3160,101270,600095,21444,52889,332,ND,ND,ND,ND,ND,25113
1987:Q3,1898660,1802929,8365,87366,1898660,101700,20645,11466,20588,49100,840954,0,1416,27623,13961,1611,3354,102506,631037,27262,45111,326,ND,ND,ND,ND,ND,26299
1987:Q4,1928457,1828608,8464,91385,1928457,103282,19845,11827,20750,50127,843355,0,1462,29872,14522,1407,3456,102840,652892,27800,44671,349,ND,ND,ND,ND,ND,27004
1988:Q1,1974919,1875598,8254,91067,1974919,104081,16976,9641,20818,51066,882556,0,1512,31520,11506,1625,3562,106069,660006,29241,44376,364,ND,ND,ND,ND,ND,27956
1988:Q2,2044958,1942104,8829,94025,2044958,105205,12793,21201,20836,51251,908241,0,1562,34063,11667,1913,3587,108749,676706,30749,56069,366,ND,ND,ND,ND,ND,28808
1988:Q3,2105915,1999589,9401,96925,2105915,106632,17574,17519,20751,51251,943510,0,1612,36377,11805,2293,3414,108159,701023,32782,50820,393,ND,ND,ND,ND,ND,28896
1988:Q4,2162789,2054832,9606,98351,2162789,108384,18823,17607,21045,52613,965952,0,1662,38060,12528,2836,3384,109044,723602,34865,51950,434,ND,ND,ND,ND,ND,29328
1989:Q1,2196931,2088877,9534,98520,2196931,109165,17623,19503,21045,53775,974141,0,1712,40753,12631,3698,2924,108372,747328,36027,47813,421,ND,ND,ND,ND,ND,29979
1989:Q2,2255378,2146493,9595,99290,2255378,111794,20751,17263,21242,55285,993608,0,1762,42912,12878,4005,3088,109892,769788,36869,53825,417,ND,ND,ND,ND,ND,31388
1989:Q3,2321631,2210690,9868,101073,2321631,114311,24065,14689,21329,56470,1005085,0,1812,44352,13153,4898,3236,112360,801394,33685,70383,410,ND,ND,ND,ND,ND,31951
1989:Q4,2369557,2260115,9423,100019,2369557,117379,27760,12079,21319,57312,1005653,0,1862,26964,13588,5456,3429,114121,843800,43325,75092,418,ND,ND,ND,ND,ND,16135
1990:Q1,2450148,2334912,10439,104797,2450148,120603,29496,9987,25179,57934,1045733,0,1918,27613,13926,5128,3457,116565,878320,38165,75710,414,ND,ND,ND,ND,ND,17159
1990:Q2,2517151,2395411,11607,110133,2517151,123256,31590,9761,31009,58676,1054066,0,1992,29117,14302,5319,3512,114468,917021,42863,79786,412,ND,ND,ND,ND,ND,17930
1990:Q3,2567225,2446737,11246,109242,2567225,126129,32442,9780,35345,59667,1050524,0,2046,31183,14731,5415,3473,115825,951547,47260,81446,411,ND,ND,0,ND,ND,18729
1990:Q4,2606804,2489255,10564,106985,2606804,128643,33404,9527,37940,60900,1031434,0,2043,32747,14979,5478,3508,119462,991084,55029,80211,415,214685,175301,0,20147,68,19169
1991:Q1,2641560,2529152,9411,102997,2641560,129531,34304,9089,39443,61796,1017547,0,2074,32733,14003,5146,3664,122760,1023310,59430,86370,359,216610,177501,0,20499,110,18500
1991:Q2,2700538,2590113,8863,101562,2700538,131312,35731,8592,41300,62038,1014830,0,2029,34456,13777,4703,3592,125485,1058760,72495,91055,383,220573,180578,0,20919,179,18897
1991:Q3,2722798,2613968,8484,100346,2722798,131856,36389,9025,44224,62580,994396,0,1982,36624,13314,4398,3856,125887,1097340,84444,76119,364,222130,181800,0,21109,261,18960
1991:Q4,2774705,2667356,8044,99305,2774705,130107,36440,8876,37087,62901,991961,0,2000,36914,12080,4009,3730,130700,1130351,96732,90455,362,221994,181596,0,21374,359,18665
1992:Q1,2814343,2707721,7759,98863,2814343,128382,36625,8550,38389,62710,985186,0,2155,35619,13247,3793,3344,138227,1154063,106805,96906,341,219229,178500,0,21310,462,18957
1992:Q2,2845786,2740695,7386,97705,2845786,126680,36760,8313,37978,62340,972089,0,2423,38762,12871,3536,3662,142379,1193954,116694,86823,523,218756,178048,0,21140,578,18990
1992:Q3,2899090,2795327,6974,96789,2899090,125000,36539,8719,35656,62574,974182,0,2725,38344,12838,3393,3508,148618,1219206,132056,94919,813,219991,178411,0,21326,736,19518
1992:Q4,2942068,2840353,6437,95278,2942068,122723,36129,9444,36573,62293,968764,0,2981,39838,12534,3200,3428,161047,1248186,142265,91534,1128,217107,176286,0,20525,883,19413
1993:Q1,2952182,2854188,5632,92362,2952182,120496,34842,8816,35342,62176,960157,0,3320,40555,11247,3224,3391,166021,1276567,145921,78729,1378,215572,174839,0,20438,995,19300
1993:Q2,3006466,2907828,5621,93017,3006466,118244,33490,8621,32836,58670,980583,0,3672,41038,11229,3153,3456,183355,1278722,153845,93807,1744,215442,175380,0,20144,1145,18773
1993:Q3,3058883,2958017,5917,94949,3058883,115967,32161,8486,31391,57795,989906,0,3974,41277,10869,3262,3445,193292,1308202,164005,92799,2052,214378,174558,0,19992,1324,18504
1993:Q4,3101120,2999178,6003,95939,3101120,113690,30947,8194,33006,56444,1001617,0,4136,41782,9876,3186,3487,201093,1334286,167899,89239,2239,210376,171146,0,19268,1461,18501
1994:Q1,3132652,3029469,6048,97135,3132652,111462,31309,7811,30922,55703,988179,0,4261,43112,9823,3310,3553,206572,1376967,179616,77180,2872,208700,169575,0,19018,1676,18431
1994:Q2,3180197,3074622,6332,99243,3180197,109210,31761,8488,30503,55650,1008691,0,4280,44088,9851,3534,3699,206827,1410106,181026,68672,3810,214092,174130,0,19438,1805,18719
1994:Q3,3230936,3121049,6967,102920,3230936,106933,32242,8584,30567,56627,1036224,0,4358,45502,9872,3753,3802,206185,1432867,182173,66469,4778,219102,177354,0,20448,1936,19364
1994:Q4,3278605,3165940,7286,105379,3278605,104656,32697,8925,29112,57674,1066676,0,4769,47025,9977,3720,3915,204067,1449589,183002,67739,5062,221795,179139,0,20861,2062,19733
1995:Q1,3306735,3191926,7061,107748,3306735,102429,32974,8633,28358,58916,1086690,0,4837,48591,10113,3886,4044,202815,1457651,185999,65016,5782,224620,180337,0,21852,2214,20217
1995:Q2,3356631,3238302,7019,111310,3356631,100177,33257,8501,26430,59953,1108558,0,5340,48830,10269,4052,4166,203073,1475137,189046,73588,6254,232082,186862,0,22059,2370,20791
1995:Q3,3413402,3289771,7351,116280,3413402,97900,33531,8289,25693,60426,1131060,0,5351,50146,10574,4218,4295,207233,1501933,189468,76394,6890,236441,189575,0,22947,2499,21420
1995:Q4,3446414,3319925,7171,119318,3446414,95909,33824,8155,24229,61241,1127146,0,5719,50986,10322,4385,4429,209497,1543402,193759,66496,6915,237465,190546,0,22870,2678,21371
1996:Q1,3508980,3378306,7334,123340,3508980,93678,30011,8006,22587,61572,1138061,0,5849,65384,9947,4551,4563,204128,1571858,201074,80523,7188,237781,189797,0,23181,2899,21904
1996:Q2,3568551,3431661,7931,128959,3568551,91447,28366,7796,22099,61963,1152207,0,6084,68650,9571,4717,4702,204200,1614335,208206,77050,7158,248020,197703,0,23557,3131,23629
1996:Q3,3633468,3488838,8842,135788,3633468,89216,26474,7725,21240,62823,1175578,0,6393,70310,8842,4883,4844,203072,1648231,213851,82829,7157,253915,201245,0,23398,3348,25924
1996:Q4,3682765,3538132,8284,136349,3682765,86985,24484,7645,21195,63647,1188976,0,6339,73064,8468,4957,4990,202918,1678786,215357,86950,8004,262553,206093,0,25476,3499,27485
1997:Q1,3728459,3580473,7639,140347,3728459,84754,25695,7383,19871,64286,1199884,0,6185,74511,8462,5157,5141,199191,1706181,224576,88452,8730,268787,209775,0,26449,3775,28788
1997:Q2,3783051,3631924,8045,143082,3783051,82523,27001,7281,19839,65018,1229828,0,6124,77585,8621,5369,5296,197408,1726919,229072,84941,10226,280835,219541,0,27202,4007,30085
1997:Q3,3875717,3717007,8341,150369,3875717,80292,28378,7139,19141,66008,1252070,0,6224,81384,8553,5600,5456,196864,1754275,243766,109226,11341,290615,226142,0,28186,4418,31869
1997:Q4,3917554,3754238,8594,154722,3917554,78061,29755,7028,19145,66805,1263899,0,6408,82977,8738,5733,5622,198229,1788052,253804,89328,13970,296982,229411,0,29002,4798,33771
1998:Q1,3986110,3809490,8787,167833,3986110,75830,29094,7708,18936,67645,1288574,0,6693,84575,8419,5778,5975,199413,1808089,268984,94793,15604,298023,228670,0,29264,5239,34850
1998:Q2,4076856,3888138,9074,179644,4076856,73599,28417,8388,18767,68639,1289255,0,7077,88656,8230,5831,6618,199675,1868500,287717,99207,18280,301718,231379,0,29485,5819,35035
1998:Q3,4168504,3964840,9670,193994,4168504,71370,27746,9068,18660,64005,1292644,0,7307,91197,7919,5980,6880,199440,1931146,307746,109394,18002,305882,232023,0,29896,6399,37564
1998:Q4,4275839,4057442,9966,208431,4275839,73143,27074,9748,18809,67739,1327298,0,7466,93345,8170,5838,7171,203861,1970167,321869,119371,14770,309933,232793,0,29741,6900,40499
1999:Q1,4365807,4136676,10315,218816,4365807,74916,25447,9535,18547,68329,1314213,0,6947,95115,8551,6016,7294,198401,2061639,334008,123547,13302,311110,232626,0,30286,7358,40840
1999:Q2,4474352,4233199,10803,230350,4474352,76689,23748,9322,18315,68559,1331672,0,7538,100039,8967,6194,7670,196222,2129994,345311,131125,12987,313676,233828,0,30527,7818,41503
1999:Q3,4606366,4351224,11523,243619,4606366,78462,21978,9109,18630,68745,1384190,0,7805,104681,9161,6372,7634,195029,2191289,348527,141649,13105,326274,241766,0,32568,8113,43827
1999:Q4,4701179,4434475,12101,254603,4701179,80235,20208,8896,18389,70132,1424470,0,8065,107112,8287,6550,8220,193454,2234749,353744,147407,11261,334344,249214,0,33423,8410,43297
2000:Q1,4772403,4496731,12597,263075,4772403,82008,20517,8837,18326,70336,1460558,0,8425,109858,7821,6814,7765,193464,2263011,354338,152492,7833,349285,261819,0,35742,8070,43654
2000:Q2,4896598,4609105,13141,274352,4896598,83781,20826,8778,18286,69943,1522954,0,8976,114660,7767,7076,7949,201549,2294135,355761,166700,7457,370280,277721,0,37675,9322,45562
2000:Q3,5020704,4721811,13793,285100,5020704,85554,21135,8719,16563,70016,1558487,0,9363,118135,7663,7379,7014,204646,2351364,368991,178400,7275,389117,291974,0,39994,9693,47456
2000:Q4,5124971,4816784,14078,294109,5124971,87327,21444,8661,16466,69483,1555563,0,9104,119937,7450,7666,7128,209580,2425625,384835,186901,7801,407940,307765,0,40720,10497,48958
2001:Q1,5221818,4901360,14947,305511,5221818,89100,21819,8963,16360,69161,1582558,0,7072,121741,7324,6775,7078,210690,2464923,402816,197400,8038,411452,308804,0,41406,11503,49739
2001:Q2,5393894,5062201,15608,316085,5393894,90873,22206,9266,16203,69757,1610961,0,7515,126145,7549,5923,6654,217118,2561685,419771,214500,7768,428584,322525,0,42201,12228,51630
2001:Q3,5553552,5210501,15998,327053,5553552,92640,22597,9569,15950,68626,1605620,0,7648,133581,7723,5209,6816,221119,2681500,441525,225001,8428,440924,330172,0,45300,12772,52680
2001:Q4,5678030,5324935,16178,336917,5678030,94162,22989,9871,15868,69049,1641028,0,8173,135657,7810,4614,6863,231241,2748518,463899,209701,8587,438935,336530,0,44935,12438,45032
2002:Q1,5825479,5462408,16136,346935,5825479,95684,23460,9815,15703,68256,1620278,0,8196,140308,7766,4055,6852,235721,2870618,494656,215201,8910,452147,347535,0,44223,14607,45782
2002:Q2,6013375,5639129,16327,357919,6013375,97206,23936,9758,15313,67418,1666494,0,8628,145152,7941,3556,7483,243980,2954972,520664,230000,10874,477666,368569,0,46686,14845,47566
2002:Q3,6222401,5833621,16814,371966,6222401,98728,24417,9701,15174,66229,1765756,0,9159,148718,7957,3174,7725,256993,2996036,542262,256200,14172,497930,382789,0,48127,15853,51161
2002:Q4,6434374,6031127,16868,386379,6434374,100250,24899,9645,14958,66229,1849092,0,9653,151963,6746,2780,7871,276813,3063697,545462,285600,18716,500724,381774,0,47951,15028,55971
2003:Q1,6605236,6205332,17232,382672,6605236,101772,25191,9656,14704,66195,1903763,0,10563,154808,6676,2408,7283,299877,3131919,570346,282800,17275,516650,398172,0,47390,15161,55927
2003:Q2,6847172,6463499,17660,366013,6847172,103294,25488,9666,14447,67511,1994257,0,11104,159673,6188,2082,8207,331377,3190784,585258,313800,24036,536416,411716,0,48444,15082,61174
2003:Q3,7076619,6707863,18110,350646,7076619,104816,25792,9677,14196,69114,2058014,0,11531,167708,6506,1846,8965,366451,3264639,616540,320500,30324,559473,431028,0,49385,15385,63675
2003:Q4,7260326,6914875,18801,326650,7260326,106338,26096,9687,14098,72556,2050962,0,12176,172911,8422,1658,6358,519127,3233511,669041,320200,37185,593376,461600,0,51673,16123,63980
2004:Q1,7466143,7089700,19830,356613,7466143,107860,29536,10097,13965,75097,2147512,0,12735,176197,8468,1462,5271,518086,3241227,743121,333000,42509,618927,480521,0,53461,18186,66759
2004:Q2,7757555,7360240,20830,376485,7757555,109382,32975,10507,13820,73337,2261586,0,13830,186328,8415,1453,6392,514961,3258248,835473,378300,52548,674414,522834,0,57146,19980,74454
2004:Q3,8024522,7605404,22225,396893,8024522,110900,36456,10916,13708,79810,2350462,0,14709,193637,8389,1454,5320,511066,3273410,954877,393200,66208,729984,570060,0,61494,20645,77785
2004:Q4,8292063,7859149,23496,409418,8292063,112900,39936,11326,13623,74312,2440828,0,15565,198646,8067,1429,5126,508610,3277346,1059205,422000,103144,775931,604764,0,63865,23608,83694
2005:Q1,8537015,8089019,25000,422996,8537015,115400,40180,11807,13503,74777,2510879,0,20343,203370,8022,1411,4280,498023,3301814,1194255,428800,110151,805480,627227,0,65579,27329,85345
2005:Q2,8848576,8379699,27049,441828,8848576,117400,40427,12288,13447,79434,2613575,0,20270,211755,8110,1400,4195,485593,3338254,1342584,438800,121044,854580,666371,0,69331,31349,87529
2005:Q3,9166670,8677991,28948,459731,9166670,118400,40677,12769,13296,87424,2694860,0,20459,219691,8127,1390,3448,470659,3382026,1508777,454099,130568,885345,684447,0,73304,36796,90798
2005:Q4,9448506,8940398,31127,476981,9448506,117900,40927,13251,13194,88297,2730185,0,16314,226092,7471,1380,4076,453866,3446357,1671454,489800,127942,917952,700659,0,75872,43461,97960
2006:Q1,9772781,9239541,33705,499535,9772781,115900,39680,13112,13180,84512,2800323,0,15773,231110,7861,1372,4358,454842,3527445,1818834,508890,135589,950107,714939,0,77914,54503,102751
2006:Q2,10103493,9546649,35945,520899,10103493,111900,38419,12973,13396,88170,2891033,0,18129,240786,8561,1362,4771,456117,3594720,1964970,520503,137683,1002574,752128,0,81821,64023,104602
2006:Q3,10363695,9786662,37939,539094,10363695,106900,37144,12834,13373,92682,2920617,0,17046,248747,9092,1353,5557,456652,3673577,2094416,539542,134163,1039498,772380,0,85918,72819,108381
2006:Q4,10530769,9940251,39358,551160,10530769,102900,35869,12695,13347,97532,2933473,0,17236,252506,10343,1327,5194,457587,3749120,2196026,541449,104165,1069421,791182,0,86888,83079,108272
2007:Q1,10748888,10142446,40995,565447,10748888,99400,33184,13364,13300,103427,2949412,0,16701,255326,9921,1293,5703,455227,3866021,2286422,529685,110502,1083101,797595,0,86972,90347,108187
2007:Q2,10954663,10337293,41100,576270,10954663,96400,30470,14034,13380,100089,2993548,0,17460,263965,9750,1279,6306,453856,3987383,2354889,512293,99561,1104530,823140,0,88927,87801,104662
2007:Q3,11143952,10519448,41933,582571,11143952,93287,27726,14704,13440,105862,3043823,0,17815,272110,9510,1284,6952,456689,4162092,2322420,505835,90403,1128836,851115,0,92175,80715,104831
2007:Q4,11252301,10624984,42229,585088,11252301,90787,24981,15374,13668,106464,3068860,0,21522,280213,9450,1219,9762,447861,4371759,2234065,475648,80668,1138004,872720,0,94129,72423,98732
2008:Q1,11322920,10696598,41485,584837,11322920,88787,23658,15106,13776,105509,3081637,0,22060,287846,9150,1259,9216,450945,4509951,2176418,461439,66163,1135801,878518,0,94510,65649,97124
2008:Q2,11295115,10682871,38813,573431,11295115,95187,22507,14839,14432,104389,3020149,0,22071,298644,8900,1288,6161,450970,4665549,2086289,423164,60576,1136731,891467,0,95319,58985,90960
2008:Q3,11251849,10653878,36346,561625,11251849,103959,21343,14572,14458,101759,2946352,8401,22393,307035,8576,1371,5580,434338,4799492,2005964,400810,55446,1127586,888287,1214,97175,53312,87598
2008:Q4,11150920,10577260,32717,540943,11150920,106627,20178,14304,16392,97077,2884498,6968,22901,312193,8659,1331,4745,456647,4863990,1919104,381037,34269,1124438,894711,812,98685,47016,83214
2009:Q1,11140432,10577027,30018,533387,11140432,109295,19571,14196,16352,93145,2880570,6185,23017,313473,8814,1739,4578,469826,4943534,1853661,374003,8473,1106632,884741,893,97011,42056,81931
2009:Q2,11096591,10546813,26776,523002,11096591,111963,18958,14087,18897,100776,2832274,5216,22938,315469,8993,1811,4307,450019,5068631,1751307,361538,9407,1084495,870941,291,96088,37824,79351
2009:Q3,11018738,10489449,23319,505970,11018738,114631,18338,13978,22787,104477,2728159,1218,22950,317179,9248,1919,4316,440459,5192139,1667206,350614,9120,1061002,854362,298,94958,34336,77048
2009:Q4,10961036,10441302,20326,499408,10961036,117299,17719,13870,22061,106181,2693377,920,22619,316943,9275,2047,4058,433446,5266500,1592736,333076,8909,1041287,841444,255,94571,31817,73200
2010:Q1,10830332,10310617,18398,501317,10830332,119967,17487,14245,23223,108858,2648757,1134,22250,316160,8443,2046,4170,4783934,926934,1500559,321117,11048,1022112,829574,282,92704,28802,70750
2010:Q2,10762904,10243074,15938,503892,10762904,122635,17254,14620,23885,106006,2618454,1120,20812,317317,8367,2203,4243,4763409,988722,1437599,307316,8942,1004016,817596,269,91798,26588,67765
2010:Q3,10690713,10164689,14785,511239,10690713,125306,17017,14995,23583,110774,2613083,1108,20453,317684,8505,1979,4348,4711756,1034669,1377506,299140,8807,983654,802065,302,90288,24924,66075
2010:Q4,10523427,9992280,13560,517587,10523427,124444,16791,15370,23875,114567,2615609,1069,20124,316961,9150,1946,4110,4690718,1074964,1315244,169528,8957,928694,783277,295,88206,23010,33906
2011:Q1,10459363,9951762,12383,495218,10459363,123582,16707,14847,23810,113264,2528657,1056,18778,316808,8972,1717,3998,4723822,1118630,1261052,163306,20357,905282,764364,290,86553,21414,32661
2011:Q2,10390906,9888702,11362,490842,10390906,122720,16623,14325,24507,110527,2509963,1076,18223,317790,9009,1657,4049,4688305,1161807,1211687,158963,19675,884978,747760,275,84937,20213,31793
2011:Q3,10333162,9834572,10697,487893,10333162,121858,16540,13802,24160,108794,2521261,1276,17937,318936,9121,1562,4849,4631976,1200611,1165505,155243,19731,869198,734961,279,83808,19102,31048
2011:Q4,10281292,9785496,10196,485600,10281292,120996,16457,13280,24035,113260,2538015,1319,17766,320502,9118,1629,4564,4587726,1222902,1120236,149731,19756,853678,723149,263,82180,18140,29946
2012:Q1,10216106,9717273,9938,488895,10216106,120134,16174,13063,25180,111629,2506068,1431,17325,321621,10015,1706,4011,4583096,1243161,1074184,146050,21258,831836,705336,278,79819,17193,29210
2012:Q2,10152832,9649732,9926,493174,10152832,119272,15891,12845,25547,110282,2511741,1316,17072,323953,10895,1668,3795,4530002,1281819,1025254,137196,24284,812445,690118,240,78298,16350,27439
2012:Q3,10105190,9597673,9944,497573,10105190,118410,15608,12628,25852,113441,2510898,1577,16907,326389,11725,1619,3713,4498932,1307147,981042,134903,24399,792453,672682,248,77190,15352,26981
2012:Q4,10047725,9537072,9706,500947,10047725,117548,15325,12411,25162,110644,2501152,1804,19790,327848,11132,1569,3749,4475578,1326581,938426,132553,26453,771765,654767,222,75658,14608,26510
2013:Q1,9999879,9488087,9401,502391,9999879,116686,15559,12501,25836,114528,2465270,1760,19724,327978,11000,1514,3375,4479370,1344713,903766,129682,26617,747980,633995,262,73980,13807,25936
2013:Q2,9965129,9449922,9552,505655,9965129,115824,15791,12591,25064,113333,2438348,1562,18863,332115,11153,1456,3228,4492827,1369785,857733,126243,29213,730523,619940,245,72473,12616,25249
2013:Q3,9975132,9456278,9749,509105,9975132,114959,16024,12680,24463,113518,2406778,1365,18854,340375,11549,1400,2689,4533723,1403680,821536,122071,29468,715413,605740,338,72475,12446,24414
2013:Q4,9959620,9437049,9960,512611,9959620,112308,16258,12770,25611,117021,2385596,1285,18723,345892,11532,1356,2310,4546391,1423935,792596,114733,31303,702998,595912,326,71951,11862,22947
2014:Q1,9923845,9394417,10375,519053,9923845,109657,16550,12736,25863,117849,2373459,1532,18174,350385,12262,1325,2649,4533351,1435287,768390,111511,32865,690688,585301,330,71411,11344,22302
2014:Q2,9914037,9377360,10868,525809,9914037,107006,16841,12702,25640,115750,2392529,1789,18122,357161,12976,1387,3412,4516095,1443921,744475,109069,35162,684434,579740,328,71708,10844,21814
2014:Q3,9924431,9381093,11244,532094,9924431,104355,17134,12668,25885,111546,2391822,2283,17446,366474,13872,1457,2758,4527778,1461923,718917,106683,41430,679598,574274,319,73295,10373,21337
2014:Q4,9936617,9387257,11491,537869,9936617,101704,17426,12634,26787,114621,2390451,2885,17288,372468,15038,1363,2935,4538046,1474761,699607,104623,43980,673054,568200,409,73619,9901,20925
2015:Q1,9909411,9351461,11989,545961,9909411,99053,20957,13269,27669,117791,2395504,2770,16279,377094,15164,1328,3139,4527068,1468885,679318,101142,42981,660764,557512,401,73201,9422,20228
2015:Q2,9954437,9387850,12496,554091,9954437,96402,24488,13905,28130,116651,2419439,2822,16081,387095,16304,1293,3305,4537512,1491089,654097,96575,49249,652763,550006,398,74059,8985,19315
2015:Q3,10004091,9429257,12925,561909,10004091,93751,28019,14540,28583,114558,2419596,2576,15891,397688,17481,1258,3389,4564221,1536482,625146,92854,48058,643351,541088,397,74813,8482,18571
2015:Q4,10076354,9492847,13440,570067,10076354,91100,31550,15175,28422,119118,2433539,1526,15665,404865,19308,1223,2886,4570998,1568836,602610,123427,46106,641913,533088,406,75660,8073,24686
2016:Q1,10076096,9483081,13953,579062,10076096,88449,28136,14996,28934,119808,2442398,1423,15507,402982,19893,1188,3032,4568328,1587741,583643,120604,49034,630694,523414,318,75256,7585,24121
2016:Q2,10137065,9535091,14356,587618,10137065,85798,24723,14817,29105,120582,2484635,1131,15287,416732,20796,1153,3305,4572539,1614763,564534,115998,51167,624900,516434,309,78189,6768,23200
2016:Q3,10220823,9608794,14978,597051,10220823,83144,21308,14638,29033,123843,2509520,1124,15144,430379,21618,1119,6544,4597735,1648377,541919,113275,62103,614051,506640,318,78093,6345,22655
2016:Q4,10278844,9658822,15188,604834,10278844,82272,17895,14459,29905,125057,2509974,1172,14968,439413,22846,1084,5232,4644775,1684649,518039,106777,60327,600750,494813,322,78277,5982,21356
2017:Q1,10338308,9706328,15458,616522,10338308,81400,18254,15217,28955,127285,2492196,1147,14749,447317,23462,1049,3740,4688119,1720838,507657,104918,62005,590391,483340,310,78779,6978,20984
