1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,18978,14586,864,3528,19855,17099,2756,0,0,-877,-785,0,-785,183,-52,0,552,-335,-288,0,0,75,91,-22,0,0,6,0,120,0,21,0,0,90,0,968,681,-20,34,0,277,0,277,322,100,222,45,0,0,20,3,0,3,0,0,0,287,-201,488,-92,2513,1892,3528,0,877
1952:Q1,17971,14958,813,2200,21493,18679,2814,0,0,-3522,-4128,0,-4128,-1784,-2224,0,812,-20,-24,0,0,-388,-48,-368,0,0,28,0,16,0,-12,0,0,56,0,2344,992,160,-28,0,156,0,156,780,204,576,-112,0,0,60,-24,0,-24,0,0,0,1352,-100,1452,606,3721,2001,2200,0,3522
1952:Q2,18347,14630,873,2844,19473,16581,2892,0,0,-1126,-1492,0,-1492,1660,-420,0,608,492,148,0,0,440,-52,468,0,0,24,0,340,0,8,0,0,44,0,3152,948,-80,72,0,196,0,196,664,184,480,28,0,0,92,-24,0,-24,0,0,0,2204,-88,2292,366,1951,2019,2844,0,1126
1952:Q3,19165,15250,883,3032,18111,15246,2865,0,0,1054,372,0,372,2184,28,0,-828,1936,-164,0,0,1592,80,1460,0,0,52,0,-420,0,128,0,0,-88,0,1812,196,40,-16,0,-332,0,-332,536,-20,556,-28,0,0,48,-52,0,-52,0,0,0,1616,420,1196,682,-4,1982,3032,0,-1054
1952:Q4,19420,16342,918,2160,18186,15329,2857,0,0,1234,2828,0,2828,1404,1096,0,156,-1408,604,0,0,-676,84,-800,0,0,40,0,1084,0,32,0,0,516,0,-1424,340,24,-92,0,88,0,88,120,88,32,224,0,0,-68,44,0,44,0,0,0,-1764,-100,-1664,-1594,-1013,1939,2160,0,-1234
1953:Q1,19300,15795,917,2588,17953,15128,2825,0,0,1347,-248,0,-248,1792,2412,0,-128,-676,180,0,0,484,-12,564,0,0,-68,0,-544,0,-12,0,0,76,0,2040,768,-8,108,0,204,0,204,460,-192,652,-100,0,0,60,44,0,44,0,0,0,1272,-216,1488,1595,-667,1908,2588,0,-1347
1953:Q2,19990,16447,915,2628,18163,15196,2967,0,0,1827,-1400,0,-1400,1420,512,0,360,-188,468,0,0,924,-4,856,0,0,72,0,-372,0,-104,0,0,-180,0,2820,768,-168,-112,0,-500,0,-500,1424,-192,1616,144,0,0,68,-88,0,-88,0,0,0,2052,372,1680,3227,-1251,2052,2628,0,-1827
1953:Q3,19690,16307,947,2436,18511,15755,2756,0,0,1179,-876,0,-876,2540,1204,0,172,-220,324,0,0,1196,204,932,0,0,60,0,-184,0,4,0,0,44,0,3416,1836,84,44,0,-180,0,-180,1888,-228,2116,-44,0,0,60,-16,0,-16,0,0,0,1580,116,1464,2055,-552,1809,2436,0,-1179
1953:Q4,18927,15507,996,2424,17996,15172,2824,0,0,931,3008,0,3008,2052,516,0,-724,-724,1432,0,0,92,180,-84,0,0,-4,0,880,0,-112,0,0,692,0,-956,880,-288,116,0,28,0,28,1164,152,1012,-76,0,0,-72,8,0,8,0,0,0,-1836,-28,-1808,-2077,-335,1828,2424,0,-931
1954:Q1,17867,14780,955,2132,17379,14424,2955,0,0,488,2536,0,2536,3504,224,0,-288,40,1100,0,0,980,-76,1084,0,0,-28,0,1384,0,-4,0,0,68,0,968,332,-176,4,0,684,0,684,-120,12,-132,-8,0,0,48,-100,0,-100,0,0,0,636,-560,1196,-2048,-356,2000,2132,0,-488
1954:Q2,19048,16184,948,1916,19384,16438,2946,0,0,-336,-748,0,-748,1320,32,0,-32,456,1124,0,0,-540,-52,-456,0,0,-32,0,180,0,-100,0,0,200,0,2068,-188,-80,52,0,-252,0,-252,-304,-128,-176,92,0,0,68,236,0,236,0,0,0,2256,620,1636,412,254,1998,1916,0,336
1954:Q3,18926,15304,934,2688,18850,15878,2972,0,0,76,1228,0,1228,2380,656,0,60,-1040,1036,0,0,1392,-76,1380,0,0,88,0,120,0,-16,0,0,172,0,1152,-424,-512,88,0,-392,0,-392,-28,456,-484,116,0,0,36,268,0,268,0,0,0,1576,708,868,-1152,574,2038,2688,0,-76
1954:Q4,18979,15460,939,2580,19887,16605,3282,0,0,-908,1188,0,1188,1576,280,0,184,1384,-1292,0,0,648,936,-284,0,0,-4,0,248,0,68,0,0,56,0,388,1068,40,32,0,-240,0,-240,1048,804,244,196,0,0,-48,40,0,40,0,0,0,-680,456,-1136,-2096,1145,2343,2580,0,908
1955:Q1,20188,16169,975,3044,20671,17273,3398,0,0,-483,-2376,0,-2376,-684,120,0,52,-1392,148,0,0,-4,-68,24,0,0,40,0,196,0,140,0,0,56,0,1692,-108,-176,-44,0,-376,0,-376,-64,44,-108,96,0,0,48,408,0,408,0,0,0,1800,596,1204,1893,1104,2423,3044,0,483
1955:Q2,20634,17097,1065,2472,20405,16942,3463,0,0,229,-2600,0,-2600,568,132,0,228,288,-60,0,0,-72,-440,344,0,0,24,0,132,0,-96,0,0,16,0,3168,656,-80,-80,0,-232,0,-232,488,220,268,84,0,0,80,396,0,396,0,0,0,2512,492,2020,2829,-155,2398,2472,0,-229
1955:Q3,20879,17421,1094,2364,21686,18145,3541,0,0,-807,-908,0,-908,1104,-60,0,-40,-216,252,0,0,800,12,752,0,0,36,0,284,0,128,0,0,-44,0,2012,196,-52,-16,0,-160,0,-160,128,316,-188,-64,0,0,60,300,0,300,0,0,0,1816,344,1472,101,724,2447,2364,0,807
1955:Q4,21548,18109,1099,2340,21975,18349,3626,0,0,-427,1632,0,1632,360,-32,0,-336,616,-744,0,0,260,-84,228,0,0,116,0,-104,0,-60,0,0,760,0,-1272,228,-256,24,0,-4,0,-4,156,252,-96,100,0,0,-60,268,0,268,0,0,0,-1500,32,-1532,-2059,240,2527,2340,0,427
1956:Q1,22391,18925,1118,2348,23334,19365,3969,0,0,-943,-1188,0,-1188,2116,-48,0,544,200,-888,0,0,1756,148,1544,0,0,64,0,148,0,32,0,0,372,0,3304,1316,16,-136,0,360,0,360,296,140,156,248,0,0,92,440,0,440,0,0,0,1988,-264,2252,245,440,2851,2348,0,943
1956:Q2,22586,18973,1097,2516,24817,20882,3935,0,0,-2231,-2740,0,-2740,1420,-412,0,-344,164,780,0,0,340,40,220,0,0,80,0,292,0,156,0,0,444,0,4160,1592,-276,184,0,324,0,324,700,144,556,68,0,0,108,484,0,484,0,0,0,2568,-116,2684,509,1909,2838,2516,0,2231
1956:Q3,22892,19253,1159,2480,25915,21822,4093,0,0,-3023,-2224,0,-2224,2608,-656,0,1012,-240,156,0,0,1464,372,1024,0,0,68,0,280,0,152,0,0,440,0,4832,1624,292,-88,0,296,0,296,8,216,-208,104,0,0,132,880,140,740,0,0,0,3208,-104,3312,-799,2569,2934,2480,0,3023
1956:Q4,22272,18541,1175,2556,26803,23068,3735,0,0,-4531,-4152,0,-4152,-1308,-104,0,-200,760,-616,0,0,-1220,368,-1644,0,0,56,0,304,0,96,0,0,-328,0,2844,3900,2224,76,0,260,0,260,660,520,140,124,0,0,-32,588,0,588,0,0,0,-1056,-312,-744,-379,4527,2560,2556,0,4531
1957:Q1,23643,20100,1195,2348,29199,24919,4280,0,0,-5556,-5688,0,-5688,-1644,-1392,0,-420,-1188,288,0,0,348,464,-244,0,0,128,0,428,0,76,0,0,216,0,4044,2496,-80,240,0,868,0,868,424,-28,452,-84,0,0,100,1028,0,1028,0,0,0,1548,-892,2440,132,4819,3085,2348,0,5556
1957:Q2,24124,20270,1194,2660,28930,24369,4561,0,0,-4806,-6108,0,-6108,856,-1304,0,-260,2504,-524,0,0,-344,-56,-336,0,0,48,0,288,0,236,0,0,260,0,6964,2412,244,-88,0,504,0,504,216,220,-4,160,0,0,196,1180,0,1180,0,0,0,4552,-336,4888,1302,4099,3367,2660,0,4806
1957:Q3,23306,19762,1228,2316,28220,23759,4461,0,0,-4914,-4664,0,-4664,-884,-108,0,-116,-336,4,0,0,-480,776,-1344,0,0,88,0,24,0,56,0,0,72,0,3780,2048,996,-92,0,124,0,124,392,496,-104,24,0,0,72,532,0,532,0,0,0,1732,-80,1812,-250,3997,3233,2316,0,4914
1957:Q4,23198,19634,1236,2328,26792,23022,3770,0,0,-3594,-1984,0,-1984,812,-392,0,-196,416,-264,0,0,1332,-52,1288,0,0,96,0,-152,0,-4,0,0,72,0,2796,2840,308,-88,0,244,0,244,2356,620,1736,252,0,0,12,-244,0,-244,0,0,0,-44,-292,248,-1610,3388,2534,2328,0,3594
1958:Q1,22943,19455,1256,2232,24420,20534,3886,0,0,-1477,-816,0,-816,2376,1480,0,728,-1732,3760,0,0,-1980,452,-2568,0,0,136,0,-120,0,-120,0,0,360,0,3192,2476,268,116,0,1084,0,1084,676,364,312,-204,0,0,52,484,0,484,0,0,0,716,-600,1316,-661,1079,2630,2232,0,1477
1958:Q2,23591,20075,1172,2344,24412,20546,3866,0,0,-821,-376,0,-376,3864,4300,0,464,1104,204,0,0,-2536,-624,-1908,0,0,-4,0,-72,0,8,0,0,392,0,4240,2904,168,-112,0,1360,0,1360,492,516,-24,152,0,0,100,744,0,744,0,0,0,1336,-1160,2496,-445,471,2694,2344,0,821
1958:Q3,23385,19739,1234,2412,24434,20595,3839,0,0,-1049,432,0,432,3988,1932,0,-156,-1396,40,0,0,3180,-172,3352,0,0,0,0,-32,0,52,0,0,368,0,3556,2120,-212,160,0,352,0,352,1348,664,684,-12,0,0,60,424,0,424,0,0,0,1436,-72,1508,-1481,856,2605,2412,0,1049
