1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,500655,390576,240645,75319,10128,64484,110079,91,25859,900,0,0,19587,90,18653,0,844,7241,26,7215,0,0,41964,12567,1870,136442,40061,269,0,39792,38807,22183,3395,13229,32316,20537,532,4189,364213,147629,147629,0,2050,41.09652636531509,52.69165223084305,21.65443875136855,334455,224376,94618,56603,8327,64828,198013,1431,83554
1952:Q1,509451,401208,247776,76672,10253,66508,108243,84,24511,900,0,0,18825,138,17862,0,825,5616,27,5589,0,0,43434,12945,1928,133945,41201,328,0,40873,38567,21916,3265,13385,30361,18812,544,4460,375506,151463,151463,0,2093,40.89303749631431,51.94710921378918,21.24275084904616,337343,229100,96160,58182,8532,66226,203398,1444,85113
1952:Q2,511549,403344,249166,78341,10453,65384,108205,102,25850,900,0,0,17555,432,16635,0,488,6172,28,6144,0,0,42254,13529,1843,130976,42647,304,0,42343,38123,21494,3369,13260,28227,16610,558,4811,380573,157607,157607,0,2148,41.97747267747145,50.55887491358983,21.22333790288913,338826,230621,97641,59842,8767,64371,207850,1457,86690
1952:Q3,517332,403839,248236,78746,10740,66118,113493,98,26398,900,0,0,18007,411,17018,0,578,6276,29,6247,0,0,46001,13827,1986,136151,43816,346,0,43470,38712,21955,3506,13251,30753,17238,567,5065,381181,156907,156907,0,2185,41.73656294401795,51.87425683812356,21.65053185698498,347606,234113,99139,60953,9035,64986,211455,1471,88276
1952:Q4,524262,408765,251382,79669,11026,66688,115497,75,26641,900,0,0,18655,195,17647,0,813,7081,30,7051,0,0,45866,14261,2018,141231,44828,331,0,44497,40270,22979,3827,13464,33077,17381,579,5096,383031,146628,146628,0,2227,38.86242549374178,57.16820550924472,22.21695127213941,354026,238529,100793,62362,9339,66035,212795,1485,89931
1953:Q1,526780,412913,252850,81298,11415,67350,113867,102,23589,900,0,0,19241,212,18164,0,865,6411,31,6380,0,0,46828,14635,2161,139123,45627,370,0,45257,40877,23076,4046,13756,31088,16007,596,4928,387657,143052,143052,0,2295,37.49374374268225,59.51568102946819,22.31465693190095,357419,243552,102597,63923,9666,67366,218296,1500,91641
1953:Q2,533709,419219,255579,83324,11757,68559,114490,74,25710,900,0,0,17581,194,16454,0,933,6777,32,6745,0,0,46126,15058,2264,139793,46567,297,0,46270,40787,22710,4381,13696,31407,15201,602,5229,393916,133816,133816,0,2314,34.55809164178933,64.16942400733546,22.17572835446336,361962,247472,104547,65421,10015,67489,222169,1515,93409
1953:Q3,544213,425727,258630,85423,12095,69579,118486,85,25865,900,0,0,19467,214,18232,0,1021,6697,32,6665,0,0,47561,15424,2487,144012,47147,347,0,46800,41191,23000,4430,13761,32222,17399,619,5434,400201,129274,129274,0,2377,32.89620210475569,67.10019969226948,22.07341730346363,370818,252332,106519,66998,10366,68449,226806,1530,95187
1953:Q4,545484,426950,259102,86825,12393,68631,118534,114,26550,900,0,0,20449,204,19240,0,1005,7341,32,7309,0,0,45021,15735,2424,146098,48414,402,0,48012,40838,22417,4279,14142,32800,17986,632,5428,399386,144082,144082,0,2434,36.68528504852185,60.91590115228607,22.34717197759195,373515,254981,108420,68431,10712,67418,227417,1544,96956
1954:Q1,544155,429897,260323,88573,12813,68188,114258,115,23706,950,0,0,19162,312,17887,0,963,6453,32,6421,0,0,45279,16031,2562,140553,49314,525,0,48789,40851,22093,4340,14418,30154,14340,646,5248,403602,156255,156255,0,2489,39.33177765240524,56.79925462191249,22.34015653611413,372608,258350,110200,69690,11053,67407,232055,1558,98666
1954:Q2,546288,432562,261677,90274,13085,67526,113726,128,25354,1000,0,0,16134,338,14874,0,922,6862,32,6830,0,0,45273,16440,2535,138011,50208,484,0,49724,39943,21445,4213,14285,30197,11324,667,5672,408277,172550,172550,0,2559,42.8897357561545,51.48295324316716,22.08090260545897,373651,259925,111868,70893,11381,65783,235640,1573,100322
1954:Q3,552737,433467,263287,89557,13371,67252,119270,150,26760,1050,0,0,17663,300,16366,0,997,6790,32,6758,0,0,47592,16649,2616,142579,51583,584,0,50999,39583,21273,4095,14216,31519,13163,682,6049,410158,191985,191985,0,2631,47.44899483379651,46.84428864671587,22.22714409990894,382197,262927,113502,72151,11700,65574,239618,1589,101933
1954:Q4,559993,435961,265003,90065,13648,67246,124032,158,28329,1100,0,0,18786,291,17523,0,972,7687,33,7654,0,0,48406,17036,2530,149274,52078,531,0,51547,40765,21761,4368,14636,34832,14767,681,6151,410719,194840,194840,0,2619,48.07637634874887,47.01894053489197,22.6050028067491,390017,265985,115182,73317,12015,65471,240743,1606,103506
1955:Q1,563860,439111,265939,90580,14169,68422,124749,147,26814,1075,0,0,19039,281,17543,150,1065,6834,36,6798,0,0,50806,17331,2703,147524,52555,500,0,52055,41165,22121,4109,14935,34093,12936,699,6076,416336,202122,202122,0,2696,49.19537978025347,45.75793510644609,22.51078995521808,395284,270535,116984,74394,12331,66826,247760,1625,105126
1955:Q2,574685,446898,270079,92427,14464,69928,127787,127,27756,1050,0,0,18399,352,16788,200,1059,7398,40,7358,0,0,52383,17837,2837,150525,53159,380,0,52779,42227,22865,4234,15128,35703,12026,723,6687,424160,225533,225533,0,2780,53.82703078080183,41.7786639158053,22.48821428576827,402343,274556,118888,75672,12659,67337,251818,1644,106787
1955:Q3,594279,459147,276744,95769,14832,71802,135132,123,28304,1025,0,0,20323,245,18619,250,1209,7477,44,7433,0,0,56754,18200,2926,159494,53624,371,0,53253,43249,23814,4080,15355,39673,15248,740,6960,434785,240995,240995,0,2848,56.08355647588602,39.72741546820798,22.2805474905223,416087,280955,120935,77220,13008,69792,256593,1663,108558
1955:Q4,615411,473997,285179,99658,15241,73919,141414,129,29282,1000,0,0,23017,217,21281,300,1219,8385,47,8338,0,0,58009,18720,2872,171274,54926,362,0,54564,46290,25662,4433,16195,43874,18430,746,7008,444137,244222,244222,0,2870,55.63422050774519,40.96278811056208,22.78932786355054,429970,288556,123139,79048,13402,72967,258696,1680,110482
1956:Q1,628955,491588,296669,102953,15812,76154,137367,95,26140,1000,0,0,20868,171,18878,325,1494,7505,49,7456,0,0,59131,19286,3342,168037,55348,362,0,54986,48255,27113,4715,16428,41991,15133,769,6541,460918,262345,262345,0,2954,57.55877992941576,39.05159673860673,22.47762262569755,433925,296558,125607,80805,13845,76301,265888,1697,112646
