date,FA216902505.A,FA216300001.A,FA216902605.A,FA216025001.A,FA216020001.A,FA216401005.A,FA216402101.A,FA216140005.A,FA216402101.A,FA216240001.A,FA216402015.A,FA216150195.A,FA216130101.A,FA216121101.A,FA216112101.A,FA216130095.A,FA216140005.A,FA216220005.A,FA216601001.A,FA216404001.A,FA216403105.A,FA216403001.A,FA216012005.A,FA216901001.A,FA216006095.A,FA216006395.A,FA216006095.A,FA215440005.A,FA215050905.A,FA215019001.A,FA216300001.A,FA215420003.A,FA215000995.A,FA215000995.A,FA214090005.A,FA214000005.A,FA213020005.A,FA213030000.A,FA214022005.A,FA213069103.A,FA213061105.A,FA213061703.A,FA213062003.A,FA213063003.A,FA214035005.A,FA212051003.A,FA213065005.A,FA213081005.A,FA213034003.A,FA213064103.A,FA213064203.A,FA213096005.A,FA213070003.A,FA213078005.A,FA213093003.A,FA214190005.A,FA213162005.A,FA213162400.A,FA213162200.A,FA213169203.A,FA223073045.A,FA213170003.A,FA215000005.A,FV218090185.A,FV212010095.A,FV218090085.A,FU217005045.A,FR212010095.A,FR215015605.A,FR215013265.A,FR215013765.A,FR213081005.A,FR223073045.A,FR218200005.A,FC212090095.A,FL212000095.A,LM212010095.A,LM215015605.A,LM215013265.A,LM215013765.A,FL214090005.A,FL214000005.A,FL213020005.A,FL213030000.A,FL214022005.A,FL213069103.A,FL213061105.A,FL213061703.A,FL213062003.A,FL213063003.A,FL214035005.A,FL212051003.A,FL213065005.A,FL213081005.A,FL213034003.A,LM213064103.A,LM213064203.A,FL213096005.A,FL213070003.A,FL213078005.A,FL213093003.A,FL212100005.A,FL214190005.A,FL213162005.A,FL213162400.A,FL213162200.A,FL213169203.A,FL223073045.A,FL213170003.A,FL212090095.A
1960,33600,4526,29074,27911,25137,2774,1163,30386,1163,31475,0,1323,1047,0,276,3575,30386,5479,461,4561,4290,0,36055,33539,2517,5523,2517,-3006,10446,14107,4526,865,-4923,-4923,2628,1365,-13,1378,1434,0,897,504,33,0,-560,-752,192,0,0,0,0,389,339,-1,51,8508,5310,284,5026,205,2073,920,-5880,-5112,0,-4155,957,-371,-386,8,7,0,-15,-356,54,241595,204358,198461,5123,774,37237,13023,8466,4557,17536,0,13739,1050,2747,0,1406,-176,1582,0,0,0,0,5272,4214,535,523,241595,128567,70971,3457,67514,1240,48855,7501,113028
1961,36571,4789,31782,30552,27401,3151,1230,32505,1230,33807,0,1417,1061,0,356,3949,32505,5846,492,4982,4941,0,38802,36606,2196,5486,2196,-3290,11455,15252,4789,992,-5969,-5969,2399,880,-28,908,749,0,263,470,16,0,388,121,267,0,0,0,0,382,307,90,-15,8923,5378,236,5142,226,2324,995,-6524,-4738,0,-4184,555,2004,2007,-11,9,0,-149,2153,2901,256462,216826,210486,5485,855,39636,13903,8438,5465,18285,0,14002,1520,2763,0,1794,-55,1849,0,0,0,0,5654,4521,625,508,256462,140533,76349,3693,72656,1466,54222,8496,115929
1962,39253,5135,34118,32819,29717,3102,1299,34534,1299,36251,0,1538,1113,0,425,4554,34534,6528,548,5340,5453,0,41723,38672,3052,6577,3052,-3525,12019,16097,5135,1057,-5442,-5442,3384,1077,92,985,1312,0,1155,347,-190,0,772,521,251,0,0,0,0,223,323,27,-127,9832,5451,-11,5462,504,2830,1047,-6448,3381,0,4388,1006,4387,4401,-21,7,0,96,4291,14249,275195,232175,225373,5856,946,43020,14980,8530,6450,19597,0,15157,1867,2573,0,2566,466,2100,0,0,0,0,5877,4844,652,381,275195,145017,81800,3682,78118,1970,51704,9543,130178
1963,42665,5506,37159,35629,32095,3534,1530,36854,1530,38700,-12,1637,1245,0,392,5001,36854,7067,629,5697,5973,0,44826,41549,3278,7420,3278,-4142,13414,17769,5506,1151,-5995,-5995,3507,2579,936,1643,1453,0,1157,535,-239,0,-1014,-1211,197,0,0,0,0,489,464,78,-53,9719,5240,446,4794,233,3104,1142,-6212,-2651,0,-2434,217,3617,3566,42,10,0,-291,3908,8676,294583,248056,240596,6396,1064,46527,17559,9466,8093,21050,0,16314,2402,2334,0,1552,-745,2297,0,0,0,0,6366,5308,730,328,294583,155729,87040,4128,82912,2203,55801,10685,138854
1964,46401,5910,40490,38863,35024,3839,1627,39942,1627,41845,-10,1911,1485,0,426,5431,39942,7928,682,6154,6755,0,49153,45233,3920,8641,3920,-4721,14622,19274,5910,1258,-5981,-5981,4190,2981,1262,1719,1438,0,1019,530,-111,0,-786,-1013,227,0,0,0,0,557,532,44,-19,10729,6120,761,5359,261,3100,1248,-6539,-3772,0,-3214,558,3332,3297,24,11,0,-228,3559,8428,315468,264751,256533,7023,1195,50717,20540,10728,9812,22488,0,17333,2932,2223,0,766,-1758,2524,0,0,0,0,6923,5840,774,309,315468,168186,93160,4889,88271,2464,60629,11933,147282
1965,50780,6427,44353,42689,38410,4279,1663,43257,1663,45282,-18,2198,1751,0,447,5869,43257,8573,758,6651,7421,0,53358,49693,3665,8412,3665,-4747,16032,21165,6427,1294,-7620,-7620,6177,1797,-577,2374,2303,0,2191,168,-56,0,1239,1050,189,0,0,0,0,838,763,77,-2,12455,7237,618,6619,313,3524,1381,-6278,-2649,0,-3992,-1343,8989,8908,66,15,0,-148,9136,14899,345370,288476,279422,7708,1346,56894,22337,10151,12186,24791,0,19524,3100,2167,0,2005,-708,2713,0,0,0,0,7761,6603,851,307,345370,183189,100397,5507,94890,2777,66701,13314,162181
1966,56330,7091,49239,47657,42549,5108,1583,46507,1583,48762,-24,2618,2091,0,527,6432,46507,10006,821,7621,10404,0,60117,55391,4726,9870,4726,-5144,17759,23479,7091,1371,-7889,-7889,4087,1816,540,1276,-208,0,573,-739,-42,0,1688,1513,175,0,0,0,0,791,641,5,145,11605,6236,661,5575,627,3207,1535,-7518,-5299,0,-5670,-371,14012,13782,210,20,0,189,13823,18394,379858,318877,308731,8612,1534,60981,24153,10691,13462,24583,0,20097,2361,2125,0,3693,805,2888,0,0,0,0,8552,7244,856,452,379858,199283,106633,6168,100465,3404,74397,14849,180575
1967,62156,7766,54390,52839,47371,5468,1551,50140,1551,52773,-26,3001,2365,0,636,7159,50140,11200,877,9232,12314,0,65299,61291,4009,9097,4009,-5088,19337,25722,7766,1381,-10240,-10240,3470,3166,736,2430,35,0,-355,390,0,0,-434,-549,115,0,0,0,0,703,578,125,0,13235,7151,1823,5328,175,4222,1687,-9765,-4018,0,-4493,-475,12160,11835,291,35,0,-429,12589,17668,413445,348994,337658,9580,1756,64451,27319,11427,15892,24618,0,19742,2751,2125,0,3259,256,3003,0,0,0,0,9255,7822,981,452,413445,215202,113793,8000,105793,3579,81294,16536,198243
1968,70256,8600,61656,60178,53543,6635,1478,56226,1478,59535,-27,3476,2759,0,717,8236,56226,13862,942,11446,13319,0,72903,69435,3468,10309,3468,-6841,20943,28128,8600,1414,-10634,-10634,5903,2557,-661,3218,3636,0,184,3406,46,0,-1337,-1529,192,0,0,0,0,1047,947,185,-85,15805,8443,143,8300,310,5181,1871,-9902,-10509,0,-11241,-732,18535,18148,298,90,0,-581,19116,18915,457412,387058,374457,10564,2037,70354,29876,10766,19110,28254,0,19926,6157,2171,0,1922,-1273,3195,0,0,0,0,10302,8769,1166,367,457412,240254,122132,8143,113989,3993,95722,18407,217158
1969,78530,9645,68885,67459,59560,7899,1426,62616,1426,66044,-25,4341,3574,0,767,9170,62616,16416,1026,13217,15257,0,82098,78973,3124,9967,3124,-6843,20154,28818,9645,981,-10187,-10187,5954,-4011,1879,-5890,4497,0,3081,1351,65,0,4329,3872,457,0,0,0,0,1139,1239,10,-110,20221,11386,2766,8620,746,6065,2024,-14267,-15068,0,-10988,4080,31799,31214,468,117,0,290,31509,26408,514347,438039,423875,11791,2373,76308,25865,12645,13220,32751,0,23007,7508,2236,0,6251,2599,3652,0,0,0,0,11441,10008,1176,257,514347,270781,133518,10909,122609,4739,112093,20431,243566
1970,88695,10946,77750,76318,67585,8733,1432,68844,1432,73332,-24,5157,4336,0,821,11053,68844,17957,1089,16101,20095,0,91884,90441,1443,7655,1443,-6212,19488,29336,10946,1098,-11833,-11833,4336,9038,-967,10005,-2251,0,-67,-2332,148,0,-3098,-4015,917,0,0,0,0,647,622,65,-40,21175,11983,2343,9640,77,6928,2187,-16839,-12142,0,-7136,5006,43159,42435,597,127,0,-661,43820,39333,580234,499590,483690,13154,2746,80644,34903,11678,23225,30500,0,22940,5176,2384,0,3153,-1416,4569,0,0,0,0,12088,10630,1241,217,580234,297335,145501,13252,132249,4816,124400,22618,282899
1971,99378,12227,87150,85882,75266,10616,1268,74836,1268,81501,-34,5487,4582,0,905,13386,74836,20186,1174,19332,24130,0,100994,102279,-1285,5718,-1285,-7003,20112,30711,12227,1628,-14393,-14393,9264,8143,984,7159,-2777,0,-353,-2172,-252,0,1632,553,1079,0,0,0,0,2266,929,1246,91,28167,16065,2483,13582,365,9343,2394,-18903,-26008,0,-21499,4509,32635,32243,271,121,0,-2113,34748,14458,640618,550710,533464,14148,3098,89908,43046,12662,30384,27723,0,22587,3004,2132,0,4785,-863,5648,0,0,0,0,14354,11559,2487,308,640618,343261,161566,15735,145831,5181,151502,25012,297357
1972,110257,13314,96943,95502,82844,12658,1441,80926,1441,89447,-53,5924,4937,0,987,15834,80926,26135,1320,21953,32846,0,119274,113201,6072,13342,6072,-7270,19684,31342,13314,1656,-6342,-6342,17305,7545,768,6777,5331,0,2309,3321,-299,0,1298,-89,1387,0,0,0,0,3131,1454,1779,-102,26842,13618,52,13566,345,10344,2535,-9537,-28218,0,-25023,3195,34396,33966,298,133,0,-3123,37519,22643,710348,603135,584266,15403,3466,107213,50591,13430,37161,33054,0,24896,6325,1833,0,6083,-952,7035,0,0,0,0,17485,13013,4266,206,710348,390348,175184,15787,159397,5526,182091,27547,320000
1973,121498,14840,106658,105231,91633,13598,1427,87840,1427,97421,-81,7762,6601,27,1134,18689,87840,28854,1492,24084,36076,0,130178,124592,5586,12898,5586,-7312,20872,33989,14840,1723,-7973,-7973,22614,7011,-213,7224,8031,0,1169,6633,229,0,3149,1449,1700,0,0,0,0,4423,2827,1624,-28,28648,13783,315,13468,286,11808,2771,-6034,16116,0,14176,-1940,70577,69368,887,323,0,5412,65165,94179,822694,692867,671307,17519,4041,129827,57602,13217,44385,41085,0,26065,12958,2062,0,9232,497,8735,0,0,0,0,21908,15840,5890,178,822694,408515,189863,16102,173761,4916,183418,30318,414179
1974,134892,18353,116540,115737,100030,15707,803,94175,803,104838,-116,10193,8906,32,1255,21542,94175,31202,1665,25276,37945,0,139711,142036,-2324,6846,-2324,-9170,24024,40500,18353,1876,-17178,-17178,9989,5635,-67,5702,4068,0,458,3086,524,0,714,-1756,2470,0,0,0,0,-428,-2038,1664,-54,31196,12758,2709,10049,676,14440,3322,-21207,-15178,0,-11149,4029,164685,160995,3273,417,0,6241,158444,150112,1019562,879746,852740,22293,4713,139816,63237,13150,50087,45153,0,26523,16044,2586,0,9946,-1259,11205,0,0,0,0,21480,13802,7554,124,1019562,455271,202621,18811,183810,5592,213418,33640,564291
