date,All sectors; capital transfers paid,Domestic business; capital transfers paid,Domestic financial sectors; capital transfers paid,Property-casualty insurance companies; capital transfers paid, disaster-related insurance benefits,Domestic financial sectors; capital transfers paid, other than for disasters,Nonfinancial corporate business; capital transfers paid (includes disaster-related payments by BP to state and local governments),Nonfinancial noncorporate business; capital transfers paid,General government; capital transfers paid,Federal government; capital transfers paid,State and local governments; capital transfers received, investment grants from federal government,Federal government; capital transfers paid, disaster-related insurance benefits,Federal government; capital transfers paid to financial corporations under the financial stabilization program,Federal government; other capital transfers paid to business,Federal government; other capital transfers paid to households,Federal government; capital transfers paid to the rest of the world,State and local governments; capital transfers paid, disaster-related insurance benefits,State and local governments; capital transfers paid, disaster-related insurance benefits,Households and nonprofit organizations; capital transfers paid; estate and gift taxes,Federal government; capital transfers received, estate and gift taxes paid by persons,State and local governments; capital transfers received, estate and gift taxes paid by persons,Rest of the world; capital transfers paid,Rest of the world; capital transfers paid, disaster-related insurance benefits,Rest of the world; capital transfers paid, other than for disasters,All sectors; capital transfers received,Domestic business; capital transfers received,Domestic financial sectors; capital transfers received,Property-casualty insurance companies; capital transfers received, disaster-related insurance benefits,Domestic financial sectors; capital transfers received, other,Nonfinancial corporate business; capital transfers received,Nonfinancial corporate business; capital transfers received, disaster-related insurance benefits,Nonfinancial corporate business; capital transfers received, other,Nonfinancial noncorporate business; capital transfers received,Nonfinancial noncorporate business; capital transfers received, disaster-related insurance benefits,Nonfinancial noncorporate business; capital transfers received, other,General government; capital transfers received,Federal government; capital transfers received, total,Federal government; capital transfers received, estate and gift taxes paid by persons,Federal government; capital transfers received, other,State and local governments; capital transfers received,State and local governments; capital transfers received, disaster-related insurance benefits,State and local governments; capital transfers received, estate and gift taxes paid by persons,State and local governments; capital transfers received, investment grants from federal government,State and local governments; capital transfers received, other (includes disaster-related payments by BP to state and local governments for the 2010 Gulf oil spill),Households and nonprofit organizations; capital transfers received,Households and nonprofit organizations; capital transfers received, disaster-related insurance benefits,Households and nonprofit organizations; capital transfers received, other,Rest of the world; capital transfers received,Rest of the world; capital transfers received from U.S. government,Rest of the world; capital transfers received, disaster-related insurance benefits,Rest of the world; capital transfers received, other,Domestic business; net capital transfers paid,Domestic financial sectors; net capital transfers paid,Property-casualty insurance companies; net capital transfers paid,Life insurance companies; capital transfers paid, tax on foreign earnings retained abroad,U.S.-chartered depository institutions; net capital transfers paid,Government-sponsored enterprises; capital transfers received from the federal government,Finance companies; capital transfers paid, tax on foreign earnings retained abroad,Security brokers and dealers; capital transfers paid, tax on foreign earnings retained abroad,Holding companies; capital transfers received by GMAC from the federal government under the financial stabilization program,Other financial business; capital transfers received by AIG from the federal government under the financial stabilization program,Nonfinancial corporate business; net capital transfers paid,Nonfinancial noncorporate business; net capital transfers paid,General government; net capital transfers paid,Federal government; net capital transfers paid,State and local governments; net capital transfers paid,Households and nonprofit organizations; net capital transfers paid,Rest of the world; net capital transfers paid
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1334,0,0,0,0,0,0,266,266,266,0,0,0,0,0,0,0,1068,885,183,0,0,0,1334,0,0,0,0,0,0,0,0,0,0,1334,885,885,0,449,0,183,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1068,-619,-449,1068,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1287,0,0,0,0,0,0,372,372,372,0,0,0,0,0,0,0,915,740,175,0,0,0,1287,0,0,0,0,0,0,0,0,0,0,1287,740,740,0,547,0,175,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-915,-368,-547,915,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,1267,0,0,0,0,0,0,442,442,442,0,0,0,0,0,0,0,825,643,182,0,0,0,1267,0,0,0,0,0,0,0,0,0,0,1267,643,643,0,624,0,182,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-825,-201,-624,825,0
