date,Private depository institutions; total time and savings deposits; liability,U.S.-chartered depository institutions, including IBFs; total time and savings deposits; liability,Foreign banking offices in the U.S., including IBFs; total time and savings deposits; liability,Banks in U.S.-affiliated areas; total time and savings deposits; liability,Credit unions; total time and savings deposits; liability,Private depository institutions; total time and savings deposits; liability,Households and nonprofit organizations; total time and savings deposits; asset,Nonfinancial business; total time and savings deposits; asset,Nonfinancial corporate business; total time and savings deposits; asset,Nonfinancial noncorporate business; total time and savings deposits; asset,Federal government; total time and savings deposits; asset,State and local governments; total time and savings deposits; asset,Domestic financial sectors; total time and savings deposits; asset,Private pension funds; total time and savings deposits; asset,State and local government employee defined benefit retirement funds; total time and savings deposits; asset,Money market funds; total time and savings deposits; asset,Government-sponsored enterprises; total time and savings deposits; asset,Finance companies; total time and savings deposits; asset,Holding companies; total time and savings deposits; asset,Rest of the world; U.S. total time and savings deposits; asset
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6535,6456,16,0,63,6535,6338,0,0,0,16,179,-2,0,0,0,0,-2,0,4
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3595,3534,-20,0,81,3595,3479,0,0,0,-9,159,-16,0,0,0,0,-16,0,-18
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2543,2457,-7,0,93,2543,2201,0,0,0,6,271,44,0,0,0,0,44,0,21
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2981,2860,23,0,98,2981,2594,0,0,0,65,152,28,0,0,0,0,28,0,142
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2743,2574,20,0,149,2743,2365,0,0,0,8,101,42,0,0,0,0,42,0,227
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,4951,4711,15,0,225,4951,4970,0,0,0,88,152,29,0,0,0,0,29,0,-288
1952:Q1,7528,7304,40,0,184,7528,5876,0,0,0,48,152,1476,1468,0,0,0,8,0,-24
1952:Q2,8104,7740,56,0,308,8104,8092,0,0,0,108,-308,64,56,0,0,0,8,0,148
1952:Q3,6860,6504,56,0,300,6860,6364,0,0,0,32,560,68,60,0,0,0,8,0,-164
1952:Q4,10276,9908,56,0,312,10276,9564,0,0,0,104,-64,68,60,0,0,0,8,0,604
1953:Q1,8380,8092,52,0,236,8380,8276,0,0,0,-24,-120,68,64,0,0,0,4,0,180
1953:Q2,10032,9508,56,0,468,10032,9448,0,0,0,-20,60,76,68,0,0,0,8,0,468
1953:Q3,7312,6928,48,0,336,7312,6488,0,0,0,16,412,72,68,0,0,0,4,0,324
1953:Q4,11192,10840,44,0,308,11192,8728,0,0,0,-8,964,76,68,0,0,0,8,0,1432
1954:Q1,11048,10764,56,0,228,11048,8612,200,200,0,8,1040,88,76,0,0,0,12,0,1100
1954:Q2,12072,11652,52,0,368,12072,10772,200,200,0,-36,-76,88,76,0,0,0,12,0,1124
1954:Q3,8908,8412,52,0,444,8908,6528,200,200,0,36,1044,64,80,0,0,0,-16,0,1036
1954:Q4,10168,9776,36,0,356,10168,11272,200,200,0,104,-160,44,80,0,0,0,-36,0,-1292
1955:Q1,8756,8560,0,0,196,8756,9108,-100,-100,0,16,-516,100,84,0,0,0,16,0,148
1955:Q2,9348,8876,-20,0,492,9348,9336,-100,-100,0,-16,64,124,92,0,0,0,32,0,-60
