date,Households and nonprofit organizations; proprietors' equity in noncorporate business,Nonfinancial noncorporate business; proprietors' equity in noncorporate business,Security brokers and dealers; proprietors' equity in noncorporate business
1945:Q4,ND,ND,ND
1946:Q1,ND,ND,ND
1946:Q2,ND,ND,ND
1946:Q3,ND,ND,ND
1946:Q4,572,572,0
1947:Q1,ND,ND,ND
1947:Q2,ND,ND,ND
1947:Q3,ND,ND,ND
1947:Q4,88,88,0
1948:Q1,ND,ND,ND
1948:Q2,ND,ND,ND
1948:Q3,ND,ND,ND
1948:Q4,4822,4822,0
1949:Q1,ND,ND,ND
1949:Q2,ND,ND,ND
1949:Q3,ND,ND,ND
1949:Q4,1414,1414,0
1950:Q1,ND,ND,ND
1950:Q2,ND,ND,ND
1950:Q3,ND,ND,ND
1950:Q4,2102,2102,0
1951:Q1,ND,ND,ND
1951:Q2,ND,ND,ND
1951:Q3,ND,ND,ND
1994:Q2,87711,90231,-2520
1994:Q3,48267,47875,392
1994:Q4,27553,29881,-2328
1995:Q1,36458,35234,1224
1995:Q2,41634,42346,-712
1995:Q3,16741,13125,3616
1995:Q4,5175,4755,420
1996:Q1,-22691,-25467,2776
1996:Q2,29199,29959,-760
1996:Q3,3237,1385,1852
1996:Q4,-8610,-8070,-540
1997:Q1,-36271,-40515,4244
1997:Q2,-6637,-11505,4868
1997:Q3,-17244,-21420,4176
1997:Q4,1940,2932,-992
1998:Q1,-41895,-45235,3340
1998:Q2,-41830,-40602,-1228
1998:Q3,-9834,-8810,-1024
1998:Q4,-40981,-41277,296
1999:Q1,-37985,-38513,528
1999:Q2,-69164,-70748,1584
1999:Q3,-69970,-71422,1452
1999:Q4,-81169,-87673,6504
2000:Q1,-29434,-30382,948
2000:Q2,-12922,-16494,3572
2000:Q3,24908,26284,-1376
2000:Q4,-43100,-43296,196
2001:Q1,28995,21647,7348
2001:Q2,-3680,-9308,5628
2001:Q3,-21501,-23457,1956
2001:Q4,-23581,-27141,3560
2002:Q1,-59980,-56304,-3676
2002:Q2,-80703,-80239,-464
2002:Q3,-78404,-77392,-1012
2002:Q4,-56399,-59003,2604
2003:Q1,29745,32261,-2516
2003:Q2,41645,38617,3028
2003:Q3,40115,40099,16
2003:Q4,37605,36209,1396
2004:Q1,14961,20949,-5988
2004:Q2,78191,79051,-860
2004:Q3,49620,46304,3316
2004:Q4,60780,58312,2468
2005:Q1,-43440,-44560,1120
2005:Q2,-62229,-61625,-604
2005:Q3,-110047,-109299,-748
2005:Q4,-75455,-76307,852
2006:Q1,-19970,-21754,1784
2006:Q2,-42120,-40348,-1772
2006:Q3,-38052,-37268,-784
2006:Q4,-58853,-51673,-7180
2007:Q1,-56657,-68377,11720
2007:Q2,-55568,-57920,2352
2007:Q3,-56927,-59359,2432
2007:Q4,-81671,-86179,4508
2008:Q1,-397111,-399287,2176
2008:Q2,-349365,-349933,568
2008:Q3,-346229,-350669,4440
2008:Q4,-355329,-346365,-8964
2009:Q1,-68831,-80303,11472
2009:Q2,-50004,-37480,-12524
2009:Q3,-51369,-49097,-2272
2009:Q4,-35503,-43827,8324
2010:Q1,200473,197077,3396
2010:Q2,159679,160635,-956
2010:Q3,172167,168431,3736
2010:Q4,192803,174331,18472
2011:Q1,178846,185906,-7060
2011:Q2,161745,160465,1280
2011:Q3,154519,159767,-5248
2011:Q4,192381,188357,4024
2012:Q1,65544,27112,38432
2012:Q2,6774,5074,1700
2012:Q3,13859,11423,2436
2012:Q4,-11374,-10566,-808
2013:Q1,133202,129950,3252
2013:Q2,141281,139133,2148
2013:Q3,140974,151562,-10588
2013:Q4,164208,147388,16820
2014:Q1,71948,65508,6440
2014:Q2,64257,60017,4240
2014:Q3,77833,74249,3584
2014:Q4,56912,53868,3044
2015:Q1,144470,143282,1188
2015:Q2,128142,127978,164
2015:Q3,132212,115204,17008
2015:Q4,123885,121113,2772
2016:Q1,-207942,-212874,4932
2016:Q2,-233475,-232495,-980
2016:Q3,-138173,-211157,72984
2016:Q4,-224534,-216946,-7588
2017:Q1,116468,109360,7108
2017:Q2,104996,108408,-3412
2017:Q3,80775,75339,5436
2017:Q4,92502,97826,-5324
2018:Q1,26100,4112,21988
2018:Q2,-16156,-25484,9328
2018:Q3,-72450,-81274,8824
2018:Q4,-26960,-24968,-1992
2019:Q1,7767,7067,700
2019:Q2,19626,19662,-36
2019:Q3,33610,24818,8792
2019:Q4,10751,-773,11524
2020:Q1,6934,1598,5336
2020:Q2,4028,-10548,14576
2020:Q3,11720,17192,-5472
2020:Q4,28459,15463,12996
2021:Q1,-28962,-42742,13780
2021:Q2,21672,4888,16784
2021:Q3,102,-6498,6600
2021:Q4,-3371,-13792,10421
