1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q3,959539,8840,26692,25334,222877,4569,70679,34834,89994,22801,651754,186789,6602,353537,104826,4185,0,0,1193,18664,922689,-855,203835,616463,33308,10428,6668,3760,6736,894,93,51787,19000,0,32787,357,0,ND
1972:Q4,1009605,8648,25647,27902,234080,5468,77289,37652,90998,22673,686371,202517,6898,367843,109113,4608,0,0,1266,21083,973835,-1289,226515,638377,34930,11094,6967,4127,7979,906,102,55221,21000,0,34221,393,0,ND
1973:Q1,1036476,8889,26873,30076,229039,4375,71273,38710,91816,22865,713953,213491,6859,380251,113352,4463,0,0,1344,21839,998059,-4529,211158,670281,40862,10987,6928,4059,8420,1242,103,59535,21000,0,38535,397,0,ND
1973:Q2,1072682,7666,24818,30326,229148,4234,67225,42284,92934,22471,750039,226429,7237,396600,119773,4229,0,0,1427,25029,1033131,-5753,217372,689939,44333,11268,7309,3959,11145,918,107,63802,22000,0,41802,411,0,ND
1973:Q3,1102507,9671,30962,31384,227870,4699,63565,45158,93739,20709,776496,232673,8170,410989,124664,4727,0,0,1514,19883,1060295,1575,212108,704776,47738,12192,8252,3940,14298,1024,111,66473,21500,0,44973,425,0,ND
1973:Q4,1138963,10688,27060,33679,236303,4966,66964,47676,96762,19935,799557,242085,8892,420805,127775,4357,0,0,1607,25712,1095236,-6552,239777,716793,50921,13116,8981,4135,15147,1027,120,64887,22500,0,42387,461,0,ND
1974:Q1,1158028,9709,28410,39721,239845,5288,65941,49483,98922,20211,811694,245131,10166,428934,127463,4644,0,0,1706,22299,1116241,-2865,219219,742706,55599,14468,10268,4200,14995,1318,124,70677,24000,0,46677,475,0,ND
1974:Q2,1195668,8355,30086,41923,238524,5825,60363,50956,101695,19685,848908,262935,13174,441366,131433,4429,0,0,1811,21632,1151468,-4097,224228,765395,61542,17616,13306,4310,17642,1004,138,68000,26000,0,42000,532,0,ND
1974:Q3,1216050,10507,33256,44477,236059,5990,57940,51551,100909,19669,869374,268407,16035,450228,134704,3449,0,0,1922,17006,1174312,1032,219160,776619,63110,20495,16195,4300,20772,1194,153,71777,27500,0,44277,588,0,ND
1974:Q4,1237312,11640,25843,46942,244518,6391,61864,52893,102578,20792,884839,277743,18484,454595,134017,3869,0,0,2040,17621,1193931,-10121,239790,795472,64751,22959,18669,4290,21804,1212,175,57889,28500,0,29389,673,0,ND
1975:Q1,1243370,10562,30437,49013,255267,7369,67276,54755,102500,23367,872689,264601,18730,457838,131520,4609,0,0,2165,18628,1200675,-13334,218844,822810,65466,23252,18917,4335,18164,1431,190,63852,30000,0,33852,729,0,ND
1975:Q2,1269981,10084,25976,50238,275108,7208,77028,57701,104506,28665,884161,265422,17740,467438,133561,5179,0,0,2298,16937,1227205,-23386,233580,844694,66262,22279,17917,4362,16803,933,191,65849,32000,0,33849,734,0,ND
1975:Q3,1290307,11168,29363,39989,284750,8011,86171,59427,104984,26157,892796,259340,16790,478337,138329,4440,0,0,2440,25361,1251250,-15312,228233,861883,58066,21438,16958,4480,17482,971,192,78297,34000,0,44297,739,0,ND
1975:Q4,1329393,12252,26052,43923,298432,10171,96267,61154,105980,24860,913741,264307,18727,488890,141817,4579,0,0,2589,27825,1286200,-24168,248490,884715,57935,23443,18914,4529,17845,1006,180,76754,35500,0,41254,692,0,ND
1976:Q1,1347673,11257,28150,42856,311128,9500,103056,63348,104145,31079,916180,254363,18901,500558,142358,5068,0,0,2748,30286,1304633,-25230,231457,914589,62025,23790,19090,4700,15757,1072,181,80992,36500,0,44492,697,0,ND
1976:Q2,1383706,11981,27460,41848,317428,9640,106188,64327,107569,29704,948787,262515,19783,517625,148864,4833,0,0,2917,28452,1340205,-28860,242554,936971,64503,24947,19981,4966,15274,1095,188,83533,37400,0,46133,722,0,ND
1976:Q3,1416879,12287,29716,43649,324857,10945,108933,67298,108063,29618,970988,260461,19599,535498,155430,4637,0,0,3069,27676,1372278,-26006,238603,957201,69254,24935,19795,5140,16062,1154,194,90881,38500,0,52381,748,0,ND
1976:Q4,1470781,12121,25158,53271,338962,14190,118908,66538,109618,29708,1006642,272450,22523,551630,160039,4614,0,0,3286,26727,1421531,-36297,262975,992370,76259,28049,22748,5301,15862,1214,206,80893,40040,0,40853,793,0,ND
1977:Q1,1501840,12124,26883,53655,346098,11614,122392,69239,110840,32013,1025127,273370,22694,566240,162823,4447,0,0,3488,30018,1455131,-36423,248491,1030758,79919,28271,22921,5350,14462,1300,213,88140,41400,0,46740,818,0,ND
1977:Q2,1549827,12725,24562,51704,348328,11560,120088,71179,115121,30380,1070430,282560,23440,591209,173221,4799,0,0,3702,33577,1501889,-35558,256675,1055163,83218,29711,23674,6037,15717,1406,220,95337,42400,0,52937,845,0,ND
1977:Q3,1593674,11326,23953,53349,351472,11899,117939,72674,118599,30361,1112000,289318,23317,617043,182322,4879,0,0,3930,32765,1546607,-34664,258718,1084311,87854,29844,23550,6294,17054,1516,227,101747,43400,0,58347,872,0,ND
1977:Q4,1655484,13922,26870,61119,355686,14616,118547,74813,119183,28527,1157548,301003,25654,641224,189667,5045,0,0,4171,31123,1604137,-45122,288266,1116191,92225,32921,25911,7010,20173,1613,241,97629,46448,0,51181,929,0,ND
1978:Q1,1682998,11622,27900,57690,356889,11915,117151,77365,119567,30891,1183981,306631,24181,659322,193847,4892,0,0,4408,35616,1633317,-46314,263516,1154015,98973,31488,24423,7065,21278,1702,248,108411,47200,0,61211,956,0,ND
1978:Q2,1748476,11888,27920,56814,360833,12243,115402,80061,122865,30262,1241209,323273,24289,685393,208254,5194,0,0,4658,39960,1697815,-41838,280122,1178943,100423,32121,24532,7589,25274,1787,258,120725,49490,0,71235,990,0,ND
1978:Q3,1801005,12141,26830,54685,366681,13088,112122,84268,126223,30980,1280782,329149,21952,710992,218689,5498,0,0,4922,49466,1748881,-34625,280306,1208808,103149,29929,22172,7757,29158,1867,267,130022,50454,0,79568,1025,0,ND
1978:Q4,1869338,15470,31223,61596,371816,13821,109224,87332,130815,30624,1328809,345295,24938,733802,224774,4918,0,0,5201,50305,1811150,-45850,314722,1237393,105459,33073,25220,7853,32670,1941,284,131458,52223,0,79235,1091,0,ND
1979:Q1,1900207,12345,31714,64406,376811,13263,109844,89367,132535,31802,1353510,350854,25214,749422,228020,5103,0,0,5497,50821,1845084,-29368,281374,1265973,119269,33545,25505,8040,31881,2021,314,140075,52815,0,87260,1210,0,ND
1979:Q2,1963215,13272,30407,69193,376284,14111,107987,92282,133758,28146,1408467,370730,27158,773404,237175,5022,0,0,5808,54762,1904424,-25636,308293,1274919,127268,36508,28199,8309,35071,2116,345,145540,53238,0,92302,1328,0,ND
1979:Q3,2024197,13609,29089,76795,384227,14783,106245,95051,137676,30472,1463476,388907,30907,796532,247130,5184,0,0,6138,45679,1960471,-25281,318207,1307219,132232,41540,32566,8974,38596,2186,376,145396,55387,0,90009,1446,0,ND
1979:Q4,2071463,18488,29792,77510,391186,16639,107636,98785,139663,28463,1498950,400076,32465,813303,253106,4829,0,0,6486,44222,2004950,-26191,343379,1327119,129861,43588,34093,9495,41838,2185,411,142760,58464,0,84296,1583,0,ND
1980:Q1,2097237,15333,32270,76013,395721,15564,108246,101031,140270,30610,1514029,404877,35888,823699,249565,4296,0,0,6854,52721,2026698,-18987,314093,1354540,129693,46961,37491,9470,44122,2118,497,153661,59158,0,94503,1912,0,ND
1980:Q2,2121552,16048,33612,84982,411469,18037,110482,106187,143866,32897,1507260,396676,38967,829992,241625,4440,0,0,7243,56498,2050524,-49634,331850,1373045,144458,51097,41055,10042,42364,1975,539,154830,61506,4024,89300,2075,0,ND
1980:Q3,2173573,17327,28146,89691,432445,19275,119342,112976,149057,31795,1536553,408252,39509,844331,244461,4432,0,0,7654,57325,2100083,-58945,344473,1407456,150893,52114,42042,10072,44161,1815,596,157520,63099,4563,89858,2292,0,ND
1980:Q4,2254302,19828,27456,90775,452099,19553,125370,119404,152362,35410,1586146,437838,39790,861596,246922,4317,0,0,8089,65592,2175942,-65282,356049,1470070,153245,52238,42223,10015,48963,1688,953,158018,63207,3892,90919,3664,0,ND
1981:Q1,2274631,17309,26164,97357,457993,19463,129194,123336,151362,34638,1592958,434948,44178,869924,243908,4055,0,0,8548,70247,2199738,-70538,342111,1489864,165179,56171,46486,9685,49175,1591,1000,165185,66080,4566,94539,3844,0,ND
1981:Q2,2325778,18572,23626,96167,461727,21223,129202,126272,152447,32583,1636687,458125,45655,884252,248655,3770,0,0,9033,76196,2250139,-68462,353866,1510561,166148,58016,48569,9447,56095,1502,1115,171298,68997,2775,99526,4288,0,ND
1981:Q3,2372517,19207,27243,96987,465495,20389,126174,131885,155102,31945,1671086,475338,47564,894565,253619,3270,0,0,9545,79684,2300719,-64409,355587,1543013,168968,59927,50853,9074,64347,1427,1196,170663,70658,2952,97053,4599,0,ND
1981:Q4,2446734,18645,25228,120796,476825,21597,127731,137038,157608,32851,1716946,510908,51084,900061,254893,3303,0,0,10087,74904,2391008,-93154,373192,1608628,196656,63362,53956,9406,65194,1364,1352,174414,75780,12610,86024,5201,0,ND
1982:Q1,2477852,16636,26357,116087,493061,24644,131812,145740,156739,34126,1728308,523726,51835,899395,253352,2936,0,0,6513,87955,2416809,-109009,352875,1663808,199522,65011,55933,9078,66162,1325,1299,175816,73907,13446,88463,2962,0,ND
1982:Q2,2525060,20123,20198,114541,496607,22856,129271,155755,155572,33153,1764404,552558,55159,900221,256466,2731,0,0,6714,99742,2463630,-129287,355307,1710562,195526,68160,59204,8956,69398,1307,1444,191214,70162,15043,106009,3215,0,ND
1982:Q3,2551839,19224,20318,117717,508702,24401,131418,162315,155321,35247,1775668,568426,55095,890593,261554,2959,0,0,7010,100241,2506856,-148908,371346,1756466,207450,68481,58861,9620,67642,1298,1542,181539,82510,16766,82263,3457,0,ND
1982:Q4,2636138,19556,26489,135738,552238,23660,151709,173515,161638,41716,1787454,582053,58819,880282,266300,3376,0,0,7266,104021,2582869,-162346,400804,1821274,211566,75454,65015,10439,66001,1283,1326,167507,89757,17067,60683,4210,0,ND
1983:Q1,2672537,18310,23419,133910,588266,20471,174627,188657,156735,47776,1788746,585395,53965,885712,263674,3699,0,0,7685,108503,2617632,-176108,390209,1876188,210487,70181,59316,10865,60467,1274,1351,183584,85475,16273,81836,4407,0,ND
1983:Q2,2746430,20476,18004,134611,627451,20363,194865,198983,157836,55404,1826804,593687,57604,904560,270953,4249,0,0,7906,106928,2704410,-176086,413707,1926122,211597,72253,61478,10775,59980,1270,1420,194148,84974,16866,92308,4405,0,ND
1983:Q3,2827216,17434,20697,126625,649935,20465,205233,210072,159780,54385,1887039,606795,61469,934228,284547,4418,0,0,8188,112879,2787842,-169222,411490,1979418,216252,76211,65392,10819,59807,1258,1584,211044,93589,16609,100846,4662,0,ND
1983:Q4,2908492,21023,21446,129524,668489,19525,213749,212131,165160,57924,1944272,615569,65672,961760,301271,4394,0,0,10025,109319,2899246,-148989,427274,2031996,220562,80827,70280,10547,61416,1254,1545,223361,102078,19257,102026,5339,0,ND
1984:Q1,3023479,17358,22167,135197,692111,18119,225736,218209,164356,65691,2003272,633213,64738,992235,313086,4224,0,0,10273,138876,2946577,-155780,422204,2088534,237291,78721,68280,10441,60382,4299,1573,209353,96350,19167,93836,5509,0,ND
1984:Q2,3130816,18098,20252,135300,694575,17282,221226,227275,163912,64880,2103956,661918,71741,1034722,335575,4034,0,0,10999,143603,3054539,-145826,428007,2163116,240144,88503,75955,12548,68772,4509,1763,205550,91745,14786,99019,5669,0,ND
1984:Q3,3239437,18374,23612,135195,711790,17582,223443,231688,169347,69730,2169092,673453,70101,1071433,354105,4294,0,0,11016,166064,3183341,-141777,430792,2219206,252780,86188,73922,12266,76010,4560,1945,253637,108799,20041,124797,6236,0,ND
1984:Q4,3358495,24273,21819,151603,722580,16365,224515,227239,177354,77107,2247830,708421,69432,1099041,370936,4146,0,0,11024,175221,3311186,-150621,463912,2295945,257672,90018,73977,16041,77793,4387,1927,270153,120388,19592,130173,6017,0,ND
1985:Q1,3392539,18083,26997,140251,733569,16148,238237,229381,172625,77178,2279654,711643,66000,1118664,383347,4603,0,0,11449,177933,3349847,-149749,437159,2354690,256230,88131,70250,17881,78082,4404,1991,278909,119903,21362,137644,6182,0,ND
1985:Q2,3469525,18882,27236,154576,731084,15623,235014,222803,174646,82998,2334557,725911,62721,1147153,398772,4896,0,0,11780,186515,3431282,-147455,469079,2381245,259165,86544,67258,19286,83264,4001,2062,293377,122536,21025,149816,6266,0,ND
1985:Q3,3561439,21104,27162,163364,753898,14420,238835,230054,185464,85125,2393976,737262,62360,1180594,413760,4679,0,0,11380,185876,3525651,-147476,488932,2418005,274330,87424,65767,21657,89627,4293,2261,308256,131898,20436,155922,6856,0,ND
1985:Q4,3697019,25537,28631,174674,798397,13380,229278,229102,235145,91492,2462100,765292,59972,1207974,428862,5331,0,0,15366,186983,3657740,-121332,531110,2444041,302593,89733,64617,25116,92944,4583,2159,311910,135521,22679,153710,7944,0,ND
1986:Q1,3721048,21251,30782,183198,800033,14418,232348,241027,217318,94922,2475169,766567,57646,1224257,426699,6106,0,0,15751,188759,3688696,-122739,508681,2477592,308013,87818,60913,26905,91539,4717,2280,330794,145315,25592,159887,8144,0,ND
1986:Q2,3803124,22221,31940,189797,831050,13073,236345,266493,211947,103192,2518248,777475,55718,1246458,438597,6816,0,0,16084,186969,3784545,-130677,556883,2498863,320977,88541,59744,28797,99315,5000,2364,343279,164579,18861,159839,8329,0,ND
1986:Q3,3893016,22609,36794,180660,879503,11587,240322,290348,220855,116391,2555135,776452,56902,1273141,448640,6617,0,0,15764,195934,3869784,-132624,560491,2545899,331220,93173,61897,31276,103691,5294,2510,360130,166030,24477,169623,8885,0,ND
1986:Q4,4047682,25652,48107,188593,903196,14605,243033,315175,206447,123936,2656477,833079,54402,1308821,460175,7079,0,0,19279,199300,4018431,-138517,643181,2591103,350168,91011,58760,32251,113540,4932,2533,360480,170522,26850,163108,9327,0,ND
1987:Q1,4067092,22493,41973,189830,913142,14153,245986,329489,195503,128011,2651198,807617,55152,1341716,446713,8548,0,0,19672,220236,4018194,-113492,573483,2595007,355059,94642,59089,35553,111829,4828,2789,394050,173104,27370,193576,9470,0,ND
1987:Q2,4138732,23950,36102,188433,939381,12130,247808,353287,188529,137627,2716067,813921,59324,1385729,457093,8845,0,0,18775,207179,4088195,-130928,614888,2631468,358577,98619,63348,35271,120184,2970,2679,389738,164251,30929,194558,9014,0,ND
1987:Q3,4220678,24422,39027,179994,962804,10285,256078,368350,183071,145020,2776100,822633,58217,1426890,468360,9339,0,0,19090,209902,4177101,-102562,612664,2667024,365305,97135,61022,36113,126135,2783,3182,405435,167129,32855,205451,9442,0,ND
1987:Q4,4332519,24858,41784,177986,1006546,15929,252382,387936,177310,172989,2822822,833548,59828,1448993,480453,7033,1752,0,22645,227092,4279434,-102189,630424,2735458,365880,101636,64336,37300,139326,2497,3242,403161,177919,34073,191169,10302,0,ND
1988:Q1,4395154,23110,38777,190324,1006942,12456,249075,391235,169607,184569,2859337,833998,54782,1490615,479942,7820,1700,0,23130,244013,4345518,-114014,612462,2805416,387846,96180,59011,37169,135723,2001,3301,416603,175888,38721,201994,11411,0,ND
1988:Q2,4496998,25565,35681,188099,1023229,12155,243366,405112,164327,198269,2934169,856082,55768,1530614,491705,8309,1642,0,22773,257531,4458211,-102023,640346,2838031,396084,98102,59626,38476,141018,1348,3336,441970,183827,42946,215197,11638,0,ND
1988:Q3,4574961,22093,39038,186785,1039342,13482,241882,420031,161531,202416,2981899,856220,55468,1565554,504657,8341,1500,0,22696,273267,4529870,-111013,628550,2891690,404530,98119,59433,38686,147587,1702,3382,465323,192065,45603,227655,11493,0,ND
1988:Q4,4662704,27561,39347,177498,1042567,16030,233811,437615,154410,200701,3054549,878153,57499,1602988,515909,8483,1366,0,26952,284381,4633594,-106799,655061,2936044,391944,100506,61597,38909,158770,2701,3666,491700,201012,46871,243817,12786,0,ND
1989:Q1,4644017,22203,37394,186621,1038777,13942,238200,446510,150494,189631,3073389,879053,52393,1633618,508325,13767,3608,0,27657,240599,4594644,-121204,601179,2973141,414980,94559,56243,38316,169839,23296,4359,434494,200163,50758,183573,13088,0,ND
1989:Q2,4696187,22775,37381,192223,1019054,14425,217440,455467,145767,185955,3131079,893804,53984,1665836,517455,14763,3468,0,27823,247622,4655497,-127348,625205,2993795,424529,96892,57827,39065,167665,24041,4423,446296,209337,49358,187601,13099,0,ND
1989:Q3,4713450,23122,32253,189181,994498,13219,204716,449156,142696,184711,3169399,900086,54668,1687430,527215,15629,3484,0,27986,257898,4649944,-130311,613336,3023562,401075,96644,57710,38934,157118,24497,4411,459612,210270,47152,202190,13679,0,ND
1989:Q4,4744007,28671,38327,205762,981737,15711,203333,443268,136433,182992,3189908,926864,55361,1670189,537494,15704,3391,0,33581,246925,4689391,-145045,651867,3065052,392246,95654,57366,38288,148319,24152,4450,452696,211870,49482,191344,16823,0,ND
1990:Q1,4736498,23251,36129,210243,1007810,11402,217909,459550,132947,186002,3193916,909468,49763,1711512,523173,14741,3244,0,34439,212725,4702949,-133478,613187,3067142,407719,90696,53654,37042,139523,24462,4569,489130,218328,46650,224152,17378,0,ND
1990:Q2,4725224,24294,36336,210811,999743,12325,213447,464810,127034,182127,3193730,916530,47272,1710161,519767,14877,3343,0,34497,207593,4697717,-133700,637644,3052552,417840,85922,51434,34488,133466,24589,4743,474662,220835,44250,209577,18013,0,ND
1990:Q3,4719040,24752,33834,207996,1000444,12238,214052,470989,125774,177391,3179957,906298,45383,1704105,524171,12736,3391,0,34084,221846,4704265,-116484,633654,3049415,401348,83889,51081,32808,125375,27089,4712,495267,231829,50083,213355,18201,0,ND
1990:Q4,4707397,32590,38658,202580,1002210,15712,205802,482627,120443,177626,3161228,908755,45527,1683721,523225,10908,3315,0,29425,226484,4683026,-132707,670294,3067603,362904,89003,52068,36935,124390,26008,4308,471222,229509,47640,194073,15358,0,ND
1991:Q1,4661467,24707,24067,203156,1013844,16694,221804,486012,116112,173222,3111060,892617,38354,1671382,508707,13898,4161,0,30171,236402,4648985,-124124,632529,3087162,349638,79704,43767,35937,113898,25475,4166,480537,240242,46732,193563,15948,0,ND
1991:Q2,4627039,25627,22201,209846,1009704,15355,230712,484790,111418,167429,3087137,879689,36880,1667119,503449,13358,4595,0,29422,225149,4608308,-127813,655519,3043851,358547,77061,41357,35704,101798,23957,4354,471034,242795,42634,185605,15598,0,ND
1991:Q3,4625805,28757,27404,222909,1035175,13943,250147,485170,108098,177817,3037534,869066,37108,1632396,498964,13771,5729,0,29625,224900,4608070,-113977,674410,3027888,356490,73405,39907,33498,90988,25801,4209,468856,244282,44470,180104,15991,0,ND
1991:Q4,4638122,33603,29413,205638,1070827,14511,270466,497135,105626,183089,3026122,864590,35320,1623573,502639,14095,6309,0,32440,219674,4611507,-121053,727422,2999890,339051,71577,37793,33784,87123,23936,5306,478255,247802,47233,183220,25870,0,ND
1992:Q1,4630889,29338,29480,217962,1098820,13862,296596,505647,102993,179722,2976652,854624,31709,1604353,485966,14000,7607,0,33083,223946,4576824,-100293,711302,2969379,351722,67961,35617,32344,84265,24758,5308,462421,229164,47688,185569,26480,0,ND
1992:Q2,4620264,29693,22740,207084,1124440,13736,311249,521964,101142,176349,2954268,851213,31415,1589220,482420,13710,7711,0,33572,227045,4576215,-112209,738831,2926829,352527,68242,33980,34262,84906,25255,5473,486361,244824,51548,189989,26812,0,ND
1992:Q3,4667845,30194,27665,218414,1160086,12881,331587,532461,101286,181871,2945151,845221,30704,1583746,485480,13411,8243,0,34096,230585,4612931,-86751,759568,2894294,353887,69215,32918,36297,87545,26709,5396,503068,254979,51706,196383,27066,0,ND
1992:Q4,4689762,31870,32079,227245,1187533,12736,342149,546797,99566,186285,2935649,843691,31675,1568331,491952,14659,7416,0,35850,217462,4637287,-109979,823352,2872193,351859,72908,33911,38997,86547,25590,4523,510293,269756,51104,189433,22813,0,ND
1993:Q1,4679172,30561,34533,214424,1228404,12371,357091,568697,97967,192278,2896861,824221,28862,1556680,487098,14739,8042,0,36288,215320,4601628,-72917,779277,2829974,366441,69895,30659,39236,91581,25592,4656,507129,270986,41999,194144,22783,0,ND
1993:Q2,4726186,32210,27724,214518,1237246,10209,355085,581566,98695,191691,2933995,835263,27510,1571827,499395,14635,7960,0,36669,221229,4653686,-80040,826950,2812865,362964,69961,28896,41065,98289,23357,5090,534250,284708,38059,211483,23577,0,ND
1993:Q3,4773004,31735,29934,213998,1260890,9063,360546,592766,101201,197314,2953631,831153,26307,1580720,515451,15148,8151,0,37462,222055,4689905,-70788,843913,2786360,376423,68068,27112,40956,104761,26529,5256,549382,290028,44070,215284,23431,0,ND
1993:Q4,4844688,32671,34951,224483,1279217,9809,367663,601830,101277,198638,2991058,842563,25257,1588045,535193,16824,8090,0,49579,207815,4754056,-72631,903514,2786062,366979,67336,26253,41083,108666,27224,5825,561081,299673,44541,216867,25272,0,ND
1994:Q1,4963115,31439,35733,216046,1314722,7766,391595,609159,101778,204424,2980349,846281,24255,1573287,536526,15472,6688,0,50360,312306,4973851,-43467,875890,2787822,384377,65897,25029,40868,106092,28929,5828,762484,303069,43630,415785,25696,0,ND
1994:Q2,5046662,34426,33358,215080,1306812,7945,379028,614314,101507,204018,3034551,856309,23892,1594611,559739,14131,5698,0,51273,351332,5043793,-26631,871250,2772986,402752,65318,24566,40752,113546,25535,5854,813183,301321,46560,465302,25866,0,ND
1994:Q3,5058802,31155,30054,209737,1293762,7404,359177,624304,100835,202042,3103244,868464,24715,1622742,587323,14013,5036,0,52117,319685,5035639,-23899,843535,2781932,411794,67117,25452,41665,121748,28014,6017,799380,310695,41396,447289,26584,0,ND
1994:Q4,5141165,38129,30789,224460,1263374,8034,335013,622478,99605,198244,3191964,896316,22882,1655927,616839,13269,4640,0,50445,324096,5116636,10223,865964,2785028,428818,67067,23397,43670,130958,26613,5688,796278,310064,44072,442142,26487,0,ND
1995:Q1,5190514,31291,30009,215024,1278464,6312,348966,631703,97368,194115,3252182,926023,23969,1684351,617839,14051,4825,0,50681,313986,5188524,3367,815738,2835673,435310,68238,24497,43741,124829,31083,5755,868531,321625,50226,496680,28010,0,ND
1995:Q2,5270163,33596,24946,230407,1281695,7234,334313,645659,96408,198081,3338763,967727,24330,1710935,635771,15621,5277,0,51335,288523,5244665,-5004,841311,2886768,452156,69677,24531,45146,125121,29993,5808,838835,331034,52251,455550,28189,0,ND
1995:Q3,5333246,33072,23432,227480,1293202,6337,327748,662832,95359,200926,3400191,984805,23679,1736915,654792,18148,5410,0,52004,280307,5301553,4139,803112,2934336,463652,70818,24137,46681,126356,34923,6252,857965,339885,51329,466751,30605,0,ND
1995:Q4,5392530,40562,29611,256828,1279763,6400,311991,668865,95363,197144,3440702,1006065,22326,1737938,674373,19289,5163,0,58252,262361,5378416,11232,820203,2964629,454168,68963,22639,46324,134463,37163,6500,881094,347794,50734,482566,41767,0,ND
1996:Q1,5403500,34386,24740,243388,1291731,6614,319299,673862,94959,196997,3462987,1011828,22594,1765575,662990,21091,5333,0,59225,260619,5382047,2606,768496,3046771,445554,70896,22877,48019,132469,37441,6745,871069,351322,52693,467054,41586,0,ND
1996:Q2,5480235,35677,24594,226389,1290237,5371,315955,679381,94638,194892,3530347,1036287,22068,1790082,681910,21680,5226,0,59581,286504,5464865,-14469,783786,3070824,457676,72891,22228,50663,145565,38907,6518,903167,367748,52851,482568,39839,0,ND
1996:Q3,5542256,38227,20997,209636,1276082,4693,307621,675816,94791,193161,3610832,1066630,23068,1821359,699775,22530,4972,0,60724,298256,5545853,-31409,783031,3136646,447853,74356,23347,51009,153993,39652,6534,935195,368689,59431,507075,40465,0,ND
1996:Q4,5624901,45186,24524,230989,1273345,7069,292592,691165,96326,186193,3673680,1087214,23355,1846789,716322,24539,5187,0,69565,277886,5652641,-18091,785947,3190775,461607,77258,23612,53646,161316,42578,6073,945177,371981,64468,508728,43780,0,ND
1997:Q1,5729064,37151,21845,255951,1321687,3496,314107,708211,95957,199916,3705977,1126176,23805,1861029,694967,20214,9831,0,70620,285788,5752128,-28907,752621,3262019,480998,78990,24245,54745,156105,46071,6569,997662,391374,79358,526930,44666,0,ND
1997:Q2,5829144,38407,23219,251242,1323937,3497,297670,725522,96359,200889,3800067,1165924,24897,1903106,706140,23048,11021,0,71920,286283,5849389,-35483,772029,3311603,480648,81936,25414,56522,171829,45369,7220,1014238,399851,74288,540099,47337,0,ND
1997:Q3,5893193,38531,21791,256248,1329379,3329,290506,736446,98242,200856,3845964,1174078,23760,1939960,708166,24495,10629,0,72575,293581,5939260,-47564,735818,3380561,502389,81588,24019,57569,181167,51541,7364,1046395,410422,82895,553078,48908,0,ND
1997:Q4,6068204,45004,30838,267708,1374046,3022,296712,767236,98780,208296,3916441,1221155,20576,1960112,714598,25918,10715,0,77782,319753,6136167,-34279,764934,3442236,533623,85360,20899,64461,196684,52634,8436,1086539,413313,78803,594423,68535,0,ND
1998:Q1,6098743,37784,24445,296150,1406572,2001,306421,785309,97503,215338,3945092,1243727,16839,1992549,691977,31366,10065,0,79293,267976,6102021,-49308,729155,3537647,565014,85223,17079,68144,204855,58278,8532,962625,430160,87532,444933,68414,0,ND
1998:Q2,6185772,38413,23651,296885,1402501,1732,289532,781810,100296,229131,4003965,1292637,14212,2002742,694374,32553,10309,0,80165,297330,6175633,-26861,760551,3541336,542374,83752,14344,69408,224004,57063,8723,984691,442931,79295,462465,68423,0,ND
1998:Q3,6307759,39198,25706,334800,1403429,1742,243621,809506,103718,244842,4062694,1323214,14144,2020871,704465,27667,10293,0,79128,324844,6329838,-4861,716073,3578013,594465,85090,14257,70833,244169,62273,9415,1045201,463641,89468,492092,72330,0,ND
1998:Q4,6502624,42057,26306,336519,1476273,2408,236504,850898,107345,279118,4161517,1356130,11312,2074297,719778,35658,12936,0,59391,351967,6507063,2130,737012,3659227,599708,86263,11537,74726,286214,62696,10453,1063360,468500,90559,504301,98752,0,ND
1999:Q1,6520817,38555,22541,311439,1506335,2005,246316,872886,109219,275909,4161544,1363685,10232,2078742,708885,37244,13966,0,60606,368586,6514061,2068,700807,3675502,616233,86082,10394,75688,295795,63323,11191,1063059,480185,89790,493084,97722,0,ND
1999:Q2,6610606,40551,22156,307407,1534200,2265,239488,878067,110488,303892,4207350,1380557,8947,2117885,699961,40223,15021,0,61433,382264,6605242,17469,719688,3702594,626380,86118,9492,76626,324534,59056,12502,1056902,482788,88473,485641,110942,0,ND
1999:Q3,6717329,41020,21684,275614,1559459,1915,240363,894559,112352,310270,4319117,1408060,7912,2199602,703543,36044,14243,0,62131,388018,6728041,22180,699534,3761032,605094,86398,8293,78105,361054,64111,13176,1115462,484377,102479,528606,110711,0,ND
1999:Q4,6922477,66555,24027,274448,1584885,1673,239975,895258,113764,334215,4470718,1454482,8235,2270596,737405,41990,15067,0,71774,373013,6898634,5736,740760,3873939,608153,87136,8599,78537,392615,70181,15045,1105069,469216,93031,542822,139542,0,ND
