1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,200827,2697,20056,12,90189,511,73721,1825,9439,4693,84800,32783,490,40249,11278,228,0,0,50,2795,185866,900,103589,76849,16,495,495,0,911,615,39,2452,0,0,2452,149,0,ND
1952:Q1,201861,2420,20276,165,90326,559,73414,1698,9833,4822,85342,32445,458,41037,11402,250,0,0,50,3032,186614,746,102782,78610,240,463,463,0,589,721,39,2424,0,0,2424,149,0,ND
1952:Q2,204664,2396,19381,18,90648,503,73336,1565,10207,5037,88719,33420,416,42550,12333,278,0,0,52,3172,189116,454,103321,80959,43,420,420,0,653,691,39,2536,0,0,2536,152,0,ND
1952:Q3,209858,2530,20581,425,91940,570,73868,1938,10588,4976,90780,33321,454,44106,12899,291,0,0,54,3257,194154,1389,105023,82465,428,459,459,0,715,803,40,2832,0,0,2832,154,0,ND
1952:Q4,215565,2753,19950,32,93639,569,75378,2160,10643,4889,95382,35613,492,45533,13744,338,0,0,59,3412,199591,869,108779,85041,50,497,497,0,864,801,41,2649,0,0,2649,158,0,ND
1953:Q1,215203,2550,20148,494,91394,512,72741,2113,11058,4970,96708,34931,455,46691,14631,352,0,0,61,3496,199221,1276,105605,87021,627,460,460,0,611,720,42,2859,0,0,2859,160,0,ND
1953:Q2,214665,2590,19561,39,89147,415,70935,1676,11053,5068,99429,35111,428,48496,15394,373,0,0,63,3463,198319,504,103073,89868,48,432,432,0,718,634,43,2999,0,0,2999,163,0,ND
1953:Q3,221192,2650,19309,228,93210,500,74427,1883,11227,5173,101946,35597,515,50102,15732,395,0,0,66,3388,204525,1264,106038,91503,237,520,520,0,801,744,43,3375,0,0,3375,167,0,ND
1953:Q4,225905,2512,20160,11,96208,567,75365,3699,11393,5184,102755,34711,573,51588,15883,434,0,0,69,3756,209105,509,108904,94270,41,579,579,0,952,977,43,2830,0,0,2830,164,0,ND
1954:Q1,223701,2630,19194,118,94798,713,72561,4094,12025,5405,102648,33771,580,52803,15494,474,0,0,71,3768,206645,-155,104583,96947,78,586,586,0,630,851,44,3081,0,0,3081,167,0,ND
