date,Federal government defined contribution retirement funds; total financial assets,Federal government defined contribution retirement funds; debt securities; asset,Federal government defined contribution retirement funds; Treasury securities held by Thrift Savings Plan; asset,Federal government retirement funds; agency- and GSE-backed securities held by Thrift Savings Plan; asset,Federal government retirement funds; corporate and foreign bonds held by Thrift Savings Plan; asset,Federal government retirement funds; corporate equities held by Thrift Savings Plan; asset,Federal government; other loans and advances due to federal government defined contribution retirement funds; liability,Federal government defined contribution retirement funds; total financial assets
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND
2013:Q1,1080,-3325,-2348,-531,-446,4405,0,1080
2013:Q2,4405,-10955,-10137,-439,-379,2560,12800,4405
2013:Q3,4507,-95705,-94907,-424,-374,-1493,101705,4507
2013:Q4,16086,120668,121174,-996,490,9923,-114505,16086
2014:Q1,3821,1691,3060,-701,-668,2130,0,3821
2014:Q2,2597,2464,2106,182,176,133,0,2597
2014:Q3,7144,5290,5302,-6,-6,1854,0,7144
2014:Q4,4831,8930,7987,233,710,-4099,0,4831
2015:Q1,3449,-59205,-59462,128,129,1734,60920,3449
2015:Q2,3060,-62742,-62942,99,101,-843,66645,3060
2015:Q3,4056,-68974,-68740,-116,-118,680,72350,4056
2015:Q4,8387,208001,207330,27,644,301,-199915,8387
2016:Q1,3470,6280,6126,75,79,-2810,0,3470
2016:Q2,1650,3778,3360,201,217,-2128,0,1650
2016:Q3,4033,5637,5096,259,282,-1604,0,4033
2016:Q4,3242,1154,1456,-392,90,2088,0,3242
2017:Q1,3578,-105550,-105635,40,45,1490,107638,3578
2017:Q2,3437,-32047,-32201,72,82,1694,33790,3437
2017:Q3,3584,134524,133935,277,312,-1557,-129383,3584
2017:Q4,-2368,-148656,-148705,39,10,6655,139633,-2368
2018:Q1,5893,157405,157625,-103,-117,166,-151678,5893
2018:Q2,9425,10445,10419,12,14,-1020,0,9425
2018:Q3,7460,8787,8654,62,71,-1327,0,7460
2018:Q4,-11013,8004,8004,-298,298,-19017,0,-11013
2019:Q1,3466,-212408,-212941,248,285,561,215313,3466
2019:Q2,3535,4503,3849,304,350,-2391,1423,3535
2019:Q3,3849,200923,200237,319,367,-3435,-193639,3849
2019:Q4,-12742,8468,8250,322,-104,1887,-23097,-12742
2020:Q1,2245,14946,16003,-489,-568,-12701,0,2245
2020:Q2,18424,12992,11597,645,750,5432,0,18424
2020:Q3,5760,11178,9809,633,736,-5418,0,5760
2020:Q4,-1529,7668,6595,739,334,-9197,0,-1529
2021:Q1,4273,-1158,-736,-194,-228,5431,0,4273
2021:Q2,6488,2337,2587,-115,-135,4151,0,6488
2021:Q3,-2395,-179235,-179063,-79,-93,-3717,180557,-2395
2021:Q4,2945,169378,169528,-69,-81,4262,-170695,2945
