1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1979:Q1,18896,4556,14340,4568,344,9428,18896,9594,0,4568,312,4714,4556,0,4556,4746,0,32,4714
1979:Q2,-1288,0,-1288,-24,312,-1576,-1288,-452,0,-24,360,-788,0,0,0,-836,0,-48,-788
1979:Q3,-11116,0,-11116,0,208,-11324,-11116,-5074,380,0,208,-5662,0,0,0,-6042,-380,0,-5662
1979:Q4,2332,0,2332,-4,-108,2444,2332,1570,484,-4,-132,1222,-260,-260,0,1022,-224,24,1222
1980:Q1,17680,4608,13072,4608,136,8328,17680,8912,0,4608,140,4164,4608,0,4608,4160,0,-4,4164
1980:Q2,-2008,0,-2008,-448,396,-1956,-2008,-1018,0,-448,408,-978,0,0,0,-990,0,-12,-978
1980:Q3,4436,0,4436,1044,1176,2216,4436,3376,16,1044,1208,1108,0,0,0,1060,-16,-32,1108
1980:Q4,17116,0,17116,-5140,4960,17296,17116,8576,32,-5140,5036,8648,0,0,0,8540,-32,-76,8648
1981:Q1,22488,4372,18116,5764,2828,9524,22488,12922,-376,5764,2772,4762,4772,400,4372,4794,-24,56,4762
1981:Q2,3620,0,3620,92,3120,408,3620,3412,0,92,3116,204,0,0,0,208,0,4,204
1981:Q3,16,0,16,900,2588,-3472,16,1740,0,900,2576,-1736,8,8,0,-1732,-8,12,-1736
1981:Q4,-1048,0,-1048,536,1432,-3016,-1048,456,0,536,1428,-1508,4,4,0,-1508,-4,4,-1508
1982:Q1,4356,0,4356,1600,2188,568,4356,4076,0,1600,2192,284,4,4,0,276,-4,-4,284
1982:Q2,4528,0,4528,964,3256,308,4528,4370,0,964,3252,154,4,4,0,154,-4,4,154
1982:Q3,3176,0,3176,1736,1836,-396,3176,3342,0,1736,1804,-198,4,4,0,-170,-4,32,-198
1982:Q4,7796,0,7796,1188,2928,3680,7796,5952,0,1188,2924,1840,0,0,0,1844,0,4,1840
1983:Q1,3148,0,3148,392,8556,-5800,3148,6016,40,392,8484,-2900,0,0,0,-2868,-40,72,-2900
1983:Q2,-64,0,-64,1212,848,-2124,-64,1122,28,1212,944,-1062,0,0,0,-1186,-28,-96,-1062
1983:Q3,-2116,0,-2116,836,352,-3304,-2116,-444,12,836,360,-1652,0,0,0,-1672,-12,-8,-1652
1983:Q4,3812,0,3812,-2180,7984,-1992,3812,4876,28,-2180,8024,-996,0,0,0,-1064,-28,-40,-996
1984:Q1,2628,0,2628,904,800,924,2628,2154,40,904,748,462,0,0,0,474,-40,52,462
1984:Q2,2260,0,2260,1152,1284,-176,2260,2452,44,1152,1344,-88,0,0,0,-192,-44,-60,-88
1984:Q3,3196,0,3196,1084,1324,788,3196,2802,12,1084,1312,394,0,0,0,394,-12,12,394
1984:Q4,4436,0,4436,776,572,3088,4436,2968,0,776,648,1544,4,4,0,1464,-4,-76,1544
1985:Q1,932,0,932,1056,-1124,1000,932,340,12,1056,-1228,500,0,0,0,592,-12,104,500
1985:Q2,1424,0,1424,720,-288,992,1424,976,8,720,-248,496,0,0,0,448,-8,-40,496
1985:Q3,484,0,484,1056,-1552,980,484,-10,4,1056,-1560,490,0,0,0,494,-4,8,490
1985:Q4,12588,0,12588,756,-672,12504,12588,6320,0,756,-688,6252,0,0,0,6268,0,16,6252
1986:Q1,460,0,460,1096,-1376,740,460,74,0,1096,-1392,370,0,0,0,386,0,16,370
1986:Q2,-64,0,-64,416,-1464,984,-64,-476,24,416,-1408,492,0,0,0,412,-24,-56,492
1986:Q3,-1120,0,-1120,-652,-2032,1564,-1120,-1914,0,-652,-2044,782,0,0,0,794,0,12,782
1986:Q4,-528,0,-528,124,-1132,480,-528,-652,80,124,-1096,240,0,0,0,124,-80,-36,240
1987:Q1,-7824,0,-7824,-304,-2424,-5096,-7824,-5336,-68,-304,-2416,-2548,0,0,0,-2488,68,-8,-2548
1987:Q2,-13676,0,-13676,684,-1340,-13020,-13676,-7094,48,684,-1316,-6510,0,0,0,-6582,-48,-24,-6510
1987:Q3,-128,0,-128,840,-1628,660,-128,-498,-24,840,-1644,330,0,0,0,370,24,16,330
1987:Q4,-14968,0,-14968,820,-2888,-12900,-14968,-8522,-12,820,-2880,-6450,0,0,0,-6446,12,-8,-6450
1988:Q1,-6008,0,-6008,-620,-1784,-3604,-6008,-4162,60,-620,-1800,-1802,0,0,0,-1846,-60,16,-1802
1988:Q2,-156,0,-156,-720,-276,840,-156,-584,0,-720,-284,420,0,0,0,428,0,8,420
1988:Q3,29520,0,29520,140,-808,30188,29520,14450,0,140,-784,15094,4,4,0,15066,-4,-24,15094
1988:Q4,-7700,0,-7700,692,-1228,-7164,-7700,-4142,8,692,-1260,-3582,0,0,0,-3558,-8,32,-3582
1989:Q1,16000,0,16000,752,-1264,16512,16000,7792,-4,752,-1212,8256,0,0,0,8208,4,-52,8256
1989:Q2,48380,0,48380,-272,636,48016,48380,24328,0,-272,592,24008,-8,-8,0,24060,8,44,24008
1989:Q3,23984,0,23984,844,-1348,24488,23984,11772,0,844,-1316,12244,-8,-8,0,12220,8,-32,12244
1989:Q4,12808,0,12808,816,92,11900,12808,6842,24,816,52,5950,0,0,0,5966,-24,40,5950
1990:Q1,12708,0,12708,988,-936,12656,12708,6392,0,988,-924,6328,-4,-4,0,6320,4,-12,6328
1990:Q2,-1484,0,-1484,864,-1972,-376,-1484,-1304,0,864,-1980,-188,-20,-20,0,-160,20,8,-188
1990:Q3,-6956,0,-6956,-1452,-32,-5472,-6956,-4212,0,-1452,-24,-2736,8,8,0,-2752,-8,-8,-2736
1990:Q4,4368,0,4368,372,16,3980,4368,2370,0,372,8,1990,20,20,0,1978,-20,8,1990
1991:Q1,1412,0,1412,-124,1364,172,1412,1314,0,-124,1352,86,0,0,0,98,0,12,86
1991:Q2,-4056,0,-4056,760,-288,-4528,-4056,-1768,0,760,-264,-2264,-16,-16,0,-2272,16,-24,-2264
1991:Q3,-15512,0,-15512,-24,456,-15944,-15512,-7536,0,-24,460,-7972,0,0,0,-7976,0,-4,-7972
1991:Q4,-4904,0,-4904,92,-68,-4928,-4904,-2448,-8,92,-68,-2464,20,20,0,-2476,-12,0,-2464
1992:Q1,4228,0,4228,688,-444,3984,4228,2260,8,688,-428,1992,0,0,0,1968,-8,-16,1992
1992:Q2,-5856,0,-5856,672,-4,-6524,-5856,-2586,-4,672,8,-3262,-8,-8,0,-3262,12,-12,-3262
1992:Q3,-7808,0,-7808,692,472,-8972,-7808,-3306,8,692,480,-4486,0,0,0,-4502,-8,-8,-4486
1992:Q4,-6168,0,-6168,-11316,10740,-5592,-6168,-3288,-4,-11316,10828,-2796,12,12,0,-2892,-8,-88,-2796
1993:Q1,3932,0,3932,560,912,2460,3932,2698,0,560,908,1230,8,8,0,1226,-8,4,1230
1993:Q2,-3288,0,-3288,664,-1252,-2700,-3288,-1890,0,664,-1204,-1350,-12,-12,0,-1386,12,-48,-1350
1993:Q3,2176,0,2176,472,192,1512,2176,1396,0,472,168,756,0,0,0,780,0,24,756
1993:Q4,2692,0,2692,452,320,1920,2692,1744,0,452,332,960,16,16,0,932,-16,-12,960
1994:Q1,236,0,236,404,12,-180,236,314,0,404,0,-90,4,4,0,-82,-4,12,-90
1994:Q2,-14148,0,-14148,432,-1004,-13576,-14148,-7360,0,432,-1004,-6788,0,0,0,-6788,0,0,-6788
1994:Q3,660,0,660,444,-1092,1308,660,2,0,444,-1096,654,-8,-8,0,666,8,4,654
1994:Q4,-8132,0,-8132,484,108,-8724,-8132,-3770,0,484,108,-4362,12,12,0,-4374,-12,0,-4362
1995:Q1,21272,0,21272,3468,2104,15700,21272,13418,0,3468,2100,7850,-8,-8,0,7862,8,4,7850
1995:Q2,10888,0,10888,624,3144,7120,10888,7328,0,624,3144,3560,-4,-4,0,3564,4,0,3560
1995:Q3,7572,0,7572,-1448,3964,5056,7572,5040,0,-1448,3960,2528,12,12,0,2520,-12,4,2528
1995:Q4,-1296,0,-1296,588,644,-2528,-1296,-32,0,588,644,-1264,4,4,0,-1268,-4,0,-1264
1996:Q1,-68,0,-68,796,3396,-4260,-68,2058,0,796,3392,-2130,-12,-12,0,-2114,12,4,-2130
1996:Q2,2092,0,2092,532,880,680,2092,1752,0,532,880,340,12,12,0,328,-12,0,340
1996:Q3,-29956,0,-29956,-3392,732,-27296,-29956,-16312,0,-3392,728,-13648,0,0,0,-13644,0,4,-13648
1996:Q4,1260,0,1260,584,112,564,1260,982,4,584,112,282,4,4,0,274,-8,0,282
1997:Q1,-17920,0,-17920,-288,-4220,-13412,-17920,-11222,-4,-288,-4224,-6706,-4,-4,0,-6694,8,4,-6706
1997:Q2,944,0,944,532,-216,628,944,630,0,532,-216,314,0,0,0,314,0,0,314
1997:Q3,2920,0,2920,556,1852,512,2920,2664,0,556,1852,256,0,0,0,256,0,0,256
1997:Q4,18096,0,18096,600,16884,612,18096,17802,12,600,16884,306,0,0,0,294,-12,0,306
1998:Q1,1776,0,1776,728,340,708,1776,1398,-8,728,324,354,0,0,0,378,8,16,354
1998:Q2,7780,0,7780,-292,4128,3944,7780,5812,8,-292,4124,1972,0,0,0,1968,-8,4,1972
1998:Q3,8100,0,8100,-756,8312,544,8100,7828,12,-756,8300,272,0,0,0,272,-12,12,272
1998:Q4,9476,0,9476,908,7696,872,9476,9068,-8,908,7732,436,0,0,0,408,8,-36,436
1999:Q1,-16272,0,-16272,-2248,-12,-14012,-16272,-9162,-12,-2248,104,-7006,0,0,0,-7110,12,-116,-7006
1999:Q2,-4636,0,-4636,760,-5652,256,-4636,-4724,12,760,-5624,128,0,0,0,88,-12,-28,128
