1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2010:Q3,4384,0,4384,32,3824,528,4384,4120,0,32,3824,264,0,0,0,264,0,0,264
2010:Q4,-800,0,-800,40,-1284,444,-800,-1022,0,40,-1284,222,0,0,0,222,0,0,222
2011:Q1,14476,0,14476,-7844,25712,-3392,14476,16260,0,-7844,25800,-1696,0,0,0,-1784,0,-88,-1696
2011:Q2,25068,0,25068,636,23896,536,25068,24800,0,636,23896,268,0,0,0,268,0,0,268
2011:Q3,16316,0,16316,108,15636,572,16316,15982,0,108,15588,286,0,0,0,334,0,48,286
2011:Q4,7648,0,7648,92,7072,484,7648,7862,0,92,7528,242,0,0,0,-214,0,-456,242
2012:Q1,4932,0,4932,44,4312,576,4932,4640,0,44,4308,288,0,0,0,292,0,4,288
2012:Q2,13156,0,13156,40,12716,400,13156,13000,0,40,12760,200,0,0,0,156,0,-44,200
2012:Q3,3332,0,3332,40,2976,316,3332,3094,0,40,2896,158,0,0,0,238,0,80,158
2012:Q4,-3580,0,-3580,24,-3876,272,-3580,-3712,0,24,-3872,136,0,0,0,132,0,-4,136
2013:Q1,3500,0,3500,20,3020,460,3500,3334,0,20,3084,230,0,0,0,166,0,-64,230
2013:Q2,-764,0,-764,24,-1148,360,-764,-992,0,24,-1196,180,0,0,0,228,0,48,180
2013:Q3,-4004,0,-4004,20,-4284,260,-4004,-4166,0,20,-4316,130,0,0,0,162,0,32,130
2013:Q4,-11128,0,-11128,24,-11340,188,-11128,-11206,0,24,-11324,94,0,0,0,78,0,-16,94
2014:Q1,-3824,0,-3824,32,-4160,304,-3824,-4028,0,32,-4212,152,0,0,0,204,0,52,152
2014:Q2,3092,0,3092,32,2840,220,3092,3026,0,32,2884,110,0,0,0,66,0,-44,110
2014:Q3,-3552,0,-3552,16,-3804,236,-3552,-4058,0,16,-4192,118,0,0,0,506,0,388,118
