1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q1,22549,22549,22156,187,0,0,0,0,22,184,0,0
1963:Q2,23693,23693,23306,193,0,0,0,0,17,177,0,0
1963:Q3,24496,24496,24118,195,0,0,0,0,14,169,0,0
1963:Q4,25215,25215,24819,203,0,0,0,0,17,176,0,0
1964:Q1,26881,26881,26433,214,0,0,0,0,33,201,0,0
1964:Q2,27682,27682,27156,225,0,0,0,0,60,241,0,0
1964:Q3,29131,29131,28523,238,0,0,0,0,87,283,0,0
1964:Q4,29116,29116,28447,253,0,0,0,0,104,312,0,0
1965:Q1,30465,30465,29751,270,0,0,0,0,113,331,0,0
1965:Q2,30037,30037,29291,289,0,0,0,0,116,341,0,0
1965:Q3,32825,32825,32050,309,0,0,0,0,117,349,0,0
1965:Q4,35220,35220,34410,330,0,0,0,0,120,360,0,0
1966:Q1,36173,36173,35326,351,0,0,0,0,124,372,0,0
1966:Q2,35429,35429,34547,370,0,0,0,0,128,384,0,0
1966:Q3,32224,32224,31301,393,0,0,0,0,133,397,0,0
1966:Q4,34829,34829,33850,425,0,0,0,0,140,414,0,0
1967:Q1,39280,39280,38226,469,0,0,0,0,150,435,0,0
1967:Q2,40429,40429,39284,523,0,0,0,0,163,459,0,0
1967:Q3,43249,43249,42006,581,0,0,0,0,177,485,0,0
1967:Q4,44308,44308,42973,635,0,0,0,0,190,510,0,0
1968:Q1,41949,41949,40523,692,0,0,0,0,199,535,0,0
1968:Q2,47493,47493,45972,759,0,0,0,0,201,561,0,0
1968:Q3,49914,49914,48300,816,0,0,0,0,211,587,0,0
1968:Q4,51232,51232,49529,845,0,0,0,0,244,614,0,0
1969:Q1,50339,50339,48554,845,0,0,0,0,301,639,0,0
1969:Q2,48052,48052,46190,816,0,0,0,0,382,664,0,0
1969:Q3,47940,47940,46004,777,0,0,0,0,470,689,0,0
1969:Q4,47588,47588,45578,745,0,0,0,0,550,715,0,0
1970:Q1,48369,48369,46279,719,0,0,0,0,634,737,0,0
1970:Q2,39201,39201,37027,688,0,0,0,0,734,752,0,0
1970:Q3,44172,44172,41919,662,0,0,0,0,817,774,0,0
1970:Q4,46812,46812,44501,645,0,0,0,0,849,817,0,0
1971:Q1,52687,52687,50329,645,0,0,0,0,831,882,0,0
1971:Q2,52961,52961,50571,659,0,0,0,0,763,968,0,0
1971:Q3,52214,52214,49798,677,0,0,0,0,677,1062,0,0
1971:Q4,55446,55446,53006,690,0,0,0,0,600,1150,0,0
1972:Q1,57548,57548,55084,701,0,0,0,0,526,1237,0,0
1972:Q2,56656,56656,54180,711,0,0,0,0,435,1330,0,0
1972:Q3,56209,56209,53712,721,0,0,0,0,357,1419,0,0
1972:Q4,58926,58926,56383,732,0,0,0,0,317,1494,0,0
1973:Q1,52843,52843,50224,743,0,0,0,0,321,1555,0,0
1973:Q2,48013,48013,45290,754,0,0,0,0,366,1603,0,0
1973:Q3,51927,51927,49090,765,0,0,0,0,425,1647,0,0
1973:Q4,46635,46635,43695,775,0,0,0,0,470,1695,0,0
1974:Q1,44521,44521,41490,785,0,0,0,0,512,1734,0,0
1974:Q2,40662,40662,37557,794,0,0,0,0,560,1751,0,0
1974:Q3,32320,32320,29123,804,0,0,0,0,603,1790,0,0
1974:Q4,35152,35152,31813,816,0,0,0,0,628,1895,0,0
1975:Q1,40968,40968,37436,832,0,0,0,0,635,2065,0,0
1975:Q2,46061,46061,42283,851,0,0,0,0,626,2301,0,0
1975:Q3,40876,40876,36835,871,0,0,0,0,611,2559,0,0
1975:Q4,43034,43034,38749,890,0,0,0,0,600,2795,0,0
1976:Q1,46920,46920,42619,912,0,0,0,0,594,2795,0,0
1976:Q2,47003,47003,42441,942,0,0,0,0,587,3033,0,0
1976:Q3,45799,45799,40957,964,0,0,0,0,581,3297,0,0
1976:Q4,46510,46510,41436,964,0,0,0,0,576,3534,0,0
1977:Q1,43037,43037,37826,941,0,0,0,0,578,3692,0,0
1977:Q2,45901,45901,40651,895,0,0,0,0,584,3771,0,0
1977:Q3,45617,45617,40413,841,0,0,0,0,592,3771,0,0
1977:Q4,45491,45491,40355,790,0,0,0,0,600,3746,0,0
1978:Q1,44493,44493,39400,738,0,0,0,0,605,3750,0,0
1978:Q2,46687,46687,41664,667,0,0,0,0,606,3750,0,0
1978:Q3,48619,48619,43683,615,0,0,0,0,613,3708,0,0
1978:Q4,46050,46050,41080,618,0,0,0,0,637,3715,0,0
1979:Q1,47697,47697,42476,680,0,0,0,0,679,3862,0,0
1979:Q2,48943,48943,43252,800,0,0,0,0,739,4152,0,0
1979:Q3,51166,51166,44837,939,0,0,0,0,805,4585,0,0
1979:Q4,51789,51789,38388,1060,0,0,0,0,865,8079,3397,0
