1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q1,285969,4801,21169,50066,0,-1515,56130,0,31610,18389,6131,0,101834,32586,0,69248,0,0,21554,24131,7799,1460641,2653,500,8318,725413,500032,8406,216975,8091,1051,7040,52016,10053,653597,241188,1415860
1976:Q2,291799,5759,30271,47268,0,0,58806,0,33077,18729,7000,0,100734,31918,0,68816,0,0,22530,18315,8116,1485699,2629,500,8657,749791,515607,8448,225736,6762,1029,5733,54024,10387,652949,245989,1439889
1976:Q3,306610,6752,31395,48106,0,572,62629,0,35536,19745,7348,0,105488,33098,0,72390,0,0,23142,20032,8494,1517274,2654,800,8556,769466,532091,8733,228642,7967,997,6970,56890,10440,660501,256756,1467420
1976:Q4,313061,7005,27656,50943,0,-1875,67941,0,40241,20359,7341,0,107853,33625,0,74228,0,0,23866,23565,6107,1547977,2665,1200,8659,788743,550401,8329,230013,8799,982,7817,59357,10751,667803,257662,1492578
1977:Q1,324095,7452,23094,53490,0,-1354,74660,0,43626,23950,7084,0,109420,33997,0,75423,0,0,24020,27085,6228,1584866,2659,1200,8648,806228,567090,8175,230963,9108,949,8159,61697,10803,684523,265226,1525997
1977:Q2,330832,7500,31832,52682,0,0,81550,0,49779,24830,6941,0,109952,34978,0,74974,0,0,24428,16404,6484,1606068,2674,1200,8765,816175,567606,8097,240472,7037,919,6118,63662,10970,695585,267994,1543230
1977:Q3,354152,7350,33621,55002,0,715,89639,0,55880,26402,7357,0,114791,36548,0,78243,0,0,25315,21105,6614,1647544,2669,1200,8864,846110,593712,7599,244799,8228,894,7334,65709,11069,703695,283581,1576973
1977:Q4,363741,7605,28366,58060,0,-1970,95988,0,61363,26705,7920,0,118171,38362,0,79809,0,0,25448,25286,6787,1686351,2787,1250,8909,869880,614181,7556,248143,8891,869,8022,66754,11422,716458,286436,1609046
1978:Q1,381262,7429,20562,62026,0,-1382,105748,0,68774,28415,8559,0,122930,39428,0,83502,0,0,27043,29787,7119,1733101,2837,1250,9045,896806,633741,7233,255832,9152,845,8307,68935,11475,733601,295622,1647461
1978:Q2,398995,7128,33031,61825,0,0,114987,0,73601,33040,8346,0,126455,40869,0,85586,0,0,28375,19896,7298,1761485,2843,1250,9142,913330,637824,7136,268370,7282,818,6464,70721,11781,745136,310584,1673074
1978:Q3,428590,7188,37009,64546,0,479,123414,0,80665,34581,8168,0,133435,43381,0,90054,0,0,29240,25736,7543,1801654,2939,1300,9271,944372,659402,6584,278386,7253,792,6461,73033,11848,751638,333296,1706360
1978:Q4,445308,5402,32464,66208,0,2158,130413,0,83680,39495,7238,0,137457,45082,0,92375,0,0,31484,31807,7915,1847990,2989,1300,9383,970481,675125,6221,289135,7238,772,6466,75850,12112,768637,347924,1750606
1979:Q1,461830,6446,21862,69156,0,3783,138962,0,89510,42995,6457,0,142651,48140,0,94511,0,0,32172,38613,8185,1883884,4077,1300,9659,985062,684106,5593,295363,7227,746,6481,77909,12094,786556,359382,1781436
1979:Q2,476060,7036,33371,65910,0,8000,142216,0,89331,46504,6381,0,150708,51209,0,99499,0,0,33919,26548,8352,1908228,4090,1800,9982,989611,681578,5146,302887,7353,705,6648,80223,12357,802812,373700,1805868
1979:Q3,499813,5826,38782,66284,0,10528,146734,0,90086,50211,6437,0,157077,54479,0,102598,0,0,35382,30713,8487,1949256,4175,1800,10262,1017266,701618,5070,310578,7231,680,6551,82879,12359,813284,396739,1846182
1979:Q4,513289,5328,32794,65258,0,11781,151605,0,85460,59357,6788,0,165098,58142,0,106956,0,0,37776,35118,8531,1994128,4173,1800,10493,1040809,720317,4938,315554,7316,654,6662,83382,12630,833525,414379,1895218
1980:Q1,528070,8013,22920,67074,0,14013,150796,0,82029,61731,7036,0,173942,62664,0,111278,0,0,39716,42992,8604,2031879,5058,2968,10709,1060076,735824,4874,319378,7347,633,6714,85691,12598,847432,432291,1936100
1980:Q2,527856,8463,30071,63239,0,17500,150167,0,82477,60336,7354,0,183021,67265,0,115756,0,0,40216,26508,8671,2052884,5353,3018,10849,1074046,743632,4685,325729,7380,601,6779,87793,12842,851603,431246,1956274
1980:Q3,557003,9620,36717,62142,0,20253,154863,0,87987,59467,7409,0,191008,71279,0,119729,0,0,42056,31421,8923,2098945,5305,3268,10925,1117940,781070,4573,332297,7710,572,7138,89842,12860,851095,454469,1996411
1980:Q4,570402,10550,29217,63307,0,16997,160051,0,93322,59721,7008,0,198910,75430,0,123480,0,0,44308,36902,10160,2142259,5155,2518,11057,1148482,807189,4445,336848,8136,550,7586,91539,13195,862177,462486,2034343
1981:Q1,597738,12240,30170,65286,0,17135,165089,0,97651,60564,6874,0,208746,79002,0,129744,0,0,46215,42571,10286,2206711,6019,2818,11167,1184692,838634,4391,341667,8333,520,7813,94553,13163,885966,485400,2094373
1981:Q2,594338,12042,29242,62372,0,16301,172885,0,103545,62628,6712,0,218335,82779,0,135556,0,0,47512,24814,10835,2233121,5637,3068,11266,1188676,837682,4232,346762,9063,493,8570,96133,13497,905781,475511,2114294
1981:Q3,612096,13037,34133,62946,0,17315,180107,0,106929,66253,6925,0,224899,85266,0,139633,0,0,48202,20275,11182,2288011,5608,3318,11374,1227379,867051,4170,356158,8934,465,8469,97424,13473,920501,489773,2165688
1981:Q4,617019,13834,28955,65533,0,13661,184539,0,108315,69085,7139,0,230872,88051,0,142821,0,0,49184,19325,11116,2350942,5703,3318,11502,1270447,903113,4104,363230,9265,441,8824,98400,13833,938474,492741,2226664
1982:Q1,629255,13881,28408,70276,0,11896,190046,0,116685,65763,7598,0,235190,89758,0,145432,0,0,49902,18281,11375,2417151,5454,3568,11606,1307792,933246,3506,371040,9483,415,9068,101071,13868,964309,495904,2283800
1982:Q2,632545,14782,27898,69076,0,13450,197351,0,125500,64250,7601,0,241619,91812,0,149807,0,0,51655,4845,11869,2465800,5351,3818,11693,1330891,944377,3485,383029,9989,383,9606,104583,14232,985243,489838,2323093
1982:Q3,676621,14760,44398,71263,0,14701,200318,0,122791,69922,7605,0,248239,93166,0,155073,0,0,51943,18748,12251,2553002,5254,4218,11764,1410979,1013958,3443,393578,10006,353,9653,107752,14242,988787,536572,2412953
1982:Q4,685258,17076,34903,72012,0,16086,203835,0,126272,70180,7383,0,252328,95654,0,156674,0,0,55324,21355,12339,2644265,5405,4618,11859,1484690,1077356,3351,403983,10113,322,9791,109834,14679,1003067,541812,2500819
1983:Q1,700831,18173,29295,72865,0,18517,210438,0,132180,70582,7551,125,255165,96832,0,158333,0,0,55929,27669,12780,2719601,5285,4618,11971,1545313,1130245,3387,411681,10340,307,10033,111795,14707,1015572,551067,2569837
1983:Q2,728660,18459,43721,69041,0,23422,218814,0,140253,71057,7254,250,260847,99491,0,161356,0,0,57468,23561,13327,2793915,5234,4618,12104,1610850,1179462,3344,428044,10625,275,10350,115471,15112,1019901,570803,2636058
1983:Q3,748391,18255,50156,67694,0,30795,221197,0,142844,70347,7506,500,264991,101745,0,163246,0,0,57937,23627,13739,2876401,5178,4618,12241,1681581,1238968,3320,439293,10964,261,10703,118973,15164,1027682,587338,2715348
1983:Q4,744871,18986,26573,68094,0,32665,228232,0,149223,70054,7955,1000,268978,104760,0,164218,0,0,60589,26934,13820,2946922,5130,4618,12327,1730748,1277228,3311,450209,11141,241,10900,121959,15637,1045362,576793,2778844
1984:Q1,776768,19888,30547,67009,0,36581,235384,0,153510,71639,8454,1781,272984,106856,0,166128,0,0,62600,37230,14545,3031065,5214,4618,12501,1788261,1324160,3274,460827,10917,204,10713,126429,15723,1067402,604091,2858388
1984:Q2,790828,19764,33366,67017,0,40000,242906,0,159581,71707,8743,2875,278459,109882,0,168577,0,0,66210,27376,15730,3100588,5052,4618,12656,1839003,1358733,3262,477008,11180,180,11000,130970,16177,1080932,611504,2921264
1984:Q3,835757,19734,47193,70690,0,48267,250054,0,161925,75416,8682,4031,284387,111657,0,172730,0,0,67822,30528,17082,3183814,4895,4618,12739,1921820,1425508,3255,493057,12093,152,11941,134719,16230,1076700,653209,3001266
1984:Q4,852098,20307,37587,72030,0,53122,254581,0,165993,74572,9016,5000,296255,115862,0,180393,0,0,68781,32509,16926,3279043,4803,4618,12880,1991309,1493072,3244,494993,18782,141,18641,136940,16721,1092990,658448,3085393
1985:Q1,892860,20469,30705,78093,0,58548,275609,0,176228,84887,8650,5844,304512,118119,0,186393,0,0,71035,36979,16910,3368766,4857,4618,13157,2063592,1544223,3230,516139,21222,116,21106,142047,16757,1102516,686876,3162782
1985:Q2,930138,20897,44688,76289,0,67216,294288,0,190544,88968,8151,6625,310142,120752,0,189390,0,0,73507,25712,17399,3463445,4891,4618,13175,2136546,1594076,3221,539249,24463,96,24367,147097,17226,1115429,707076,3240383
1985:Q3,968078,22289,36385,77903,0,73614,304309,0,196949,90871,9145,7344,322311,123932,0,198379,0,0,74848,37547,18872,3570448,5191,4618,13255,2221723,1654805,3215,563703,25618,83,25535,152125,17282,1130636,736449,3338819
1985:Q4,1077064,25129,51155,80463,0,74128,381358,0,258670,105083,9605,8000,324878,127511,0,197367,0,0,76235,39650,24068,3757414,5382,4718,13267,2413053,1758725,3217,651111,26892,72,26820,156329,17829,1119944,781969,3462319
1986:Q1,1074518,26196,29890,83111,0,74379,384570,0,263205,102965,9822,8578,331632,132124,0,199508,0,0,73707,46522,24511,3813636,5577,4718,13478,2450199,1793895,3163,653141,27003,61,26942,160726,17859,1134076,774549,3513667
1986:Q2,1112719,27405,47016,81255,0,75637,407512,0,292695,95669,10086,9062,336003,134779,0,201224,0,0,74689,37110,26092,3920147,5770,4818,13571,2537896,1850659,3165,684072,27102,52,27050,168062,18355,1144573,782888,3590316
1986:Q3,1142966,27928,50554,79665,0,81473,414679,0,292579,102273,10312,9515,340377,136877,0,203500,86,0,74599,46937,26668,4035555,5945,5018,13647,2622877,1919205,3559,700113,27039,40,26999,176378,18428,1166223,813076,3705665
1986:Q4,1174196,28032,53210,79563,0,78977,439805,0,315727,103663,10415,10000,343455,140362,0,203093,219,0,74846,49857,26232,4143578,5993,5018,13756,2732384,2003903,3608,724873,27293,36,27257,180461,18871,1159802,820797,3790179
1987:Q1,1178525,28338,26445,82243,0,81673,458556,0,344782,92814,10444,10516,340841,143503,0,197338,367,0,80712,52913,26437,4189829,6299,5018,13884,2785845,2027895,4594,753356,27093,27,27066,185236,18998,1147456,796233,3807537
1987:Q2,1214568,24962,62439,80817,0,85191,464356,0,348605,94242,10446,11063,340422,146319,0,194103,500,0,82426,46485,26970,4254114,6262,5018,13991,2840969,2066019,4127,770823,25200,25,25175,189028,19487,1154159,830342,3869888
1987:Q3,1225904,26958,55328,79500,0,90656,474883,86,352819,100018,10381,11579,335534,142039,0,193495,609,0,84433,49739,28264,4320730,6270,5018,14105,2901553,2102052,3901,795600,25370,22,25348,194021,20518,1153875,837356,3932182
1987:Q4,1240147,29112,42802,82206,0,90908,488946,219,357626,108896,10205,12000,336987,143765,0,193222,687,0,86591,50732,31176,4473136,6951,5018,14225,2999371,2176549,5144,817678,24919,21,24898,198027,20076,1204549,847418,4080407
1988:Q1,1248482,25533,44829,85635,0,88141,495281,367,367029,105533,10039,12313,336849,145206,0,191643,796,0,88402,58412,24604,4538955,6797,5018,14354,3045720,2213876,5021,826823,24211,21,24190,203310,20097,1219448,847224,4137697
1988:Q2,1259807,23799,67838,81329,0,92201,497328,500,363439,110888,10000,12501,336468,145196,0,191272,1000,0,89389,44867,25588,4591788,6421,5018,14454,3083399,2238405,6952,838042,23322,22,23300,208547,20617,1230010,863068,4195049
1988:Q3,1278082,27264,71769,82488,0,92776,503848,609,355855,124609,10086,12689,327589,144534,0,183055,1297,55,88354,57187,25455,4674813,6322,5018,14574,3160087,2286249,12176,861662,15020,20,15000,212379,20654,1240759,897141,4293872
1988:Q4,1275738,27671,61410,81885,0,89894,519944,687,364256,131713,10288,13000,315467,146664,0,168803,1688,94,91439,59645,26601,4774628,6593,5018,14736,3253588,2347021,22578,883989,9016,16,9000,216800,21249,1247628,892194,4391084
1989:Q1,1282077,28725,37851,84732,0,97872,524189,796,355914,143527,10514,13438,312538,148227,0,164311,2110,211,93878,73461,26510,4864352,6334,5368,14876,3295321,2380469,22284,892568,9391,15,9376,222285,21271,1289506,906273,4488548
1989:Q2,1315827,30632,69787,82478,0,100237,537190,1000,358584,152932,10673,14001,313915,149255,0,164660,2500,500,96231,55067,27290,4916365,6107,8518,15056,3320748,2397204,23567,899977,9417,14,9403,228691,21798,1306030,937167,4537705
1989:Q3,1337661,31356,62430,80757,0,103620,548003,1266,359807,161595,10771,14564,312408,150547,0,161861,2875,945,96829,60776,37662,5012554,6270,8518,15166,3388834,2446148,25342,917344,8814,13,8801,233256,21790,1329906,958282,4633175
1989:Q4,1355854,32275,53978,80906,0,106040,559095,1563,369087,162629,10816,15000,313772,152246,0,161526,3250,1531,98118,63580,43309,5144702,6439,8518,15303,3482102,2526312,24197,931593,8783,13,8770,237217,22406,1363934,967181,4756029
1990:Q1,1387477,31852,40691,81400,0,106401,581241,1954,401112,151991,10871,15313,324992,160834,0,164158,3625,2226,99875,72182,42992,5262918,6373,8518,15453,3553709,2572450,31590,949669,9034,14,9020,237751,22402,1409678,966474,4841915
1990:Q2,1428532,32067,59026,78428,0,109562,585960,2500,404999,151960,11000,15501,336385,172811,0,163574,4000,3000,101621,55652,62831,5339691,6486,8518,15614,3609227,2615484,32933,960810,9181,11,9170,242321,22950,1425394,1003363,4914522
1990:Q3,1459806,34568,60460,77341,0,109957,589154,3180,407261,151795,11229,15689,352729,187627,0,165102,4375,3867,102065,59559,65731,5494948,6823,8518,15713,3695960,2692566,32603,970791,9580,10,9570,245025,22985,1490344,1031746,5066888
1990:Q4,1474944,39684,54351,76649,0,111771,593140,3969,410555,151033,11583,16000,352769,193074,0,159695,4750,4844,98832,59175,78979,5612057,6970,10018,16256,3808532,2798410,32350,977772,9658,10,9648,244328,23594,1492701,1043158,5180271
1991:Q1,1495603,36904,58795,78735,0,109672,601741,4899,415619,152905,11896,16422,361399,204095,0,157304,5125,5899,96442,67637,73254,5672310,6596,10018,15958,3866839,2849066,26350,991423,9591,11,9580,244929,23655,1494724,1058508,5235215
1991:Q2,1513473,35258,70369,74434,0,114641,605586,6000,416835,153813,12000,16938,369322,213303,0,156019,5500,7000,96564,54279,80520,5781959,6441,10018,16070,3937423,2903119,24800,1009504,9413,10,9403,248902,24227,1529465,1075235,5343721
1991:Q3,1555016,37793,57557,72093,0,115611,624478,7336,430235,157515,11907,17485,369272,216661,0,152611,5875,8156,97068,54750,112363,5933139,6703,10018,16170,4075825,3020264,17602,1037959,9811,10,9801,252668,24118,1537826,1103073,5481196
1991:Q4,1596956,39097,85155,66846,0,118442,636859,8969,435538,162725,11627,18000,364156,212011,0,152145,6250,9375,96599,55468,118709,6075921,7008,10018,16296,4215937,3128797,18556,1068584,10021,10,10011,252483,24790,1539368,1139780,5618745
1992:Q1,1600625,37607,55567,68162,0,115788,648526,10617,460017,148155,11284,18453,368374,216201,0,152173,6625,10656,96562,70079,122679,6242583,6721,10018,16314,4294953,3208656,15765,1070532,10060,10,10050,255181,24674,1624662,1119274,5761232
1992:Q2,1618108,41615,83123,62739,0,122350,644502,12000,435563,166627,11000,19312,363647,211646,0,152001,7000,12000,95397,52943,132792,6393715,7012,10018,16386,4377857,3281821,15862,1080174,10008,8,10000,260164,25287,1686983,1161545,5937152
1992:Q3,1626279,43109,94851,63292,0,122183,645889,13156,429310,172507,10751,20165,356429,204318,0,152111,7375,13406,92948,55719,131078,6541113,7216,10018,16433,4482513,3370625,18119,1093769,9958,8,9950,263054,25454,1726467,1176268,6091102
1992:Q4,1585024,38847,69866,58135,0,123050,638604,14125,418175,174902,10502,20900,352146,200026,0,152120,7750,14875,93032,57953,130766,6657531,6737,8018,16516,4576348,3472337,18786,1085225,9878,8,9870,264028,26229,1749777,1146477,6218984
1993:Q1,1589429,41089,59152,61801,26,125870,643102,15036,434058,161627,10257,22124,346423,195635,0,150788,8128,16412,92508,71973,122945,6753083,6848,8018,16588,4645880,3523422,19576,1102882,9758,8,9750,268821,26232,1770938,1135364,6299018
1993:Q2,1604989,40682,100940,57799,53,124256,657593,16011,441428,166518,10007,23629,337152,187122,0,150030,8506,18013,91559,49435,119001,6875279,6877,8018,16678,4742175,3593018,20596,1128561,9621,8,9613,274119,26872,1790919,1143941,6414231
1993:Q3,1597137,41605,93084,58382,105,126012,653700,16989,421087,180726,9759,25139,331700,182792,0,148908,8891,19676,92619,54799,116564,6955062,6949,8018,16784,4818136,3649853,24654,1143629,9445,7,9438,279910,26941,1788879,1156853,6514778
1993:Q4,1613796,40151,92368,55831,158,134021,650028,17901,420702,175367,9503,26555,335525,193548,353,141624,9286,21391,94245,60495,120297,7074217,6730,8018,16962,4928209,3757742,26585,1143882,9164,6,9158,281988,27622,1795524,1174433,6634854
1994:Q1,1604936,42559,86102,58754,211,128778,643855,18882,419193,168599,9254,27927,323085,187618,350,135117,9673,23185,93252,74996,120486,7186145,6921,8018,17126,4968478,3801381,26259,1140838,9160,6,9154,286368,27628,1862446,1167335,6748544
1994:Q2,1589497,42371,92882,55924,316,126308,644888,20082,413090,173359,9037,29320,320520,186184,354,133982,10041,25103,94287,49291,127566,7231489,7096,8018,17285,4972877,3817354,27438,1128085,9246,6,9240,291363,28307,1897297,1158130,6800122
1994:Q3,1579253,42379,75268,57278,421,118998,645674,21575,399574,184965,8844,30716,321592,186434,558,134600,10376,27255,94999,55726,129287,7282245,7189,8018,17477,5011810,3868006,28162,1115642,9689,6,9683,294924,28405,1904733,1161152,6864144
1994:Q4,1586597,41351,69905,58490,527,119449,622728,22440,371630,187873,8667,32118,332780,182267,6865,143648,10670,29298,95908,60882,144609,7358041,7153,8018,17648,5075762,3951076,26743,1097943,9560,6,9554,297780,28890,1913230,1196746,6968190
1995:Q1,1601015,50519,55603,63907,597,110624,626215,24204,352221,207483,8507,33800,331882,181462,6874,143546,11005,31595,96324,84753,137991,7405749,7646,8018,17832,5117940,4008374,26436,1083130,9669,6,9663,300452,28940,1915252,1230624,7035358
1995:Q2,1611442,55145,100957,61649,792,102132,588893,26447,315622,202344,8385,36095,327707,178584,6211,142912,11544,33791,96395,54237,178200,7422996,7686,8018,18002,5144842,4043573,26838,1074431,9632,6,9626,304023,29371,1901422,1277809,7089363
1995:Q3,1598074,54544,79486,63754,835,106893,560600,35286,306322,174033,7269,37690,325429,175543,7166,142720,20246,34751,97196,60364,193976,7421090,7380,10168,18199,5153606,4078084,26940,1048582,10221,6,10215,307970,29445,1884101,1274268,7097284
1995:Q4,1566936,53779,65084,67363,960,117106,529915,39850,292068,153361,5178,39458,312247,172696,9182,130369,26739,35430,100383,60078,197852,7466530,7283,10168,18326,5180113,4114850,28223,1037040,18612,6,18606,310539,29909,1891580,1259998,7159592
1996:Q1,1599566,53266,62969,72596,1011,137338,528216,42308,286003,152530,4109,43266,321368,171366,11536,138466,31055,36221,101257,83007,171262,7541897,7159,10168,18325,5260349,4200416,27643,1032290,9831,6,9825,315285,30001,1890779,1299629,7241960
1996:Q2,1601991,52880,82937,75618,1004,145625,539291,51074,285599,151312,4854,46452,322766,170930,13039,138797,36950,39602,102287,54868,148163,7534982,7072,10168,18280,5249914,4188197,28205,1033512,10389,5,10384,321224,30609,1887326,1301154,7234145
1996:Q3,1612218,45069,85813,76387,1020,146019,513696,54801,265879,139557,4618,48841,322856,169634,15529,137693,41521,41007,103076,62479,173275,7585101,7052,9718,18866,5283049,4241371,27437,1014241,10641,4,10637,326559,30648,1898568,1331084,7303967
1996:Q4,1622528,44872,78937,77227,1083,149780,492358,60479,259072,117763,4701,50343,320261,169472,17671,133118,47524,41582,106894,69204,192806,7630081,7045,9718,18865,5364421,4316468,26613,1021340,4851,2,4849,329879,30526,1864776,1353906,7361459
1997:Q1,1664180,38315,78005,80505,1180,153854,479383,66304,250172,110470,4493,47944,325881,168010,20512,137359,50261,41125,107655,92106,215910,7717599,6795,9200,18974,5405377,4354993,26258,1024126,10240,0,10240,333064,31236,1902713,1399275,7452694
1997:Q2,1686923,38886,98378,80062,1234,151586,491710,68020,245284,123331,4605,50470,327375,168513,22885,135977,61006,39384,109729,60233,227340,7579667,6801,9200,19013,5358434,4295238,26319,1036877,10016,0,10016,336903,31787,1807513,1427018,7319762
1997:Q3,1781454,38599,89946,82465,1328,154942,476121,72317,237077,111907,4061,50759,334542,168388,25614,140540,71464,36428,108246,133202,254171,7549111,6689,9200,19326,5392830,4321648,26089,1045093,10537,0,10537,339185,31763,1739581,1529779,7297436
1997:Q4,1808588,41957,84438,84176,1407,153772,489352,75173,241144,117265,3962,51808,335771,168968,27635,139168,79669,34169,109997,131091,262789,7640517,6611,9200,19325,5473449,4379966,26526,1066957,9989,0,9989,341084,32263,1748596,1553493,7385422
1998:Q1,1893479,41682,77145,89394,1484,162568,489164,80541,239729,111995,3556,53343,340708,169750,31397,139561,88981,30989,112905,156549,301910,7609855,6545,9200,19405,5507946,4395245,25918,1086783,9974,0,9974,344458,32443,1679884,1640220,7356596
1998:Q2,1954111,42836,124838,90671,1704,156771,534969,79250,260332,134884,3054,57449,344550,170683,33586,140281,95633,33513,113158,121878,293590,7593115,6524,9200,19461,5461304,4324866,25558,1110880,10082,0,10082,348267,33096,1705181,1680643,7319647
1998:Q3,1957649,46269,86973,93100,1861,155039,562031,82315,273937,143243,3099,59437,346099,170300,36992,138807,85995,26934,116187,130758,306403,7778964,6719,9200,19886,5451268,4310920,25455,1114893,10346,0,10346,353014,33099,1895432,1670267,7491582
1998:Q4,1996840,51037,66799,99872,4201,162225,605387,90519,285711,160714,3331,65112,351105,177717,36516,136872,102777,35602,118509,125791,273535,7690923,6899,9200,19885,5528722,4366585,28501,1133636,10117,0,10117,354433,33555,1728112,1697681,7391764
1999:Q1,2062367,48262,69481,102539,4298,161710,631398,94835,293613,171568,3412,67970,355397,178527,40636,136234,102772,35430,122191,152385,276504,7732733,6653,8200,19885,5544853,4364067,28118,1152668,10117,0,10117,360414,33724,1748887,1755225,7425591
1999:Q2,2100744,45974,103107,105070,4374,160267,658769,98797,304025,181906,3476,70565,358031,178883,42787,136361,102189,35053,124456,132536,270918,7605810,6545,8200,20402,5459419,4266094,28268,1165057,10199,0,10199,368475,34398,1698172,1783044,7288110
1999:Q3,2164828,46378,104845,108989,4449,158646,676902,102821,304879,192466,3541,73195,396142,212557,46457,137128,101505,34634,127194,135510,269634,7741293,6799,7200,20902,5457331,4262488,28276,1166567,10163,0,10163,375694,34455,1828749,1846245,7422710
1999:Q4,2229279,44452,134697,114233,4605,159689,707208,108844,310531,206927,3671,77235,393259,215254,47988,130017,102545,34794,127801,140661,265335,7657508,6725,6200,20901,5537521,4336716,28284,1172521,8488,0,8488,383095,34956,1659622,1906589,7334818
2000:Q1,2245180,44052,92118,118299,4688,157927,728063,113239,312518,218456,3742,80108,397033,214712,52264,130057,101804,34339,132113,169451,265293,7641944,6599,6200,21441,5502228,4298636,27768,1175824,8525,0,8525,395349,35248,1666354,1920395,7317159
2000:Q2,2240609,41473,104982,121227,4732,154763,747090,116785,315716,228434,3782,82373,397227,213964,54105,129158,100168,33577,134438,140637,260295,7564183,6552,4200,22124,5329948,4119004,28227,1182717,8584,0,8584,402834,35904,1754037,1912527,7236101
2000:Q3,2267078,39682,98755,126657,4811,152566,765099,121216,314553,240222,3850,85258,399385,212552,58542,128291,99171,33023,136856,149489,261584,7545355,6359,3200,23181,5284138,4079861,27621,1176656,8818,0,8818,410508,35958,1773193,1939857,7218134
2000:Q4,2237697,41051,71906,125711,4847,148993,783227,124707,316938,250221,3886,87475,398811,211896,59662,127253,97289,32168,138013,148258,247423,7724604,6384,2200,23180,5279050,4062699,27326,1189025,8867,0,8867,413707,36396,1954820,1908006,7394913
2001:Q1,2286570,38741,74305,130206,4903,145825,807874,128662,324059,261207,3934,90012,400078,210673,64386,125019,95681,31401,142621,165741,249194,8012957,6177,2200,23578,5338258,4095263,26767,1216228,8941,0,8941,423257,36555,2173991,1949636,7676023
2001:Q2,2327320,39495,96390,136304,5026,144502,840739,134493,332246,276109,4038,93853,401932,211706,66683,123543,95300,31027,147430,137143,252032,7870163,6103,2200,23904,5226643,3949181,27048,1250414,8971,0,8971,431020,37148,2134174,1982065,7524908
2001:Q3,2349172,44666,97200,139146,5026,139540,849865,137111,328770,284492,4044,95448,402695,208641,70765,123289,92532,29869,151088,152651,244894,8223984,6316,2200,24462,5314553,4031221,26960,1256372,8892,0,8892,440421,37155,2389985,2007466,7882278
2001:Q4,2373671,43164,119979,142123,5140,137673,882394,142944,336421,299612,4142,99275,401826,209930,72470,119426,91828,29372,151332,135238,233602,8263690,6157,2200,24462,5439620,4118460,26777,1294383,8967,0,8967,443880,37781,2300623,2024141,7914160
2002:Q1,2348401,42247,77593,149716,5167,133307,897682,146403,335823,309839,4169,101448,403567,208345,76092,119130,89472,28339,152220,141082,228009,8364243,6109,2200,24696,5500127,4157645,26328,1316154,9237,0,9237,452246,37713,2331915,1999172,8015014
2002:Q2,2371125,47606,108476,146101,5191,128819,919650,149815,342062,319994,4195,103584,402604,206438,76396,119770,87041,27279,151361,129221,217776,8660823,6519,2200,24846,5580097,4187119,26775,1366203,9322,0,9322,461289,38713,2537837,2015546,8305244
2002:Q3,2441776,48815,132190,155493,5189,123652,937567,152474,347140,328555,4199,105199,403712,203657,80449,119606,84153,26075,148987,162088,213855,8947491,6481,2200,25450,5703916,4287334,27170,1389412,9495,0,9495,468528,38684,2692737,2080942,8586657
2002:Q4,2466682,50977,107471,167952,5282,120653,977849,157968,363559,343275,4280,108767,404315,204921,80490,118904,82753,25325,150630,164198,209277,9170713,6661,2200,25450,5865630,4400053,27275,1438302,9598,0,9598,472655,39354,2749165,2089245,8793276
2003:Q1,2475453,51745,81089,165354,5279,120591,972848,157886,358879,343096,4277,108710,404536,202503,83129,118904,82710,25312,163938,197035,205016,9339360,6731,2200,25591,5933489,4441492,26880,1465117,59170,0,59170,502921,39373,2769885,2102647,8966554
2003:Q2,2502867,52934,101583,175346,5442,121792,972736,159459,352645,346517,4321,109794,404426,203853,82164,118409,95117,28703,165678,175406,203704,9499770,6864,2200,25992,6105508,4558534,27009,1519965,9623,0,9623,528112,39793,2781678,2136278,9133181
2003:Q3,2529129,54879,112960,160731,5634,123105,998021,159735,367304,354151,4575,112256,407215,206541,83311,117363,97395,29869,164575,170727,204018,9664214,7005,2200,26015,6231424,4675606,27023,1528795,9709,0,9709,553795,39930,2794136,2147541,9282626
2003:Q4,2621534,54972,121864,162223,6060,127592,1038711,164034,380851,371169,4961,117696,413074,213470,82366,117238,108152,32843,167748,187795,200500,9777265,7281,2200,26014,6406794,4823169,24866,1558759,9676,0,9676,573570,40480,2711250,2226046,9381777
2004:Q1,2694941,54360,89076,170227,6382,130371,1073868,166025,397356,383530,5296,121661,424363,220411,85403,118549,109703,33974,177132,221261,204224,10786840,7254,2200,26210,7309668,4944973,25132,2339563,9745,0,9745,589579,40468,2801716,2282544,10374443
