1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,69602,1631,12095,1821,0,0,9832,0,7332,439,2061,0,17376,2609,0,14767,0,0,3425,22101,1321,329881,0,0,2398,246276,223261,245,22770,816,0,816,3850,6142,70399,59393,319672
1952:Q1,74790,1634,15618,1927,0,80,10141,0,7680,368,2093,0,17844,2900,0,14944,0,0,3657,22543,1346,332894,0,0,2413,247217,221993,208,25016,771,0,771,3771,6157,72565,64246,322350
1952:Q2,76273,1663,15627,1948,0,167,10808,0,8140,563,2105,0,18180,2962,0,15218,0,0,3964,22479,1437,337386,0,0,2420,249512,221979,53,27480,844,0,844,3797,6177,74636,65184,326297
1952:Q3,64846,1671,15291,1949,0,679,10957,0,8218,626,2113,0,18635,3055,0,15580,0,0,4292,9832,1540,344455,0,0,2429,254348,225252,401,28695,980,0,980,4017,6185,76496,53535,333144
1952:Q4,67702,1557,14789,1979,0,247,11251,0,8538,602,2111,0,19054,3272,0,15782,0,0,4450,12707,1668,352524,0,0,2435,259486,229203,626,29657,1138,0,1138,4415,6185,78865,55915,340737
1953:Q1,71303,1578,15630,2003,0,256,11532,0,8826,592,2114,0,19425,3481,0,15944,0,0,4746,14570,1563,353398,0,0,2438,258132,226183,728,31221,913,0,913,4651,6193,81071,59450,341545
1953:Q2,72239,1506,13712,2082,0,0,11647,0,8988,515,2144,0,20244,3650,0,16594,0,0,4671,16945,1432,356386,0,0,2451,259305,226643,283,32379,839,0,839,4572,6211,83008,60268,344415
1953:Q3,67220,1561,15891,2040,0,815,11811,0,9114,494,2203,0,20930,3759,0,17171,0,0,4748,7859,1565,366822,0,0,2458,267403,233183,425,33795,842,0,842,4691,6236,85192,55061,354663
1953:Q4,67432,1471,13672,2299,0,175,12151,0,9342,516,2293,0,21094,3750,0,17344,0,0,4417,10462,1691,374183,0,0,2469,272391,235126,2253,35012,774,0,774,4758,6259,87532,55023,361774
1954:Q1,70012,1429,15878,2627,0,-216,12351,0,9402,565,2384,0,21033,3704,0,17329,0,0,4682,10700,1528,374321,0,0,2491,270009,230582,2911,36516,670,0,670,5061,6246,89844,57556,361865
