1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,935164,0,63356,72177,0,77532,65426,79,5740,6287,19516,893,18623,0,184698,3482,0,57777,118836,92050,26786,328513,9276,85567,0,83447,51792,25350,550,4186,1569,1034,1086
1952:Q1,947573,0,62461,73469,0,80001,66245,123,7499,6134,19400,748,18652,0,186383,3612,0,58445,122763,93180,29583,331583,9456,86224,0,84061,53066,24597,550,4229,1619,1058,1105
1952:Q2,962593,0,60709,75744,0,82094,65904,0,9835,6355,19608,695,18913,0,192556,3696,0,59153,126900,96040,30860,332500,9633,90411,0,88204,54798,26878,533,4300,1695,1084,1123
1952:Q3,973997,0,63520,77273,0,83781,67045,0,10606,6130,19803,677,19126,0,192065,3837,0,59892,131197,98905,32292,332818,9811,93441,0,91189,56640,27965,466,4347,1771,1110,1142
1952:Q4,972130,0,65498,79651,0,84342,67389,-1,10957,5997,20003,714,19289,0,181107,3932,0,60665,135627,102151,33476,330657,10648,97890,0,95595,58416,30522,417,4404,1836,1133,1162
1953:Q1,975877,0,66253,81545,0,84729,66956,52,11875,5846,20356,737,19619,0,177857,3867,0,61439,139902,105316,34586,329100,10829,100207,0,97869,60006,30901,431,4618,1913,1154,1184
1953:Q2,973604,0,63017,84177,0,88303,69312,135,12743,6113,20525,639,19886,0,168582,3778,0,62199,144293,108169,36124,327734,10996,104699,0,102319,62225,32672,571,4864,1987,1173,1207
1953:Q3,979687,0,65644,85755,0,88627,69128,209,13542,5748,20683,663,20020,0,163848,3753,0,62937,148610,111221,37389,328684,11146,107229,0,104806,64205,33354,347,4850,2050,1192,1231
1953:Q4,1003441,0,66782,87886,0,88052,68038,154,13873,5987,20993,708,20285,0,177572,4146,0,63647,152853,114348,38505,330217,11293,110624,0,108158,65938,34614,478,4996,2132,1212,1254
1954:Q1,1021180,0,65213,89888,0,88441,68196,140,14386,5719,21278,786,20492,0,188593,4512,0,64339,157071,117307,39764,330437,11408,110496,0,107988,67351,32744,583,5086,2224,1233,1275
1954:Q2,1043578,0,64229,92829,0,87995,67555,140,14678,5622,21650,833,20817,0,203782,4895,0,65018,161350,120146,41204,330343,11487,114312,0,111763,69614,34006,510,5311,2322,1255,1294
1954:Q3,1073818,0,68458,94440,0,87072,66201,152,15246,5473,22026,919,21107,0,221823,5469,0,65687,165558,123211,42347,331712,11573,117763,0,115171,72336,34242,581,5615,2397,1277,1315
1954:Q4,1086322,0,68863,97182,0,87050,66087,147,15964,4852,22443,1020,21423,0,222895,6110,0,66349,169935,126077,43858,333828,11668,123092,0,120453,75356,35963,675,6047,2412,1298,1341
1955:Q1,1104252,0,68550,99274,0,88913,67640,39,16484,4750,22819,1023,21796,0,229212,6525,0,67031,174318,128976,45342,335800,11810,126315,0,123626,78237,35702,804,6442,2441,1318,1371
1955:Q2,1133617,0,66159,101868,0,90418,68240,117,17509,4552,23002,913,22089,0,249889,7186,0,67740,179028,131210,47818,336409,11918,133426,0,130685,81697,38755,1386,6552,2295,1336,1405
1955:Q3,1163706,0,69652,103362,0,92454,69181,232,18360,4681,23300,985,22315,0,263912,7257,0,68498,183687,133501,50186,339574,12009,138787,0,135989,85032,40543,1451,6701,2262,1356,1442
1955:Q4,1179514,0,70033,105783,0,93597,68843,605,19174,4975,23624,899,22725,0,265154,7839,0,69254,188255,136289,51966,343802,12173,144426,0,141563,87936,42949,1799,6713,2166,1381,1482
1956:Q1,1212150,0,69369,107946,0,95931,70474,721,19569,5167,24171,972,23199,0,281337,8555,0,70104,192884,138998,53886,349606,12247,146185,0,143247,90356,42251,1432,6770,2438,1413,1525
1956:Q2,1216717,0,67945,110925,0,97192,70183,958,20436,5615,24509,835,23674,0,272249,8613,0,71013,197560,142465,55095,354355,12356,151446,0,148421,93327,44281,1388,6856,2569,1452,1573
1956:Q3,1227312,0,70647,112516,0,98840,70632,1115,21308,5785,24843,867,23976,0,267245,8506,0,71904,202441,145761,56680,357938,12433,154833,0,151718,96174,44978,874,6905,2787,1493,1622
1956:Q4,1262014,0,71871,115230,0,99195,70225,959,21900,6111,25209,882,24327,0,287591,9046,0,72724,207775,149534,58241,360825,12548,159600,0,156401,98745,46580,1181,7034,2861,1530,1669
1957:Q1,1265135,0,70801,118462,0,101202,70878,933,22537,6854,25686,815,24871,0,274073,9106,0,73468,215119,155519,59600,364546,12672,160761,0,157484,100851,45242,1507,7006,2878,1563,1714
1957:Q2,1295811,0,68664,121985,0,101750,70743,1154,22812,7041,26147,814,25333,0,290373,9687,0,74135,223051,160785,62266,367266,12753,165828,0,162474,103039,47223,1972,7317,2923,1594,1760
1957:Q3,1288674,0,71303,123872,0,103628,71650,1100,23526,7352,26676,833,25843,0,264793,9001,0,74784,230768,167362,63406,371022,12828,168971,0,165542,105397,47971,1724,7327,3123,1625,1804
1957:Q4,1304173,0,70971,127167,0,103997,71507,1463,23851,7176,27177,894,26283,0,266234,8714,0,75462,238362,173772,64590,373178,12911,172076,0,168575,107374,49217,1568,7160,3256,1658,1843
1958:Q1,1336128,0,70819,130705,0,104522,70949,1208,24382,7983,27701,951,26750,0,280386,9463,0,76183,244139,177441,66698,379184,13027,171212,0,167641,108975,46775,762,7550,3579,1694,1877
1958:Q2,1361174,0,67287,134835,0,102628,71186,824,23317,7301,28584,1045,27539,0,294788,10610,0,76958,249929,180818,69111,382510,13045,174783,0,171149,111142,47704,333,8111,3859,1731,1903
1958:Q3,1408464,0,72779,137708,0,100997,68645,798,23794,7760,29284,1116,28168,0,323591,11791,0,77752,255861,183889,71972,385537,13164,178359,0,174659,114035,47940,472,8280,3932,1769,1931
1958:Q4,1434612,0,73698,141266,0,102011,68638,833,24616,7924,30043,1156,28887,0,333401,13242,0,78535,261909,186962,74947,387265,13242,184149,0,180371,117177,49490,1239,8591,3874,1809,1969
1959:Q1,1453513,0,73247,143832,0,104576,69977,917,25460,8222,30602,1272,29330,0,339692,14132,0,79331,266743,189736,77007,387979,13379,186644,0,182567,119935,48991,781,8742,4118,2060,2017
1959:Q2,1475903,0,72429,147681,0,105163,69458,1523,26068,8114,31057,1118,29939,0,351283,14973,0,80133,272118,192036,80082,387553,13513,193679,0,189505,123346,51878,1016,8985,4280,2100,2074
1959:Q3,1484575,0,76003,149934,0,107662,70444,2011,27058,8149,31345,1031,30314,0,345399,14747,0,80994,277575,195341,82234,387255,13661,199894,0,195611,127007,53918,1320,8984,4382,2150,2133
1959:Q4,1516434,0,75548,152525,0,110430,71584,2267,28362,8217,30443,-358,30801,0,364442,15818,0,81956,282854,197821,85033,388616,13801,206702,0,202315,130099,57213,1424,9206,4373,2200,2187
1960:Q1,1511245,0,73762,154522,0,115607,75466,1630,28972,9539,30621,-721,31342,0,344090,15312,0,82895,288952,202693,86259,391557,13927,207626,0,203148,132580,55757,908,9090,4813,2240,2238
1960:Q2,1529719,0,72042,158156,0,116174,74183,1909,30072,10010,31213,-897,32110,0,350070,16097,0,83772,295534,206238,89296,392612,14049,214485,0,209907,135366,58622,1572,9401,4946,2290,2288
1960:Q3,1521885,0,75669,161281,0,115486,73602,1294,30503,10087,32280,-540,32820,0,325875,15640,0,84539,301375,211215,90160,395557,14183,219067,0,214461,138582,59590,1526,9679,5084,2270,2336
1960:Q4,1577790,0,77538,164461,0,114846,72194,1033,31007,10612,33623,48,33575,0,364553,17026,0,85184,307674,213809,93865,398552,14332,224550,0,219861,141378,61248,2122,9901,5212,2310,2379
1961:Q1,1630543,0,75482,169701,0,113862,72095,359,30769,10639,33818,-607,34425,0,403160,19440,0,85872,313859,215961,97898,400869,14481,225311,0,220584,143645,59339,1795,10472,5333,2310,2417
1961:Q2,1647315,0,73818,175096,0,113999,70684,224,31610,11481,35336,83,35253,0,403029,20003,0,86665,320202,219394,100808,404523,14643,231512,0,226654,146603,60597,2857,11139,5458,2410,2448
