1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1143605,1631,91,119193,74898,0,0,106951,90,91411,518,8645,6287,45389,15660,21258,8471,184698,3482,52363,57777,118836,22101,328513,12567,15115,585889,0,0,2398,286337,269,223261,245,22770,39792,148008,27298,12787,82573,25350,46245,6142,20537,548,75674,147629,328513,2112
1952:Q1,1161015,1634,84,120485,76296,0,80,108967,138,91787,491,10417,6134,44958,15692,21579,7687,186383,3612,54793,58445,122763,22543,331583,12945,15444,588238,0,0,2413,288418,328,221993,208,25016,40873,148863,27071,12782,84413,24597,44885,6157,18812,560,78130,151463,331583,2156
1952:Q2,1177419,1663,102,119922,78592,0,167,110457,432,90679,563,12428,6355,46244,15913,21903,8428,192556,3696,53757,59153,126900,22479,332500,13529,15702,595172,0,0,2420,292159,304,221979,53,27480,42343,153774,26965,13148,86783,26878,42888,6177,16610,575,80570,157607,332500,2211
1952:Q3,1183029,1671,98,122743,80122,0,679,112745,411,92281,626,13297,6130,47063,16257,22210,8596,192065,3837,58238,59892,131197,9832,332818,13827,16202,611199,0,0,2429,298164,346,225252,401,28695,43470,158044,27386,13483,89210,27965,45852,6185,17238,584,82703,156907,332818,2249
1952:Q4,1186186,1557,75,124341,82530,0,247,114248,195,93574,601,13881,5997,48808,16496,22591,9721,181107,3932,58154,60665,135627,12707,330657,14261,17270,628727,0,0,2435,304314,331,229203,626,29657,44497,164442,28340,14050,91530,30522,48251,6185,17381,596,85123,146628,330657,2294
1953:Q1,1192719,1578,102,122801,84448,0,256,115502,212,93946,644,14854,5846,48641,16681,23131,8829,177857,3867,60465,61439,139902,14570,329100,14635,17557,631137,0,0,2438,303759,370,226183,728,31221,45257,167261,28332,14379,93649,30901,47682,6193,16007,614,87183,143052,329100,2362
1953:Q2,1191959,1506,74,119694,87159,0,0,117531,194,94754,650,15820,6113,50106,17233,23568,9305,168582,3778,59540,62199,144293,16945,327734,15058,17760,640238,0,0,2451,305872,297,226643,283,32379,46270,172399,28275,14935,96517,32672,48039,6211,15201,620,89444,133816,327734,2382
1953:Q3,1197145,1561,85,124615,88695,0,815,119905,214,96474,703,16766,5748,50862,17834,23811,9217,163848,3753,61159,62937,148610,7859,328684,15424,18333,658258,0,0,2458,314550,347,233183,425,33795,46800,175827,28477,14978,99018,33354,49294,6236,17399,637,91857,129274,328684,2447
1953:Q4,1220856,1471,114,124221,91085,0,175,120652,204,96620,670,17171,5987,52226,18052,24067,10107,177572,4146,57671,63647,152853,10462,330217,15735,18609,669274,0,0,2469,320805,402,235126,2253,35012,48012,178127,27329,14824,101360,34614,48763,6259,17986,651,94214,144082,330217,2506
1954:Q1,1237579,1429,115,122073,93465,0,-216,119954,312,95485,705,17733,5719,51253,18115,24228,8910,188593,4512,59058,64339,157071,10700,330437,16031,18764,665545,0,0,2491,319323,525,230582,2911,36516,48789,178313,27198,15050,103321,32744,47800,6246,14340,665,96367,156255,330437,2562
1954:Q2,1260271,1439,128,123265,96499,0,0,116612,338,91895,716,18041,5622,51753,17795,24566,9392,203782,4895,58627,65018,161350,11344,330343,16440,18775,670530,0,0,2501,320809,484,230733,2002,37866,49724,182091,26719,15000,106366,34006,48012,6187,11324,686,98920,172550,330343,2634
1954:Q3,1288673,1264,150,126042,98272,0,1006,117447,300,92205,758,18711,5473,52093,17807,25016,9270,221823,5469,61375,65687,165558,4959,331712,16649,19167,686143,0,0,2503,325525,584,234029,537,39376,50999,186092,26883,15210,109757,34242,50250,6087,13163,702,101822,191985,331712,2707
1954:Q4,1308629,1302,158,128537,101071,0,172,118752,291,93399,807,19403,4852,53886,17970,25463,10453,222895,6110,61403,66349,169935,7748,333828,17036,19447,706825,0,0,2505,332936,531,237857,2338,40663,51547,192572,27097,15932,113580,35963,52964,5960,14767,701,104421,194840,333828,2698
1955:Q1,1331382,1221,147,126734,103100,0,402,121125,281,95161,928,20005,4750,53367,18180,25888,9299,229212,6525,64619,67031,174318,10625,335800,17331,19825,709876,0,0,2508,330790,500,233485,2595,42155,52055,196840,27574,16308,117256,35702,53196,5861,12936,720,107026,202122,335800,2776
1955:Q2,1368929,1235,127,127232,105740,0,0,122292,352,95276,1089,21023,4552,54488,18218,26293,9977,249889,7186,65670,67740,179028,13899,336409,17837,20157,723913,0,0,2507,330859,380,232883,1550,43267,52779,206656,29544,16701,121656,38755,55339,5809,12026,744,109973,225533,336409,2862
1955:Q3,1399063,1198,123,129657,107052,0,1136,126541,245,98350,1233,22032,4681,54959,18356,26557,10046,263912,7257,70190,68498,183687,6431,339574,18200,20648,745706,0,0,2507,334544,371,235344,908,44668,53253,214173,30930,16804,125896,40543,60053,5810,15248,762,112608,240995,339574,2931
1955:Q4,1424160,1168,129,130692,109496,0,721,130725,217,101060,1601,22872,4975,56493,18215,27035,11243,265154,7839,71053,69254,188255,9614,343802,18720,21045,770734,0,0,2507,340700,362,238466,1611,45697,54564,223142,33198,17172,129823,42949,64079,5795,18430,768,115312,244222,343802,2957
1956:Q1,1457479,1127,95,129507,111805,0,563,131122,171,100550,1676,23558,5167,55858,18241,27530,10087,281337,8555,73141,70104,192884,10816,349606,19286,21673,770700,0,0,2509,338079,362,234182,1617,46932,54986,227414,34309,17596,133258,42251,63450,5853,15133,792,117471,262345,349606,3042
1956:Q2,1464783,1076,141,128958,114765,0,0,129543,325,97381,1950,24272,5615,56960,18339,28029,10592,272249,8613,74724,71013,197560,13022,354355,19961,21843,777642,0,0,2512,334438,289,229199,1151,47853,55946,235536,36212,17718,137325,44281,65652,5943,12175,812,120574,252704,354355,3120
1956:Q3,1474159,1231,119,130063,116193,0,1878,131425,371,97986,2181,25102,5785,57408,18403,28348,10657,267245,8506,78780,71904,202441,5839,357938,20799,22390,793544,0,0,2517,338001,401,230632,917,49038,57013,240464,36770,17612,141104,44978,68133,6029,14259,828,123313,246833,357938,3189
1956:Q4,1515642,1776,138,131593,118960,0,1292,133195,305,98931,2126,25722,6111,59282,18828,28746,11708,287591,9046,78337,72724,207775,8655,360825,21740,22713,813629,0,0,2526,343319,378,233683,1356,49862,58040,247392,38207,18158,144447,46580,70286,6098,16754,843,126411,268373,360825,3242
1957:Q1,1522615,1718,198,131212,122386,0,1118,134959,355,99061,2268,26421,6854,58415,18730,29386,10299,274073,9106,80493,73468,215119,10111,364546,22352,23341,818638,0,0,2533,344179,353,232013,1378,50925,59510,249987,38598,18857,147290,45242,69717,6144,14218,852,131007,254023,364546,3276
1957:Q2,1553830,1791,176,129147,126034,0,0,133656,349,96976,2601,26689,7041,59387,18482,29947,10958,290373,9687,80034,74135,223051,11913,367266,23597,23583,825019,0,0,2544,340478,320,226421,926,51836,60975,257430,40679,19282,150246,47223,69546,6166,11957,863,136034,273076,367266,3323
1957:Q3,1546207,2045,153,131933,127954,0,2242,136144,345,98290,2607,27550,7352,60085,18651,30595,10839,264793,9001,81801,74784,230768,5218,371022,24042,24223,843793,0,0,2552,347339,364,230591,704,53192,62488,261291,40193,19525,153602,47971,70913,6178,13511,865,141144,245392,371022,3332
1957:Q4,1563748,2080,131,130920,131251,0,1820,137302,435,98756,3015,27920,7176,62126,19151,31203,11772,266234,8714,79313,75462,238362,7776,373178,24524,24555,861445,0,0,2562,352007,422,231465,1679,54369,64072,265857,40271,19728,156641,49217,73210,6185,14621,898,146105,245747,373178,3453
1958:Q1,1595418,2174,160,129438,135958,0,1758,136321,746,96669,2658,28265,7983,61347,19415,31794,10138,280386,9463,81398,76183,244139,7945,379184,24843,24722,860439,0,0,2578,354674,716,229917,2275,55829,65937,265128,38179,20838,159336,46775,70549,6192,11495,916,148907,261319,379184,3522
1958:Q2,1627120,2187,132,132596,141323,0,0,132401,455,94921,2020,27704,7301,62943,19596,32695,10652,294788,10610,81346,76958,249929,8814,382510,25469,25114,872687,0,0,2590,359405,791,233403,1222,56972,67017,269951,38118,21220,162909,47704,72211,6203,8991,936,152400,278565,382510,3599
1958:Q3,1673550,2178,172,132802,143743,0,2093,131767,224,93291,1996,28496,7760,64225,20016,33434,10775,323591,11791,86488,77752,255861,4081,385537,25837,25632,889918,0,0,2593,363172,795,234110,1291,58513,68463,274244,38104,20984,167216,47940,76053,6219,10322,955,156360,310541,385537,3671
1958:Q4,1710592,2041,149,136377,147082,0,1417,135835,210,96357,2033,29311,7924,66814,20447,34444,11923,333401,13242,86439,78535,261909,7815,387265,26443,25828,917872,0,0,2600,373034,658,241244,1598,59819,69715,283525,40177,21785,172073,49490,79577,6241,12026,957,159913,324670,387265,3678
1959:Q1,1730382,1871,143,133575,149541,0,204,140173,502,99105,2181,30163,8222,67091,20852,35359,10880,339692,14132,88841,79331,266743,7368,387979,26979,26719,926730,0,0,2606,374833,652,241163,1314,61397,70307,287559,39592,22791,176185,48991,80574,6268,11682,983,162225,332012,387979,3781
1959:Q2,1761209,2186,137,134334,153359,0,0,142289,622,99727,3002,30824,8114,69089,21068,36447,11574,351283,14973,90504,80133,272118,8121,387553,27750,27380,946358,0,0,2621,377352,458,242044,1026,62655,71169,299399,42409,23790,181322,51878,82541,6299,12591,1015,164539,346451,387553,3905
1959:Q3,1774263,2346,145,137980,155031,0,998,147374,240,103130,3604,32251,8149,69765,21144,37145,11476,345399,14747,92582,80994,277575,6210,387255,28249,27613,965512,0,0,2626,384117,527,246320,939,64594,71737,307580,43613,23599,186450,53918,83463,6327,13275,1039,167086,339875,387255,3999
1959:Q4,1809625,2110,132,138071,157489,0,576,151891,742,106047,4015,32870,8217,71079,19719,37817,13543,364442,15818,91217,81956,282854,7114,388616,28752,27508,986766,0,0,2639,389103,315,249384,949,65661,72794,317982,45206,24435,191128,57213,85816,6350,14150,1046,169680,362157,388616,4019
1960:Q1,1803387,1993,121,133600,159418,0,154,156453,740,108652,3413,34109,9539,69151,19634,38335,11182,344090,15312,95486,82895,288952,5752,391557,29312,29141,992593,0,0,2652,387472,427,245603,978,67248,73216,321689,45349,25634,194949,55757,87272,6371,12817,1065,173255,339310,391557,4093
1960:Q2,1823857,1928,140,135530,163281,0,0,155523,757,105941,3890,34925,10010,70942,19705,39191,12046,350070,16097,95268,83772,295534,4498,392612,29641,29021,1006912,0,0,2661,387891,547,243931,953,68353,74107,332078,47278,26883,199295,58622,87984,6389,11903,1075,176931,347588,392612,4139
1960:Q3,1820612,1851,191,139161,166943,0,155,153578,648,103823,3281,35739,10087,71924,20200,40044,11680,325875,15640,98438,84539,301375,5557,395557,29976,29851,1021895,0,0,2673,391884,782,245897,392,69924,74889,337485,46950,26842,204103,59590,89519,6406,11795,1094,181039,321285,395557,4202
1960:Q4,1877482,1693,148,139445,172280,0,-176,152457,788,101685,3236,36136,10612,74732,20926,40981,12825,364553,17026,96869,85184,307674,6148,398552,30670,30227,1041233,0,0,2686,396776,769,248132,688,70971,76216,345984,48631,27696,208409,61248,90719,6426,12560,1098,184985,365166,398552,4220
1961:Q1,1926355,1659,189,133215,178156,0,79,151075,562,100901,2618,36355,10639,73346,20807,41979,10560,403160,19440,98947,85872,313859,4215,400869,31393,30881,1045189,0,0,2691,396455,623,245901,934,72420,76577,348412,48407,28413,212253,59339,90379,6447,10921,1113,188771,410353,400869,4282
1961:Q2,1950850,1868,213,134841,184513,0,0,151162,613,99266,2586,37216,11481,75533,21254,42970,11309,403029,20003,101283,86665,320202,3343,404523,32079,31593,1061861,0,0,2707,400178,726,247016,656,73250,78530,356559,49414,29392,217156,60597,91592,6469,10584,1135,192637,411555,404523,4366
1961:Q3,1990366,2214,238,139747,187881,0,556,150830,245,99378,3003,37178,11026,76492,21174,43931,11387,412628,21007,105238,87588,326229,5592,409730,32846,31550,1083065,0,0,2723,408124,1017,252416,436,75018,79237,362451,49254,29324,222791,61082,93623,6493,11557,1146,196948,423621,409730,4411
1961:Q4,2048460,1911,236,142254,192694,0,-55,153030,1089,100042,3395,37664,10840,79063,21351,44965,12747,443217,22875,103454,88631,332393,7500,415779,33387,32091,1108967,0,0,2740,414756,1094,255707,995,76349,80611,373840,51036,30400,228969,63435,95426,6519,13274,1125,201287,437674,415779,4321
1962:Q1,2053540,1686,234,137260,200976,0,41,153743,562,101274,3377,37557,10973,78574,21637,45629,11308,433050,23012,105359,89663,335857,6286,420714,33854,33231,1116326,0,0,2748,417983,1131,256084,1294,78037,81437,376958,50908,30710,233302,62038,94866,6548,12916,1132,203176,427931,420714,4359
1962:Q2,1965791,1665,296,140088,208275,0,0,152601,907,100389,3219,37132,10954,81594,22875,46293,12426,329789,18339,106029,90651,338921,5511,423947,34525,33559,1134461,0,0,2757,421278,1092,256655,1347,79203,82981,388620,52705,31048,239432,65435,95662,6579,13001,1151,205413,326582,423947,4428
1962:Q3,2009352,1238,788,141836,212711,0,912,153191,1079,101062,3307,37550,10193,82375,23130,46792,12453,348408,18930,110294,91563,342790,6303,428809,35133,34071,1152322,0,0,2749,423933,1363,257712,748,80552,83558,397276,53636,31223,245791,66626,98789,6612,13996,1163,207805,345363,428809,4473
1962:Q4,2117535,1209,790,146503,220547,0,466,153431,1304,101182,3377,37357,10211,84324,23138,47481,13705,431230,21077,108083,92398,347129,7668,432848,35793,34039,1177546,0,0,2760,431951,1198,262772,1538,81800,84643,410383,56249,32352,252438,69344,99858,6644,14355,1205,210390,424314,432848,4632
1963:Q1,2146903,1265,828,141311,228678,0,-1,154832,1092,103041,2519,37524,10656,83392,23270,47806,12316,455641,22343,110935,93355,352974,6303,434808,36685,23555,1189132,0,0,2769,434780,1214,263272,1739,82976,85579,415499,55534,33587,257443,68935,100007,6677,13596,1218,214586,447981,434808,4681
1963:Q2,2194217,1312,1065,145655,235910,0,0,154451,1008,102214,2998,37842,10389,85816,24279,48280,13257,477302,23499,112492,94378,359556,5954,434919,37577,24331,1211651,0,0,2779,437943,987,264048,1489,84724,86695,429677,57746,35068,264646,72217,101294,6711,13743,1246,218258,469026,434919,4789
1963:Q3,2235091,1237,1000,145840,240571,0,1004,154841,445,103544,2890,38085,9877,86398,24427,48491,13480,497411,24313,115717,95473,365855,7541,434892,38183,24815,1231074,0,0,2788,439556,1111,264385,936,85899,87225,439619,57723,35470,272064,74362,103790,6744,14713,1271,222593,487677,434892,4888
1963:Q4,2236696,1229,731,150559,248976,0,-745,157700,969,104334,4039,38215,10143,88485,24780,48807,14898,469895,25022,114839,96635,372399,9301,438463,39081,24126,1261846,0,0,2806,445634,968,267845,1367,87040,88414,454984,61148,36710,279256,77870,107615,6775,15744,1243,227045,465779,438463,4781
1964:Q1,2283467,1173,867,145011,256090,0,-875,160401,1341,106891,3628,38580,9961,89464,26467,49232,13765,499442,26647,116535,97719,379389,7896,439360,39821,24527,1271744,0,0,2825,447681,948,268229,1236,88177,89091,461463,60508,38037,284877,78041,105283,6803,15109,1260,231319,495027,439360,4852
1964:Q2,2328935,1053,978,149349,263377,0,169,160397,1058,106183,3954,39693,9509,89899,25942,49520,14437,515081,27381,118230,98806,386971,6902,444667,40774,24902,1294768,0,0,2841,450219,889,267656,1364,89948,90362,476692,63447,39230,292203,81812,106845,6827,14675,1283,235387,511094,444667,4938
1964:Q3,2381742,940,1243,153680,269003,0,479,161110,1729,105679,3920,40154,9628,92195,27540,50037,14618,532323,28761,124154,99913,394349,7735,449036,41684,25138,1319522,0,0,2855,455790,1081,270714,1177,91760,91058,486909,63687,39307,299773,84142,110359,6851,15338,1295,240125,528953,449036,4981
1964:Q4,2425241,1034,1097,154535,277796,0,-1449,162315,1694,105385,4189,40757,10290,94576,27937,50579,16060,544127,28700,124302,101051,401876,9005,458148,42632,25496,1353193,0,0,2830,463176,1125,274261,2222,93160,92408,502079,67875,39818,307034,87352,115611,6879,16211,1282,245125,545955,458148,4931
1965:Q1,2466453,939,1033,150005,287205,0,-568,164348,995,108244,4115,40881,10113,94367,28791,50674,14902,557830,30021,127718,102149,409725,7825,463179,44164,26513,1369933,0,0,2864,465254,847,274096,2308,94661,93342,511329,69738,41215,312731,87645,116452,6910,15891,1319,249915,559834,463179,5069
1965:Q2,2474954,1677,822,154025,294492,0,198,163032,678,106451,4780,41454,9669,96273,29658,50914,15701,534567,29580,130860,103382,418006,6529,468063,45578,27870,1395128,0,0,2901,466480,727,271988,1966,96858,94941,528172,73358,42561,320010,92243,119295,6944,15316,1320,254700,539451,468063,5073
1965:Q3,2556064,1306,892,154536,301133,0,875,164970,893,106573,5249,42290,9965,96857,30241,50901,15715,581085,32359,137067,104656,426926,7586,471930,46527,27358,1419165,0,0,2949,469617,926,270884,2268,98905,96634,538530,74390,42354,327395,94391,123395,6979,16329,1352,260015,587928,471930,5206
1965:Q4,2643835,1396,781,159697,309943,0,-115,166018,1370,106834,5515,43298,9001,99908,31376,51266,17266,616096,34740,138547,105876,435926,9731,485038,53344,26909,1458731,0,0,3064,477861,797,276737,2670,100397,97260,556215,79894,44322,334510,97489,129324,7013,18294,1368,265592,623812,485038,5256
1966:Q1,2652901,1233,884,153308,316489,0,247,173940,2375,111737,6224,43875,9729,99409,32016,51520,15873,596561,35677,142719,107049,445277,8980,487739,54309,29079,1477677,0,0,3242,482859,820,276864,3110,101842,100223,565059,80333,46371,341259,97096,128732,7042,18132,1394,271218,606267,487739,5368
1966:Q2,2669487,1103,917,159623,322143,0,439,174618,2473,108164,9297,44957,9727,102024,32790,52613,16621,571128,34917,146948,108190,455364,5252,501720,55794,29307,1503539,0,0,3543,484532,861,272111,4629,104141,102790,583942,87497,47816,348424,100205,130925,7070,15594,1415,276519,581050,501720,5447
1966:Q3,2640097,1070,932,156003,324319,0,2189,179148,1952,110260,9985,45676,11275,103912,34215,53520,16177,512747,31694,153648,109347,464810,5320,507723,56929,30306,1527454,0,0,3740,490343,1466,274208,3922,105524,105223,590721,88116,47544,354072,100989,135042,7096,16562,1409,282541,523227,507723,5418
1966:Q4,2714003,905,885,160998,329420,0,1700,181712,2852,110231,10593,46915,11121,106387,34492,54510,17385,548264,34275,153374,110568,475695,6913,518534,56731,27643,1561774,0,0,3963,500047,1622,280293,4025,106633,107474,602686,91389,49338,358537,103422,139997,7120,17414,1474,289073,547891,518534,5669
1967:Q1,2813328,620,951,158320,342205,0,588,179599,3495,108376,10473,45165,12090,107823,36726,55049,16048,617507,38695,154890,111833,486809,5888,522811,58053,26735,1574295,0,0,4176,507972,2677,281315,5489,107874,110617,605660,91134,51316,361862,101348,136289,7144,16730,1515,294808,625556,522811,5826
1967:Q2,2843840,645,843,162252,352967,0,667,172324,3418,102673,10265,43788,12180,110168,37988,55557,16623,622982,39807,157232,113070,497998,-1656,528319,58881,27340,1590415,0,0,4394,507529,3242,272756,7100,110195,114236,619392,95600,52214,367447,104131,138515,7168,11296,1560,300561,641312,528319,6000
1967:Q3,2934962,926,827,167077,360677,0,1564,176278,3916,104610,9960,44495,13297,112144,39394,56428,16322,659985,42587,162477,114312,509312,5711,533651,60053,27381,1623406,0,0,4560,522598,3264,281351,6919,112319,118745,626597,93235,53053,374765,105544,142193,7188,11866,1589,306815,678588,533651,6113
