date,FA106902501.A,FA106300003.A,FA106902605.A,FA106025005.A,FA106020001.A,FA106401001.A,FA106240101.A,FA106402101.A,FA106140005.A,FA106402101.A,FA106150105.A,FA106130101.A,FA106121101.A,FA103092201.A,FA106150005.A,FA106130001.A,FA106121001.A,FA103192201.A,FA106112001.A,FA106140005.A,FA106220001.A,FA106403001.A,FA106012095.A,FA106012095.A,FA106006385.A,FA106012095.A,FA105440005.A,FA105050985.A,FA105019085.A,FA106300003.A,FA105420095.A,FA105020005.A,FA105000905.A,FA105000905.A,FA104090005.A,FA104000005.A,FA103020000.A,FA103030003.A,FA103091003.A,FA104022005.A,FA103069100.A,FA103061103.A,FA103061703.A,FA103062003.A,FA104035005.A,FA104041005.A,FA104042005.A,FA103081005.A,FA103034000.A,FA103064103.A,FA103064203.A,FA103092105.A,FA103092405.A,FA103094105.A,FA103076005.A,FA103096005.A,FA103070005.A,FA103072005.A,FA103093005.A,FA104194005.A,FA104122005.A,FA103169100.A,FA103162000.A,FA103163003.A,FA104135005.A,FA104141005.A,FA103168005.A,FA103169005.A,FA104142005.A,FA103165005.A,FA103192305.A,FA103181005.A,FA103164103.A,FA103192105.A,FA103152025.A,FA573074005.A,FA573073005.A,FA103196005.A,FA103170005.A,FA103178005.A,FA103193005.A,FA105000005.A,FV108090105.A,FV102010005.A,FV108090085.A,FU107005045.A,FU105020601.A,FR102010005.A,FR105035005.A,FR105015205.A,FR105013765.A,FR105020015.A,FR108080095.A,FR104022005.A,FR103092305.A,FR103064103.A,FR103064203.A,FR103092105.A,FR103093005.A,FR104190085.A,FR103192305.A,FR103164103.A,FR103192105.A,FR103152025.A,FR103193005.A,FR108200005.A,FC102090095.A,FL102000005.A,LM102010005.A,LM105035005.A,LM105015205.A,LM105013765.A,LM105020015.A,FL104090005.A,FL104000005.A,FL103020000.A,FL103030003.A,FL103091003.A,LM104022005.A,FL103069100.A,LM103061103.A,LM103061703.A,LM103062003.A,FL104035005.A,FL104041005.A,FL102051003.A,FL103066005.A,FL104042005.A,FL103065003.A,FL103092305.A,FL103081005.A,FL103034000.A,LM103064103.A,LM103064203.A,LM103092105.A,FL103092405.A,FL103094105.A,FL103076005.A,FL103096005.A,FL103070005.A,FL103072005.A,FL103093005.A,FL102100085.A,FL104194005.A,FL104122005.A,FL103169100.A,FL103162000.A,FL103163003.A,FL104135005.A,FL104141005.A,FL103168005.A,FL103169005.A,FL104142005.A,FL103165005.A,LM103192305.A,FL103181005.A,LM103164103.A,FL103192105.A,FL103152025.A,FL573074005.A,FL573073005.A,FL103196005.A,FL103170005.A,FL103178005.A,FL103193005.A,FL102090095.A
1986,2464698,317872,2146826,1578176,1307315,270862,204565,364085,203985,364085,181846,131965,30830,19051,341946,229415,103685,-664,9511,203985,76238,26919,100827,100827,100827,100827,0,118797,426903,317872,2241,7526,-17970,-17970,136351,17691,-1716,16229,3178,-3256,-305,-777,-1657,-517,2582,6211,-3629,45272,3601,19975,3757,15910,-40,2069,18927,55132,2144,0,52988,127507,107873,-9342,-9901,127116,127945,102677,65711,36966,25268,15867,9401,-62505,-84975,22470,30824,35,30789,-76630,-1682,3775,-78723,8844,4952,0,-14802,-26814,7061,76647,37742,39364,5672,-6130,32544,0,1046,31420,1120,106058,-107097,425511,-1,408902,16608,-26914,26916,-316320,-210541,8150950,5511206,2956923,1491381,347991,714911,2639744,228729,123998,85530,19201,77913,10173,40325,2360,25055,127195,52090,5073,47017,75105,50150,24955,810973,18117,265538,15676,492660,256,18726,83082,1311852,741486,0,570366,8150950,5933850,885353,62865,117138,705350,1028666,793840,519640,274200,234826,185294,49532,2435635,2240835,194800,28768,18742,10026,1555428,477971,42784,1034673,2217100
1987,2641682,334692,2306990,1685458,1397010,288448,216840,404692,241353,404692,192119,133992,29850,28277,355458,241270,106101,-315,8403,241353,94230,29655,117468,117468,117468,117468,0,118460,422232,334692,-484,31404,-992,-992,226445,7127,9653,413,-2939,-9145,4793,-8535,288,-5691,9139,5300,3839,24848,823,5750,-2680,27212,-31,-6226,23508,170970,63860,0,107110,229784,79450,1599,-914,78765,107861,40973,4407,36566,66888,43883,23005,-45980,-75500,29520,39283,1508,37775,49171,44385,5082,-296,-3339,5596,0,-8296,2347,-16239,153608,92921,37267,14449,8971,4333,0,-313,4515,-179,18191,-17882,120233,-6236,121318,-1085,13609,-7373,37708,160772,8673107,5802585,3096102,1552976,381982,771525,2870522,235856,133651,85943,16262,68768,14966,31790,2648,19364,136021,57390,3362,54028,78631,51527,27104,858347,18940,275803,12817,538063,224,12500,106590,1464940,805346,0,659594,8673107,6295235,974107,73768,116224,784115,1143739,831392,524047,307345,312347,246046,66301,2521255,2286653,234602,103520,20250,83270,1552614,522356,47866,982392,2377872
1988,2873726,358200,2515526,1825308,1514866,310442,233839,456379,261422,456379,220582,150901,45771,23910,415539,279032,127936,1316,7255,261422,103953,27036,130433,130433,130433,130433,0,119533,450558,358200,-771,27946,10901,10901,346921,13376,11754,-3670,5292,-4371,-1318,-3857,3374,-2570,28663,8348,20315,-63971,-3291,-77601,-2734,8134,7,11514,15034,358189,90570,0,267619,347853,115210,11908,185,103117,120445,82917,36461,46456,37528,27379,10149,-69816,-129500,59684,20257,-1238,21495,161758,53740,-3495,111513,-932,20864,0,10523,11832,-22174,223333,146867,51843,13000,11623,32677,0,-20,32142,544,69460,-69447,415793,1,400923,14869,27613,-27613,-159783,-8485,9428267,6178147,3297032,1634974,412873,833268,3250120,249232,145405,82273,21554,64397,13648,27933,6022,16794,164664,65738,4981,60757,98926,68145,30781,896522,15649,230344,10627,615657,231,24014,121624,1753682,895916,0,857766,9428267,7058881,1089317,85676,116409,887232,1252339,918685,565416,353269,333654,257203,76451,2867231,2558076,309155,161518,19012,142506,1688476,576096,44371,1068009,2369386
1989,3020049,380160,2639889,1934822,1600102,334721,248156,456911,224409,456911,245642,178574,42516,24552,478145,330879,147878,-7706,7094,224409,101208,23481,99719,99719,100903,99719,-1184,135523,489799,380160,-343,26227,-34620,-34620,163861,8,8520,-1663,-6849,42847,643,23499,3148,15557,-1695,874,-2569,19389,575,-5059,-1440,14891,-65,10487,14328,88985,42076,0,46909,259566,94364,21436,-919,73847,90698,70617,21596,49021,20081,345,19736,-81519,-124150,42631,29852,7268,22584,126171,21805,-6082,110448,-95705,-45033,-2784,2489,61085,-16348,161413,98937,48653,12863,960,64914,0,97,62389,2522,69186,-69281,769061,0,704674,64386,-91204,91206,-542734,-486864,9970031,6491136,3446477,1718935,448921,876803,3478895,249240,153925,80610,14705,107244,14291,51432,9170,32351,163066,66612,2783,63829,96454,54399,42055,1050008,16224,287674,11709,699734,166,34501,135952,1773385,937992,0,835393,9970031,8087508,1183681,107112,115490,961079,1367727,1006971,604541,402431,360755,264568,96187,3554772,3138600,416172,115310,26280,89030,1866018,597901,38289,1229828,1882523
1990,3160510,402624,2757886,2037523,1682877,354646,263528,456835,215472,456835,255565,182639,40248,32678,496929,344484,158548,-13750,7647,215472,98453,24867,92152,92152,92152,92152,0,133372,524971,402624,-654,11679,-41220,-41220,128543,-792,5242,-6046,12,-27803,-455,-13783,-5885,-7680,-2360,2666,-5026,59630,10105,5936,-987,39043,-8,5541,13353,86515,29186,0,57329,184240,56491,9740,-337,47088,84043,51441,-10484,61925,32602,24060,8542,-12446,-63000,50554,61233,6051,55182,-5082,28409,13,-33504,-55697,5103,0,6688,14476,-12892,1478,-79282,60132,12188,8440,-19927,0,-1165,-18928,-999,-118333,119498,-147387,1,-119786,-27600,20681,-20683,128938,226193,10233077,6645566,3435531,1813320,486901,909813,3587511,248448,159167,74564,14717,79441,13836,37649,3285,24671,159541,69278,2137,67141,90263,52772,37491,971378,26329,274682,9723,620444,158,40042,149305,1979398,967178,0,1012220,10233077,8124361,1240172,116852,115153,1008167,1449947,1057100,594058,463042,392847,288117,104730,3394940,2955814,439126,206884,32331,174553,1832418,626310,38302,1167806,2108716
1991,3230978,423556,2807422,2071121,1701726,369395,285729,450572,216453,450572,247345,180172,37262,29911,481464,328306,162754,-17888,8292,216453,88598,26092,101762,101762,101762,101762,0,98338,522904,423556,-1737,727,3424,3424,51628,10063,5328,3017,1718,28610,859,5777,1827,20147,-181,-4670,4489,70411,6002,6468,2409,39794,16,15722,2212,-59485,-5798,0,-53687,123874,59224,-18375,-1169,78768,-120017,-104576,-47382,-57194,-15441,-8833,-6608,23524,18250,5274,36736,12072,24664,124407,23105,-9410,110712,-72246,-82968,0,-2371,75670,4927,-247845,-273943,24866,11935,-10703,75445,0,-226,72748,2696,47110,-46885,1110543,-2,1024417,86125,-123578,123581,-1282943,-1264148,10203266,6488682,3207411,1861340,525021,894910,3714584,258511,164495,77581,16435,108051,14695,43426,5112,44818,159134,64608,1620,62988,94526,58972,35554,1164344,32331,353898,14828,707348,175,55764,151517,1873028,961380,0,911648,10203266,9358699,1299396,98477,113984,1086935,1325364,947959,542316,405643,377404,279284,98120,4528928,3998481,530447,129554,44403,85151,2075457,649415,28892,1397150,844567
1992,3376073,436252,2939821,2188674,1783873,404801,302501,448646,224041,448646,234838,164730,40663,29445,459443,287408,174928,-11110,8216,224041,94429,30693,98919,98919,105874,98919,-6955,115589,543621,436252,-1745,9965,-9716,-9716,149027,-8058,-5824,-1590,-644,23980,2349,17163,3473,995,13293,6190,7103,15421,15015,-32617,5036,33921,-4,-5930,13680,90713,27562,0,63151,312987,80499,8629,4301,67569,-64602,-25216,-31530,6314,-39386,-40093,707,33025,27000,6025,83456,9918,73538,180609,33402,6452,140755,-163960,-175643,-3802,-20417,154245,-2821,-256558,-288473,19819,9367,2730,15567,0,571,14282,1284,-79709,79136,349339,1290,335698,13641,-49350,48060,-590329,-660099,10214772,6335594,2949432,1915613,560122,910426,3879178,250453,158671,75991,15791,132031,17044,60589,8585,45813,172998,70798,5057,65741,102200,60036,42164,1115623,47346,335563,21148,661560,172,49834,165196,2042877,988942,0,1053935,10214772,10030303,1379895,107106,118285,1154504,1265222,925913,513956,411957,339309,239192,100117,4920570,4361179,559391,177236,54321,122915,2287380,682817,35344,1569219,184469
1993,3534416,455844,3078572,2271016,1845450,425566,319322,488234,271234,488234,234172,155522,36117,42533,451172,264244,185299,-6666,8295,271234,108041,29521,133673,133673,134276,133673,-603,150359,582990,455844,-1701,24915,-16084,-16084,323258,34049,19347,15991,-1289,9986,2367,-11750,10474,8895,14591,4363,10228,85750,-2534,46753,6803,39931,15,-5218,6880,172001,50678,0,121323,301655,199968,10012,6579,183377,-47874,-34587,-7294,-27293,-13287,-32163,18876,22768,21300,1468,19977,12315,7662,106817,36441,5381,64995,21603,35093,-1483,-5132,-37687,-4021,-20969,-52198,20216,7474,3540,26477,0,-73,24651,1825,139691,-139616,464954,0,459859,5095,-69465,69465,-459446,-290078,10696671,6467758,2936062,1994414,594380,942902,4228913,284502,178018,91982,14502,142017,19411,48839,19059,54708,181534,79735,2506,77229,101799,52283,49516,1367541,44812,406967,29776,841182,188,44616,172076,2081243,1035046,0,1046197,10696671,10802281,1580574,117829,124864,1337881,1229091,891326,506662,384664,337765,218772,118993,5413660,4842338,571322,137604,66636,70968,2441352,719258,40725,1681369,-105610
1994,3815870,482344,3333526,2398673,1952818,445855,350747,584107,343275,584107,249166,170107,40808,38251,489997,278285,198784,4840,8088,343275,132356,34651,176268,176268,179526,176268,-3258,202817,636977,482344,-1712,49895,-23291,-23291,278858,13046,7497,4387,1162,4210,-585,1981,816,1998,28192,9064,19128,26063,7397,-31197,2084,63448,12,-15681,5897,201450,71933,0,129517,232876,118813,21409,6825,90579,79266,78634,47513,31121,632,-6423,7055,-5888,-44900,39012,-6731,11689,-18420,47415,77272,-410,-29447,45982,65015,-5723,-10971,-69273,-12436,196144,137855,29621,17736,10932,-7495,0,-11806,-6697,-799,14213,-2405,-15300,-11548,-609,-14691,-23735,35283,203949,448490,11370460,6870184,3108693,2106491,638835,1016165,4500276,297548,185515,96369,15664,146227,18826,50820,19875,56706,197920,88799,2178,86621,109121,56353,52768,1400320,52209,369073,31061,918843,199,28935,177973,2280288,1106979,0,1173309,11370460,11027580,1699387,139238,131689,1428460,1303159,976310,554175,422135,326850,212350,114500,5400195,4796829,603366,116003,78325,37678,2508836,796530,40315,1671991,342880
1995,4040629,520836,3519793,2524556,2076881,447676,358668,636569,384733,636569,299459,193867,45368,60224,551295,311979,223393,8429,7494,384733,140323,30163,214248,214248,214692,214248,-444,242653,719056,520836,5936,38497,-27961,-27961,345896,7622,2564,3319,1739,-8779,1316,6278,3546,-19919,4530,-1300,5830,112704,24760,-2959,4648,86058,7,190,8497,221320,77964,0,143356,379808,85817,18113,3069,64635,103213,106222,77319,28903,-3010,-1876,-1134,-2330,-58330,56000,85151,5432,79719,107957,80968,-6,26995,-33912,-407,-701,-12039,5951,-18284,125355,67555,34776,17008,6017,135566,0,-5891,125600,9959,143363,-137463,1817778,0,1668255,149521,-219966,219968,-1556857,-1342572,12227384,7245646,3227115,2249065,690503,1078964,4981738,305170,188079,99688,17403,137448,20142,57098,23421,36787,196561,87501,2440,85061,109060,57921,51139,1791946,76969,491714,45668,1148264,206,29125,186470,2364143,1184941,0,1179202,12227384,13227076,1785204,157351,134758,1493095,1422177,1098786,631493,467293,323391,210025,113366,7217553,6406754,810799,-10436,83757,-94193,2812578,877498,40309,1894771,-999692
1996,4295296,554164,3741133,2667703,2206889,460814,371682,701749,438726,701749,331002,216548,52696,61758,594024,326709,250245,8330,8740,438726,152928,37318,248481,248481,248481,248481,0,250540,779766,554164,3417,21521,-2059,-2059,389938,40066,-721,29982,10805,678,11392,-10003,5059,-5770,-1195,-5852,4657,124243,17658,28300,9087,68569,-53,682,2832,223317,88122,0,135195,381000,90958,-946,3093,88811,84247,61174,43831,17343,23073,10830,12243,11961,-47325,59286,88421,5428,82993,105414,49513,9563,46338,8938,-2961,0,-10887,-10997,3071,69471,52875,1468,8031,7097,109710,0,0,101894,7811,131907,-131906,891837,-2,776721,115117,-163419,163420,-712656,-467137,13033086,7551700,3333976,2368652,744562,1104510,5481386,345236,187358,129670,28208,138126,31534,47095,28480,31017,195366,81649,3904,77745,113717,54350,59367,2157802,94627,621908,62566,1348740,153,29808,189302,2455553,1273063,0,1182490,13033086,14499915,1876162,156405,137851,1581906,1494006,1146944,662307,484638,347062,221455,125607,8121352,7136150,985202,-70830,89185,-160015,3079225,927011,49872,2102342,-1466829
1997,4608018,594612,4013406,2862551,2384239,478312,388899,761955,471189,761955,365461,237122,62333,66006,656228,354427,278280,14217,9304,471189,161359,38488,271342,271342,271342,271342,0,333883,858479,594612,7861,62155,-62541,-62541,138463,18194,-11441,34704,-5069,-39784,4611,-20249,-20509,-3637,38341,7322,31019,184194,24207,93212,1728,79150,9,-14112,2096,-64577,88043,0,-152620,249261,146535,13726,4151,128658,155620,105360,55087,50273,50260,27671,22589,-956,-77375,76419,104184,8387,95797,-156119,65078,9342,-230539,-110798,-66958,0,-4611,48257,14090,676580,693847,-25117,12638,-4788,211470,0,-7,201270,10198,149649,-149640,2231374,-1148,1997070,234301,-219357,220508,-1343324,-1138940,14355096,8523777,4082672,2477401,815916,1147788,5831319,363430,175917,164374,23139,98342,36145,26846,7971,27380,233700,88971,4562,84409,144729,80245,64484,2703112,118834,916390,74492,1577539,161,15696,191399,2241337,1361106,0,880231,14355096,16960864,2021164,168598,142002,1710564,1647954,1251782,716874,534908,396173,249125,147048,10332082,9055845,1276237,-176939,97572,-274511,3136603,992089,59214,2085300,-2605768
1998,4873313,634096,4239217,3093832,2582623,511209,402904,742481,407954,742481,341728,227774,58216,55738,676254,365308,299249,2844,8853,407954,158668,34129,215157,215157,215157,215157,0,342996,915626,634096,4317,57148,-127839,-127839,744438,19357,-16236,28214,7379,1063,3288,-3231,2638,-1632,4027,-5414,9441,293098,42885,129790,14576,106761,26,-940,2260,424636,87326,0,337310,733321,245573,24360,5761,215452,167190,140842,80654,60188,26348,1510,24838,-95488,-215537,120049,109387,12881,96506,306658,57607,4844,244207,11117,105860,0,-17353,-138956,15743,446727,484590,-34115,11115,-14863,265569,0,-38,256961,8577,213235,-213169,2930198,-1,2642504,287694,-196782,196783,-2217902,-1896885,16121728,9280402,4636896,2582498,886679,1174330,6841326,382787,159681,192588,30518,99405,39433,23615,10609,25748,237689,83557,4208,79349,154132,67261,86871,3474982,161719,1303141,97645,1897535,186,14756,193658,2452804,1448432,0,1004372,16121728,20624382,2266737,192958,147763,1926016,1815097,1392577,797481,595095,422520,250635,171885,13166792,11482812,1683980,-187250,110453,-297703,3563006,1049696,64058,2449252,-4502654
1999,5166009,679076,4486933,3309975,2771099,538876,424636,752322,442018,752322,375897,242636,59710,73551,686201,389484,284377,3185,9155,442018,166463,45602,229952,229952,230830,229952,-878,371922,994651,679076,-848,57194,-141091,-141091,959761,74597,29366,44289,942,5037,8171,-4195,1807,-746,28454,-1643,30097,678892,35064,476391,9848,143787,5,13797,1366,171414,209160,0,-37746,969378,244508,37368,5063,202077,175660,76683,48601,28082,98977,46288,52689,19710,-110368,130078,96879,-18370,115249,432620,178474,6974,247172,-9617,122603,-1355,-11470,-131474,-3954,156617,125748,-19722,27538,23052,315322,0,-615,295489,19838,330104,-329494,3939056,0,3663868,275187,-234130,234131,-3467117,-3113684,17916476,9800067,4836504,2720532,984501,1258530,8116409,457384,189047,236877,31460,104442,47604,19420,12416,25002,265527,81913,5793,76120,183614,41227,142387,4799306,196783,2075021,127331,2371426,192,28553,195025,2294725,1657593,0,637132,17916476,25532814,2511245,230326,152826,2128093,2025178,1469259,846082,623177,555920,331346,224574,17125557,15036312,2089245,-284565,92083,-376648,4155399,1228170,71032,2856197,-7616338
2000,5507842,737452,4770390,3597328,3008384,588944,449868,723194,381339,723194,450993,287079,62031,101883,792848,467812,313357,-863,12542,381339,165085,45439,170814,170814,170814,170814,0,413094,1101403,737452,-1172,50316,-242280,-242280,1483417,62870,34835,35466,-7431,18789,10161,-1315,3007,6936,-5103,3780,-8883,71188,17131,-159028,332,147550,17,65186,35,1335640,281641,0,1053999,1278160,188887,48076,1361,139450,213459,132972,55216,77756,80487,24217,56270,74069,-118204,192273,98840,-19092,117932,702907,313252,6960,382695,205257,854735,0,390389,-447537,-16809,555809,523665,-5548,23350,14342,-208072,0,-1,-198447,-9622,-268651,268648,-2063061,1,-1830522,-232541,42707,-42706,2410798,3436347,20567923,10776169,5462689,2888645,1084838,1339997,9791754,520254,223882,272343,24029,123231,57765,18105,15423,31938,260424,85694,4204,81490,174730,43535,131195,4329457,213914,1717546,118041,2250325,210,29421,195059,4363330,1939233,0,2424097,20567923,24747913,2700132,278402,154187,2267543,2238637,1602230,901298,700932,636406,355561,280845,15136563,13087586,2048977,-120502,72991,-193493,4793083,1541422,77992,3173669,-4179990
2001,5466973,781460,4685513,3582304,2991458,590846,441508,661702,307259,661702,409318,271153,53904,84261,763760,476975,299323,-27395,14857,307259,106211,55199,145849,145849,158381,145849,-12532,248786,1065402,781460,-886,-34270,-90404,-90404,368652,-53857,-54122,8777,-8512,660,2404,-1253,2116,-2607,4456,-8662,13118,-6248,100150,-205976,4304,113008,73,-17807,10828,412815,-121316,0,534131,240214,216609,-83120,3500,296229,-11435,-102962,-105067,2105,91527,39353,52174,42079,-48125,90204,102314,-24583,126897,-109353,-103731,3053,-8675,128438,196283,-11043,-3472,-218842,8044,-215627,-145403,-31897,-13612,-24715,-238237,0,-3543,-224848,-13385,-458391,461930,-1679588,0,-1361921,-317666,94418,-94419,1225724,1580389,20708938,10786497,5421080,2962180,1130269,1272968,9922441,466397,169760,281120,15517,123891,60169,16852,17539,29331,261338,77033,3980,73053,184305,46637,137668,3626584,314064,1286722,108960,1904942,282,11614,205886,5238345,1817916,0,3420429,20708938,23308539,2899185,177726,157687,2563772,2227790,1499856,796819,703037,727934,394915,333019,13499055,11677540,1821515,160154,48408,111746,4522355,1437691,81045,3003619,-2599601
2002,5537894,802928,4734966,3540451,2937442,603009,467032,727484,369753,727484,394449,245869,50308,98272,752179,431201,305098,2820,13060,369753,91076,51994,226683,226683,226683,226683,0,170763,956645,802928,-2641,19687,55921,55921,376695,2561,-12690,10181,5070,21266,4620,14502,-656,2800,27558,3936,23622,120363,5650,-1893,-176,109841,41,6900,18094,186852,-98382,0,285234,192670,11071,-57913,2935,66049,-33369,-71522,-103389,31867,38153,56000,-17847,79313,-14505,93818,82367,1525,80842,53290,19721,11909,21660,184025,100972,0,-18266,-128104,8866,232181,246883,-39311,-4304,28913,-318369,0,-23,-300500,-17866,-418047,418068,-3187960,-7076,-2671675,-516284,151727,-144651,3101772,3429427,21143077,11162310,5716411,2968900,1164297,1312702,9980767,468958,157070,291301,20587,145157,64789,31354,16883,32131,288873,80969,6171,74798,207904,49561,158343,3010534,319714,984329,90918,1596736,323,18514,223980,5843265,1719534,0,4123731,21143077,20313251,2910256,119813,160622,2629821,2187346,1428335,693430,734905,759011,450915,308096,10390409,8991360,1399049,389687,49933,339754,4435554,1457412,92954,2885188,829826
2003,5726268,816136,4910132,3594306,2960800,633506,491120,824706,467940,824706,414581,231793,55828,126960,771346,390565,349194,16937,14650,467940,126492,61635,279813,279813,279903,279813,-90,170547,976338,816136,-2190,12535,109356,109356,-81747,128348,39313,71477,17558,10846,10890,2336,-5653,3273,-21879,-15916,-5963,-7669,-26155,-121504,5792,131487,95,2616,19044,-210438,-17743,0,-192695,15676,53387,-37332,3292,87427,-88304,-88492,-91382,2890,188,41219,-41031,71165,-15607,86772,56392,-169,56561,-76962,-54732,-11732,-10498,-97423,-214371,0,-22063,206779,-14471,135479,137589,-47765,21466,24189,261857,0,4181,243684,18170,448894,-453070,2858759,-816,2564966,293794,-348335,349150,-2461424,-2395892,21621624,11460747,5895460,2975871,1225520,1363896,10160877,597306,196383,362778,38145,156003,75679,33690,11230,35404,271173,65051,5986,59065,206122,51758,154364,3713474,293559,1106509,114880,2177117,416,20993,243024,5179897,1701793,0,3478104,21621624,23187689,2963643,82481,163914,2717248,2112315,1351844,614049,737795,760471,494222,266249,13320334,11540719,1779615,77996,49764,28232,4713402,1402680,81222,3229500,-1566065
2004,6123728,849716,5274012,3761333,3098330,663003,531742,980936,567425,980936,473044,246656,66281,160107,886555,392788,430762,45877,17129,567425,179218,62362,325845,325845,332502,325845,-6657,228940,1029812,849716,-2012,50856,103562,103562,711735,53662,30424,7678,15560,16185,19344,324,108,-3591,30958,582,30376,273975,12407,7400,-1268,252730,71,2635,19668,317289,128850,0,188439,463869,6713,15301,11852,-20440,145427,59400,3952,55448,86027,86736,-709,-18102,-120555,102453,81220,-3116,84336,248610,97256,6774,144580,247866,162107,-9153,-13255,-144304,-40211,1352929,1230127,73362,10808,38633,111865,0,-7216,99923,11941,253053,-245836,1608897,-2653,1526546,82352,-164551,167203,-144102,350507,24044898,13059849,7163239,3124560,1278453,1493596,10985049,650968,226807,370456,53705,172188,95023,34014,11338,31813,294915,65633,6422,59211,229282,66598,162684,4352317,305966,1213832,125553,2682900,487,23579,262691,5251970,1830643,0,3421327,24044898,25260456,2994400,97782,199810,2696808,2255090,1411246,618002,793244,843844,580957,262887,14911130,12946710,1964420,80945,46648,34297,5018891,1499936,87996,3430959,-1215558
2005,6561489,911000,5650489,3928746,3236296,692450,575663,1146081,768707,1146081,601091,291264,300258,9569,978465,450155,471061,37810,19439,768707,262507,79088,427113,427113,442628,427113,-15516,297160,1156252,911000,784,51125,145468,145468,927537,119852,100082,9904,9866,40388,15951,18103,6034,300,-3564,8510,-12074,-38586,53054,-185925,712,29081,43,64449,21220,788228,277605,0,510623,622107,-1712,-7711,43305,-37306,269084,83198,-27119,110317,185886,185430,456,-173892,-276167,102275,91162,-1885,93047,437465,199446,-1774,239793,305430,179202,-22668,5877,-159962,-36030,920697,829031,23958,29773,37936,39041,0,9976,30899,8139,193315,-203288,881967,12705,903574,-21609,-175230,162526,77771,699601,26248570,14296050,8054276,3258070,1365017,1618687,11952520,770820,326889,380360,63571,212576,110974,52117,17372,32113,301327,74143,14560,59583,227184,68250,158934,4575083,359020,1058806,134404,2905296,529,117028,283910,5808804,2108248,0,3700556,26248570,26764528,2992688,90071,243115,2659502,2536878,1494443,590882,903561,1042434,766386,276048,15619203,13574117,2045086,14645,44763,-30118,5601114,1699382,86222,3815510,-515958
2006,7004545,981532,6023013,4127501,3418905,708596,611790,1283722,761900,1283722,632165,353466,79678,199021,1153986,522028,550752,60758,20448,761900,296059,68288,397554,397554,397580,397554,-26,383471,1287717,981532,13256,64030,14108,14108,617765,-85293,-77690,6632,-14235,-1159,11695,-6654,-2218,-3982,-31639,-4557,-27082,117138,68983,-224039,23640,225561,51,22942,7581,611138,-14765,0,625903,316192,153149,22446,53921,76782,294076,140438,21450,118988,153638,110231,43407,-320372,-473173,152801,54622,1982,52640,134718,110348,-801,25171,301573,309741,0,-9665,-287465,-31941,1084576,984997,74570,19643,5368,144471,0,7309,129293,15177,469462,-476771,2135411,3488,1988692,146720,-158015,154525,-906363,-199043,28501132,15786376,9135194,3481338,1449818,1720026,12714756,685527,249199,386992,49336,211417,122669,45463,15154,28131,271237,63826,15533,48293,207411,59817,147594,5306269,428003,964060,173221,3600319,580,140086,291492,5948815,2099243,0,3849572,28501132,29216133,3145837,112517,297036,2736284,2835494,1640753,612332,1028421,1194740,871797,322943,17434243,15089636,2344607,48544,64745,-16201,5752015,1812989,85421,3853605,-715001
2007,7222427,1043964,6178463,4307102,3573381,733721,631279,1240083,668299,1240083,679752,376931,92307,210514,1251536,606939,576889,44916,22793,668299,277392,58819,332089,332089,332122,332089,-34,370597,1384596,1043964,165,29801,-38475,-38475,1049469,-73359,51384,-125657,914,-61675,-53207,-7144,-2381,1057,-42203,-6351,-35852,428848,137638,35408,-4904,315399,132,-54825,8320,789538,162963,0,626575,621784,206771,11297,70645,124829,498110,383113,95592,287521,114997,74555,40442,-468920,-647736,178816,-1340,4541,-5881,387163,85903,-49593,350853,427685,517721,0,7931,-466160,-43630,1080771,970725,11346,36271,62430,43464,0,21206,33753,9711,272501,-293707,1986394,20772,1891328,95066,-71531,50758,-862159,-12316,31106016,17298327,10251529,3634756,1556155,1855887,13807689,612168,300583,261335,50250,149742,69462,38319,12773,29188,250239,57474,8050,49424,192765,41374,151391,6047336,565641,1033221,178028,4188219,712,81515,299811,6448393,2262207,0,4186186,31106016,31833333,3352608,123814,367681,2861113,3360876,2030368,714425,1315942,1330509,946352,384157,18960739,16333228,2627511,41018,69286,-28268,6118092,1898892,35828,4183372,-727317
2008,7291395,1104980,6186415,4364267,3624655,739612,637442,1184707,567861,1184707,617451,297674,108032,211745,1234297,586389,582201,39778,25929,567861,207831,46077,313954,313954,317639,313954,-3685,309719,1422602,1104980,17901,-25803,7920,7920,-333240,-269300,-134307,-109447,-25546,-25685,-12176,-7864,-2621,-3024,-38448,-3352,-35096,738301,272334,201760,-16512,281869,-88,-1062,10908,-749017,-168242,0,-580775,185234,198458,7663,64938,125857,85857,131043,63071,67972,-45186,-69503,24317,-115492,-289719,174227,117239,14738,102501,-100827,-229921,3126,125968,-518474,-526092,-5792,-28736,526394,-34830,-1082324,-1116445,82782,10292,-58952,-498573,0,17545,-443387,-55183,-2091440,2073894,-6482329,14247,-5421988,-1060340,591815,-606062,4901432,4692980,29501902,16525944,9268910,3818659,1632414,1805961,12975958,342868,166276,151888,24704,124057,57286,30455,10152,26164,229334,54120,7178,46942,175214,33649,141565,4195425,837975,791594,106333,2378648,422,80453,310920,7773354,2093967,0,5679387,29501902,25536239,3551066,131477,432619,2986970,3456007,2161409,777496,1383914,1294598,871877,422721,12362919,10621521,1741398,771683,84024,687659,5394564,1668971,38954,3686639,3965663
