date,Credit unions; gross saving,Credit unions; gross fixed investment, nonresidential structures, equipment, and intellectual property products,Credit unions; total financial assets,Credit unions; depository institution reserves; asset,Credit unions; federal funds and security repurchase agreements held by Corporate Credit Unions (net of liabilities before 2002:Q4); asset,Credit unions; debt securities; asset,Credit unions; commercial paper held by Corporate Credit Unions; asset,Credit unions; Treasury securities; asset,Credit unions; agency- and GSE-backed securities; asset,Credit unions; municipal securities; asset,Credit unions; corporate and foreign bonds; asset,Credit unions; loans; asset,Credit unions; depository institution loans n.e.c.; asset,Credit unions; one-to-four-family residential mortgages; asset,Credit unions; consumer credit; asset,Credit unions; mutual fund shares; asset,Credit unions; total miscellaneous assets,Credit unions; total liabilities,Credit unions; total net interbank transactions; liability,Credit unions; checkable deposits; liability,Credit unions; total time and savings deposits; liability,Credit unions; federal funds and security repurchase agreements held by Corporate Credit Unions; liability,Credit unions; FHLB advances; liability,Credit unions; unidentified miscellaneous liabilities,Credit unions; sector discrepancy,Credit unions; uninsured checkable and time and savings deposits; liability
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,11,1,54,0,0,0,0,0,0,0,0,54,0,41,13,0,0,54,-19,0,63,0,0,10,10,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,15,1,104,0,0,15,0,15,0,0,0,89,0,68,21,0,0,99,9,0,81,0,0,9,9,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,22,3,115,0,0,10,0,10,0,0,0,105,0,77,28,0,0,109,2,0,93,0,0,14,13,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,29,4,131,0,0,7,0,7,0,0,0,124,0,43,81,0,0,123,7,0,98,0,0,18,17,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,39,5,160,0,0,8,0,8,0,0,0,152,0,57,95,0,0,149,-25,0,149,0,0,25,23,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,44,5,66,0,0,10,0,10,0,0,0,56,0,3,53,0,0,56,-199,0,225,0,0,30,29,0
1952:Q1,49,5,256,0,0,8,0,8,0,0,0,248,0,-192,440,0,0,240,28,0,184,0,0,28,28,0
1952:Q2,53,5,220,0,0,4,0,4,0,0,0,216,0,188,28,0,0,208,-136,0,308,0,0,36,36,0
1952:Q3,57,4,224,0,0,4,0,4,0,0,0,220,0,-176,396,0,0,212,-128,0,300,0,0,40,41,0
1952:Q4,57,5,276,0,0,12,0,8,4,0,0,264,0,120,144,0,0,260,-92,0,312,0,0,40,36,0
1953:Q1,62,10,420,0,0,4,0,4,0,0,0,416,0,20,396,0,0,392,128,0,236,0,0,28,24,0
