1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q3,588,0,153,96,0,38,19,92,0,68,24,343,568,-77,665,0,-20,ND
1960:Q4,605,0,154,101,0,38,15,94,0,70,24,357,583,-83,688,0,-22,ND
1961:Q1,625,0,158,104,0,39,15,99,0,73,26,368,601,-91,716,0,-24,ND
1961:Q2,648,0,160,106,0,40,14,104,0,76,28,384,623,-101,749,0,-25,ND
1961:Q3,672,0,161,107,0,41,13,111,0,81,30,400,646,-111,783,0,-26,ND
1961:Q4,696,0,157,107,0,41,9,121,0,88,33,418,670,-119,815,0,-26,ND
1962:Q1,721,0,159,109,0,41,9,136,0,98,38,426,693,-124,845,0,-28,ND
1962:Q2,746,0,161,111,0,41,9,155,0,111,44,430,716,-127,873,0,-30,ND
1962:Q3,774,0,164,114,0,41,9,174,0,124,50,436,743,-129,903,0,-31,ND
1962:Q4,807,0,168,119,0,40,9,189,0,135,54,450,776,-131,938,0,-31,ND
1963:Q1,844,0,182,127,0,44,11,201,0,145,56,461,811,-134,978,0,-33,ND
1963:Q2,887,0,205,139,0,51,15,210,0,154,56,472,853,-136,1023,0,-34,ND
1963:Q3,931,0,226,150,0,58,18,218,0,162,56,487,897,-138,1069,0,-34,ND
1963:Q4,969,0,235,155,0,61,19,231,0,171,60,503,935,-141,1110,0,-34,ND
1964:Q1,1006,0,234,155,0,62,17,246,0,181,65,526,967,-144,1150,0,-39,ND
1964:Q2,1042,0,225,151,0,62,12,264,0,192,72,553,997,-147,1189,0,-45,ND
1964:Q3,1076,0,215,146,0,62,7,283,0,204,79,578,1030,-150,1226,0,-46,ND
1964:Q4,1106,0,204,142,0,61,1,301,0,217,84,601,1057,-151,1257,0,-49,ND
1965:Q1,1129,0,205,141,0,63,1,319,0,233,86,605,1077,-151,1280,0,-52,ND
1965:Q2,1144,0,209,141,0,65,3,338,0,252,86,597,1089,-148,1292,0,-55,ND
1965:Q3,1162,0,215,141,0,68,6,357,0,271,86,590,1105,-146,1308,0,-57,ND
