1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,295060,1828,223261,2343,22770,44858,295060,286337,0,40061,223506,22770,5324,396,99,2055,43,0,2731,0,0,0,0,3399,295060,106951,77532,19587,0,5,9827,183215,23604,89139,638,312,100,7687,39647,5928,7453,5331,0,462,440,0,428,0,0,0,1184,0,862,4894,0
1952:Q1,297181,2109,221993,2194,25016,45869,297181,288418,0,41201,222201,25016,5325,370,93,1941,45,0,2876,0,0,0,0,3438,297181,108967,80001,18825,0,14,10127,183417,22228,89218,693,313,102,7929,40192,6171,7552,5572,0,501,453,0,565,0,0,0,874,0,1054,4797,0
1952:Q2,301294,2227,221979,2138,27480,47470,301294,292159,0,42647,222032,27480,5648,336,84,2038,47,0,3143,0,0,0,0,3487,301294,110457,82094,17555,0,4,10804,185930,22506,89471,754,320,103,8063,40480,6414,7938,5749,0,510,469,0,496,0,0,0,1699,0,958,4907,0
1952:Q3,307448,2436,225252,2579,28695,48486,307448,298164,0,43816,225653,28695,5880,367,92,2128,50,0,3243,0,0,0,0,3404,307448,112745,83781,18007,0,2,10955,189398,23215,90836,672,328,104,8358,41317,6691,8363,6089,0,516,485,0,483,0,0,0,834,0,1107,5305,0
1952:Q4,313492,2246,229203,2781,29657,49605,313492,304314,0,44828,229829,29657,5752,398,99,2102,53,0,3100,0,0,0,0,3426,313492,114248,84342,18655,0,2,11249,194108,24034,92477,722,333,107,8610,41974,7027,8411,6287,0,539,500,0,495,0,0,0,1486,0,1106,5136,0
1953:Q1,313432,2440,226183,2779,31221,50809,313432,303759,0,45627,226911,31221,6196,368,92,1996,55,0,3685,0,0,0,0,3477,313432,115502,84729,19241,0,54,11478,192673,23269,90269,682,335,108,8906,42691,7375,8471,6561,0,542,515,0,695,0,0,0,914,0,1340,5257,0
1953:Q2,315865,2248,226643,2349,32379,52246,315865,305872,0,46567,226926,32379,6641,346,86,2010,56,0,4143,0,0,0,0,3352,315865,117531,88303,17581,0,20,11627,192846,24146,87994,709,335,109,9127,43255,7717,8804,6932,0,520,530,0,574,0,0,0,821,0,1273,5488,0
1953:Q3,325182,2576,233183,2610,33795,53018,325182,314550,0,47147,233608,33795,7325,416,104,2127,58,0,4620,0,0,0,0,3307,325182,119905,88627,19467,0,1,11810,199490,24635,92066,700,334,110,9429,43746,8029,8902,7291,0,524,545,0,592,0,0,0,1140,0,1447,5787,0
1953:Q4,331557,2624,235126,4412,35012,54383,331557,320805,0,48414,237379,35012,7438,463,116,2099,60,0,4700,0,0,0,0,3314,331557,120652,88052,20449,0,0,12151,205095,25317,95004,758,333,113,9734,44402,8301,8941,7514,0,547,560,0,589,0,0,0,1608,0,1374,5810,0
1954:Q1,330286,2979,230582,4843,36516,55366,330286,319323,0,49314,233493,36516,7478,469,117,1871,61,0,4960,0,0,0,0,3485,330286,119954,88441,19162,0,18,12333,204277,24232,93618,729,336,115,9925,45097,8578,8961,7898,0,595,575,0,901,0,0,0,1219,0,1498,6055,0
