date,Domestic financial sectors; depository institution loans n.e.c.; asset,Households and nonprofit organizations; depository institution loans n.e.c.; liability,Nonfinancial corporate business; depository institution loans n.e.c.; liability,Nonfinancial noncorporate business; depository institution loans n.e.c.; liability,Domestic financial sectors; depository institution loans n.e.c.; liability,Finance companies; depository institution loans n.e.c., including loans through the Paycheck Protection Program Liquidity Facility (PPPLF); liability,Real estate investment trusts; depository institution loans n.e.c.; liability,Security brokers and dealers; depository institution loans n.e.c.; liability,Monetary authority; depository institution loans n.e.c. to other financial business; asset,Rest of the world; depository institution loans n.e.c.; liability,Rest of the world; depository institution loans n.e.c. to foreign official institutions; liability,Rest of the world; depository institution loans n.e.c. to foreign nonfinancial corporate business; liability,Rest of the world; depository institution loans n.e.c. to foreign nondepository financial institutions; liability,Domestic financial sectors; depository institution loans n.e.c.; asset,Monetary authority; depository institution loans n.e.c.; asset,U.S.-chartered depository institutions, including IBFs; depository institution loans n.e.c.; asset,Foreign banking offices in the U.S.; depository institution loans n.e.c.; asset,Banks in U.S.-affiliated areas; depository institution loans n.e.c.; asset,Credit unions; depository institution loans n.e.c.; asset
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3202,-116,3656,827,-1155,494,0,-1649,0,-10,13,-23,0,3202,0,3133,69,0,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3530,-18,3073,647,-447,264,0,-711,0,275,51,224,0,3530,0,3482,48,0,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1818,5,684,13,1078,586,0,492,0,38,-8,46,0,1818,0,1766,52,0,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-1066,16,-1894,-132,971,499,0,472,0,-27,-12,-15,0,-1066,0,-1201,135,0,0
