date,Rest of the world; U.S. direct investment abroad, including Netherlands Antillean Financial subsidiaries; liability (market value),Rest of the world; U.S. direct investment abroad: equity; liability (market value),Rest of the world; U.S. direct investment abroad: equity other than reinvested earnings; liability,Rest of the world; U.S. direct investment abroad: reinvested earnings; liability (current cost),Rest of the world; U.S. direct investment abroad: current-cost adjustment on reinvested earnings; liability,Nonfinancial corporate business; U.S. direct investment abroad: equity; asset (market value),U.S.-chartered depository institutions; U.S. direct investment abroad: equity (market value),Property-casualty insurance companies; U.S. direct investment abroad: equity (market value),Life insurance companies, general accounts; U.S. direct investment abroad: equity (market value),Finance companies; U.S. direct investment abroad: equity (market value),Security brokers and dealers; U.S. direct investment abroad: equity (market value),Rest of the world; U.S. direct investment abroad: intercompany debt, including Netherlands Antillean Financial subsidiaries; liability,Rest of the world; U.S. direct investment abroad: intercompany debt, U.S. parents' claims; liability,Rest of the world; foreign direct investment in U.S.: intercompany debt, U.S. parents' liabilities; asset,Nonfinancial corporate business; U.S. direct investment abroad: intercompany debt (market value),U.S.-chartered depository institutions; U.S. direct investment abroad: intercompany debt (market value),Property-casualty insurance companies; U.S. direct investment abroad: intercompany debt (market value),Life insurance companies, general accounts; U.S. direct investment abroad: intercompany debt (market value),Finance companies; U.S. direct investment abroad: intercompany debt (market value),Security brokers and dealers; U.S. direct investment abroad: intercompany debt (market value),Rest of the world; foreign direct investment in U.S.; asset (market value),Nonfinancial corporate business; foreign direct investment in U.S.; liability (market value),Nonfinancial noncorporate business; foreign direct investment in U.S. real estate business: equity; liability (market value),Foreign banking offices in the U.S.; foreign direct investment in U.S.: equity; liability (market value),Property-casualty insurance companies; foreign direct investment in U.S.: equity; liability (market value),Life insurance companies, general accounts; foreign direct investment in U.S.: equity; liability (market value),Finance companies; foreign direct investment in U.S.: equity; liability (market value),Security brokers and dealers; foreign direct investment in U.S.: equity, adjusted for U.S. Intermediate Holding Companies; liability (market value),Holding companies; foreign direct investment in U.S.: equity; liability (market value),Other financial business; foreign direct investment in U.S.: equity; liability (market value),Rest of the world; foreign direct investment in U.S.: equity; asset (market value),Rest of the world; foreign direct investment in U.S.: equity other than reinvested earnings; asset,Rest of the world; foreign direct investment in U.S.: reinvested earnings; asset (current cost),Rest of the world; foreign direct investment in U.S.: current-cost adjustment on reinvested earnings; asset,Nonfinancial corporate business; foreign direct investment in U.S.: intercompany debt; liability (market value),Nonfinancial noncorporate business; foreign direct investment in U.S. real estate business: interncompany debt; liability (market value),Foreign banking offices in the U.S.; foreign direct investment in U.S.: intercompany debt; liability (market value),Property-casualty insurance companies; foreign direct investment in U.S.: intercompany debt; liability (market value),Life insurance companies, general accounts; foreign direct investment in U.S.: intercompany debt; liability (market value),Finance companies; foreign direct investment in U.S.: intercompany debt; liability (market value),Security brokers and dealers; foreign direct investment in U.S.: intercompany debt, adjusted for U.S. Intermediate Holding Companies; liability (market value),Holding companies; foreign direct investment in U.S.: intercompany debt; liability (market value),Other financial business; foreign direct investment in U.S.: intercompany debt; liability (market value),Rest of the world; foreign direct investment in U.S.: intercompany debt; asset,Rest of the world; foreign direct investment in U.S.: intercompany debt, U.S. affiliates' liabilities; asset,Rest of the world; U.S. direct investment abroad: intercompany debt, U.S. affiliates' claims; liability
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,660,634,ND,ND,ND,617,3,1,0,7,6,26,ND,ND,14,1,3,4,2,2,56,64,-1,-4,-7,-5,-1,-2,0,0,44,ND,ND,ND,-19,2,5,10,7,1,6,0,0,12,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,621,597,ND,ND,ND,579,3,1,0,8,6,24,ND,ND,6,3,3,6,2,4,80,147,2,-14,-26,-23,-2,-21,0,0,63,ND,ND,ND,-77,8,16,29,26,2,13,0,0,17,ND,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,508,488,ND,ND,ND,467,5,0,1,7,8,20,ND,ND,-2,3,4,6,5,4,90,103,2,-6,-10,-8,-1,-9,0,0,71,ND,ND,ND,-26,4,8,14,11,1,7,0,0,19,ND,ND
1952:Q1,378,363,ND,ND,ND,363,0,0,0,0,0,15,ND,ND,15,0,0,0,0,0,58,43,1,0,0,0,0,2,0,0,46,ND,ND,ND,12,0,0,0,0,0,0,0,0,12,ND,ND
