1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,36,10,2876,-5,0,73,-184,-48,-48,0,0,144,2879,0,2879,9615,-6736,0,0,0,0,0,0,0,0,0,17,0,17,2852,2375,523,385,-444,-23,-421,0,0,0,-113,942,0,0,0,-431,0,12,-443,2
1952:Q1,50,10,852,2372,0,88,-1896,552,552,0,0,612,-992,0,-992,-5532,4540,0,0,0,0,0,0,0,0,0,116,0,116,528,2148,-1060,968,-708,48,-756,0,0,0,56,1620,0,0,0,-1528,0,20,-1548,-284
1952:Q2,46,10,-548,224,0,92,-516,-452,-452,0,0,384,-388,0,-388,1568,-1956,0,0,0,0,0,0,0,0,0,108,0,108,-568,-2556,-152,1920,368,4,364,0,0,0,24,1528,0,0,0,220,0,12,208,16
1952:Q3,50,9,5588,-20,0,108,628,1244,1244,0,0,432,2900,0,2900,2748,152,0,0,0,0,0,0,0,0,0,296,0,296,5536,7112,-32,1268,-692,-36,-656,0,0,0,744,1216,0,0,0,-2812,0,8,-2820,-11
1952:Q4,54,10,-248,-616,0,124,916,-912,-912,0,0,440,200,0,200,-28604,28804,0,0,0,0,0,0,0,0,0,-400,0,-400,-28,-7128,1468,1200,1600,-16,1616,0,0,0,-720,320,0,0,0,4432,0,24,4408,264
1953:Q1,46,13,648,-2504,0,56,-628,2252,2252,0,0,-60,1464,0,1464,-908,2372,0,0,0,0,0,0,0,0,0,68,0,68,288,2112,-828,144,-1196,144,-1340,0,0,0,-188,1528,0,0,0,-1140,0,16,-1156,-327
1953:Q2,46,13,-1872,-392,0,112,-836,-2544,-2544,0,0,-24,2116,0,2116,3648,-1532,0,0,0,0,0,0,0,0,0,-304,0,-304,-1836,-1308,184,-48,-620,-188,-432,0,0,0,76,496,0,0,0,-664,0,12,-676,69
1953:Q3,50,13,2680,-1340,0,72,336,1100,1100,0,0,32,2096,0,2096,5488,-3392,0,0,0,0,0,0,0,0,0,384,0,384,2532,908,-368,3052,1804,96,1708,0,0,0,-60,1308,0,0,0,-1060,0,8,-1068,-111
1953:Q4,46,13,-1532,-444,0,88,1000,-1264,-1264,0,0,-212,-544,0,-544,2472,-3016,0,0,0,0,0,0,0,0,0,-156,0,-156,-1204,-872,48,-3520,-2196,-2088,-108,0,0,0,-348,-976,0,0,0,3140,0,12,3128,361
1954:Q1,47,11,-1428,-232,0,164,-1600,476,476,0,0,-612,320,0,320,-1804,2124,0,0,0,0,0,0,0,0,0,56,0,56,-1776,-2424,460,1360,1844,232,1612,0,0,0,260,-744,0,0,0,-1172,0,20,-1192,-312
