date,All sectors; corporate equities; asset,All domestic sectors; corporate equities; liability,Nonfinancial corporate business; corporate equities; liability,Nonfinancial corporate business; public corporate equities; liability (equal to total before 1996q4),Nonfinancial corporate business; closely held corporate equities; liability,Domestic financial sectors; corporate equities; liability,Domestic financial sectors; corporate equities (excluding closely held); liability,Domestic financial sectors; closely held corporate equities; liability,Rest of the world; foreign corporate equities including foreign investment fund shares; liability,All sectors; corporate equities; asset,Households and nonprofit organizations; corporate equities; asset,Nonfinancial corporate business; corporate equities; asset,Federal government; corporate equities; asset,State and local governments; corporate equities; asset,Monetary authority; corporate equities; asset,U.S.-chartered depository institutions; corporate equities; asset,Foreign banking offices in the U.S.; corporate equities; asset,Property-casualty insurance companies; corporate equities, including those held by U.S. residual market reinsurers; asset,Life insurance companies; corporate equities; asset,Private pension funds, including 403(b) plans; corporate equities; asset,Federal government retirement funds; corporate equities; asset,State and local government employee defined benefit retirement funds; corporate equities; asset,Mutual funds; corporate equities; asset,Closed-end funds; corporate equities; asset,Exchange-traded funds; corporate equities; asset,Security brokers and dealers; corporate equities; asset,Other financial business; corporate equities; asset,Rest of the world; U.S. corporate equities; asset,All domestic sectors; public corporate equities less intercompany holdings; liability,All domestic sectors; closely held corporate equities; liability,All domestic sectors; closely held S corporation corporate equities; liability,All domestic sectors; closely held C corporation corporate equities; liability,Interest rates and price indexes; Dow Jones U.S. Total Market Index
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,153784,153076,103822,103822,0,49254,49254,0,708,153784,142455,0,0,0,0,157,1,2224,1718,0,0,20,2710,1360,0,649,0,2490,153076,0,0,0,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,177528,176353,126681,126681,0,49672,49672,0,1175,177528,164696,0,0,0,0,181,1,2587,2103,0,0,29,2897,1600,0,509,0,2925,176353,0,0,0,ND
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,199082,197692,147629,147629,0,50063,50063,0,1390,199082,184698,0,0,0,0,227,1,2911,2221,275,0,41,2948,1760,0,550,0,3450,197692,0,0,0,ND
1952:Q1,202048,201685,151463,151463,0,50222,50222,0,363,202048,186383,0,0,0,0,248,2,2941,2236,1445,0,44,3034,1814,0,447,0,3454,201685,0,0,0,ND
1952:Q2,208759,207970,157607,157607,0,50363,50363,0,789,208759,192556,0,0,0,0,276,2,3040,2301,1562,0,47,3120,1875,0,441,0,3539,207970,0,0,0,ND
1952:Q3,208511,207383,156907,156907,0,50476,50476,0,1128,208511,192065,0,0,0,0,289,2,2977,2245,1602,0,49,3261,1939,0,648,0,3434,207383,0,0,0,ND
1952:Q4,198678,197219,146628,146628,0,50591,50591,0,1459,198678,181107,0,0,0,0,336,2,3245,2446,1843,0,56,3326,2000,0,612,0,3705,197219,0,0,0,ND
1953:Q1,195249,193757,143052,143052,0,50705,50705,0,1492,195249,177857,0,0,0,0,350,2,3165,2396,1916,0,59,3255,2060,0,620,0,3569,193757,0,0,0,ND
1953:Q2,186022,184623,133816,133816,0,50807,50807,0,1399,186022,168582,0,0,0,0,371,2,3134,2395,2042,0,63,3197,2120,0,640,0,3476,184623,0,0,0,ND
1953:Q3,181485,180195,129274,129274,0,50921,50921,0,1290,181485,163848,0,0,0,0,392,3,3133,2413,2169,0,68,3170,2180,0,679,0,3430,180195,0,0,0,ND
1953:Q4,196403,195074,144082,144082,0,50992,50992,0,1329,196403,177572,0,0,0,0,431,3,3344,2573,2392,0,75,3521,2240,0,602,0,3650,195074,0,0,0,ND
1954:Q1,208840,207401,156255,156255,0,51146,51146,0,1439,208840,188593,0,0,0,0,471,3,3637,2773,2605,0,82,3843,2298,0,539,0,3996,207401,0,0,0,ND
1954:Q2,225418,223864,172550,172550,0,51314,51314,0,1554,225418,203782,0,0,0,0,489,4,3897,2920,2685,0,84,4218,2354,0,632,0,4353,223864,0,0,0,ND
1954:Q3,245245,243537,191985,191985,0,51552,51552,0,1708,245245,221823,0,0,0,0,517,5,4216,3093,2821,0,89,4749,2413,0,715,0,4804,243537,0,0,0,ND
1954:Q4,248357,246489,194840,194840,0,51649,51649,0,1868,248357,222895,0,0,0,0,571,5,4539,3268,3154,0,99,5361,2480,0,731,0,5254,246489,0,0,0,ND
1955:Q1,255684,253750,202122,202122,0,51628,51628,0,1934,255684,229212,0,0,0,0,629,5,4609,3261,3551,0,113,5753,2554,0,590,0,5407,253750,0,0,0,ND
1955:Q2,279570,277402,225533,225533,0,51869,51869,0,2168,279570,249889,0,0,0,0,781,6,5030,3499,4519,0,148,6366,2635,0,716,0,5981,277402,0,0,0,ND
1955:Q3,295380,293047,240995,240995,0,52052,52052,0,2333,295380,263912,0,0,0,0,918,6,5275,3606,5446,0,180,6358,2719,0,611,0,6349,293047,0,0,0,ND
1955:Q4,298673,296234,244222,244222,0,52012,52012,0,2439,298673,265154,0,0,0,0,1000,6,5408,3633,6085,0,200,6927,2800,0,885,0,6575,296234,0,0,0,ND
1956:Q1,317228,314586,262345,262345,0,52241,52241,0,2642,317228,281337,0,0,0,0,1086,6,5767,3800,6817,0,217,7504,2878,0,742,0,7074,314586,0,0,0,ND
1956:Q2,307689,305098,252704,252704,0,52394,52394,0,2591,307689,272249,0,0,0,0,1030,6,5577,3591,6739,0,201,7688,2954,0,755,0,6899,305098,0,0,0,ND
1956:Q3,301922,299357,246833,246833,0,52524,52524,0,2565,301922,267245,0,0,0,0,982,6,5470,3453,6712,0,189,7361,3033,0,666,0,6805,299357,0,0,0,ND
1956:Q4,323618,320993,268373,268373,0,52620,52620,0,2625,323618,287591,0,0,0,0,1000,6,5599,3503,7065,0,200,7887,3120,0,686,0,6961,320993,0,0,0,ND
1957:Q1,309276,306790,254023,254023,0,52767,52767,0,2486,309276,274073,0,0,0,0,971,7,5372,3378,7014,0,215,7891,3213,0,521,0,6621,306790,0,0,0,ND
1957:Q2,328675,326030,273076,273076,0,52954,52954,0,2645,328675,290373,0,0,0,0,1089,7,5879,3773,7948,0,277,8370,3311,0,536,0,7112,326030,0,0,0,ND
1957:Q3,300970,298582,245392,245392,0,53190,53190,0,2388,300970,264793,0,0,0,0,1036,8,5456,3570,7638,0,294,7716,3414,0,561,0,6484,298582,0,0,0,ND
1957:Q4,301375,299142,245747,245747,0,53395,53395,0,2233,301375,266234,0,0,0,0,1000,9,5159,3391,7489,0,300,7411,3520,0,771,0,6091,299142,0,0,0,ND
1958:Q1,317251,314931,261319,261319,0,53612,53612,0,2320,317251,280386,0,0,0,0,1056,9,5342,3479,8060,0,320,8012,3631,0,628,0,6328,314931,0,0,0,ND
1958:Q2,334908,332394,278565,278565,0,53829,53829,0,2514,334908,294788,0,0,0,0,1155,9,5703,3626,8981,0,340,8949,3749,0,768,0,6840,332394,0,0,0,ND
1958:Q3,367416,364630,310541,310541,0,54089,54089,0,2786,367416,323591,0,0,0,0,1279,10,6184,3831,10184,0,365,10142,3868,0,425,0,7537,364630,0,0,0,ND
1958:Q4,382051,378956,324670,324670,0,54286,54286,0,3095,382051,333401,0,0,0,0,1400,10,6721,4109,11561,0,400,11672,3984,0,488,0,8305,378956,0,0,0,ND
1959:Q1,389733,386540,332012,332012,0,54528,54528,0,3193,389733,339692,0,0,0,0,1402,10,6763,4133,12137,0,415,12455,4044,0,207,0,8475,386540,0,0,0,ND
1959:Q2,404640,401189,346451,346451,0,54738,54738,0,3451,404640,351283,0,0,0,0,1445,11,7092,4375,13278,0,453,13260,4146,0,258,0,9039,401189,0,0,0,ND
1959:Q3,398247,394795,339875,339875,0,54920,54920,0,3452,398247,345399,0,0,0,0,1371,11,6890,4309,13422,0,460,12861,4254,0,364,0,8906,394795,0,0,0,ND
1959:Q4,420820,417131,362157,362157,0,54974,54974,0,3689,420820,364442,0,0,0,0,1400,11,7204,4561,14525,0,500,13867,4381,0,566,0,9363,417131,0,0,0,ND
1960:Q1,397831,394287,339310,339310,0,54977,54977,0,3544,397831,344090,0,0,0,0,1290,12,6808,4368,14128,0,491,13284,4283,0,266,0,8811,394287,0,0,0,ND
1960:Q2,406755,403002,347588,347588,0,55414,55414,0,3753,406755,350070,0,0,0,0,1306,13,7119,4642,15118,0,532,13989,4586,0,299,0,9081,403002,0,0,0,ND
1960:Q3,380195,376615,321285,321285,0,55330,55330,0,3580,380195,325875,0,0,0,0,1199,14,6734,4456,14603,0,521,13425,4468,0,440,0,8460,376615,0,0,0,ND
1960:Q4,425058,421074,365166,365166,0,55908,55908,0,3984,425058,364553,0,0,0,0,1300,15,7456,4981,16545,0,600,14806,4964,0,536,0,9302,421074,0,0,0,ND
1961:Q1,471012,466533,410353,410353,0,56180,56180,0,4479,471012,403160,0,0,0,0,1445,15,8384,5621,19082,0,704,17109,5013,0,11,0,10468,466533,0,0,0,ND
1961:Q2,472076,467636,411555,411555,0,56081,56081,0,4440,472076,403029,0,0,0,0,1438,16,8368,5593,19596,0,735,17764,4849,0,152,0,10536,467636,0,0,0,ND
1961:Q3,484215,479691,423621,423621,0,56070,56070,0,4524,484215,412628,0,0,0,0,1477,16,8588,5729,20660,0,792,18591,4757,0,77,0,10900,479691,0,0,0,ND
1961:Q4,521094,516192,437674,437674,0,78518,78518,0,4902,521094,443217,0,0,0,0,1600,16,9309,6258,22856,0,900,20252,4684,0,194,0,11808,516192,0,0,0,ND
1962:Q1,510450,505572,427931,427931,0,77641,77641,0,4878,510450,433050,0,0,0,0,1582,16,9197,6290,22866,0,931,20312,4639,0,19,0,11548,505572,0,0,0,ND
1962:Q2,390218,386371,326582,326582,0,59789,59789,0,3847,390218,329789,0,0,0,0,1232,17,7145,5017,17845,0,753,15824,3706,0,97,0,8793,386371,0,0,0,ND
1962:Q3,412673,408488,345363,345363,0,63125,63125,0,4185,412673,348408,0,0,0,0,1328,17,7673,5520,19251,0,845,16215,3917,0,232,0,9267,408488,0,0,0,ND
1962:Q4,503823,499109,424314,424314,0,74795,74795,0,4714,503823,431230,0,0,0,0,1500,16,8620,6280,21885,0,1000,18339,4362,0,255,0,10336,499109,0,0,0,ND
1963:Q1,532830,527887,447981,447981,0,79906,79906,0,4943,532830,443950,11691,0,0,0,1596,17,9092,6642,23509,0,1122,19587,4645,0,29,0,10950,527887,0,0,0,ND
1963:Q2,558992,553939,469026,469026,0,84913,84913,0,5053,558992,465276,12026,0,0,0,1674,17,9417,6843,24949,0,1249,20917,4942,0,156,0,11526,553939,0,0,0,ND
1963:Q3,582272,577178,487677,487677,0,89501,89501,0,5094,582272,485143,12268,0,0,0,1738,17,9665,6960,26270,0,1375,21491,5210,0,104,0,12031,577178,0,0,0,ND
1963:Q4,558475,553330,465779,465779,0,87551,87551,0,5145,558475,457229,12666,0,0,0,1800,17,9959,7118,27670,0,1500,22085,5467,0,479,0,12485,553330,0,0,0,ND
1964:Q1,593215,587915,495027,495027,0,92888,92888,0,5300,593215,486216,13226,0,0,0,1891,17,10499,7433,29690,0,1657,23697,5571,0,181,0,13137,587915,0,0,0,ND
1964:Q2,612252,606920,511094,511094,0,95826,95826,0,5332,612252,501513,13568,0,0,0,1934,18,10866,7581,31136,0,1782,24256,5700,0,430,0,13468,606920,0,0,0,ND
1964:Q3,633228,627876,528953,528953,0,98923,98923,0,5352,633228,518457,13866,0,0,0,1976,19,11227,7747,32638,0,1906,25693,5788,0,145,0,13766,627876,0,0,0,ND
1964:Q4,647246,641976,545955,545955,0,96021,96021,0,5270,647246,530283,13844,0,0,0,2000,20,11351,7834,33705,0,2000,25638,5839,0,897,0,13835,641976,0,0,0,ND
1965:Q1,663263,658083,559834,559834,0,98249,98249,0,5180,663263,543745,14085,0,0,0,2044,24,11435,7985,34953,0,2094,26533,5763,0,688,0,13914,658083,0,0,0,ND
1965:Q2,637854,633045,539451,539451,0,93594,93594,0,4809,637854,520804,13763,0,0,0,2003,27,10887,7778,34570,0,2074,26183,5409,0,1077,0,13279,633045,0,0,0,ND
1965:Q3,693718,688677,587928,587928,0,100749,100749,0,5041,693718,566354,14731,0,0,0,2215,28,11702,8597,38608,0,2326,28565,5635,0,661,0,14296,688677,0,0,0,ND
1965:Q4,734923,729875,623812,623812,0,106063,106063,0,5048,734923,600948,15148,0,0,0,2300,30,12000,9006,40754,0,2500,30863,5572,0,1203,0,14599,729875,0,0,0,ND
1966:Q1,714419,709573,606267,606267,0,103306,103306,0,4846,714419,580915,15646,0,0,0,2248,33,11770,8977,40765,0,2580,31372,5435,0,651,0,14027,709573,0,0,0,ND
1966:Q2,685683,681091,581050,581050,0,100041,100041,0,4592,685683,555299,15829,0,0,0,2132,36,11386,8799,39868,0,2633,30268,5355,0,1155,0,12923,681091,0,0,0,ND
1966:Q3,615709,611587,523227,523227,0,88360,88360,0,4122,615709,497568,15179,0,0,0,1904,38,10386,8109,36711,0,2527,26480,4686,0,666,0,11455,611587,0,0,0,ND
1966:Q4,660424,656100,547891,547891,0,108209,108209,0,4324,660424,531417,16847,0,0,0,2000,41,11000,8692,39468,0,2800,28943,5256,0,1317,0,12643,656100,0,0,0,ND
1967:Q1,747328,742453,625556,625556,0,116897,116897,0,4875,747328,598899,18608,0,0,0,2279,44,12432,9935,45497,0,3292,33712,5883,0,745,0,16002,742453,0,0,0,ND
1967:Q2,759549,754630,641312,641312,0,113318,113318,0,4919,759549,604594,18388,0,0,0,2346,46,12486,10051,46820,0,3420,35265,5696,0,1281,0,19156,754630,0,0,0,ND
1967:Q3,809759,804532,678588,678588,0,125944,125944,0,5227,809759,640696,19289,0,0,0,2525,49,13138,10671,50519,0,3740,38329,5748,0,1467,0,23588,804532,0,0,0,ND
1967:Q4,835107,829869,712221,712221,0,117648,117648,0,5238,835107,663217,18911,0,0,0,2500,52,13000,10687,51104,0,3900,39176,5360,0,1689,0,25511,829869,0,0,0,ND
1968:Q1,776014,771076,652734,652734,0,118342,118342,0,4938,776014,614335,18496,0,0,0,2266,55,12059,10053,48280,0,3847,35655,4961,0,1376,0,24631,771076,0,0,0,ND
1968:Q2,884503,878753,731114,731114,0,147639,147639,0,5750,884503,697357,21318,0,0,0,2453,59,13773,11713,55974,0,4696,42054,5875,0,1019,0,28212,878753,0,0,0,ND
1968:Q3,901429,895325,728536,728536,0,166789,166789,0,6104,901429,704969,22906,0,0,0,2402,62,14263,12385,58869,0,5232,44089,6076,0,1293,0,28883,895325,0,0,0,ND
1968:Q4,996085,989633,843150,843150,0,146483,146483,0,6452,996085,791225,24109,0,0,0,2400,64,14600,12986,61456,0,5800,46082,6337,0,1509,0,29517,989633,0,0,0,ND
1969:Q1,946300,939784,803399,803399,0,136385,136385,0,6516,946300,744978,25548,0,0,0,2349,64,14129,12893,60813,0,6091,43798,6005,0,1034,0,28598,939784,0,0,0,ND
1969:Q2,907895,901158,774485,774485,0,126673,126673,0,6737,907895,707381,26502,0,0,0,2393,64,13826,12966,60925,0,6458,41803,5997,0,1685,0,27895,901158,0,0,0,ND
1969:Q3,882607,875844,743955,743955,0,131889,131889,0,6763,882607,685998,27077,0,0,0,2402,68,13244,12751,59756,0,6699,40914,5905,0,1160,0,26633,875844,0,0,0,ND
1969:Q4,840609,833656,705075,705075,0,128581,128581,0,6953,840609,638787,28569,0,0,0,2500,72,13300,13157,61425,0,7300,40857,6011,0,1870,0,26761,833656,0,0,0,ND
1970:Q1,815012,808263,677754,677754,0,130509,130509,0,6749,815012,614739,28802,0,0,0,2518,76,12964,13164,61339,0,7750,40995,5654,0,1015,0,25996,808263,0,0,0,ND
1970:Q2,648418,642705,541573,541573,0,101132,101132,0,5713,648418,485356,24169,0,0,0,2079,81,10321,10634,50119,0,6754,31346,4469,0,1633,0,21457,642705,0,0,0,ND
1970:Q3,755152,748681,633467,633467,0,115214,115214,0,6471,755152,564848,28916,0,0,0,2502,85,12034,12875,59913,0,8577,36079,3328,0,1522,0,24473,748681,0,0,0,ND
1970:Q4,831233,824660,702189,702189,0,122471,122471,0,6573,831233,617555,32658,0,0,0,2800,89,13200,14571,67087,0,10100,39683,4299,0,1982,0,27209,824660,0,0,0,ND
1971:Q1,920098,912811,774490,774490,0,138321,138321,0,7287,920098,677215,35609,0,0,0,3174,91,14847,16889,76860,0,12058,46001,4810,0,1999,0,30545,912811,0,0,0,11.1843135365604
1971:Q2,918939,911453,778343,778343,0,133110,133110,0,7486,918939,673031,35451,0,0,0,3193,94,14970,17425,78937,0,12798,46553,5066,0,1720,0,29701,911453,0,0,0,-0.132159067520287
1971:Q3,911074,903856,765304,765304,0,138552,138552,0,7218,911074,658628,35026,0,0,0,3306,89,15605,18539,83299,0,13942,46250,5491,0,1040,0,29859,903856,0,0,0,-0.834137822564018
1971:Q4,974871,967230,823753,823753,0,143477,143477,0,7641,974871,707302,36422,0,0,0,3500,85,16600,20007,88651,0,15400,48621,5365,0,2107,0,30811,967230,0,0,0,3.832775480737674
1972:Q1,1034722,1025943,871948,871948,0,153995,153995,0,8779,1034722,748293,37700,0,0,0,3822,101,18225,22123,96231,0,17456,50367,5645,0,1246,0,33513,1025943,0,0,0,6.725238606914862
1972:Q2,1033232,1023873,874936,874936,0,148937,148937,0,9359,1033232,744562,37135,0,0,0,3912,108,18815,22773,97083,0,18513,49683,5626,0,1219,0,33803,1023873,0,0,0,-0.272431151909978
1972:Q3,1058729,1049113,893435,893435,0,155678,155678,0,9616,1058729,764016,37755,0,0,0,4077,108,19740,23848,99365,0,19828,48696,5503,0,694,0,35099,1049113,0,0,0,1.76475245956807
1972:Q4,1203281,1192744,1032664,1032664,0,160080,160080,0,10537,1203281,881667,39717,0,0,0,4500,108,21800,26528,107817,0,22200,51728,5746,0,2411,0,39059,1192744,0,0,0,6.043747629283082
1973:Q1,1117824,1105552,970552,970552,0,135000,135000,0,12272,1117824,811957,41532,0,0,0,4340,123,21031,25801,102259,0,21487,44730,5883,0,1087,0,37594,1105552,0,0,0,-8.13530096944905
1973:Q2,1033342,1021455,903639,903639,0,117816,117816,0,11887,1033342,744190,42579,0,0,0,4126,103,20101,24798,95599,0,20326,39622,5998,0,1348,0,34552,1021455,0,0,0,-8.662054092910413
1973:Q3,1104063,1092352,953484,953484,0,138868,138868,0,11711,1104063,785240,48182,0,0,0,4606,121,22302,27955,104779,0,22451,43124,6481,0,917,0,37905,1092352,0,0,0,7.016450784281569
1973:Q4,938338,928312,809377,809377,0,118935,118935,0,10026,938338,647014,46857,0,0,0,4200,157,19700,25448,93557,0,20200,38321,6603,0,2765,0,33516,928312,0,0,0,-11.9821457754535
1974:Q1,911785,901160,784167,784167,0,116993,116993,0,10625,911785,612227,52182,0,0,0,4476,168,19749,26889,96863,0,21039,35632,6466,0,1852,0,34242,901160,0,0,0,-2.645840344423435
1974:Q2,817463,807694,723296,723296,0,84398,84398,0,9769,817463,537702,54194,0,0,0,4260,169,17119,25073,88565,0,19295,31723,6267,0,2553,0,30543,807694,0,0,0,-11.85200195487108
1974:Q3,610689,602301,540407,540407,0,61894,61894,0,8388,610689,395999,44800,0,0,0,3281,168,12038,18863,66279,0,14477,23415,5238,0,2119,0,24012,602301,0,0,0,-25.62136578769439
1974:Q4,632492,623481,557581,557581,0,65900,65900,0,9011,632492,391559,53476,0,0,0,3700,169,12800,21291,74755,0,16400,26347,5910,0,2164,0,23921,623481,0,0,0,7.328691162300249
1975:Q1,775904,764613,684902,684902,0,79711,79711,0,11291,775904,485022,62821,0,0,0,4426,183,14759,25778,91897,0,20263,31972,6971,0,1504,0,30308,764613,0,0,0,23.7066775078768
1975:Q2,893211,882406,791599,791599,0,90807,90807,0,10805,893211,556439,69226,0,0,0,5013,166,16322,29722,110006,0,24371,37097,7569,0,2184,0,35096,882406,0,0,0,15.04607758561667
1975:Q3,782809,773701,701690,701690,0,72011,72011,0,9108,782809,485972,58781,0,0,0,4275,165,13760,25842,99892,0,22267,31770,6392,0,1647,0,32046,773701,0,0,0,-12.5629336919909
1975:Q4,839378,829793,754817,754817,0,74976,74976,0,9585,839378,523768,60832,0,0,0,4400,179,14200,27450,107999,0,24300,33664,5819,0,3368,0,33399,829793,0,0,0,6.742261305164571
1976:Q1,968562,958677,868179,868179,0,90498,90498,0,9885,968562,609921,68056,0,0,0,4826,242,15974,31541,123664,0,28204,38525,6793,0,1302,0,39514,958677,0,0,0,15.21647643945674
1976:Q2,987996,978354,887651,887651,0,90703,90703,0,9642,987996,628914,67776,0,0,0,4599,234,16127,32124,123557,0,28717,38637,6424,0,1328,0,39559,978354,0,0,0,1.254053814736508
1976:Q3,998860,989577,897275,897275,0,92302,92302,0,9283,998860,639991,67108,0,0,0,4415,222,16451,32833,123523,0,29254,37434,6217,0,1292,0,40120,989577,0,0,0,0.647135986007879
1976:Q4,1034228,1024775,927300,927300,0,97475,97475,0,9453,1034228,663960,67205,0,0,0,4400,214,16900,33685,125501,0,30100,37282,5964,0,1542,0,47475,1024775,0,0,0,3.634112433747493
1977:Q1,957603,948012,856996,856996,0,91016,91016,0,9591,957603,608843,64801,0,0,0,4207,240,16107,31835,118706,0,28699,33004,5443,0,1405,0,44313,948012,0,0,0,-6.850908633591148
1977:Q2,986596,976773,881959,881959,0,94814,94814,0,9823,986596,622009,69475,0,0,0,4560,239,16872,32878,123183,0,29936,34396,5431,0,1579,0,46038,976773,0,0,0,3.418053352235023
1977:Q3,947989,937737,845194,845194,0,92543,92543,0,10252,947989,591459,69931,0,0,0,4643,236,16627,31839,120475,0,29322,32450,4924,0,1581,0,44502,937737,0,0,0,-3.453040176677292
1977:Q4,922579,912469,819054,819054,0,93415,93415,0,10110,922579,558936,72035,0,0,0,4800,245,17100,32299,123610,0,30000,31866,4719,0,1840,0,45129,912469,0,0,0,0.015775536649951
1978:Q1,875995,865451,773767,773767,0,91684,91684,0,10544,875995,525618,67468,0,0,0,4618,274,16698,31190,122074,0,29203,29615,4330,0,1673,0,43234,865451,0,0,0,-4.481799028830888
1978:Q2,943712,932982,833089,833089,0,99893,99893,0,10730,943712,558997,72135,0,0,0,4923,271,18325,34051,137026,0,32043,31847,4486,0,2024,0,47584,932982,0,0,0,8.275439072433691
