1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,291,6,285,291,79,0,-13,6,35,0,148,0,33,3
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,492,10,482,492,158,0,7,6,59,0,189,1,47,25
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q2,734,38,696,734,269,0,18,1,146,0,165,5,103,27
1964:Q3,468,19,449,468,179,0,-1,1,62,0,111,4,101,11
1964:Q4,406,14,392,406,170,0,-4,-1,18,0,107,4,101,11
1965:Q1,532,35,497,532,123,0,23,0,50,0,121,6,170,39
1965:Q2,710,43,667,710,208,0,26,0,106,0,153,7,170,40
1965:Q3,513,30,483,513,186,0,15,0,59,0,110,6,112,25
1965:Q4,490,17,473,490,138,0,16,0,58,0,135,6,111,26
1966:Q1,510,34,476,510,21,0,12,1,77,0,145,7,222,25
1966:Q2,624,26,598,624,142,0,-13,3,40,0,197,8,222,25
1966:Q3,454,25,429,454,114,0,27,2,81,0,62,8,116,44
1966:Q4,277,33,244,277,32,0,59,1,4,0,13,6,117,45
1967:Q1,388,23,365,388,171,0,-58,0,10,0,34,8,173,50
1967:Q2,553,48,505,553,162,0,-18,-3,76,0,103,8,173,52
1967:Q3,553,43,510,553,189,0,20,-2,69,0,86,2,152,37
1967:Q4,471,10,461,471,129,0,-5,-4,53,0,106,2,153,37
1968:Q1,606,71,535,606,205,0,14,3,95,0,52,8,184,45
1968:Q2,764,48,716,764,245,0,5,6,165,0,110,7,180,46
1968:Q3,449,19,430,449,276,0,46,7,-24,0,44,1,91,8
1968:Q4,341,9,332,341,211,0,47,5,-19,0,28,1,62,6
1969:Q1,470,24,446,470,97,0,56,3,124,0,-18,3,191,14
1969:Q2,695,33,662,695,107,0,58,0,211,0,64,4,240,11
1969:Q3,410,30,380,410,137,0,-56,2,10,0,16,83,119,99
1969:Q4,243,42,201,243,315,0,-57,8,-52,0,-92,-18,38,101
1970:Q1,597,4,593,597,251,0,-51,65,207,0,-98,-18,119,122
1970:Q2,330,25,305,330,124,0,42,3,16,0,-5,-42,162,30
1970:Q3,319,39,280,319,15,0,-71,6,196,0,-3,-10,106,80
1970:Q4,251,31,220,251,59,0,-71,9,101,0,-18,6,86,79
1971:Q1,331,32,299,331,74,0,-50,4,135,0,-104,-19,160,131
1971:Q2,963,98,865,963,385,0,-56,8,241,0,19,-2,232,136
1971:Q3,329,22,307,329,-66,0,-77,14,157,0,30,7,188,76
1971:Q4,266,8,258,266,39,0,-77,17,49,0,7,-5,150,86
1972:Q1,715,35,680,715,315,0,-32,10,119,0,-66,-11,222,158
1972:Q2,1013,40,973,1013,429,0,-49,13,223,0,47,0,291,59
1972:Q3,746,41,705,746,220,0,-3,9,110,0,35,7,315,53
1972:Q4,506,76,430,506,-122,0,-38,12,124,0,61,42,349,78
1973:Q1,1129,28,1101,1129,383,3,62,4,189,0,-35,59,473,-9
1973:Q2,1471,96,1375,1471,510,3,-102,4,270,0,94,18,510,164
1973:Q3,991,92,899,991,206,3,61,14,138,0,130,3,448,-12
1973:Q4,854,73,781,854,153,4,-36,18,64,0,129,22,423,77
1974:Q1,888,56,832,888,324,0,16,4,165,0,3,-1,351,26
1974:Q2,1624,81,1543,1624,304,0,154,12,221,0,129,-4,878,-70
1974:Q3,1419,102,1317,1419,383,0,2,8,179,0,119,0,700,28
1974:Q4,1185,164,1021,1185,453,-2,59,10,42,0,80,-61,607,-3
1975:Q1,1863,101,1762,1863,449,2,-24,8,58,0,101,-6,1215,60
1975:Q2,1745,161,1584,1745,568,3,380,8,135,0,145,3,808,-305
1975:Q3,554,111,443,554,278,3,228,14,66,0,58,-3,100,-190
1975:Q4,769,88,681,769,349,5,154,16,63,0,122,-236,509,-213
1976:Q1,944,144,800,944,99,-1,109,18,-18,0,62,0,666,9
1976:Q2,1513,138,1375,1513,479,0,144,64,10,0,190,-1,703,-76
1976:Q3,1611,118,1493,1611,502,1,130,20,200,0,179,-1,597,-17
1976:Q4,1491,88,1403,1491,460,6,182,19,158,0,241,0,561,-136
1977:Q1,1968,197,1771,1968,576,4,114,4,277,0,220,0,809,-36
1977:Q2,2958,243,2715,2958,1106,5,239,11,363,0,501,21,862,-150
1977:Q3,2028,153,1875,2028,643,6,304,6,256,0,338,-4,700,-221
1977:Q4,1583,90,1493,1583,400,12,187,6,134,0,367,7,609,-139
1978:Q1,2000,191,1809,2000,582,6,77,25,150,0,354,-1,761,46
1978:Q2,2793,207,2586,2793,907,6,284,19,309,0,507,-1,890,-128
1978:Q3,2303,166,2137,2303,645,6,370,9,202,0,404,-1,830,-162
1978:Q4,1712,149,1563,1712,391,8,94,31,85,0,383,0,751,-31
1979:Q1,3677,335,3342,3677,1241,2,727,50,26,0,414,-1,1168,50
1979:Q2,4501,421,4080,4501,1570,3,778,48,140,0,548,0,1395,19
1979:Q3,3398,291,3107,3398,1089,4,622,54,53,0,376,5,1186,9
1979:Q4,2422,77,2345,2422,667,9,197,57,-126,0,306,0,1315,-3
1980:Q1,3827,468,3359,3827,960,-3,705,64,-64,0,290,-1,1871,5
1980:Q2,3553,295,3258,3553,754,2,394,74,-58,0,310,-9,2071,15
1980:Q3,1736,80,1656,1736,33,13,374,80,29,0,75,0,1204,-72
1980:Q4,1616,51,1565,1616,-33,26,286,39,66,0,140,-1,1215,-122
1981:Q1,2610,295,2315,2610,506,28,82,38,-84,0,17,0,1995,28
1981:Q2,3084,333,2751,3084,471,30,335,30,2,0,69,0,2248,-101
1981:Q3,2428,220,2208,2428,290,38,183,33,-31,0,105,0,1842,-32
1981:Q4,1620,21,1599,1620,86,44,7,28,-66,0,-49,0,1574,-4
1982:Q1,1722,259,1463,1722,324,47,161,4,-9,0,-146,0,1462,-121
1982:Q2,1331,112,1219,1331,-322,38,146,-10,157,0,51,0,1289,-18
1982:Q3,815,21,794,815,-13,18,132,-8,56,0,-66,0,722,-26
1982:Q4,214,0,214,214,-12,4,59,11,-153,0,-104,0,411,-2
1983:Q1,229,7,222,229,0,-39,-4,-13,76,0,-148,-11,289,79
1983:Q2,832,64,768,832,-69,-31,240,-14,387,0,-16,-4,433,-94
1983:Q3,736,68,668,736,68,-11,70,2,226,0,85,0,315,-19
1983:Q4,613,71,542,613,159,2,141,-8,263,0,-14,0,69,1
1984:Q1,-751,-30,-721,-751,-1096,68,87,0,272,0,-172,0,92,-2
1984:Q2,369,54,315,369,-493,71,169,11,342,0,25,0,282,-38
1984:Q3,128,5,123,128,-598,79,-84,8,183,0,48,0,224,268
1984:Q4,-1045,-163,-882,-1045,-725,87,371,6,-7,0,-177,0,-340,-260
1985:Q1,300,115,185,300,550,31,190,9,128,0,-461,0,-147,0
1985:Q2,-1143,-69,-1074,-1143,-205,19,150,4,302,0,-466,0,-990,43
1985:Q3,-2842,-230,-2612,-2842,-1166,-11,184,1,429,0,-471,0,-1690,-118
1985:Q4,-14647,-1085,-13562,-14647,-6499,-34,111,0,-948,0,-472,0,-6722,-83
1986:Q1,-2466,-198,-2268,-2466,-1022,-46,-51,178,251,0,-233,0,-1612,69
1986:Q2,-2494,-181,-2313,-2494,-971,-26,109,8,254,0,-236,0,-1629,-3
1986:Q3,-2521,-161,-2360,-2521,-920,24,34,8,257,0,-238,0,-1648,-38
1986:Q4,-2521,-140,-2381,-2521,-881,66,258,-22,256,0,-238,0,-1648,-312
1987:Q1,-2041,-197,-1844,-2041,-796,7,-102,-12,334,0,-258,0,-1210,-4
1987:Q2,-2064,-176,-1888,-2064,-847,7,-73,-2,337,0,-260,0,-1223,-3
1987:Q3,-2087,-124,-1963,-2087,-723,7,-195,-14,340,0,-263,0,-1237,-2
1987:Q4,-2086,-40,-2046,-2086,-801,7,-137,8,341,0,-263,0,-1237,-4
1988:Q1,-1238,-180,-1058,-1238,-632,7,-99,-1,168,0,-95,0,-574,-12
1988:Q2,-1239,-98,-1141,-1239,-617,7,-118,-4,169,0,-95,0,-574,-7
1988:Q3,-1252,-48,-1204,-1252,-653,7,-99,-1,170,0,-95,0,-580,-1
1988:Q4,-1252,-22,-1230,-1252,-645,7,-104,-2,170,0,-96,0,-581,-1
1989:Q1,-509,-66,-443,-509,-301,7,-98,-1,261,0,5,0,-380,-2
1989:Q2,-516,-46,-470,-516,-343,7,-60,-3,265,0,6,0,-386,-2
1989:Q3,-521,-14,-507,-521,-181,7,-227,-2,267,0,5,0,-389,-1
1989:Q4,-522,16,-538,-522,-232,7,-173,-5,267,0,5,0,-389,-2
1990:Q1,-278,-16,-262,-278,-14,-49,-260,-3,135,0,132,0,-217,-2
1990:Q2,-281,13,-294,-281,-149,-17,-162,-3,136,0,134,0,-219,-1
1990:Q3,-285,28,-313,-285,-190,-13,-127,-3,137,0,134,0,-222,-1
1990:Q4,-284,18,-302,-284,-183,-19,-126,-5,138,0,135,0,-221,-3
1991:Q1,-45,58,-103,-45,208,-29,-232,-3,230,0,-47,0,-170,-2
1991:Q2,-46,45,-91,-46,62,-27,-89,-3,233,0,-48,0,-171,-3
1991:Q3,-46,22,-68,-46,78,-26,-112,1,235,0,-48,0,-173,-1
1991:Q4,-46,-12,-34,-46,-56,-19,22,-5,236,0,-48,0,-173,-3
1992:Q1,107,42,65,107,246,-13,-269,-4,300,0,-174,0,23,-2
1992:Q2,106,-7,113,106,124,-12,-151,-3,300,0,-175,0,23,0
1992:Q3,108,5,103,108,69,2,-108,-3,303,0,-177,0,23,-1
1992:Q4,108,68,40,108,71,6,-115,-4,303,0,-176,0,23,-1
1993:Q1,137,-23,160,137,194,-33,-142,-1,186,0,48,0,-113,-2
1993:Q2,138,45,93,138,159,-10,-131,-3,188,0,50,0,-114,0
1993:Q3,139,89,50,139,146,-7,-123,-1,190,0,50,0,-115,-1
1993:Q4,140,112,28,140,154,-16,-121,-2,190,0,50,0,-115,-1
1994:Q1,364,90,274,364,253,-20,-137,-2,330,0,9,0,-68,-1
1994:Q2,369,111,258,369,144,36,-83,-1,333,0,9,0,-68,-1
1994:Q3,373,115,258,373,144,5,-51,-1,336,0,9,0,-68,-1
1994:Q4,373,119,254,373,127,18,-47,-2,337,0,9,0,-69,0
