date,U.S. national income,Households and nonprofit organizations; compensation of employees received,Households and nonprofit organizations; wages and salaries received (IMA),Households and nonprofit organizations; supplements to wages and salaries,Nonfinancial business; proprietors' income with IVA and CCAdj,Nonfinancial noncorporate business; rental income of persons with CCAdj,Corporate business; corporate profits before tax including IVA and CCAdj,Corporate business; corporate profits before tax with IVA excluding CCAdj,Corporate business; corporate profits before tax excluding IVA and CCAdj,Nonfinancial corporate business; corporate profits before tax excluding IVA and CCAdj,Domestic financial sectors; corporate profits before tax excluding IVA and CCAdj,Rest of the world; corporate profits before tax excluding IVA and CCAdj,Corporate business; taxes on corporate income (accrual basis),Nonfinancial corporate business; taxes on corporate income,Domestic financial sectors; taxes on corporate income,Corporate business; corporate profits after tax excluding IVA and CCAdj,Corporate business; net dividends paid,Nonfinancial corporate business; net dividends paid,Domestic financial sectors; net dividends paid,Rest of the world; net dividends paid,Corporate business; undistributed corporate profits excluding IVA and CCAdj,Nonfinancial corporate business; undistributed corporate profits excluding IVA and CCAdj,Domestic financial sectors; undistributed corporate profits excluding CCAdj,Rest of the world; undistributed corporate profits,Nonfinancial corporate business; inventory valuation adjustment (IVA),Corporate business; capital consumption adjustment (CCADj),Nonfinancial corporate business; capital consumption adjustment (CCADj),Domestic financial sectors; capital consumption adjustment (CCAdj),National income; net interest and miscellaneous payments,General government; taxes on production and imports, receivable (IMA),General government; subsidies paid,Nonfinancial business; other current transfers paid,Households and nonprofit organizations; other current transfers received (IMA),General government; other current transfers received from business,Rest of the world; other current transfers received,General government; operating surplus, net,U.S. national income,Private domestic sectors; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis,General government; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis (NIPA basis),Gross domestic product (GDP); statistical discrepancy (calculated from components),Rest of the world; net income payments to the U.S.,Gross domestic product (GDP); sum of pieces
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,266613,158269,147253,11016,37514,8779,36059,38816,43781,39202,3310,1269,17728,16764,964,26053,9035,7375,676,984,17018,15063,1670,285,-4965,-2757,-2502,-255,3061,22950,1197,824,555,269,0,354,266613,24333,9060,1263,1440,299829
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,307637,185705,171607,14098,42594,9720,41198,44181,45380,39909,3727,1744,22304,21104,1200,23076,8825,7042,621,1162,14251,11763,1906,582,-1199,-2983,-2699,-284,3563,24745,1448,1160,873,287,0,400,307637,27746,9979,3440,1892,346910
1952:Q1,318522,196097,181006,15091,41692,10400,40026,42862,41590,35655,4031,1904,19528,18228,1300,22062,8432,6660,624,1148,13630,10767,2107,756,1272,-2836,-2543,-293,3817,26087,1241,1216,912,304,0,428,318522,28977,10554,3765,2001,359819
1952:Q2,320447,197426,182120,15306,42956,10665,38130,40823,39667,33481,4305,1881,18372,16976,1396,21295,8992,7236,680,1076,12303,9269,2229,805,1156,-2693,-2400,-293,3940,26918,1200,1203,896,307,0,409,320447,29317,10859,2426,2019,361031
1952:Q3,326977,201503,185952,15551,44746,10931,38071,40598,39898,33435,4548,1915,18308,16836,1472,21590,8900,7056,724,1120,12690,9543,2352,795,700,-2527,-2233,-294,4003,27334,1184,1186,876,310,0,387,326977,29713,11291,1703,1982,367701
1952:Q4,338500,209326,193466,15860,42762,11267,42432,44768,43972,37341,4779,1852,20220,18668,1552,23752,9084,7260,772,1052,14668,11413,2455,800,796,-2336,-2044,-292,4080,28145,1082,1183,868,315,0,387,338500,30162,11547,2543,1939,380812
1953:Q1,344488,213123,197069,16054,42950,11584,43340,45461,45893,39342,4679,1872,21284,19764,1520,24609,8764,6848,788,1128,15845,12730,2371,744,-432,-2121,-1832,-289,4278,28746,1146,1193,888,305,0,420,344488,30667,11830,2907,1908,387981
1953:Q2,347302,216209,200027,16182,42347,11894,42508,44438,46034,39383,4752,1899,21376,19836,1540,24658,9524,7440,868,1216,15134,12107,2344,683,-1596,-1930,-1641,-289,4421,29178,890,1197,884,313,0,438,347302,31140,12125,3236,2052,391750
1953:Q3,345594,216523,200146,16377,41217,12162,41311,43073,45077,38385,4959,1733,20876,19268,1608,24201,9400,7416,888,1096,14801,11701,2463,637,-2004,-1762,-1473,-289,4588,29319,1136,1150,836,314,0,460,345594,31582,12234,3569,1809,391171
1953:Q4,337974,215129,198715,16414,41557,12474,34016,35635,35591,28908,4996,1687,16240,14608,1632,19351,9228,7268,860,1100,10123,7032,2504,587,44,-1619,-1326,-293,4763,29161,694,1076,760,316,0,492,337974,31994,12386,5443,1828,385968
1954:Q1,339615,213112,196401,16711,42680,12797,36508,38007,38019,31143,5036,1840,16096,14320,1776,21923,9744,7572,848,1324,12179,9251,2412,516,-12,-1499,-1201,-298,5014,28681,664,954,612,342,0,533,339615,32374,12566,2792,2000,385346
1954:Q2,339907,212684,195957,16727,42099,13015,37848,39105,39141,32177,5107,1857,16612,14800,1812,22529,9172,7048,788,1336,13357,10329,2507,521,-36,-1257,-960,-297,5261,28812,1254,880,532,348,0,562,339907,32759,12931,2524,1998,386122
