date,All sectors; pension entitlements; liability,Life insurance companies; pension entitlements, including reserve credit from reinsurers and excluding unallocated insurance contracts; liability,Private pension funds; total liabilities,Federal government retirement funds; total financial assets,State and local government employee retirement funds; pension entitlements (total liabilities),Rest of the world; pension entitlement reserve credit from non-U.S. reinsurers; liability,All sectors; pension entitlements; liability,Households and nonprofit organizations; pension entitlements; asset,Life insurance companies; pension entitlements reserve credit from reinsurers; asset,Life insurance companies; assumed pension entitlement reserve credit from non-U.S. insurers; liability,All sectors; IRAs; liability,U.S.-chartered depository institutions; IRAs and Keoghs; liability,Credit unions; IRAs; liability,Life insurance companies; IRAs; liability,Money market funds; IRAs; liability,Mutual funds; IRAs; liability,Households and nonprofit organizations; IRAs; liability
1945:Q4,61172,2700,20697,24792,12983,0,61172,61172,0,0,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,69381,3100,22077,29054,15150,0,69381,69381,0,0,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,77939,3600,23594,32968,17777,0,77939,77939,0,0,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q3,202441,12175,54935,88621,46710,0,202441,202441,0,0,ND,ND,ND,ND,ND,ND,ND
1956:Q4,207775,12500,56529,90735,48011,0,207775,207775,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q1,215119,12868,58240,94782,49229,0,215119,215119,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q2,223051,13279,60288,99010,50474,0,223051,223051,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q3,230768,13700,62086,103231,51751,0,230768,230768,0,0,ND,ND,ND,ND,ND,ND,ND
1957:Q4,238362,14100,63731,107481,53050,0,238362,238362,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q1,244139,14475,65251,109845,54568,0,244139,244139,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q2,249929,14826,66666,112319,56118,0,249929,249929,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q3,255861,15189,68102,114872,57698,0,255861,255861,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q4,261909,15600,69685,117327,59297,0,261909,261909,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q1,266743,16068,71232,119743,59700,0,266743,266743,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q2,272118,16602,73084,122302,60130,0,272118,272118,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q3,277575,17129,74805,125053,60588,0,277575,277575,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q4,282854,17575,76659,127557,61063,0,282854,282854,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q1,288952,17946,78031,130075,62900,0,288952,288952,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q2,295534,18248,79493,133034,64759,0,295534,295534,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q3,301375,18532,80543,135643,66657,0,301375,301375,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q4,307674,18850,81980,138259,68585,0,307674,307674,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q1,313859,19191,83342,140830,70496,0,313859,313859,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q2,320202,19544,84282,143924,72452,0,320202,320202,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q3,326229,19900,85195,146683,74451,0,326229,326229,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q4,332393,20250,86222,149440,76481,0,332393,332393,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q1,335857,20591,86701,152211,76354,0,335857,335857,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q2,338921,20920,86195,155537,76269,0,338921,338921,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q3,342790,21258,86858,158445,76229,0,342790,342790,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q4,347129,21625,87855,161427,76222,0,347129,347129,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q1,352974,22016,88707,164353,77898,0,352974,352974,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q2,359556,22427,89630,167880,79619,0,359556,359556,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q3,365855,22856,90656,170961,81382,0,365855,365855,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q4,372399,23300,91810,174119,83170,0,372399,372399,0,0,ND,ND,ND,ND,ND,ND,ND
