date,All sectors; pension entitlements; liability,Life insurance companies; pension entitlements, including reserve credit from reinsurers and excluding unallocated insurance contracts; liability,Private pension funds; total liabilities,Federal government retirement funds; total financial assets,State and local government employee retirement funds; pension entitlements (total liabilities),Rest of the world; pension entitlement reserve credit from non-U.S. reinsurers; liability,All sectors; pension entitlements; liability,Households and nonprofit organizations; pension entitlements; asset,Life insurance companies; pension entitlements reserve credit from reinsurers; asset,Life insurance companies; assumed pension entitlement reserve credit from non-U.S. insurers; liability,All sectors; IRAs; liability,U.S.-chartered depository institutions; IRAs and Keoghs; liability,Credit unions; IRAs; liability,Life insurance companies; IRAs; liability,Money market funds; IRAs; liability,Mutual funds; IRAs; liability,Households and nonprofit organizations; IRAs; liability
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q3,5458,363,1602,2575,918,0,5458,5458,0,0,ND,ND,ND,ND,ND,ND,ND
1958:Q4,5595,411,1769,2478,937,0,5595,5595,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q1,5763,468,1917,2445,933,0,5763,5763,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q2,6236,534,2153,2589,960,0,6236,6236,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q3,6525,527,2230,2780,988,0,6525,6525,0,0,ND,ND,ND,ND,ND,ND,ND
1959:Q4,6199,446,2214,2534,1005,0,6199,6199,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q1,5952,371,2016,2551,1014,0,5952,5952,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q2,6198,302,1868,2992,1036,0,6198,6198,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q3,5737,284,1736,2642,1075,0,5737,5737,0,0,ND,ND,ND,ND,ND,ND,ND
1960:Q4,5783,318,1711,2649,1105,0,5783,5783,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q1,5690,341,1617,2619,1113,0,5690,5690,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q2,6275,353,1621,3143,1158,0,6275,6275,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q3,5889,356,1525,2807,1201,0,5889,5889,0,0,ND,ND,ND,ND,ND,ND,ND
1961:Q4,5888,350,1501,2805,1232,0,5888,5888,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q1,5778,341,1391,2812,1234,0,5778,5778,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q2,6184,329,1212,3367,1276,0,6184,6184,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q3,5759,338,1151,2949,1321,0,5759,5759,0,0,ND,ND,ND,ND,ND,ND,ND
1962:Q4,6089,367,1345,3023,1354,0,6089,6089,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q1,6184,391,1466,2972,1355,0,6184,6184,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q2,7016,411,1633,3572,1400,0,7016,7016,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q3,6809,429,1812,3126,1442,0,6809,6809,0,0,ND,ND,ND,ND,ND,ND,ND
1963:Q4,7096,444,1981,3204,1467,0,7096,7096,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q1,7335,464,2207,3189,1475,0,7335,7335,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q2,8097,486,2363,3744,1504,0,8097,8097,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q3,7943,498,2529,3358,1558,0,7943,7943,0,0,ND,ND,ND,ND,ND,ND,ND
1964:Q4,8224,502,2736,3384,1602,0,8224,8224,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q1,8415,587,2841,3373,1614,0,8415,8415,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q2,9158,504,2926,4049,1679,0,9158,9158,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q3,9074,477,3245,3609,1743,0,9074,9074,0,0,ND,ND,ND,ND,ND,ND,ND
1965:Q4,9618,507,3676,3653,1782,0,9618,9618,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q1,9975,521,4020,3654,1780,0,9975,9975,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q2,10855,521,4113,4387,1834,0,10855,10855,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q3,10541,525,4217,3909,1890,0,10541,10541,0,0,ND,ND,ND,ND,ND,ND,ND
1966:Q4,10906,533,4421,4022,1930,0,10906,10906,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q1,10802,316,4563,3986,1937,0,10802,10802,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q2,11822,356,4683,4760,2023,0,11822,11822,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q3,11618,374,4926,4190,2128,0,11618,11618,0,0,ND,ND,ND,ND,ND,ND,ND
1967:Q4,11964,450,4960,4321,2233,0,11964,11964,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q1,12149,559,4993,4276,2321,0,12149,12149,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q2,13326,574,5267,5050,2435,0,13326,13326,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q3,13237,383,5822,4460,2572,0,13237,13237,0,0,ND,ND,ND,ND,ND,ND,ND
1968:Q4,14473,785,6403,4610,2675,0,14473,14473,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q1,14629,667,6672,4580,2710,0,14629,14629,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q2,16052,767,7075,5378,2832,0,16052,16052,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q3,16294,779,7387,5171,2957,0,16294,16294,0,0,ND,ND,ND,ND,ND,ND,ND
1969:Q4,16637,907,7341,5333,3056,0,16637,16637,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q1,14304,653,4896,5662,3093,0,14304,14304,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q2,15368,651,4697,6775,3245,0,15368,15368,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q3,14973,719,4463,6376,3415,0,14973,14973,0,0,ND,ND,ND,ND,ND,ND,ND
1970:Q4,15357,860,4291,6636,3570,0,15357,15357,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q1,15270,1050,3874,6691,3655,0,15270,15270,0,0,ND,ND,ND,ND,ND,ND,ND
1971:Q2,16638,1187,3985,7598,3868,0,16638,16638,0,0,ND,ND,ND,ND,ND,ND,ND
