1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q4,32079,17641,0,0,0,0,0,2799,0,2799,8174,3465,3311,154,0,0,42664,30915,4661,5078,21176,11730,0,20,0,333828,79
1955:Q1,32706,17721,0,0,0,0,0,2501,0,2501,8955,3528,3372,156,0,0,44291,31602,4649,5310,21643,12669,0,21,0,335800,80
1955:Q2,32477,17791,0,0,0,0,0,2619,0,2619,8476,3591,3434,157,0,0,46425,33306,5293,5477,22536,13098,0,21,0,336409,82
1955:Q3,32645,17857,0,0,0,0,0,2613,0,2613,8521,3655,3494,161,0,0,48155,34494,5665,5582,23247,13638,0,22,0,339574,83
1955:Q4,32455,17924,0,0,0,0,0,2905,0,2905,7907,3719,3553,165,0,0,48018,34838,5737,5575,23526,13157,0,22,0,343802,87
1956:Q1,33275,17961,0,0,0,0,0,2631,0,2631,8912,3771,3603,168,0,0,49680,35454,5764,5653,24036,14204,0,23,0,349606,88
1956:Q2,33524,17980,0,0,0,0,0,2732,0,2732,8993,3819,3647,172,0,0,51383,36908,6217,5793,24898,14452,0,23,0,354355,90
1956:Q3,34129,18015,0,0,0,0,0,2772,0,2772,9474,3868,3693,175,0,0,52886,37909,6565,5814,25529,14953,0,24,0,357938,91
1956:Q4,34130,18095,0,0,0,0,0,3061,0,3061,9051,3923,3745,178,0,0,52033,37929,6279,5935,25715,14080,0,24,0,360825,94
1957:Q1,34873,18216,0,0,0,0,0,2748,0,2748,9927,3982,3800,182,0,0,53309,38245,6218,6095,25933,15038,0,25,0,364546,94
1957:Q2,34432,18355,0,0,0,0,0,2869,0,2869,9159,4049,3860,189,0,0,54072,39336,6582,6167,26587,14710,0,25,0,367266,95
1957:Q3,34481,18532,0,0,0,0,0,2843,0,2843,8997,4109,3918,191,0,0,54901,40085,6658,6200,27228,14791,0,25,0,371022,96
1957:Q4,34401,18762,0,0,0,0,0,3102,0,3102,8378,4159,3966,193,0,0,54769,40378,6732,6168,27478,14366,0,25,0,373178,98
1958:Q1,35674,19146,0,0,0,0,0,2702,0,2702,9617,4209,4013,195,0,0,56494,40839,6609,6382,27849,15629,0,26,0,379184,99
1958:Q2,36241,19705,0,0,0,0,0,2774,0,2774,9516,4247,4052,195,0,0,58014,42234,7098,6510,28626,15754,0,26,0,382510,101
1958:Q3,37161,20184,0,0,0,0,0,2808,0,2808,9874,4294,4089,205,0,0,59380,43310,7158,6552,29599,16043,0,27,0,385537,102
1958:Q4,37158,20335,0,0,0,0,0,3103,0,3103,9377,4343,4135,209,0,0,59647,44180,7288,6586,30306,15441,0,27,0,387265,104
1959:Q1,37491,20170,0,0,0,0,0,2836,0,2836,10079,4406,4193,213,0,0,61787,45645,7374,6926,31345,16115,0,27,0,387979,106
1959:Q2,36679,19678,0,0,0,0,0,2969,0,2969,9556,4476,4261,215,0,0,64176,48026,7986,7212,32829,16121,0,28,0,387553,108
1959:Q3,36264,19116,0,0,0,0,0,2944,0,2944,9648,4556,4329,227,0,0,66083,49616,8279,7222,34114,16439,0,29,0,387255,110
1959:Q4,35017,18737,0,0,0,0,0,3425,0,3425,8234,4621,4390,232,0,0,65310,50249,8343,7106,34800,15032,0,29,0,388616,113
1960:Q1,35772,18478,0,0,0,0,0,2864,0,2864,9755,4675,4438,237,0,0,68040,51424,8464,7322,35638,16586,0,30,0,391557,113
1960:Q2,35034,18284,0,0,0,0,0,3025,0,3025,9010,4715,4479,236,0,0,69460,53204,8850,7500,36854,16226,0,30,0,392612,114
1960:Q3,35086,18145,0,0,0,0,0,2927,0,2927,9246,4767,4519,248,0,0,70883,54374,8881,7511,37982,16479,0,30,0,395557,115
1960:Q4,34617,18044,0,0,0,0,0,3202,0,3202,8554,4818,4566,252,0,0,70668,55024,8858,7424,38742,15614,0,31,0,398552,118
1961:Q1,35219,18016,0,0,0,0,0,2594,0,2594,9731,4877,4620,257,0,0,73542,56905,8971,7709,40225,16606,0,31,0,400869,120
1961:Q2,35187,18065,0,0,0,0,0,2763,0,2763,9421,4939,4681,257,0,0,74984,58707,9214,7789,41704,16245,0,32,0,404523,122
1961:Q3,35597,18133,0,0,0,0,0,2798,0,2798,9655,5011,4739,272,0,0,76849,60612,9395,7892,43325,16205,0,32,0,409730,125
1961:Q4,35258,18162,0,0,0,0,0,3130,0,3130,8904,5062,4787,276,0,0,76886,61717,9459,7780,44478,15136,0,33,0,415779,127
1962:Q1,35783,18177,0,0,0,0,0,2777,0,2777,9724,5105,4825,281,0,0,79386,63517,9617,8104,45796,15837,0,33,0,420714,128
1962:Q2,35403,18186,0,0,0,0,0,3020,0,3020,9068,5129,4848,282,0,0,81551,65954,10147,8294,47513,15564,0,33,0,423947,129
1962:Q3,35527,18184,0,0,0,0,0,3019,0,3019,9153,5171,4874,297,0,0,83472,67700,10332,8308,49060,15739,0,34,0,428809,129
1962:Q4,35160,18163,0,0,0,0,0,3315,0,3315,8462,5220,4919,301,0,0,84359,69302,10573,8238,50491,15023,0,34,0,432848,130
1963:Q1,35553,18139,0,0,0,0,0,2966,0,2966,9149,5299,4993,306,0,0,86755,71203,10639,8728,51836,15518,0,34,0,434808,131
1963:Q2,35366,18088,0,0,0,0,0,3178,0,3178,8702,5398,5093,305,0,0,89115,74023,11221,8923,53879,15058,0,34,0,434919,132
1963:Q3,35475,18039,0,0,0,0,0,3224,0,3224,8697,5515,5191,324,0,0,90731,75981,11350,8960,55671,14715,0,35,0,434892,133
1963:Q4,35117,18018,0,0,0,0,0,3553,0,3553,7961,5586,5258,328,0,0,91640,77972,11731,9063,57179,13633,0,35,0,438463,137
1964:Q1,35543,18019,0,0,0,0,0,3266,0,3266,8574,5685,5352,333,0,0,94001,79809,11911,9501,58397,14155,0,36,0,439360,138
1964:Q2,35691,18048,0,0,0,0,0,3404,0,3404,8454,5786,5452,334,0,0,96849,82678,12393,9824,60461,14136,0,36,0,444667,140
1964:Q3,36096,18087,0,0,0,0,0,3437,0,3437,8661,5911,5556,355,0,0,98913,84749,12529,9890,62330,14127,0,37,0,449036,141
1964:Q4,36024,18119,0,0,0,0,0,3779,0,3779,8106,6020,5658,362,0,0,99382,86267,12477,9904,63886,13078,0,37,0,458148,143
1965:Q1,36393,18145,0,0,0,0,0,3495,0,3495,8627,6127,5756,371,0,0,102072,88375,12968,10320,65087,13660,0,38,0,463179,144
1965:Q2,36345,18175,0,0,0,0,0,3662,0,3662,8266,6243,5852,391,0,0,105093,91528,13599,10642,67287,13527,0,38,0,468063,146
1965:Q3,36716,18202,0,0,0,0,0,3670,0,3670,8487,6357,5951,407,0,0,107374,93708,13801,10643,69263,13628,0,39,0,471930,148
1965:Q4,36666,18223,0,0,0,0,0,4040,0,4040,7930,6473,6060,413,0,0,108383,95594,14046,10695,70853,12750,0,39,0,485038,152
1966:Q1,37156,18226,0,0,0,0,0,3701,0,3701,8627,6601,6176,426,0,0,111941,98991,14668,11379,72943,12911,0,40,0,487739,152
1966:Q2,37049,18219,0,0,0,0,0,3830,0,3830,8260,6740,6300,440,0,0,114471,102189,15622,11629,74938,12243,0,40,0,501720,153
1966:Q3,37738,18211,0,0,0,0,0,3725,0,3725,8915,6887,6430,457,0,0,116135,103714,15650,11651,76413,12381,0,40,0,507723,154
1966:Q4,37718,18213,0,0,0,0,0,3988,0,3988,8491,7026,6560,466,0,0,116865,105278,16296,11621,77361,11547,0,40,0,518534,156
1967:Q1,38219,18236,0,0,0,0,0,3654,0,3654,9150,7179,6701,478,0,0,118645,107112,16495,12176,78441,11491,0,41,0,522811,159
1967:Q2,38327,18266,0,0,0,0,0,3730,0,3730,8982,7349,6847,502,0,0,122048,110534,17240,12525,80769,11472,0,42,0,528319,163
1967:Q3,38912,18302,0,0,50,50,0,3627,0,3627,9422,7511,7000,511,0,0,124756,112844,17199,12504,83140,11869,0,43,0,533651,167
1967:Q4,39013,18344,0,0,100,100,0,3872,0,3872,9022,7675,7152,523,0,0,127111,115611,17657,12779,85175,11456,0,44,0,543197,171
1968:Q1,37860,18375,0,0,150,150,0,3592,0,3592,7893,7850,7316,534,0,0,126744,117514,17895,13189,86430,9186,0,45,0,556272,174
1968:Q2,38084,18418,0,0,200,200,0,3677,0,3677,7736,8053,7487,566,0,0,130781,121388,18759,13500,89129,9346,0,46,0,564493,177
1968:Q3,38755,18462,0,0,250,250,0,3532,0,3532,8263,8248,7674,574,0,0,133673,123688,18709,13462,91517,9938,0,47,0,571546,181
1968:Q4,38819,18499,0,0,300,300,0,3852,0,3852,7655,8512,7882,630,0,0,135981,126582,19120,13573,93888,9351,0,48,0,588293,186
1969:Q1,39422,18526,0,0,350,350,0,3530,0,3530,8257,8758,8114,645,0,0,139277,129653,19989,14148,95515,9575,0,49,0,599729,190
1969:Q2,40004,18546,0,0,400,400,0,3667,100,3567,8345,9046,8372,674,0,0,144839,134786,21026,14715,99044,10003,0,50,0,608676,194
1969:Q3,40724,18562,0,0,450,450,0,3685,200,3485,8705,9322,8639,683,0,0,149191,138610,21617,14877,102116,10529,0,52,0,612644,198
1969:Q4,40794,18578,0,0,500,500,0,4012,300,3712,8110,9594,8899,695,0,0,151950,141905,21874,15125,104907,9992,0,53,0,623263,203
1970:Q1,41379,18607,200,0,550,550,0,3814,400,3414,8331,9877,9169,709,0,0,152766,135076,21835,15856,97384,10013,0,54,7623,632629,210
1970:Q2,41844,18633,600,0,600,600,0,3978,500,3478,7860,10173,9446,727,0,0,158050,140022,22451,16452,101120,10208,0,56,7763,650391,216
1970:Q3,42360,18659,1000,0,650,650,0,4180,600,3580,7418,10453,9720,733,0,0,163024,144693,22522,16467,105704,10168,0,58,8105,645880,222
1970:Q4,42676,18687,1400,0,700,700,0,4529,700,3829,6623,10737,9979,758,0,0,166512,148557,22287,16635,109636,9315,0,59,8581,654582,229
1971:Q1,46077,18715,1800,0,750,750,0,4431,975,3456,8333,12047,10273,775,0,1000,173056,152694,22836,17423,112435,10966,0,60,9335,674669,231
1971:Q2,48079,18742,2200,0,800,800,0,4816,1275,3541,8152,13369,10574,795,0,2000,180927,160360,23780,18025,118555,10455,311,61,9739,689717,234
1971:Q3,50539,18776,2600,0,860,860,0,5082,1575,3507,8530,14690,10890,800,0,3000,187158,165708,23887,17793,124028,10291,674,62,10424,705146,237
1971:Q4,52500,18824,3000,0,900,900,0,5587,1875,3712,8123,16066,11230,836,0,4000,193254,171162,24461,17809,128891,9517,1037,62,11476,720885,240
1972:Q1,54855,18884,3400,0,950,950,0,5546,2175,3371,8636,17439,11593,846,0,5000,199529,175928,24887,18354,132687,9742,1400,63,12396,742592,244
1972:Q2,57509,18963,3800,0,1000,1000,0,5857,2450,3407,8824,19066,11985,881,0,6200,210942,186158,26261,18803,141093,10276,1763,64,12681,756530,248
1972:Q3,60440,19039,4200,0,1050,1050,0,6096,2725,3371,9386,20669,12382,888,0,7400,219525,193172,26176,18851,148145,10978,2126,65,13184,776772,252
1972:Q4,62486,19093,4600,0,1100,1100,0,6630,3000,3630,8770,22294,12761,933,0,8600,229928,202550,27222,19007,156321,10662,2489,67,14160,802061,256
1973:Q1,66507,20221,5006,0,1133,1133,0,6461,3170,3291,9240,24446,13128,961,0,10356,244652,212979,30670,21069,161240,13620,2853,72,15128,829636,277
1973:Q2,69671,21357,5411,0,1161,1161,0,6673,3299,3374,9753,25315,13475,1023,0,10817,260258,224678,35916,21841,166920,17017,3222,80,15261,862876,308
1973:Q3,72590,22506,5813,0,1176,1176,0,6598,3330,3268,10376,26120,13819,1075,0,11226,269652,229626,40998,22110,166518,20453,3599,86,15888,904256,333
1973:Q4,75563,23653,6213,0,1183,1183,0,6722,3285,3437,11086,26706,14176,1103,0,11427,275681,230141,44887,22349,162906,24018,3985,90,17447,937150,348
1974:Q1,78151,24095,6735,0,1199,1199,0,6475,3354,3121,12540,27108,14549,1126,0,11433,288374,239051,47909,23318,167824,26283,4419,98,18524,956549,378
1974:Q2,80384,24335,7205,0,1214,1214,0,6572,3406,3166,13632,27426,14937,1232,0,11258,303141,250896,50597,24324,175975,27920,4836,106,19382,976642,408
1974:Q3,80834,24181,7546,0,1226,1226,0,6458,3418,3040,13821,27602,15317,1280,0,11005,315263,260881,52204,25274,183403,28075,5208,114,20985,1018522,439
1974:Q4,80299,23744,7784,0,1238,1238,0,6476,3393,3083,13288,27769,15664,1329,0,10776,323063,267249,53190,25928,188132,27123,5545,121,23025,1049329,467
1975:Q1,80413,23714,7877,0,1228,1228,0,5923,3278,2645,13693,27978,16100,1369,0,10510,330012,272749,54100,26553,192097,27490,5847,120,23806,1078049,463
1975:Q2,80964,23769,7964,0,1226,1226,0,5855,3196,2659,14062,28088,16552,1399,0,10137,337849,279857,55092,28203,196561,27932,6134,119,23807,1107728,459
1975:Q3,81601,23989,8033,0,1243,1243,0,5722,3190,2532,14341,28273,17023,1430,0,9820,343203,284187,55983,29066,199138,28312,6383,118,24202,1126184,455
1975:Q4,82989,24325,8088,0,1274,1274,0,5920,3252,2668,14551,28831,17524,1587,0,9719,348809,287601,56659,29985,200956,28435,6602,117,26055,1147450,450
1976:Q1,83946,24600,8206,0,1249,1249,0,5665,3326,2339,14542,29684,18216,1645,0,9823,357435,295607,57632,31144,206831,29052,6894,118,25764,1167897,453
1976:Q2,85993,24958,8417,0,1258,1258,0,5840,3462,2378,14666,30854,19039,1703,0,10112,366492,303302,59546,32630,211126,29996,7187,119,25888,1210730,456
1976:Q3,88999,25526,8859,0,1352,1352,0,5997,3741,2256,15123,32142,19910,1739,0,10493,375295,310604,60857,34194,215554,30741,7484,119,26346,1239483,460
1976:Q4,93245,26271,9490,0,1515,1515,0,6632,4151,2481,15849,33488,20748,1866,0,10873,383726,317082,62117,34953,220013,31438,7785,120,27301,1277573,463
1977:Q1,95697,26808,9951,0,1686,1686,0,6482,4320,2162,15878,34891,21653,1942,0,11296,396391,327623,63660,37751,226212,32994,8065,119,27590,1312615,460
1977:Q2,99613,27405,10491,0,1878,1878,0,6615,4557,2058,16826,36398,22604,1993,0,11802,409655,340345,66680,39258,234407,34219,8341,119,26631,1345856,456
1977:Q3,104432,28130,11229,0,2123,2123,0,6805,4959,1846,18221,37924,23596,2011,0,12317,420819,350362,68840,40371,241151,34892,8609,118,26838,1390300,453
1977:Q4,110504,28954,12127,0,2412,2412,0,7506,5509,1997,19976,39529,24627,2138,0,12764,431096,359811,70439,41385,247987,35037,8871,129,27248,1441570,494
1978:Q1,115258,29752,12665,0,2732,2732,0,7489,6006,1483,21559,41062,25694,2217,0,13151,444014,370564,72859,43470,254235,35571,8965,135,28779,1503508,521
1978:Q2,120552,30560,13327,0,3001,3001,0,7910,6563,1347,23113,42641,26824,2333,0,13485,462336,387212,77792,46934,262485,36474,9130,144,29376,1561044,552
1978:Q3,126106,31385,14299,0,3143,3143,0,8476,7273,1203,24594,44209,27968,2428,0,13814,480384,403623,82437,49789,271396,37584,9470,154,29553,1614888,590
1978:Q4,132298,32227,15522,0,3184,3184,0,9572,8114,1458,26018,45775,29075,2514,0,14186,497443,418206,85961,51893,280351,38623,9951,175,30488,1673048,673
1979:Q1,137843,32981,17001,0,3192,3192,0,9922,8970,952,27421,47326,30145,2576,0,14604,514571,430837,89248,54256,287333,40543,10517,197,32477,1748337,758
1979:Q2,143602,33724,18463,0,3159,3159,0,10622,9771,851,28676,48958,31187,2698,0,15073,542925,455968,94380,59157,302432,42710,11141,219,32887,1813841,843
1979:Q3,148614,34430,19882,0,3024,3024,0,11158,10437,721,29563,50558,32241,2787,0,15529,567129,476415,98714,61200,316501,44870,11910,241,33693,1881502,928
1979:Q4,153483,35110,21269,0,2805,2805,0,11884,11001,883,30154,52261,33350,3003,0,15908,589438,492017,101694,64222,326101,46885,12795,316,37425,1941536,1213
1980:Q1,154821,35869,21537,0,2635,2635,0,11188,10779,409,30642,52951,34300,3143,0,15507,611306,509472,102154,67947,339372,48603,13870,374,38986,1992567,1440
1980:Q2,155396,36606,21994,0,2509,2509,0,10992,10767,225,31168,52127,35236,3268,0,13623,632372,525618,102796,70245,352576,50118,14768,429,41439,2049893,1651
1980:Q3,158560,37289,22923,0,2493,2493,0,11428,11278,150,31791,52636,36145,3359,0,13132,650971,541012,103488,72178,365345,51537,15225,495,42702,2114147,1904
1980:Q4,167152,37941,24231,0,2564,2564,0,12367,12217,150,32492,57557,37020,3630,0,16906,667931,555061,104594,74201,376266,52581,15328,758,44203,2185485,2914
1981:Q1,174811,38429,24670,0,2728,2728,0,13981,13906,75,33031,61972,37821,3730,0,20421,685924,573155,106493,78543,388119,54087,15036,824,42822,2237123,3170
1981:Q2,182685,38959,24981,0,2900,2900,0,15781,15731,50,33808,66255,38560,3885,0,23811,705144,591750,111361,83169,397220,56343,14703,891,41457,2278620,3428
1981:Q3,190977,39574,25276,0,3091,3091,0,17948,17898,50,35180,69907,39293,4038,0,26576,720493,605455,114800,85209,405446,57776,14266,965,42032,2306451,3710
1981:Q4,199990,40262,25700,0,3298,3298,0,20364,20339,25,37028,73338,40079,4293,0,28966,736062,619777,115997,85315,418465,58628,13744,1017,42896,2343154,3913
1982:Q1,201760,40582,26211,0,3080,3080,0,21893,21868,25,38721,71273,40957,4482,0,25834,755349,631397,114721,85980,430697,59291,13774,877,50009,2376549,1999
1982:Q2,204039,41153,26769,0,2945,2945,0,23247,23247,0,40591,69334,42067,4439,0,22827,783595,650036,114130,88514,447392,61728,13941,971,56919,2387628,2161
1982:Q3,207656,42335,27392,0,3014,3014,0,24252,24252,0,42703,67959,42987,4528,0,20445,809648,667117,112249,89527,465341,63095,14450,1077,63908,2382280,2414
1982:Q4,211726,44008,28100,0,3244,3244,0,24961,24961,0,45009,66404,43289,4678,0,18438,828370,677654,109439,88580,479636,63055,15235,954,71472,2385483,3029
1983:Q1,218249,46000,28909,0,3987,3987,0,25509,25509,0,46965,66880,42775,4702,0,19403,848173,695767,108888,89344,497536,61351,15738,1079,74238,2407716,3519
1983:Q2,224239,48048,29837,0,4711,4711,0,26274,26274,0,48878,66492,41320,4679,0,20493,870215,712881,110273,90873,511736,62266,16224,1189,77655,2402873,3688
1983:Q3,231531,50223,30796,0,5386,5386,0,27574,27574,0,50683,66868,39947,4714,0,22208,891227,729855,110852,91569,527434,62716,16668,1323,80665,2412284,3893
1983:Q4,240638,52493,31700,0,6023,6023,0,29305,29305,0,52404,68713,39667,4747,0,24299,914281,748980,111560,92163,545258,62983,17081,1143,84094,2443271,3954
1984:Q1,253708,53425,32533,0,6139,6139,0,31772,31772,0,54394,75445,48243,4753,0,22449,943824,775239,115513,94126,565599,62914,17188,1232,87251,2449819,4315
1984:Q2,258578,54469,33281,0,6155,6155,0,34252,34252,0,56277,74143,48907,4761,0,20475,978585,807403,121669,94928,590806,64770,17359,1383,87669,2439683,4446
1984:Q3,262851,55853,34089,0,5920,5920,0,36765,36765,0,57892,72332,49658,4798,0,17875,1012962,836358,126719,95901,613738,66509,17690,1405,91000,2435404,4507
1984:Q4,267175,57539,35100,0,5481,5481,0,39311,39311,0,59293,70451,50724,4826,0,14901,1043630,862648,129331,95807,637510,67829,18151,1329,93673,2441096,4149
1985:Q1,275191,59851,36370,0,5468,5468,0,41009,41009,0,60657,71836,52726,4842,0,14269,1074620,886857,129531,95730,661596,67916,18775,1421,99651,2444501,4413
1985:Q2,283393,62458,37956,0,5488,5488,0,42493,42493,0,61926,73072,54588,4721,0,13763,1110761,915931,132549,96194,687188,69987,19494,1422,103927,2429887,4322
1985:Q3,292268,65757,39489,0,5588,5588,0,43447,43447,0,62957,75030,56533,4616,0,13881,1140220,929119,132975,96350,699794,70920,20450,1435,118297,2442003,4349
1985:Q4,301070,71771,40600,0,5754,5754,0,43983,43983,0,63798,75165,56258,4532,0,14375,1145535,933047,131383,93849,707816,66558,21596,1512,122822,2503891,5567
1986:Q1,317506,73166,41380,3122,9425,9425,0,43818,43818,0,69046,77549,58108,4332,0,15109,1154874,951070,130931,93922,726217,54197,21836,1596,126175,2539603,5699
1986:Q2,325694,73741,41918,3182,10008,10008,0,45091,45091,0,71303,80451,60130,4352,0,15969,1174334,972756,132147,94736,745873,50678,22148,1654,127097,2559302,5830
1986:Q3,333203,73975,42224,3208,10530,10530,0,46259,46259,0,73364,83643,62033,4157,0,17453,1190986,988495,132675,93028,762792,49627,22637,1678,128549,2593374,5937
1986:Q4,336276,74350,42308,3227,10771,10771,0,44676,44676,0,74822,86123,62879,3931,0,19313,1207873,1000195,131977,93021,775197,51446,23269,1659,131304,2620479,6111
1987:Q1,335949,74594,42014,3220,10720,10720,0,42950,42950,0,75513,86939,62488,3726,0,20724,1223531,1016511,131935,92672,791904,54924,23459,1795,126841,2649877,6095
1987:Q2,331844,74788,41183,3166,10365,10365,0,40438,40438,0,75274,86630,60734,3634,0,22261,1236455,1031021,136343,93540,801138,53811,23480,1845,126297,2668792,6209
1987:Q3,328797,74980,40436,3117,9971,9971,0,38352,38352,0,75167,86775,58864,3489,0,24422,1249085,1044727,139569,93716,811442,54615,23542,2057,124144,2689248,6106
1987:Q4,330855,75214,40390,3118,9799,9799,0,37909,37909,0,76252,88173,57753,3461,0,26959,1270780,1064863,140669,101461,822733,56506,23851,698,124862,2727458,2216
1988:Q1,343756,76787,42658,3875,9796,9796,0,40185,40185,0,78516,91939,57432,3387,0,31120,1298153,1083585,142092,101409,840084,60292,24369,700,129207,2771353,2421
1988:Q2,359004,78201,44704,4558,9897,9897,0,43716,43716,0,81939,95989,57435,3398,0,35156,1326524,1109191,146079,103322,859790,57996,25051,734,133552,2806257,2561
1988:Q3,372253,79028,45875,4948,10079,10079,0,47078,47078,0,85529,99716,57651,3498,0,38567,1356384,1133921,148502,106237,879181,57922,25860,783,137898,2836143,2661
1988:Q4,381797,79791,46957,5310,10318,10318,0,47846,47846,0,88294,103281,58155,3522,0,41603,1383590,1149256,149960,101157,898139,63925,26761,1404,142243,2871018,4898
1989:Q1,387312,80373,47728,5567,10655,10655,0,46631,46631,0,90464,105895,59509,3181,0,43205,1402560,1160370,151423,103536,905411,65171,27852,1706,147461,2911976,5124
1989:Q2,388602,80221,47395,5455,11129,11129,0,43064,43064,0,92268,109069,61603,2785,0,44682,1424315,1175608,156759,105185,913665,64939,29234,1854,152679,2948156,5493
1989:Q3,388403,80064,47061,5344,11605,11605,0,39090,39090,0,93781,111458,63207,2716,0,45535,1444067,1187455,160650,103855,922950,66361,30543,1811,157897,2963151,5618
1989:Q4,389833,80976,48351,5775,11946,11946,0,35146,35146,0,95080,112559,63763,2784,0,46012,1460969,1197882,162723,105565,929594,66469,31417,2085,163116,2991042,7878
1990:Q1,391230,81907,49581,6185,12183,12183,0,33520,33520,0,96140,111714,63420,2588,0,45706,1465272,1201249,162736,106969,931544,67828,31781,2119,162295,3021902,8055
1990:Q2,390875,82404,50159,6378,12347,12347,0,32654,32654,0,96941,109993,61951,2516,0,45526,1465094,1202302,165597,106292,930412,67270,31863,2186,161474,3043558,8298
1990:Q3,392456,83368,51449,6808,12452,12452,0,32004,32004,0,97495,108880,60466,2443,0,45971,1462754,1202731,166892,106555,929283,65278,31919,2174,160653,3066511,8395
1990:Q4,391493,83198,51019,6665,12512,12512,0,31052,31052,0,97817,109230,60023,2417,0,46790,1457105,1197957,166680,106389,924888,66417,32000,898,159833,3090141,3205
1991:Q1,391600,83989,50085,6353,12497,12497,0,29581,29581,0,97716,111379,60765,2344,0,48270,1453629,1191102,165655,104855,920592,69889,32143,814,159681,3088281,3117
1991:Q2,396250,85255,51375,6784,12373,12373,0,28256,28256,0,97500,114706,62429,2402,0,49876,1454357,1194246,167327,106036,920884,66997,32226,859,160029,3082602,3080
1991:Q3,395678,84504,52250,7076,12254,12254,0,26934,26934,0,96420,116241,64175,2460,0,49606,1439543,1178337,167718,105909,904710,65630,32372,827,162377,3065439,3144
1991:Q4,399537,85327,53228,7402,12249,12249,0,26024,26024,0,96724,118583,65021,2599,0,50962,1434291,1169744,166737,105376,897631,67752,32479,841,163475,3043769,4098
1992:Q1,407826,87603,56386,8456,12356,12356,0,25359,25359,0,97908,119758,65265,2529,0,51964,1433692,1162450,165571,105576,891303,70839,32641,828,166934,3038375,4130
1992:Q2,413261,88771,57853,8946,12560,12560,0,24769,24769,0,99961,120401,64871,2438,0,53092,1432026,1158199,168579,105666,883955,69787,32794,853,170393,3028025,4176
1992:Q3,422216,90651,59755,9163,13040,13040,0,24858,24858,0,102668,122081,64206,2530,0,55344,1426821,1150049,170036,104953,875059,70374,32956,841,172602,3027567,4220
1992:Q4,426184,90703,60195,9727,12976,12976,0,25169,25169,0,103812,123602,64103,2528,0,56971,1428852,1143421,169474,106320,867627,74065,33121,933,177312,3022581,4706
1993:Q1,433409,92089,61900,9449,13288,13288,0,23509,23509,0,106272,126902,64491,2632,0,59779,1421076,1131448,165010,105261,861177,77383,32710,959,178576,3067326,4694
1993:Q2,439134,92689,62434,10019,13386,13386,0,22990,22990,0,107041,130575,65175,2689,0,62711,1419334,1130992,170132,105284,855575,75235,32276,992,179840,3094020,4595
1993:Q3,444843,93173,62271,10727,13453,13453,0,22629,22629,0,107576,135014,65991,2754,0,66269,1414189,1126103,170404,105451,850249,74097,31850,1034,181105,3130723,4607
1993:Q4,453782,93935,63605,10865,15084,13600,1484,21850,21850,0,108731,139711,66700,2809,0,70202,1414031,1123465,173860,104083,845522,75547,31387,1263,182369,3175202,5479
1994:Q1,465108,97729,64735,11153,12640,11124,1516,20829,20829,0,112710,145312,67230,2886,0,75196,1417905,1122256,175714,104869,841673,79327,31496,1257,183569,3241336,5543
1994:Q2,484791,100191,65545,13097,17056,15507,1549,22635,22635,0,116549,149718,67707,2946,0,79065,1429073,1129432,182362,105435,841634,77869,32000,1252,188520,3304729,5535
1994:Q3,500683,104345,66512,13326,17707,16126,1581,22891,22891,0,121182,154720,68155,3006,0,83559,1441225,1135531,187236,105718,842577,78658,32320,1245,193471,3344650,5501
1994:Q4,516228,106272,67176,15108,19944,18330,1614,23800,23800,0,125024,158904,68747,2979,0,87178,1454047,1138806,189177,108682,840947,82964,32807,1048,198422,3400968,4880
1995:Q1,539348,111358,68800,15123,22101,20338,1763,23022,23022,0,130824,168120,69821,2952,0,95347,1472403,1147745,191612,110490,845643,88932,32898,1004,201823,3443626,4885
1995:Q2,556072,113698,69532,16149,23157,21244,1913,22669,22669,0,133440,177427,70864,2922,0,103641,1488325,1160622,197179,110801,852642,88473,33006,1000,205224,3479007,4856
1995:Q3,575316,117415,70711,16374,24763,22701,2062,22104,22104,0,137647,186303,70847,2897,0,112559,1507466,1174013,200339,112099,861574,90679,33156,992,208625,3528635,4855
1995:Q4,592473,119807,71459,17035,25838,23626,2212,21747,21747,0,140320,196267,71497,2917,0,121853,1527838,1185165,200634,114605,869926,96728,33358,561,212026,3579726,3606
1996:Q1,612796,124140,71990,16764,27372,25057,2315,21349,21349,0,146401,204781,71729,2889,0,130163,1558625,1198506,204222,116623,877661,106292,33834,609,219384,3606444,3761
1996:Q2,641318,130842,72955,17816,29511,27092,2419,20789,20789,0,156103,213301,71802,2903,0,138597,1595308,1220295,212590,117601,890104,113253,34412,606,226742,3610599,3710
1996:Q3,663173,134738,73947,18095,30298,27775,2523,20600,20600,0,162696,222798,72249,2892,0,147658,1629253,1240931,225786,115219,899926,118371,35249,602,234100,3638733,3734
1996:Q4,687208,138984,75005,19237,31177,28550,2627,20386,20386,0,169841,232578,72474,3013,0,157092,1664691,1258226,229829,118284,910112,128525,35675,807,241458,3704902,5821
1997:Q1,717014,143458,78302,20334,32878,30114,2764,19688,19688,0,177235,245119,72782,3016,0,169321,1711171,1279069,242272,119945,916852,137737,36794,864,256707,3837771,5875
