date,State and local governments; current receipts, NIPA basis,State and local governments; personal current taxes,State and local governments; taxes on production and imports, receivable (IMA),State and local governments; taxes on corporate income (accrual basis),State and local governments; contributions for government social insurance received,State and local governments; property income (received),State and local governments; other current transfer received,State and local governments; operating surplus, net,State and local governments; current expenditures,State and local governments; consumption expenditures,State and local governments; social contributions paid,State and local governments; other current transfer payments to the rest of the world,State and local governments; interest paid (IMA),State and local governments; subsidies paid,State and local governments; net saving including net capital transfers paid,State and local governments; consumption of fixed capital, equipment, software, and structures, current cost basis (NIPA basis),State and local governments; net capital transfers paid,State and local governments; gross saving less net capital transfers paid,State and local governments; gross investment,State and local governments; gross fixed investment (NIPA basis),State and local governments; acquisition of nonproduced nonfinancial assets (net),State and local governments; net lending (+) or borrowing (-) (financial account),State and local governments; total financial assets,State and local governments; checkable deposits and currency; asset,State and local governments; total time and savings deposits; asset,State and local governments; money market fund shares; asset,State and local governments; security repurchase agreements; asset,State and local governments; debt securities; asset,State and local governments; commercial paper; asset,State and local governments; Treasury securities, including SLGS; asset,State and local governments; agency- and GSE-backed securities; asset,State and local governments; municipal securities; asset,State and local governments; corporate and foreign bonds; asset,State and local governments; total mortgages; asset,State and local governments; corporate equities; asset,State and local governments; mutual fund shares; asset,State and local governments; trade receivables; asset,State and local governments; taxes receivable; asset,State and local governments; unidentified miscellaneous assets,State and local governments; total liabilities,State and local governments; municipal securities; liability,State and local governments; short-term municipal securities; liability,State and local governments; long-term municipal securities; liability,State and local governments; U.S. government loans; liability,State and local governments; trade payables; liability,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset,State and local governments; sector discrepancy
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,18176,1357,13034,605,194,492,2170,324,17675,13988,2657,0,1030,0,501,2176,-547,3224,4354,5397,199,-1242,823,246,152,0,0,379,0,66,0,313,0,81,0,0,-35,0,0,2065,986,204,782,-85,161,1003,-1130
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,19815,1480,14216,770,223,537,2235,354,19502,15172,3190,0,1140,0,313,2181,-624,3118,2252,5925,269,-3942,1775,469,101,0,0,693,0,509,-100,284,0,52,0,0,460,0,0,5717,4525,393,4132,67,114,1011,866
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,21825,1680,15555,883,242,662,2403,400,20225,16318,2644,0,1263,0,1600,2621,-651,4872,5336,7038,272,-1974,1582,414,152,0,0,709,0,480,200,29,0,69,0,0,238,0,0,3556,2115,312,1803,261,86,1094,-464
1952:Q1,5652,454,4087,211,67,165,562,107,5309,4270,707,0,332,0,343,675,-168,1186,-211,1506,61,-1778,785,315,94,0,80,300,0,348,-80,32,0,28,0,0,-68,5,31,2563,2246,201,2045,-45,121,241,1396
