1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,6420,6420,6420,9306,10002,-696,-2886,171,-128,0,0,0,0,0,64,0,64,61,175,172,3,0,0,3057,1644,1382,-132,278,1236,260,0,2,0,1413,1414,-1
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,6959,6959,6959,11806,11596,210,-4847,1628,229,0,0,0,0,0,181,0,181,1096,122,119,3,0,0,6475,4371,3106,910,364,1832,1258,0,8,0,2104,2102,2
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,7910,7910,7910,12536,11112,1424,-4626,707,506,0,0,0,0,0,109,0,109,-117,209,204,5,0,0,5332,3621,3293,814,454,2025,325,0,4,0,1711,1709,2
1952:Q1,2059,2059,2059,2964,2679,285,-905,1649,13,0,0,0,0,0,842,0,842,728,66,65,1,0,0,2554,1177,527,40,127,360,649,0,0,0,1377,1376,1
1952:Q2,2075,2075,2075,3076,2659,417,-1001,-61,-159,0,0,0,0,0,186,0,186,-163,75,73,2,0,0,940,1225,1139,333,118,688,85,0,1,0,-285,-285,0
1952:Q3,2092,2092,2092,2993,2409,584,-901,345,-202,0,0,0,0,0,65,0,65,406,76,75,1,0,0,1246,755,562,27,16,519,193,0,0,0,491,490,1
1952:Q4,2111,2111,2111,2834,2662,172,-723,164,-121,0,0,0,0,0,321,0,321,-107,71,70,1,0,0,887,-71,276,-21,31,266,-346,0,-1,0,958,956,2
1953:Q1,2131,2131,2131,3019,2792,228,-888,815,-84,0,0,0,0,0,-221,0,-221,1053,67,65,2,0,0,1703,1327,163,-119,122,160,1163,0,1,0,377,377,0
1953:Q2,2150,2150,2150,2740,2854,-114,-590,-46,-73,0,0,0,0,0,111,0,111,-148,64,64,0,0,0,544,951,853,169,49,635,98,0,0,0,-406,-407,1
1953:Q3,2167,2167,2167,3118,2931,188,-951,125,-41,0,0,0,0,0,-8,0,-8,107,67,64,3,0,0,1076,836,534,136,5,393,302,0,0,0,240,238,2
1953:Q4,2183,2183,2183,3369,2902,468,-1186,-303,2,0,0,0,0,0,246,0,246,-617,66,64,2,0,0,883,-1827,-630,-696,-81,147,-1197,0,0,0,2710,2708,2
1954:Q1,2198,2198,2198,2871,2700,172,-673,680,59,0,0,0,0,0,-309,0,-309,864,66,65,1,0,0,1353,1805,445,87,179,179,1360,0,0,0,-452,-453,1
1954:Q2,2213,2213,2213,2664,2756,-91,-451,-56,124,0,0,0,0,0,73,0,73,-320,67,66,1,0,0,395,1459,1104,243,44,817,355,0,0,0,-1064,-1066,2
1954:Q3,2228,2228,2228,3042,2907,136,-814,294,139,0,0,0,0,0,-50,0,-50,139,66,64,2,0,0,1108,1827,976,265,48,663,850,0,1,0,-719,-720,1
1954:Q4,2243,2243,2243,2894,3022,-128,-650,-287,103,0,0,0,0,0,287,0,287,-742,65,63,2,0,0,363,-798,30,-369,31,368,-827,0,-1,0,1161,1158,3
