date,All sectors; total mortgages; asset,All sectors; one-to-four-family residential mortgages; asset,All sectors; multifamily residential mortgages; asset,All sectors; commercial mortgages; asset,All sectors; farm mortgages; asset,All sectors; total mortgages; asset,Households and nonprofit organizations; total mortgages; liability,Nonfinancial business; total mortgages; liability,Nonfinancial corporate business; total mortgages; liability,Nonfinancial noncorporate business; total mortgages; liability,Federal government; multifamily residential mortgages; liability,Equity real estate investment trusts; total mortgages; liability,All sectors; total mortgages; asset,Households and nonprofit organizations; total mortgages; asset,Nonfinancial corporate business; total mortgages; asset,Nonfinancial noncorporate business; total mortgages; asset,Federal government; total mortgages; asset,Federal government; total mortgages held by Ginnie Mae; asset,Federal government; total mortgages Federal Farmers Home Administration (FmHA), excluding one-to-four-family residential mortgages held by the Federal Financing Bank; asset,Federal government; total mortgages held by FHA; asset,Federal government; total mortgages held by FDIC; asset,Federal government; total mortgages held by Federal Financing Bank, Public Housing Administration (PHA), RTC, and VA; asset,State and local governments; total mortgages; asset,Private depository institutions; total mortgages; asset,U.S.-chartered depository institutions; total mortgages; asset,Foreign banking offices in the U.S.; total mortgages; asset,Banks in U.S.-affiliated areas; total mortgages; asset,Credit unions; one-to-four-family residential mortgages; asset,Property-casualty insurance companies; commercial mortgages, including those held by U.S. residual market reinsurers; asset,Life insurance companies; total mortgages; asset,Private pension funds; total mortgages; asset,State and local government employee defined benefit retirement funds; total mortgages; asset,Government-sponsored enterprises; total mortgages; asset,Government-sponsored enterprises; total mortgages held by Fannie Mae (includes all GSEs before 2000:Q4); asset,Government-sponsored enterprises; total mortgages held by Freddie Mac; asset,Government-sponsored enterprises; total mortgages held by Farm Credit System; asset,Government-sponsored enterprises; total mortgages held by FHLB; asset,Government-sponsored enterprises; farm mortgages held by Farmer Mac; asset,Agency-and GSE-backed mortgage pools; total mortgages; asset,Agency-and GSE-backed mortgage pools; total mortgages held in a Ginnie Mae pool; asset,Agency-and GSE-backed mortgage pools; total mortgages held in a Freddie Mac pool; asset,Agency-and GSE-backed mortgage pools; total mortgages held in a Fannie Mae pool; asset,Agency-and GSE-backed mortgage pools; farm mortgages held in a Farmer Mac pool; asset,Agency-and GSE-backed mortgage pools; total mortgages held in a Federal Farmers Home Administration (FmHA) pool, excluding one-to-four-family residential mortgages held by the Federal Financing Bank; asset,Issuers of asset-backed securities; total mortgages; asset,Finance companies; total mortgages; asset,Real estate investment trusts; total mortgages; asset
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,56568,33422,6662,11196,5288,56568,34143,22425,11535,10890,0,0,56568,16268,30,0,991,718,266,0,0,7,104,27080,26694,0,84,302,76,10833,62,35,872,0,0,872,0,0,4,0,0,4,0,0,0,213,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,62679,37406,7829,11865,5579,62679,38372,24307,12181,12126,0,0,62679,16993,24,0,1108,828,253,23,0,4,185,30036,29598,0,93,345,93,12906,82,52,905,0,0,905,0,0,7,0,0,7,0,0,0,288,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,73108,45250,9301,12486,6071,73108,46516,26592,12634,13958,0,0,73108,17689,23,0,1675,1347,259,30,0,39,237,35663,35147,0,114,402,104,16102,102,75,952,0,0,952,0,0,32,0,0,32,0,0,0,454,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,82573,51792,10642,13488,6651,82573,53361,29212,13229,15983,0,0,82573,18623,26,0,2303,1850,248,49,0,156,306,40249,39702,0,142,405,118,19314,120,105,1010,0,0,1010,0,0,43,0,0,43,0,0,0,356,0
1952:Q1,84413,53066,10820,13713,6814,84413,54685,29728,13385,16343,0,0,84413,18652,27,0,2566,2043,298,53,0,172,334,41037,40535,0,145,357,120,19889,126,113,1028,0,0,1028,0,0,45,0,0,45,0,0,0,476,0
1952:Q2,86783,54798,11037,13927,7021,86783,56493,30290,13260,17030,0,0,86783,18913,28,0,2603,2058,307,58,0,180,359,42550,42000,0,146,404,121,20349,133,122,1046,0,0,1046,0,0,47,0,0,47,0,0,0,512,0
1952:Q3,89210,56640,11275,14161,7134,89210,58411,30799,13251,17548,0,0,89210,19126,29,0,2670,2088,318,61,0,203,385,44106,43599,0,147,360,122,20812,141,131,1068,0,0,1068,0,0,50,0,0,50,0,0,0,570,0
1952:Q4,91530,58416,11481,14397,7236,91530,60252,31278,13464,17814,0,0,91530,19289,30,0,2863,2242,328,65,0,228,409,45533,44996,0,147,390,123,21251,149,141,1091,0,0,1091,0,0,53,0,0,53,0,0,0,598,0
1953:Q1,93649,60006,11587,14660,7396,93649,61919,31730,13756,17974,0,0,93649,19619,31,0,3051,2394,333,73,0,251,430,46691,46148,0,148,395,125,21741,159,152,1114,0,0,1114,0,0,55,0,0,55,0,0,0,481,0
1953:Q2,96517,62225,11766,14939,7587,96517,64212,32305,13696,18609,0,0,96517,19886,32,0,3199,2498,338,81,0,282,451,48496,47918,0,150,428,129,22253,170,163,1136,0,0,1136,0,0,56,0,0,56,0,0,0,546,0
1953:Q3,99018,64205,11934,15212,7667,99018,66255,32763,13761,19002,0,0,99018,20020,32,0,3288,2541,344,90,0,313,471,50102,49565,0,151,386,134,22736,181,175,1158,0,0,1158,0,0,58,0,0,58,0,0,0,663,0
1953:Q4,101360,65938,12121,15564,7737,101360,68070,33290,14142,19148,0,0,101360,20285,32,0,3258,2463,350,97,0,348,492,51588,51054,0,151,383,139,23322,192,188,1180,0,0,1180,0,0,60,0,0,60,0,0,0,624,0
1954:Q1,103321,67351,12174,15880,7916,103321,69575,33746,14418,19328,0,0,103321,20492,32,0,3190,2366,352,104,0,368,514,52803,52291,0,151,361,143,23817,203,202,1211,0,0,1211,0,0,61,0,0,61,0,0,0,653,0
1954:Q2,106366,69614,12312,16324,8116,106366,71936,34430,14285,20145,0,0,106366,20817,32,0,3179,2302,354,111,0,412,538,54804,54197,0,151,456,145,24432,213,217,1242,0,0,1242,0,0,62,0,0,62,0,0,0,685,0
1954:Q3,109757,72336,12452,16782,8187,109757,74733,35024,14216,20808,0,0,109757,21107,32,0,3316,2406,366,117,0,427,561,56946,56379,0,151,416,145,25083,224,233,1262,0,0,1262,0,0,70,0,0,70,0,0,0,778,0
1954:Q4,113580,75356,12665,17313,8246,113580,77768,35812,14636,21176,0,0,113580,21423,33,0,3425,2476,377,124,0,448,582,59307,58747,0,153,407,143,25976,238,249,1281,0,0,1281,0,0,78,0,0,78,0,0,0,845,0
1955:Q1,117256,78237,12782,17765,8472,117256,80678,36578,14935,21643,0,0,117256,21796,36,0,3457,2553,287,136,0,481,599,61560,60895,0,160,505,144,26768,255,266,1344,0,0,1344,0,0,86,0,0,86,0,0,0,945,0
1955:Q2,121656,81697,12989,18263,8707,121656,83992,37664,15128,22536,0,0,121656,22089,40,0,3551,2599,282,148,0,522,613,64516,63802,0,171,543,146,27518,274,283,1417,9,0,1408,0,0,95,0,0,95,0,0,0,1114,0
1955:Q3,125896,85032,13179,18819,8866,125896,87294,38602,15355,23247,0,0,125896,22315,44,0,3572,2575,279,160,0,558,626,67369,66661,0,182,526,149,28277,296,301,1483,30,0,1453,0,0,105,0,0,105,0,0,0,1359,0
1955:Q4,129823,87936,13490,19375,9022,129823,90102,39721,16195,23526,0,0,129823,22725,47,0,3622,2569,279,173,0,601,641,69481,68766,0,191,524,152,29445,321,318,1583,86,0,1497,0,0,116,0,0,116,0,0,0,1372,0
1956:Q1,133258,90356,13657,19954,9291,133258,92794,40464,16428,24036,0,0,133258,23199,49,0,3625,2541,280,183,0,621,657,71353,70634,0,197,522,156,30396,349,336,1724,157,0,1567,0,0,127,0,0,127,0,0,0,1287,0
1956:Q2,137325,93327,13827,20582,9589,137325,95896,41429,16531,24898,0,0,137325,23674,50,0,3634,2510,281,193,0,650,671,73822,72972,0,201,649,159,31292,381,352,1872,234,0,1638,0,0,138,0,0,138,0,0,0,1280,0
1956:Q3,141104,96174,13972,21199,9759,141104,98961,42143,16614,25529,0,0,141104,23976,51,0,3631,2468,289,203,0,671,690,76157,75357,0,204,596,161,32112,415,371,2041,352,0,1689,0,0,143,0,0,143,0,0,0,1356,0
1956:Q4,144447,98745,14064,21803,9835,144447,101606,42841,17126,25715,0,0,144447,24327,54,0,3644,2437,295,213,0,699,721,77900,77098,0,209,593,161,32989,449,395,2390,649,0,1741,0,0,149,0,0,149,0,0,0,1268,0
1957:Q1,147290,100851,14085,22321,10033,147290,103729,43561,17628,25933,0,0,147290,24871,58,0,3695,2417,318,222,0,738,762,79108,78216,0,214,678,161,33679,482,425,2835,1031,0,1804,0,0,157,0,0,157,0,0,0,1057,0
1957:Q2,150246,103039,14182,22794,10231,150246,105962,44284,17697,26587,0,0,150246,25333,63,0,3737,2395,311,231,0,800,814,80731,79826,0,219,686,161,34181,514,460,3117,1249,0,1868,0,0,166,0,0,166,0,0,0,969,0
1957:Q3,153602,105397,14379,23478,10348,153602,108520,45034,17806,27228,48,0,153602,25843,68,0,3813,2376,334,240,0,863,871,82626,81751,0,224,651,161,34695,547,499,3338,1445,0,1893,0,0,170,0,0,170,0,0,0,971,0
1957:Q4,156641,107374,14611,24259,10397,156641,110630,45915,18437,27478,96,0,156641,26283,72,0,3925,2376,348,249,0,952,923,84249,83428,0,229,592,161,35236,583,540,3553,1636,0,1917,0,0,173,0,0,173,0,0,0,943,0
1958:Q1,159336,108975,15025,24812,10524,159336,112554,46560,18711,27849,222,0,159336,26750,76,0,3993,2393,349,252,0,999,975,85583,84678,0,239,666,161,35693,619,584,3670,1718,0,1952,0,0,175,0,0,175,0,0,0,1057,0
1958:Q2,162909,111142,15517,25496,10754,162909,115001,47561,18935,28626,347,0,162909,27539,80,0,4050,2398,363,255,0,1034,1026,88009,87126,0,252,631,161,36029,655,631,3381,1394,0,1987,0,0,177,0,0,177,0,0,0,1171,0
1958:Q3,167216,114035,16020,26204,10957,167216,117967,48810,19211,29599,439,0,167216,28168,84,0,4103,2397,377,258,0,1071,1079,90969,90039,0,265,665,161,36438,695,681,3370,1333,0,2037,0,0,183,0,0,183,0,0,0,1285,0
1958:Q4,172073,117177,16565,27222,11109,172073,121051,50490,20184,30306,532,0,172073,28887,87,0,4335,2557,396,268,0,1114,1135,93871,92980,0,272,619,160,37062,742,736,3468,1381,0,2087,0,0,190,0,0,190,0,0,0,1400,0
1959:Q1,176185,119935,17132,27761,11357,176185,124053,51551,20206,31345,581,0,176185,29330,74,0,4759,2913,411,274,0,1161,1196,96271,95318,0,230,723,160,37461,796,792,3637,1464,0,2173,0,0,195,0,0,195,0,0,0,1514,0
1959:Q2,181322,123346,17679,28553,11744,181322,127626,53064,20235,32829,632,0,181322,29939,62,0,5183,3255,424,278,0,1226,1263,99673,98755,0,188,730,158,37849,856,847,3834,1574,0,2260,0,0,201,0,0,201,0,0,0,1457,0
1959:Q3,186450,127007,18212,29283,11948,186450,131389,54322,20208,34114,739,0,186450,30314,21,0,5481,3475,442,286,0,1278,1329,103053,102184,0,89,780,155,38413,921,911,4087,1777,0,2310,0,0,202,0,0,202,0,0,0,1563,0
1959:Q4,191128,130099,18700,30228,12101,191128,134472,55809,21009,34800,847,0,191128,30801,21,0,5605,3532,447,312,0,1314,1390,105737,104899,0,86,752,146,39197,989,992,4400,2040,0,2360,0,0,203,0,0,203,0,0,0,1647,0
1960:Q1,194949,132580,19199,30899,12271,194949,137393,56609,20971,35638,947,0,194949,31342,22,0,5529,3403,460,315,0,1351,1442,107732,106715,0,87,930,145,39905,1063,1091,4794,2370,0,2424,0,0,204,0,0,204,0,0,0,1680,0
1960:Q2,199295,135366,19702,31668,12559,199295,140312,57934,21080,36854,1049,0,199295,32110,23,0,5573,3417,463,322,0,1371,1485,110205,109210,0,89,906,145,40518,1145,1209,5087,2600,0,2487,0,0,206,0,0,206,0,0,0,1589,0
1960:Q3,204103,138582,20293,32531,12697,204103,143666,59287,21305,37982,1150,0,204103,32820,24,0,5671,3430,481,337,0,1423,1529,113067,112100,0,92,875,147,41076,1227,1333,5332,2807,0,2525,0,0,204,0,0,204,0,0,0,1673,0
1960:Q4,208409,141378,20786,33407,12838,208409,146590,60567,21825,38742,1252,0,208409,33575,24,0,5800,3439,495,367,0,1499,1582,115478,114531,0,94,853,149,41771,1301,1450,5467,2903,0,2564,0,0,201,0,0,201,0,0,0,1611,0
1961:Q1,212253,143645,21424,34121,13063,212253,148978,61969,21744,40225,1306,0,212253,34425,26,0,5885,3426,510,392,0,1557,1643,117642,116550,0,99,993,153,42321,1369,1564,5416,2770,0,2646,0,0,201,0,0,201,0,0,0,1608,0
1961:Q2,217156,146603,21943,35173,13437,217156,152061,63735,22031,41704,1360,0,217156,35253,28,0,5977,3416,537,407,0,1617,1712,120844,119814,0,104,926,156,42941,1430,1680,5250,2522,0,2728,0,0,200,0,0,200,0,0,0,1685,0
1961:Q3,222791,150179,22790,36085,13737,222791,155783,65591,22266,43325,1417,0,222791,36010,30,0,6108,3406,602,432,0,1668,1783,124457,123331,0,111,1015,157,43381,1491,1793,5384,2606,0,2778,0,0,244,0,0,244,0,0,0,1953,0
1961:Q4,228969,154027,23622,37403,13917,228969,159774,67721,23243,44478,1474,0,228969,36834,33,0,6249,3389,657,457,0,1746,1849,127954,126750,0,121,1083,155,44203,1560,1896,5700,2872,0,2828,0,0,290,0,0,290,0,0,0,2246,0
1962:Q1,233302,156488,24218,38374,14222,233302,162376,69372,23576,45796,1554,0,233302,37377,38,0,6300,3371,652,476,0,1801,1914,130886,129616,0,136,1134,154,44606,1634,1990,5921,3023,0,2898,0,0,312,0,0,312,0,0,0,2170,0
1962:Q2,239432,160237,24937,39584,14674,239432,166291,71506,23993,47513,1635,0,239432,37975,44,0,6295,3324,644,509,0,1818,1979,135484,134234,0,155,1095,150,45119,1713,2074,5839,2871,0,2968,0,0,336,0,0,336,0,0,0,2424,0
1962:Q3,245791,164345,25769,40733,14944,245791,170560,73548,24488,49060,1683,0,245791,38406,50,0,6294,3260,705,525,0,1804,2042,140319,138987,0,174,1158,144,45670,1794,2155,5858,2848,0,3010,0,0,373,0,0,373,0,0,0,2686,0
1962:Q4,252438,168307,26732,42206,15193,252438,174650,76054,25563,50491,1734,0,252438,39006,54,0,6321,3229,739,551,0,1802,2100,144794,143378,0,189,1227,134,46902,1876,2242,5899,2847,0,3052,0,0,413,0,0,413,0,0,0,2697,0
1963:Q1,257443,171352,27382,43148,15561,257443,177898,77786,25950,51836,1759,0,257443,39324,56,0,6272,3121,804,560,0,1787,2154,148895,147367,0,201,1327,131,47527,1957,2331,5654,2529,0,3125,0,0,453,0,0,453,0,0,0,2689,0
1963:Q2,264646,175801,28202,44492,16151,264646,182454,80406,26527,53879,1786,0,264646,40093,56,0,5929,2872,846,581,0,1630,2202,154661,153130,0,210,1321,128,48313,2035,2420,5337,2139,0,3198,0,0,495,0,0,495,0,0,0,2977,0
1963:Q3,272064,180662,28994,45835,16573,272064,187441,82833,27162,55671,1790,0,272064,40319,56,0,5867,2759,885,603,0,1620,2249,160424,158811,0,218,1395,126,49206,2119,2512,5334,2081,0,3253,0,0,509,0,0,508,0,1,0,3343,0
1963:Q4,279256,185106,30024,47304,16822,279256,192045,85415,28236,57179,1796,0,279256,40528,60,0,5922,2711,920,613,0,1678,2297,165536,163823,0,231,1482,121,50544,2220,2612,5361,2052,0,3309,0,0,525,0,0,524,0,1,0,3530,0
1964:Q1,284877,188776,30936,47831,17334,284877,195861,87223,28826,58397,1793,0,284877,40880,65,0,5934,2672,972,582,0,1708,2353,169568,167836,0,246,1486,120,51455,2357,2716,5447,2034,0,3413,0,0,551,0,0,550,0,1,0,3431,0
1964:Q2,292203,193368,32095,48672,18068,292203,200609,89807,29346,60461,1787,0,292203,41158,72,0,5877,2623,1016,544,0,1694,2413,174892,173200,0,264,1428,120,52489,2506,2822,5537,2021,0,3516,0,0,581,0,0,580,0,1,0,3736,0
1964:Q3,299773,198076,33313,49848,18536,299773,205468,92500,30170,62330,1805,0,299773,41613,79,0,5874,2570,1051,510,0,1743,2471,180420,178652,0,283,1485,120,53524,2640,2937,5600,1983,0,3617,0,0,602,0,0,600,0,2,0,3893,0
1964:Q4,307034,202335,34578,51179,18942,307034,209879,95329,31443,63886,1826,0,307034,42098,84,0,5873,2511,1080,493,0,1789,2524,185076,183325,0,301,1450,120,55152,2778,3070,5715,1997,0,3718,0,0,624,0,0,622,0,2,0,3920,0
1965:Q1,312731,205891,35384,51982,19474,312731,213613,97268,32181,65087,1850,0,312731,42175,86,0,5839,2426,1134,495,0,1784,2574,188902,186994,0,319,1589,124,56317,2919,3221,5918,2030,0,3888,0,0,676,0,0,674,0,2,0,3980,0
1965:Q2,320010,210329,36300,53197,20184,320010,218238,99896,32609,67287,1876,0,320010,42480,86,0,5726,2320,1190,475,0,1741,2622,194040,192116,0,338,1586,130,57347,3175,3389,6118,2060,0,4058,0,0,730,0,0,728,0,2,0,4167,0
1965:Q3,327395,215042,37243,54413,20697,327395,223132,102402,33139,69263,1861,0,327395,42391,86,0,5757,2291,1236,472,0,1758,2667,199422,197560,0,357,1505,137,58413,3298,3567,6335,2165,0,4170,0,0,797,0,0,771,0,26,0,4525,0
1965:Q4,334510,219449,38213,55661,21187,334510,227711,104954,34101,70853,1845,0,334510,42611,88,0,5854,2292,1281,491,0,1790,2713,203826,202026,0,374,1426,142,60013,3385,3746,6801,2520,0,4281,0,0,869,0,0,815,0,54,0,4462,0
1966:Q1,341259,223358,39187,57017,21697,341259,231798,107631,34688,72943,1830,0,341259,42600,93,0,6069,2336,1313,572,0,1848,2758,207809,205747,0,390,1672,140,61232,3508,3936,7774,3271,0,4503,0,0,949,0,0,861,0,88,0,4391,0
1966:Q2,348424,227232,40075,58796,22321,348424,235852,110757,35819,74938,1815,0,348424,43427,100,0,6281,2449,1316,583,0,1933,2805,211645,209618,0,404,1623,140,62509,3591,4143,8434,3709,0,4725,0,0,1033,0,0,908,0,125,0,4316,0
1966:Q3,354072,230272,40708,60317,22775,354072,239076,113196,36783,76413,1800,0,354072,43990,108,0,6574,2588,1365,608,0,2013,2848,214451,212531,0,418,1502,140,63565,3710,4344,8919,4078,0,4841,0,0,1167,0,0,975,0,192,0,4256,0
1966:Q4,358537,232742,41275,61468,23052,358537,241702,115052,37691,77361,1783,0,358537,44617,114,0,6891,2739,1433,600,0,2119,2888,216282,214415,0,433,1434,143,64609,3911,4516,9354,4396,0,4958,0,0,1314,0,0,1044,0,270,0,3898,0
1967:Q1,361862,234221,41968,62233,23440,361862,243374,116718,38277,78441,1770,0,361862,44959,115,0,7053,2874,1371,621,0,2187,2922,217434,215551,0,448,1435,171,65469,3991,4681,9732,4601,0,5131,0,0,1480,0,0,1119,0,361,0,3855,0
1967:Q2,367447,237076,42801,63577,23993,367447,246277,119415,38646,80769,1755,0,367447,45344,113,0,7152,3000,1337,613,0,2202,2948,220962,219070,0,464,1428,176,66126,3976,4847,9895,4591,0,5304,0,0,1660,0,0,1197,0,463,0,4248,0
1967:Q3,374765,241547,43748,64924,24546,374765,250946,122081,38941,83140,1738,0,374765,45877,111,0,7465,3178,1394,620,0,2273,2975,225885,223980,0,480,1425,181,66647,4059,4925,10448,4992,0,5456,0,0,1821,0,0,1263,0,558,0,4371,0
1967:Q4,382055,245974,44815,66249,25017,382055,257925,122410,37235,85175,1720,0,382055,46607,112,0,7817,3410,1419,652,0,2336,3003,230316,228438,0,494,1384,185,67516,4083,5003,11131,5522,0,5609,0,0,1988,0,0,1327,0,661,0,4294,0
