1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q3,30687,153,0,0,0,6089,0,3313,15,1838,923,131,49,0,24265,24265,0,30687
1952:Q4,31540,158,0,0,0,6287,0,3374,20,1883,1010,141,56,0,24898,24898,0,31540
1953:Q1,32298,164,0,0,0,6561,0,3465,22,1933,1141,152,59,0,25362,25362,0,32298
1953:Q2,33076,173,0,0,0,6932,0,3655,23,1986,1268,163,63,0,25745,25745,0,33076
1953:Q3,33873,182,0,0,0,7291,0,3830,24,2042,1395,175,68,0,26157,26157,0,33873
1953:Q4,34683,189,0,0,0,7514,0,3860,25,2103,1526,188,75,0,26717,26717,0,34683
1954:Q1,35630,193,0,0,0,7898,0,4043,28,2166,1661,202,82,0,27255,27255,0,35630
1954:Q2,36597,195,0,0,0,8305,0,4234,31,2232,1808,217,84,0,27796,27796,0,36597
1954:Q3,37585,195,0,0,0,8606,0,4310,34,2302,1960,233,89,0,28462,28462,0,37585
1954:Q4,38585,194,0,0,0,8912,0,4383,38,2376,2115,249,99,0,29131,29131,0,38585
1955:Q1,39640,191,0,0,0,9188,0,4438,43,2456,2251,266,113,0,29882,29882,0,39640
1955:Q2,40716,185,0,0,0,9459,0,4478,48,2542,2391,283,148,0,30641,30641,0,40716
1955:Q3,41814,179,0,0,0,9788,0,4566,53,2632,2537,301,180,0,31366,31366,0,41814
1955:Q4,42927,174,0,0,0,10139,0,4666,58,2723,2692,318,200,0,32096,32096,0,42927
1956:Q1,44168,175,0,0,0,10594,0,4879,60,2816,2839,336,217,0,32846,32846,0,44168
1956:Q2,45427,178,0,0,0,10840,0,4903,62,2911,2964,352,201,0,33856,33856,0,45427
1956:Q3,46710,183,0,0,0,11073,0,4929,64,3009,3071,371,189,0,34894,34894,0,46710
1956:Q4,48011,190,0,0,0,11286,0,4944,67,3110,3165,395,200,0,35940,35940,0,48011
1957:Q1,49229,200,0,0,0,11631,0,5061,74,3214,3282,425,215,0,36758,36758,0,49229
1957:Q2,50474,214,0,0,0,11974,0,5114,82,3322,3456,460,277,0,37549,37549,0,50474
1957:Q3,51751,228,0,0,0,12380,0,5147,89,3431,3713,499,294,0,38350,38350,0,51751
1957:Q4,53050,237,0,0,0,12718,0,5058,97,3539,4024,540,300,0,39255,39255,0,53050
1958:Q1,54568,242,0,0,0,13197,0,5104,102,3648,4343,584,320,0,40225,40225,0,54568
1958:Q2,56118,245,0,0,0,13439,0,4950,107,3760,4622,631,340,0,41463,41463,0,56118
1958:Q3,57698,245,0,0,0,13818,0,4960,112,3868,4878,681,365,0,42589,42589,0,57698
1958:Q4,59297,244,0,0,0,14227,0,5021,117,3963,5126,736,400,0,43690,43690,0,59297
1959:Q1,59700,241,0,0,0,14634,0,5102,124,4048,5360,792,415,0,43618,43618,0,59700
1959:Q2,60130,234,0,0,0,14953,0,5126,132,4124,5571,847,453,0,43643,43643,0,60130
1959:Q3,60588,227,0,0,0,15459,0,5350,139,4192,5778,911,460,0,43531,43531,0,60588
1959:Q4,61063,221,0,0,0,15845,0,5462,146,4251,5986,992,500,0,43505,43505,0,61063
1960:Q1,62900,223,0,0,0,16338,0,5663,159,4305,6211,1091,491,0,44757,44757,0,62900
1960:Q2,64759,229,0,0,0,16717,0,5724,171,4356,6466,1209,532,0,46072,46072,0,64759
1960:Q3,66657,236,0,0,0,16998,0,5653,184,4393,6768,1333,521,0,47569,47569,0,66657
1960:Q4,68585,243,0,0,0,17437,0,5711,196,4406,7124,1450,600,0,48855,48855,0,68585
1961:Q1,70496,251,0,0,0,17992,0,5855,214,4399,7524,1564,704,0,49985,49985,0,70496
1961:Q2,72452,260,0,0,0,18435,0,5872,233,4374,7956,1680,735,0,51342,51342,0,72452
1961:Q3,74451,269,0,0,0,18853,0,5865,252,4330,8406,1793,792,0,52744,52744,0,74451
1961:Q4,76481,277,0,0,0,19186,0,5800,271,4263,8852,1896,900,0,54222,54222,0,76481
1962:Q1,76354,285,0,0,0,19830,0,6025,325,4175,9305,1990,931,0,53318,53318,0,76354
1962:Q2,76269,294,0,0,0,20248,0,6075,343,4058,9772,2074,753,0,52900,52900,0,76269
1962:Q3,76229,302,0,0,0,20671,0,6125,380,3930,10236,2155,845,0,52256,52256,0,76229
1962:Q4,76222,307,0,0,0,20969,0,6100,395,3804,10670,2242,1000,0,51704,51704,0,76222
1963:Q1,77898,311,0,0,0,21386,0,6200,387,3682,11117,2331,1122,0,52748,52748,0,77898
1963:Q2,79619,313,0,0,0,22017,0,6475,381,3553,11608,2420,1249,0,53620,53620,0,79619
1963:Q3,81382,314,0,0,0,22492,0,6550,351,3426,12165,2512,1375,0,54689,54689,0,81382
1963:Q4,83170,313,0,0,0,22944,0,6510,347,3304,12783,2612,1500,0,55801,55801,0,83170
1964:Q1,85134,313,0,0,0,23660,0,6725,341,3194,13400,2716,1657,0,56788,56788,0,85134
1964:Q2,87127,313,0,0,0,24387,0,6975,375,3089,13948,2822,1782,0,57823,57823,0,87127
1964:Q3,89174,313,0,0,0,24881,0,7066,369,2991,14455,2937,1906,0,59137,59137,0,89174
1964:Q4,91265,311,0,0,0,25255,0,7030,381,2900,14944,3070,2000,0,60629,60629,0,91265
1965:Q1,93553,311,0,0,0,26054,0,7417,376,2820,15441,3221,2094,0,61873,61873,0,93553
1965:Q2,95906,311,0,0,0,26689,0,7590,381,2748,15970,3389,2074,0,63443,63443,0,95906
1965:Q3,98323,312,0,0,0,27096,0,7351,485,2684,16576,3567,2326,0,65022,65022,0,98323
1965:Q4,100779,317,0,0,0,27515,0,7153,492,2625,17245,3746,2500,0,66701,66701,0,100779
1966:Q1,103634,325,0,0,0,28357,0,7312,502,2579,17964,3936,2580,0,68436,68436,0,103634
1966:Q2,106543,335,0,0,0,28941,0,7046,622,2543,18730,4143,2633,0,70491,70491,0,106543
1966:Q3,109508,349,0,0,0,29837,0,7166,671,2513,19487,4344,2527,0,72451,72451,0,109508
1966:Q4,112513,368,0,0,0,30432,0,7115,652,2481,20184,4516,2800,0,74397,74397,0,112513
1967:Q1,115226,407,0,0,0,30920,0,6800,669,2461,20990,4681,3292,0,75926,75926,0,115226
1967:Q2,118025,415,17,0,0,31595,0,6646,744,2442,21763,4847,3420,0,77731,77731,0,118025
1967:Q3,120929,381,69,0,0,32328,0,6308,759,2424,22837,4925,3740,0,79486,79486,0,120929
1967:Q4,123938,303,161,0,0,33277,0,6165,785,2406,23921,5003,3900,0,81294,81294,0,123938
1968:Q1,128716,365,108,0,0,33818,0,6219,758,2437,24404,5148,3847,0,85430,85430,0,128716
1968:Q2,133608,403,75,0,0,34599,0,6120,1028,2372,25079,5269,4696,0,88566,88566,0,133608
1968:Q3,138637,429,146,0,0,35358,0,6023,1138,2384,25813,5275,5232,0,92197,92197,0,138637
1968:Q4,143769,377,230,0,0,36278,0,5921,1410,2382,26565,5362,5800,0,95722,95722,0,143769
1969:Q1,148983,497,52,0,0,37074,0,5850,1437,2386,27401,5426,6091,0,99843,99843,0,148983
1969:Q2,154319,315,143,0,0,38022,0,5815,1465,2368,28374,5475,6458,0,103906,103906,0,154319
1969:Q3,159780,329,211,0,0,39122,0,5696,1552,2348,29526,5550,6699,0,107869,107869,0,159780
1969:Q4,165340,309,170,0,0,39893,0,5437,1566,2331,30559,5575,7300,0,112093,112093,0,165340
1970:Q1,169943,236,138,0,0,40853,0,5335,1592,2308,31618,5650,7750,0,115316,115316,0,169943
1970:Q2,174698,306,209,0,0,41683,0,5179,1609,2159,32736,5808,6754,0,119938,119938,0,174698
1970:Q3,179623,274,167,0,0,43016,0,5274,1576,2133,34033,5789,8577,0,121800,121800,0,179623
1970:Q4,184703,388,213,0,0,43682,0,5104,1491,2032,35055,5920,10100,0,124400,124400,0,184703
1971:Q1,193326,352,233,0,0,44608,0,4880,1414,2040,36274,6019,12058,0,130056,130056,0,193326
1971:Q2,202162,420,180,0,0,45366,0,4426,1400,2042,37498,6170,12798,0,137228,137228,0,202162
1971:Q3,211224,450,174,0,0,46005,0,4371,1448,2050,38136,6178,13942,0,144475,144475,0,211224
1971:Q4,220474,548,148,0,0,46588,0,3896,1544,2152,38996,6288,15400,0,151502,151502,0,220474
1972:Q1,230735,703,39,0,0,47648,0,3633,1668,2229,40118,6309,17456,0,158580,158580,0,230735
1972:Q2,241176,747,33,0,0,48708,0,3723,1800,2466,40719,6257,18513,0,166918,166918,0,241176
1972:Q3,251843,723,65,0,0,49785,0,3643,1944,2123,42075,6340,19828,0,175102,175102,0,251843
1972:Q4,262677,767,191,0,0,50958,0,3597,2105,2029,43227,6470,22200,0,182091,182091,0,262677
1973:Q1,263742,612,304,0,0,52185,0,3687,2284,1622,44592,6632,21487,0,182522,182522,0,263742
1973:Q2,265008,664,429,0,0,53471,0,3460,2480,1536,45995,6821,20326,0,183297,183297,0,265008
1973:Q3,266472,600,660,0,0,54945,0,3028,2840,1650,47427,6888,22451,0,180928,180928,0,266472
1973:Q4,268073,544,800,0,0,55970,0,2508,3334,1691,48437,7141,20200,0,183418,183418,0,268073
1974:Q1,275895,359,887,0,0,57235,0,1840,3817,1845,49733,7277,21039,0,189098,189098,0,275995
1974:Q2,284028,305,1183,0,0,58908,0,1886,4145,1444,51433,7330,19295,0,197007,197007,0,284137
1974:Q3,292410,270,1373,0,0,60758,0,1515,4401,1248,53594,7423,14477,0,208109,208109,0,292529
1974:Q4,301001,254,1543,0,0,61684,0,1585,4583,983,54533,7702,16400,0,213418,213418,0,301131
1975:Q1,310055,317,1811,0,0,63492,0,1559,4719,789,56425,7705,20263,0,216467,216467,0,310199
1975:Q2,319353,332,1688,0,0,65872,0,2215,4836,728,58093,7810,24371,0,219280,219280,0,319510
1975:Q3,328849,296,1342,0,0,67748,0,2548,5045,906,59249,7875,22267,0,229321,229321,0,329018
1975:Q4,338425,275,1171,0,0,70714,0,2540,5254,1940,60980,7542,24300,0,234423,234423,0,338607
1976:Q1,339424,265,1065,0,0,73056,0,3058,5536,2193,62269,7543,28204,0,229291,229291,0,339620
