1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,39909,21104,7042,-1199,11937,563,0,23064,5142,30962,22748,8486,-272,-25820,8027,34,1637,0,0,0,922,-53,783,0,192,627,3,624,0,0,3381,465,961,0,33847,31637,3356,62,0,3294,5073,4209,269,595,-378,4476,-26,19136,0,3695,15441,2210,2107,103,17922,8461
1952:Q1,8914,4557,1665,318,3178,183,0,6371,3669,6885,6048,898,-61,-3216,-1836,-7,-1348,0,0,0,-762,48,-791,0,-19,-1625,1,-1626,0,0,1470,378,58,0,1380,764,1140,59,0,1081,-241,-267,-130,156,-1955,-1725,12,3533,139,-49,3444,616,573,43,2702,697
1952:Q2,8370,4244,1809,289,3260,195,0,6061,2113,5381,6240,-798,-61,-3268,-38,18,1339,0,0,0,-1270,294,-1227,0,-337,556,1,555,0,0,-1180,584,-85,0,3230,2511,1446,-24,0,1470,-444,-422,104,-126,-2134,-2202,14,5831,6,693,5132,719,664,55,3948,-485
1952:Q3,8359,4209,1764,175,3360,192,0,6113,7319,6543,5797,810,-63,776,5288,-4,548,0,0,0,452,-21,383,0,90,104,1,103,0,0,3747,298,143,0,4512,4085,1169,42,0,1127,587,461,136,-10,2526,628,9,-834,6,854,-1694,427,390,37,-1207,623
1952:Q4,9335,4667,1815,199,3478,194,0,6724,14616,7352,6272,1147,-67,7264,2004,-23,243,0,0,0,648,-216,629,0,235,805,1,804,0,0,-135,-450,916,0,-5260,-5892,1012,-15,0,1027,1558,1024,321,213,2324,143,-11,-10918,9,894,-11821,632,693,-61,-7892,822
1953:Q1,9836,4941,1712,-108,3614,180,0,6868,11241,7255,6588,745,-77,3986,-1630,27,-3052,0,0,0,586,17,517,0,52,-670,1,-671,0,0,962,374,143,0,-5616,-6202,799,39,0,760,608,97,219,292,-1989,-1374,17,-4263,7,871,-5140,586,518,68,-4373,567
1953:Q2,9846,4959,1860,-399,3739,165,0,6532,16776,7606,6680,1008,-82,9170,623,-28,2121,0,0,0,-1660,-18,-1710,0,68,366,1,365,0,0,-702,423,103,0,-8547,-9111,940,-73,0,1013,-392,-366,34,-60,319,-806,6,-9178,8,853,-10039,564,545,19,-10245,1239
1953:Q3,9596,4817,1854,-501,3853,155,0,6431,11412,7156,6846,395,-84,4256,3996,11,155,0,0,0,1886,20,1778,0,88,-80,0,-80,0,0,1435,366,223,0,-260,-638,580,50,0,530,404,290,49,65,815,2198,17,-4652,7,821,-5480,378,315,63,-4981,880
1953:Q4,7227,3652,1817,11,3954,142,0,5865,-11065,5706,6761,-969,-86,-16771,48,29,685,0,0,0,982,-10,1008,0,-16,644,0,644,0,0,-2540,-485,733,0,16819,16506,1267,55,0,1212,-354,-583,-151,380,578,587,-9,14437,9,763,13665,313,388,-75,16930,-17
1954:Q1,7786,3580,1893,-3,4045,124,0,6479,-5030,5929,6672,-663,-79,-10959,-4276,1,-2844,50,0,0,-1287,108,-1353,0,-42,-888,0,-888,0,0,258,296,138,0,6683,5891,900,123,0,777,15,-323,61,277,-2646,-3646,14,11254,8,646,10601,792,737,55,11508,-425
