1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,2077,2186,0,-110,10,-20,18,-7,9669,9669,0,-7592
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,922,775,0,48,73,0,27,-1,8415,8415,0,-7493
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,-2089,-2302,0,44,100,45,21,3,5434,5434,0,-7523
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,7415,7255,0,117,-55,29,65,4,15798,15798,0,-8383
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,843,973,0,-181,4,22,15,10,1430,1400,30,-587
1961:Q4,1417,1624,0,-206,-3,7,3,-8,1908,1838,70,-491
1962:Q1,-42,-358,0,131,24,109,49,3,-1214,-1208,-6,1172
1962:Q2,-13,85,0,33,-16,-66,-21,-28,-775,-780,5,762
1962:Q3,1300,995,0,233,8,42,27,-5,1149,1131,18,151
1962:Q4,391,359,0,99,-8,-31,-23,-5,1365,1355,10,-974
1963:Q1,-503,-759,0,103,-22,173,-10,12,-1365,-1363,-2,862
1963:Q2,-383,147,0,-298,-29,-161,-42,0,-349,-366,17,-34
1963:Q3,1006,970,0,-20,30,-9,23,12,1755,1731,24,-749
1963:Q4,870,1031,0,-153,-1,-9,-3,5,1760,1721,39,-890
1964:Q1,-281,-635,0,200,-15,104,66,-1,-1405,-1463,58,1124
1964:Q2,-673,-434,0,-68,-16,-64,-85,-6,-994,-1051,57,321
1964:Q3,731,663,0,40,-12,82,-50,8,1382,1415,-33,-651
1964:Q4,897,873,0,49,-12,-4,-11,2,1270,1308,-38,-373
1965:Q1,-421,-320,0,-166,30,14,14,7,-1180,-1150,-30,759
1965:Q2,-756,-575,0,-91,-3,-83,-1,-3,-1296,-1386,90,540
1965:Q3,1243,1013,0,106,18,51,37,18,1639,1643,-4,-396
1965:Q4,2044,1965,0,22,11,-2,37,11,2145,2124,21,-101
1966:Q1,182,-162,0,256,8,104,-32,8,-751,-792,41,933
1966:Q2,-3152,-2538,0,-438,-17,-99,-43,-17,-3728,-3753,25,576
1966:Q3,1026,968,0,-11,8,29,24,8,1460,1541,-81,-434
1966:Q4,1019,852,0,118,3,26,17,3,1593,1573,20,-574
1967:Q1,-232,-684,0,166,79,211,-42,38,-1025,-1059,34,793
1967:Q2,-6242,-5434,0,-339,-73,-322,-50,-24,-7544,-7586,42,1302
1967:Q3,748,570,0,81,-1,31,31,36,1468,1514,-46,-720
1967:Q4,1344,1359,0,8,-3,-31,5,6,2089,1994,95,-745
1968:Q1,4740,4442,0,13,30,162,43,50,2607,2484,123,2133
1968:Q2,-4931,-4636,0,-98,-36,-90,-64,-7,-3947,-3991,44,-984
1968:Q3,137,-101,0,102,24,76,5,31,543,595,-52,-406
1968:Q4,1319,1400,0,-44,-40,14,15,-26,1816,1746,70,-497
1969:Q1,1592,1187,0,154,32,163,46,10,1579,1504,75,13
1969:Q2,-3744,-3297,0,-156,-6,-170,-50,-65,-6514,-6559,45,2770
1969:Q3,579,287,0,120,43,87,23,19,819,914,-95,-240
1969:Q4,57,121,0,-34,-18,-25,29,-16,924,939,-15,-867
1970:Q1,886,218,0,439,46,186,25,-28,973,921,52,-87
1970:Q2,-3374,-2792,0,-286,-47,-198,-40,-11,-6074,-6117,43,2700
