1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,-11713,-20736,0,461,223,2382,0,-13,83,263,2188,445,1218,0,911,0,862,3839,299,0,0,0,177,1808,0,218,0,0,564,441,0,0,0,0,104,307,0,-79,0,0,-15552
1952:Q1,-10385,-19489,0,418,43,2577,-230,-13,90,263,2236,414,1351,0,901,0,1054,4474,326,0,0,31,206,1903,32,220,0,0,589,603,0,0,0,0,216,427,0,-79,0,0,-14859
1952:Q2,-10545,-19833,0,367,142,2670,-220,-13,99,264,2349,298,1474,0,900,0,958,4628,211,0,0,128,233,1950,48,222,0,0,611,631,0,0,0,0,218,458,0,-82,0,0,-15173
1952:Q3,-10869,-20508,0,333,-29,2954,-219,-12,109,265,2437,260,1574,0,860,0,1107,5137,324,0,0,244,307,2061,39,224,0,0,631,657,0,0,0,0,222,514,0,-86,0,0,-16006
1952:Q4,-12016,-21281,0,275,285,2771,-229,-12,119,279,1885,266,1671,0,849,0,1106,5160,326,0,0,361,207,2169,28,227,0,0,645,672,0,0,0,0,81,537,0,-93,0,0,-17176
1953:Q1,-12662,-22368,0,266,201,2992,-247,-12,126,279,1955,322,1645,0,839,0,1340,5230,438,0,0,245,224,1988,218,226,0,0,658,682,0,0,0,0,229,419,0,-97,0,0,-17892
1953:Q2,-13142,-22925,0,251,58,3098,-223,-13,137,280,2007,299,1788,0,828,0,1273,5091,508,0,0,136,148,2142,-20,222,0,0,666,683,0,0,0,0,228,479,0,-101,0,0,-18233
1953:Q3,-12893,-23549,0,263,229,3464,-224,-13,148,281,2017,308,1919,0,817,0,1447,5585,700,0,0,273,244,2100,-36,221,0,0,675,685,0,0,0,0,233,595,0,-105,0,0,-18478
1953:Q4,-14218,-24270,0,226,342,2909,-229,-13,163,290,2022,305,1844,0,819,0,1374,5824,610,0,0,397,205,2405,-62,222,0,0,688,685,0,0,0,0,228,556,0,-110,0,0,-20041
1954:Q1,-14523,-25061,0,232,224,3145,-232,-13,181,291,2154,331,1919,0,808,0,1498,5672,724,0,0,267,219,2158,-28,226,0,0,710,692,0,0,0,0,234,585,0,-115,0,0,-20196
1954:Q2,-14512,-25296,0,216,230,3293,-234,-14,200,292,2292,298,2036,0,807,0,1368,6024,681,0,0,121,150,2662,-6,230,0,0,738,700,0,0,0,0,252,616,0,-120,0,0,-20537
1954:Q3,-14137,-25471,0,250,149,3794,-240,-13,218,293,2324,290,2101,0,796,0,1372,6506,745,0,0,212,232,2775,14,236,0,0,766,710,0,0,0,0,233,708,0,-125,0,0,-20643
1954:Q4,-14427,-25702,0,242,179,3537,-310,-13,239,326,2303,324,2506,0,793,0,1149,6995,632,0,0,315,192,3145,-18,248,0,0,787,730,0,0,0,0,321,773,0,-130,0,0,-21422
1955:Q1,-13870,-26050,0,292,198,3692,-299,-13,253,327,2299,323,2860,0,792,0,1456,6929,771,0,0,213,199,2893,-1,250,0,0,800,762,0,0,0,0,306,872,0,-136,0,0,-20800
