1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q4,4787,-483,5713,683,51,-825,62,-51,2,0,21,-92,-216,-94,3,0,-407,-4,3,-52,-351
1955:Q1,-4227,-5503,5659,-6281,855,665,-46,133,1,0,13,84,63,-25,1,0,514,-11,1,-62,379
1955:Q2,22336,2842,23772,-4685,-290,119,-5,110,2,1,17,-24,225,-8,2,0,-122,-12,2,-67,577
1955:Q3,12419,-3995,16878,-63,30,-358,-13,112,1,1,17,-104,25,-26,-4,0,-281,-13,1,-73,-74
1955:Q4,7022,-865,7702,867,-358,-134,65,214,2,0,19,-53,-11,-149,3,0,-134,-13,2,-78,-192
1956:Q1,8077,-6070,17767,-5038,781,606,-86,256,3,-1,22,84,264,-54,-2,0,231,-10,6,-106,31
1956:Q2,-13360,790,-9237,-4773,-265,8,-6,-3,2,1,22,3,58,-10,6,0,48,-10,5,-109,117
1956:Q3,-9897,-3755,-5739,-358,218,-89,-11,155,3,-1,23,-124,-43,-23,-3,0,54,-11,4,-113,-174
1956:Q4,23959,-701,23974,951,-96,-88,104,600,0,0,25,-102,-61,-175,7,0,-371,-11,10,-113,-81
1957:Q1,-24353,-6416,-14828,-5270,1184,944,-120,327,2,0,24,76,180,-76,-20,0,635,-7,6,-82,33
1957:Q2,15390,-58,18684,-3572,-63,90,-5,137,3,0,27,82,117,-9,9,0,-186,-7,5,-81,311
1957:Q3,-33481,-4422,-28010,-1412,390,29,76,134,1,0,28,-76,-17,-8,-3,0,-20,-7,3,-82,-56
1957:Q4,3526,-530,5049,-425,15,-189,51,167,1,-1,35,-138,68,-142,3,0,-142,-6,-7,-77,-395
1958:Q1,3691,-7272,14608,-4747,1090,178,-48,-77,1,-1,36,70,186,-69,0,0,154,-6,5,-72,-167
1958:Q2,16134,1924,17930,-3151,-356,-86,5,-63,2,0,35,76,294,20,7,0,-398,-5,5,-65,-127
1958:Q3,26262,-5003,32334,-751,138,-89,38,-77,2,0,34,-118,66,12,-8,0,21,-4,6,-61,-367
1958:Q4,17067,-152,17728,-260,318,-37,55,428,1,-1,37,-124,-248,-152,-2,0,31,-5,7,-64,-530
1959:Q1,3710,-3798,8069,-2340,1188,634,-15,302,1,0,29,37,156,30,-6,0,172,-11,-4,-58,-44
1959:Q2,14053,2660,14590,-2368,-414,-96,-157,49,1,1,29,17,12,27,13,0,-14,-12,0,-63,-318
1959:Q3,-11909,-4188,-7847,-1001,1239,545,-93,81,1,0,28,-98,323,33,-8,0,357,-12,1,-68,-656
1959:Q4,29036,-210,25794,4257,-296,381,247,147,2,-1,32,-180,170,47,4,0,-13,-12,6,-68,-889
1960:Q1,-29123,-6530,-22306,-1278,623,333,-86,166,1,-2,34,-108,415,37,-5,0,-14,-8,-1,-95,35
1960:Q2,10221,2572,11104,-2510,-420,-380,14,-178,2,-2,33,-33,221,12,12,0,-355,-8,1,-98,-146
1960:Q3,-31165,-3412,-26962,416,813,-285,7,3,2,-1,26,25,-64,-15,-9,0,-156,-8,1,-96,-1735
1960:Q4,51588,-1420,49622,3933,-58,-623,65,-361,3,-2,26,73,-380,38,6,0,8,-8,8,-98,133
1961:Q1,43698,-786,44735,-550,1102,318,-66,195,4,-2,27,41,-80,30,-5,0,294,-9,-3,-108,-1121
1961:Q2,-2948,458,-355,-1828,-913,-640,5,-458,4,-1,27,7,90,2,17,0,-210,-9,-6,-107,328
1961:Q3,10129,-1860,12123,-399,569,116,11,-48,0,-1,24,-9,172,-11,-2,0,103,-9,-8,-107,-421
1961:Q4,20186,-548,18105,4241,-204,-1114,44,-321,1,0,22,-109,-70,11,7,0,-563,-10,-17,-109,-295
1962:Q1,-2383,-2304,-63,-1187,1145,425,-79,535,-2,-2,14,-133,158,18,-14,0,49,-9,-6,-106,-399
1962:Q2,1446,3563,2082,-3847,-412,30,1,-116,-1,-2,12,-289,64,-8,32,0,464,-8,-6,-112,30
1962:Q3,-2433,-2168,1433,-722,224,407,2,292,3,-1,6,-277,17,16,-39,0,518,-9,-7,-115,-1607
1962:Q4,7314,-1026,3985,5547,49,-806,62,-455,1,0,5,-181,-225,53,-2,0,51,-8,4,-111,-435
1963:Q1,1694,-1928,3279,-211,463,328,-82,434,8,-2,3,-65,186,22,-11,0,-42,-9,-6,-108,-238
1963:Q2,949,2137,2238,-3297,-325,447,3,-218,4,-1,-4,112,199,11,-12,0,489,-10,-12,-117,-251
1963:Q3,-1458,-2543,2110,-673,148,854,-4,621,4,0,-4,184,-86,8,-10,0,284,-11,-13,-120,-1354
1963:Q4,8547,-2573,6866,4791,-70,-407,71,-69,-2,0,-4,6,-157,-16,-7,0,-73,-10,-21,-126,-60
1964:Q1,-4079,-3183,1725,-2430,950,-620,-233,215,2,-5,-15,-32,128,-51,-22,0,-450,-12,-20,-125,-522
1964:Q2,1307,2013,3595,-3610,-387,113,-130,-376,1,-6,-13,31,156,-69,10,0,671,-14,-17,-131,-418
1964:Q3,-6666,-6691,1974,-698,487,-183,-130,435,-11,-1,-13,61,-6,-70,-13,0,-267,-15,-18,-136,-1556
1964:Q4,11843,-2122,8991,5693,-492,125,478,-342,135,-3,-11,90,-351,-83,-7,0,389,-15,-19,-138,-351
