1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3595,3534,-20,0,81,3595,3479,0,0,0,-9,159,-16,0,0,0,0,-16,0,-18
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2543,2457,-7,0,93,2543,2201,0,0,0,6,271,44,0,0,0,0,44,0,21
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2981,2860,23,0,98,2981,2594,0,0,0,65,152,28,0,0,0,0,28,0,142
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2743,2574,20,0,149,2743,2365,0,0,0,8,101,42,0,0,0,0,42,0,227
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q2,3549,3458,-19,0,110,3549,3523,0,0,0,-14,139,32,30,0,0,0,2,0,-131
1957:Q3,1955,1891,-21,0,85,1955,1887,0,0,0,14,19,34,31,0,0,0,3,0,1
1957:Q4,3264,3099,-12,0,177,3264,3295,0,0,0,-39,41,33,32,0,0,0,1,0,-66
1958:Q1,5684,5596,-11,0,99,5684,3538,550,550,0,-31,650,37,34,0,0,0,3,0,940
1958:Q2,5453,5343,-2,0,112,5453,4130,550,550,0,4,681,37,35,0,0,0,2,0,51
1958:Q3,2468,2383,-2,0,87,2468,2873,-100,-100,0,26,-379,38,36,0,0,0,2,0,10
1958:Q4,3257,3070,-3,0,190,3257,3558,-100,-100,0,27,-146,38,38,0,0,0,0,0,-120
1959:Q1,2149,2037,5,0,107,2149,2175,-100,-100,0,-7,0,51,39,0,0,0,12,0,30
1959:Q2,3420,3283,7,0,130,3420,3759,-100,-100,0,11,58,52,40,0,0,0,12,0,-360
1959:Q3,1267,1156,7,0,104,1267,2003,-100,-100,0,-11,-470,56,42,0,0,0,14,0,-211
1959:Q4,2219,1991,7,0,221,2219,2591,-100,-100,0,-35,2,59,44,0,0,0,15,0,-298
1960:Q1,1878,1763,9,0,106,1878,1997,-232,-232,0,-5,169,49,45,0,0,0,4,0,-100
1960:Q2,4043,3910,9,0,124,4043,3634,-181,-181,0,10,400,52,48,0,0,0,4,0,128
1960:Q3,3936,3844,11,0,81,3936,3125,259,259,0,-10,288,55,49,0,0,0,6,0,219
1960:Q4,5432,5194,11,0,227,5432,3180,1654,1654,0,-18,521,58,50,0,0,0,8,0,37
1961:Q1,5545,5409,11,0,125,5545,5240,272,272,0,38,326,65,53,0,0,0,12,0,-396
1961:Q2,6589,6432,12,0,145,6589,5395,591,591,0,-12,383,67,55,0,0,0,12,0,165
1961:Q3,3712,3586,13,0,113,3712,2637,743,743,0,12,-24,69,57,0,0,0,12,0,275
1961:Q4,4893,4612,7,0,274,4893,5112,-506,-506,0,-16,223,72,59,0,0,0,13,0,8
1962:Q1,8344,8177,4,0,163,8344,6359,1295,1295,0,6,622,69,62,0,0,0,7,0,-7
1962:Q2,7457,7321,0,0,136,7457,6876,159,159,0,10,254,71,63,0,0,0,8,0,87
1962:Q3,4649,4541,-1,0,109,4649,5343,-651,-651,0,-30,-226,75,67,0,0,0,8,0,138
1962:Q4,8192,7908,2,0,282,8192,7405,97,97,0,-1,335,76,68,0,0,0,8,0,280
1963:Q1,8585,8385,13,0,187,8585,6937,344,344,0,-9,859,61,72,0,0,0,-11,0,393
1963:Q2,7431,7242,17,0,172,7431,7265,-184,-184,0,-6,157,62,74,0,0,0,-12,0,137
