1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,66633,1085,0,0,39647,0,11034,0,1142,27471,21904,2590,19314,2221,0,0,0,0,126,1650,0,1086,0,564,63221,0,0,0,51635,6575,133,59,4819,0,0,2631,0,2188,228,0,58547,0,0,0
1952:Q1,67779,1015,0,0,40192,0,10818,0,1133,28241,22516,2627,19889,2236,0,0,0,0,126,1694,0,1105,0,589,64292,0,0,0,52288,6845,165,59,4935,0,0,2699,0,2236,228,0,59486,0,0,0
1952:Q2,68730,1077,0,0,40480,0,10363,0,1123,28994,23010,2661,20349,2301,0,0,0,0,128,1734,0,1123,0,611,65428,0,0,0,52976,7129,148,59,5116,0,0,2767,0,2349,229,0,60473,0,0,0
1952:Q3,70039,1065,0,0,41317,0,10455,0,1163,29699,23509,2697,20812,2245,0,0,0,0,130,1773,0,1142,0,631,66618,0,0,0,53707,7417,159,60,5275,0,0,2838,0,2437,229,0,61507,0,0,0
1952:Q4,71472,1146,0,0,41974,0,10252,0,1153,30569,23964,2713,21251,2446,0,0,0,0,135,1807,0,1162,0,645,67837,0,0,0,54480,7700,149,63,5445,0,0,3560,0,1885,241,0,62579,0,0,0
1953:Q1,72555,990,0,0,42691,0,10120,0,1203,31368,24499,2758,21741,2396,0,0,0,0,137,1842,0,1184,0,658,69035,0,0,0,55246,7980,139,63,5607,0,0,3652,0,1955,242,0,63642,0,0,0
1953:Q2,73669,948,0,0,43255,0,10090,0,1218,31947,25059,2806,22253,2395,0,0,0,0,139,1873,0,1207,0,666,70194,0,0,0,55988,8259,125,63,5759,0,0,3752,0,2007,244,0,64682,0,0,0
1953:Q3,74822,1030,0,0,43746,0,9987,0,1258,32501,25586,2850,22736,2413,0,0,0,0,141,1906,0,1231,0,675,71334,0,0,0,56701,8539,160,64,5870,0,0,3853,0,2017,245,0,65694,0,0,0
1953:Q4,76513,1215,0,0,44402,0,9829,0,1298,33275,26236,2914,23322,2573,0,0,0,0,145,1942,0,1254,0,688,72482,0,0,0,57388,8825,231,65,5973,0,0,3951,0,2022,252,0,66683,0,0,0
1954:Q1,77851,1060,0,0,45097,0,9720,0,1463,33914,26789,2972,23817,2773,0,0,0,0,147,1985,0,1275,0,710,73655,0,0,0,58093,9113,185,66,6198,0,0,4044,0,2154,253,0,67689,0,0,0
