1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q3,243498,1435,0,0,103134,4100,3466,909,3396,91263,98784,19597,79187,27955,425,0,0,0,668,11097,0,6278,0,4819,226539,0,0,0,141728,55084,873,160,28694,0,0,19255,0,9439,615,0,201465,0,0,0
1973:Q4,244626,2070,0,0,103077,3004,3444,884,3412,92333,101568,20199,81369,25448,470,0,0,0,683,11310,0,6376,0,4934,229933,0,0,0,143515,56089,847,183,29299,0,0,19681,0,9618,705,0,204396,0,0,0
1974:Q1,250251,1493,0,0,106234,4414,3596,932,3485,93807,102823,20643,82180,26889,512,0,0,0,699,11601,0,6530,0,5071,233236,0,0,0,145264,57019,1024,185,29744,0,0,20095,0,9649,711,0,207233,0,0,0
1974:Q2,251210,1451,0,0,106953,3882,3349,937,3577,95208,104530,21305,83225,25073,560,0,0,0,715,11928,0,6715,0,5213,236260,0,0,0,146969,57733,809,171,30578,0,0,20500,0,10078,659,0,209822,0,0,0
1974:Q3,248362,1502,0,0,107782,3874,3327,989,3618,95974,106602,22175,84427,18863,603,0,0,0,732,12278,0,6908,0,5370,239577,0,0,0,148697,58695,885,158,31142,0,0,20915,0,10227,606,0,212686,0,0,0
1974:Q4,254866,1998,0,0,108467,4070,3372,1065,3667,96293,109096,22862,86234,21291,628,0,0,0,749,12637,0,7086,0,5551,243759,0,0,0,150519,60372,835,123,31910,0,0,21351,0,10559,474,0,216353,0,0,0
1975:Q1,263970,1613,0,0,111577,4682,3585,1110,3696,98504,110572,23326,87246,25778,635,0,0,0,766,13029,0,7258,0,5771,248693,0,0,0,152422,62694,990,131,32456,0,0,21814,0,10642,505,0,220745,0,0,0
1975:Q2,271378,1546,0,0,113551,4768,3712,1179,3783,100109,111675,23708,87967,29722,626,0,0,0,784,13474,0,7431,0,6043,254264,0,0,0,154392,65593,757,139,33383,0,0,22309,0,11074,536,0,225786,0,0,0
1975:Q3,272395,1294,0,0,117518,6394,3821,1282,4165,101856,112430,24099,88331,25842,611,0,0,0,802,13898,0,7596,0,6302,260356,0,0,0,156412,68877,812,147,34108,0,0,22803,0,11305,567,0,231256,0,0,0
1975:Q4,279488,1924,0,0,120829,4813,4736,1419,4508,105353,113635,24467,89168,27450,600,0,0,0,820,14230,0,7744,0,6486,266848,0,0,0,158463,72349,745,155,35136,0,0,23261,0,11875,597,0,236927,0,0,0
1976:Q1,289429,1295,155,0,126227,5247,5072,1642,5014,109252,114190,24763,89427,31541,594,0,0,0,839,14588,0,7902,0,6686,273663,0,0,0,160550,76120,938,167,35888,0,0,23818,0,12070,640,0,242944,0,0,0
1976:Q2,295337,1420,89,0,130501,6053,4956,1648,5196,112648,114842,25136,89706,32124,587,0,0,0,859,14915,0,8045,0,6870,281096,0,0,0,162676,80343,735,178,37164,0,0,24394,0,12770,684,0,249452,0,0,0
1976:Q3,302565,1081,99,0,136153,6264,5419,2090,5406,116974,115696,25494,90202,32833,581,0,0,0,879,15243,0,8196,0,7047,288646,0,0,0,164844,84666,863,189,38084,0,0,24972,0,13112,728,0,256099,0,0,0
1976:Q4,310851,1697,305,0,140700,5224,5368,2318,5594,122196,117389,25834,91555,33685,576,0,0,0,899,15600,0,8375,0,7225,295812,0,0,0,167059,88740,878,201,38934,0,0,25543,0,13391,771,0,262542,0,0,0
1977:Q1,315973,956,490,0,146941,6724,5542,2547,5712,126416,118092,26248,91844,31835,578,0,0,0,920,16161,0,8582,0,7579,302913,0,0,0,169307,92446,956,212,39992,0,0,26271,0,13721,815,0,268775,0,0,0
1977:Q2,324362,1119,329,0,152135,6985,5337,2685,5805,131323,119643,26709,92934,32878,584,0,0,0,941,16733,0,8818,0,7915,309795,0,0,0,171572,95847,1060,217,41099,0,0,27088,0,14011,833,0,274791,0,0,0
1977:Q3,331055,1232,324,0,157493,7927,5719,3040,6030,134777,121311,27141,94170,31839,592,0,0,0,963,17301,0,9060,0,8241,316864,0,0,0,173908,99313,1171,221,42251,0,0,27925,0,14326,852,0,280958,0,0,0
1977:Q4,339576,1883,396,0,161167,4896,5315,4002,6051,140903,124405,27556,96849,32299,600,0,0,0,985,17841,0,9284,0,8557,324527,0,0,0,176369,103217,1268,220,43453,0,0,28714,0,14739,846,0,287646,0,0,0
1978:Q1,347418,1123,481,0,168776,7784,5075,4605,6002,145310,125929,28007,97922,31190,605,0,0,0,1019,18295,0,9534,0,8761,332625,0,0,0,178972,107458,1360,225,44610,0,0,29515,0,15095,864,0,294808,0,0,0
1978:Q2,358384,1285,429,0,173710,7462,4924,4895,5943,150486,128478,28616,99862,34051,606,0,0,0,1054,18771,0,9790,0,8981,341152,0,0,0,181734,111959,1457,238,45764,0,0,30318,0,15446,913,0,302392,0,0,0
1978:Q3,371537,1178,571,0,180191,9027,5113,5831,6073,154147,131419,29250,102169,37208,613,0,0,0,1090,19267,0,10059,0,9208,349955,0,0,0,184531,116692,1541,250,46941,0,0,31110,0,15831,963,0,310226,0,0,0
1978:Q4,377998,1857,911,0,182255,6349,4822,6543,6402,158139,136313,30146,106167,35062,637,0,0,0,1128,19835,0,10349,0,9486,358882,0,0,0,187237,121630,1597,263,48155,0,0,31871,0,16284,1013,0,318133,0,0,0
1979:Q1,389860,869,799,0,189063,8080,5357,7121,6090,162415,139492,31165,108327,37316,679,0,0,0,1166,20476,0,10665,0,9811,367965,0,0,0,189887,126736,1630,276,49436,0,0,32641,0,16795,1062,0,326115,0,0,0
1979:Q2,399893,1212,965,0,193773,9041,5204,7988,6089,165451,143109,32139,110970,37698,739,0,0,0,1206,21191,0,11010,0,10181,377225,0,0,0,192517,131964,1645,310,50789,0,0,33402,0,17387,1190,0,334163,0,0,0
1979:Q3,411905,842,1213,0,198462,10126,5150,9023,6240,167923,147170,33061,114109,40247,805,0,0,0,1247,21919,0,11360,0,10559,386707,0,0,0,195111,137504,1638,343,52111,0,0,34132,0,17979,1319,0,342465,0,0,0
1979:Q4,418854,2095,1573,0,198291,7957,4888,9381,6428,169637,153247,34825,118422,38890,865,0,0,0,1290,22603,0,11692,0,10911,396452,0,0,0,197650,143546,1600,394,53262,0,0,34808,0,18454,1514,0,351207,0,0,0
1980:Q1,426475,1063,1510,0,202875,7302,4917,9870,6462,174324,159290,36895,122395,36239,919,0,0,0,1334,23245,0,12003,0,11242,406483,0,0,0,200140,150151,1676,427,54089,0,0,35352,0,18737,1643,0,360443,0,0,0
1980:Q2,439686,1733,1622,0,204813,8196,5135,9739,6338,175405,164941,39377,125564,40387,967,0,0,0,1380,23843,0,12288,0,11555,416828,0,0,0,202584,157384,1805,480,54575,0,0,35817,0,18758,1844,0,370228,0,0,0
1980:Q3,452727,1196,2314,0,210284,10978,5338,10303,6466,177199,168268,40206,128062,43757,1021,0,0,0,1427,24460,0,12587,0,11873,427340,0,0,0,204983,164801,1930,507,55119,0,0,36274,0,18845,1951,0,380155,0,0,0
1980:Q4,463659,2643,2423,0,212104,10142,5838,11144,6701,178279,172492,41411,131081,46271,1093,0,0,0,1476,25157,0,12939,0,12218,437873,0,0,0,207333,171960,1996,577,56007,0,0,36791,0,19216,2217,0,389811,0,0,0
1981:Q1,475970,1765,3020,0,219418,12795,7206,12256,6832,180329,176128,43211,132917,47055,1168,0,0,0,1527,25889,0,13358,0,12531,448046,0,0,0,209657,178243,2002,584,57560,0,0,37559,0,20001,2248,0,398591,0,0,0
1981:Q2,486939,1984,4253,0,224740,14088,6952,13667,6956,183077,179598,44939,134659,46958,1231,0,0,0,1579,26596,0,13859,0,12737,457736,0,0,0,211972,183634,1951,612,59567,0,0,38363,0,21204,2353,0,406487,0,0,0
1981:Q3,494754,2557,5351,0,230364,17278,7192,14322,7044,184528,183078,47042,136036,43006,1329,0,0,0,1633,27436,0,14345,0,13091,468328,0,0,0,214202,189900,1894,635,61697,0,0,39184,0,22513,2441,0,415193,0,0,0
1981:Q4,506888,3161,6673,0,232678,17564,8167,14293,7151,185503,186453,48706,137747,46160,1507,0,0,0,1689,28567,0,14722,0,13845,482191,0,0,0,216270,199792,1882,739,63508,0,0,39996,0,23512,2841,0,427383,0,0,0
1982:Q1,514966,794,7186,0,242105,19084,11071,15157,7501,189292,188843,50013,138830,42509,1791,0,0,0,1030,30708,0,15001,0,15707,495328,0,0,0,218152,209369,1915,742,65150,0,0,40905,0,24245,1690,0,439088,0,0,0
1982:Q2,526316,1592,8123,0,249074,20631,10952,16274,7876,193341,191042,51370,139672,40768,2208,0,0,0,1038,32471,0,15194,0,17277,509631,0,0,0,219822,220367,1988,833,66621,0,0,41793,0,24828,1856,0,452015,0,0,0
1982:Q3,543525,1651,8611,0,256874,22359,12705,17307,8241,196262,192900,52423,140477,45464,2607,0,0,0,1027,34391,0,15349,0,19042,525934,0,0,0,221457,233354,2062,818,68243,0,0,42711,0,25532,1834,0,466921,0,0,0
1982:Q4,566758,3439,7819,0,267514,21735,16529,18634,9047,201569,194950,52961,141989,52890,2837,0,0,0,1075,36234,0,15515,0,20719,539147,0,0,0,223233,242900,2099,667,70248,0,0,43710,0,26538,2119,0,478565,0,0,0
1983:Q1,584452,1305,8087,0,279443,24737,19715,19319,9219,206453,196756,53427,143329,57377,2904,0,0,0,1060,37520,0,15665,0,21855,552557,0,0,0,225118,252335,2100,658,72346,0,0,44623,0,27723,2149,0,490247,0,0,0
1983:Q2,603866,1778,6967,0,289194,25122,22088,20265,9852,211867,198436,53711,144725,63874,2816,0,0,0,1111,39690,0,15810,0,23880,569746,0,0,0,227081,265284,2069,688,74624,0,0,45619,0,29005,2137,0,505567,0,0,0
1983:Q3,618421,1344,6286,0,299305,26722,24513,22151,10022,215897,201216,53860,147356,63867,2697,0,0,0,1150,42556,0,15950,0,26606,581154,0,0,0,229072,272354,2033,721,76974,0,0,46642,0,30332,2124,0,515051,0,0,0
1983:Q4,631755,2527,6195,0,307788,25162,28636,25863,9986,218141,205062,54063,150999,62193,2671,0,0,0,1368,43951,0,16099,0,27852,594718,0,0,0,231043,281650,2017,712,79296,0,0,47639,0,31657,2460,0,526729,0,0,0
1984:Q1,641625,1248,6566,0,320955,28696,30886,28094,9014,224265,205485,54184,151301,59286,2683,0,0,0,1341,44061,0,15949,0,28112,605415,0,0,0,232215,287889,2017,668,82626,0,0,48683,0,33943,2338,0,534502,0,0,0
1984:Q2,655192,1843,6685,0,332194,30312,31752,30538,8712,230880,207856,54325,153531,56945,2673,0,0,0,1347,45649,0,15600,0,30049,618311,0,0,0,233281,295754,2019,709,86548,0,0,49670,0,36878,2277,0,543769,0,0,0
1984:Q3,676179,1189,8003,0,344830,31871,35035,33223,8444,236257,209811,54439,155372,61533,2749,0,0,0,1380,46684,0,15255,0,31429,638292,0,0,0,234584,310503,2036,686,90483,0,0,50638,0,39845,2199,0,560149,0,0,0
1984:Q4,696034,3059,8561,0,357730,29306,41204,36870,8713,241637,211204,54505,156699,60311,3019,0,0,0,1543,50607,0,15108,0,35499,660799,0,0,0,235996,328343,2078,913,93469,0,0,51663,0,41806,2849,0,579762,0,0,0
1985:Q1,717567,1519,8445,0,373212,31975,42665,39898,8891,249783,212950,54480,158470,65348,3526,0,0,0,1488,51079,0,15071,0,36008,678912,0,0,0,238070,340677,2146,882,97137,0,0,52569,0,44568,2738,0,594618,0,0,0
1985:Q2,741928,1622,8876,0,387558,31560,45019,42861,8914,259204,216542,54428,162114,68622,3979,0,0,0,1579,53150,0,15180,0,37970,701241,0,0,0,240444,356665,2236,921,100975,0,0,53554,0,47421,2798,0,613479,0,0,0
1985:Q3,758216,2454,8522,0,404020,32737,46615,47568,9044,268056,219111,54351,164760,64158,4171,0,0,0,1594,54186,0,15279,0,38907,713339,0,0,0,243201,363585,2345,1032,103176,0,0,54547,0,48629,3128,0,623681,0,0,0
1985:Q4,794640,7546,6651,0,419013,29063,51700,49368,9708,279174,226166,54369,171797,73983,3514,0,0,0,1634,56133,0,15209,0,40924,749264,0,0,0,246421,260441,2470,1380,238552,0,0,55472,131774,51306,5080,0,656054,0,0,0
1986:Q1,822832,6055,7007,0,436879,28699,53627,53500,10023,291030,229364,54368,174996,79514,6894,0,0,0,1579,55540,0,14968,0,40572,775260,0,0,0,250317,273503,2624,1326,247490,0,0,56471,138808,52211,4736,0,680597,0,0,0
1986:Q2,851824,6957,6940,0,450657,29451,52798,55885,10791,301732,234865,54369,180496,83286,9525,0,0,0,1234,58360,0,14548,0,43812,803948,0,0,0,254412,295200,2818,1375,250143,0,0,57462,140989,51692,4849,0,709179,0,0,0
1986:Q3,871523,7212,6972,0,468009,33428,55032,56720,11648,311181,240325,54345,185980,75634,11032,0,0,0,1310,61029,0,14129,0,46900,820538,0,0,0,258907,305164,3007,1700,251760,0,30,58397,141730,51603,6021,0,724982,0,0,0
1986:Q4,904150,9535,6253,0,484824,34484,59033,59976,11659,319672,247897,54055,193842,76385,14460,0,0,0,1878,62918,0,13885,0,49033,854002,0,0,0,263623,327834,3145,1917,257483,0,30,59229,146862,51362,7060,0,757940,0,0,0
1987:Q1,943981,7981,5370,0,504141,35168,61253,62756,10658,334306,249454,53711,195743,95617,13587,0,0,0,1889,65942,0,13853,0,52089,891285,0,0,0,270495,341662,3233,2162,273733,0,30,60489,161214,52000,7339,0,793642,0,0,0
1987:Q2,970240,7682,4488,0,519343,33215,57641,64744,10944,352799,253917,53535,200382,100356,13018,0,0,0,1901,69535,0,14193,0,55342,915142,0,0,0,276387,349662,3271,2267,283555,0,30,61902,171248,50375,7628,0,818322,0,0,0
1987:Q3,1008780,8192,3879,0,541932,36511,57246,67654,10208,370313,257940,53677,204263,108905,12078,0,0,0,1935,73919,0,14503,0,59416,950633,0,0,0,282663,362946,3303,2527,299194,0,30,63210,184348,51606,7501,0,851607,0,0,0
1987:Q4,1003086,8655,3138,0,554951,34039,57078,67010,10681,386143,266001,53626,212375,87144,5415,0,0,0,2307,75475,0,15093,0,60382,960367,0,0,0,287335,350598,3370,1630,317434,0,30,64138,186265,67001,5179,0,846132,0,0,0
1988:Q1,1040186,6480,4104,0,578651,36653,57077,68656,10565,405700,269225,53142,216083,93143,5837,0,0,0,2392,80354,0,14963,0,65391,995809,0,0,0,293501,377449,3459,1584,319816,0,30,65981,184762,69043,5475,0,878613,0,0,0
1988:Q2,1071326,6395,4476,0,598494,38054,58298,71151,10035,420956,274054,53652,220402,96816,6697,0,0,0,2353,82041,0,15023,0,67018,1027208,0,0,0,300359,396516,3556,1504,325273,0,30,67525,187501,70217,5247,0,907967,0,0,0
1988:Q3,1097431,5502,5180,0,618123,40964,58515,72709,9511,436424,279016,53965,225051,97733,7591,0,0,0,2446,81840,0,15187,0,66653,1050861,0,0,0,306576,415701,3674,1640,323270,0,30,68697,183436,71107,5573,0,929662,0,0,0
1988:Q4,1122351,5382,6144,0,637443,39170,58564,75730,9136,454843,287099,54236,232863,91767,8121,0,0,0,2824,83571,0,15542,0,68029,1083223,0,0,0,314244,435465,3829,1577,328108,0,30,69904,186900,71274,5501,0,960925,0,0,0
1989:Q1,1147432,5155,5287,0,656826,42648,57021,81530,8842,466785,291791,55014,236777,92181,7921,0,0,0,2725,85546,0,15450,0,70096,1106810,0,0,0,317985,445494,4031,1995,337305,0,30,71055,192621,73599,5989,0,980729,0,0,0
1989:Q2,1182401,5917,4131,0,678776,39833,55028,89474,8830,485611,297720,55959,241761,96413,7355,0,0,0,2627,89462,0,15565,0,73897,1142025,0,0,0,326115,465413,4290,2004,344203,0,30,71811,196637,75725,5934,0,1013030,0,0,0
1989:Q3,1210176,6569,3276,0,693290,39911,52741,95855,8982,495801,303644,56609,247035,102054,6867,0,0,0,2450,92026,0,15693,0,76333,1168017,0,0,0,331909,476833,4550,2037,352688,0,30,72486,202090,78082,6315,0,1035840,0,0,0
1989:Q4,1242239,10367,5192,0,713349,42770,52917,100844,9028,507790,311653,57439,254214,84406,26471,0,0,0,3572,87229,0,16371,0,70858,1204919,0,0,0,342650,495465,4755,2045,360004,0,30,74587,204708,80679,7729,0,1069557,0,0,0
1990:Q1,1269187,10635,6982,0,735618,41409,59182,104874,9322,520831,321390,61108,260282,79244,28914,0,0,0,3652,82752,0,16011,0,66741,1230541,0,0,0,348719,512958,4904,2119,361841,0,30,75097,207757,78957,8059,0,1096202,0,0,0
1990:Q2,1313507,9465,8291,0,761925,46200,58980,108755,10963,537027,328010,63144,264866,87576,31905,0,0,0,3638,82697,0,16022,0,66675,1275564,0,0,0,356089,547978,4994,2081,364422,0,30,76082,210073,78237,7901,0,1141518,0,0,0
1990:Q3,1323460,7683,10806,0,787418,48721,59934,115224,11818,551721,326704,60641,266063,74746,30826,0,0,0,4033,81244,0,15972,0,65272,1285253,0,0,0,362077,552389,5090,2056,363641,0,30,77408,210651,75552,7941,0,1153572,0,0,0
1990:Q4,1347407,5684,12974,0,801109,45718,59151,121049,12308,562883,329423,61562,267861,82833,29768,0,0,0,3204,82412,1,16459,0,65952,1312176,0,0,0,367905,569745,5255,2308,366963,0,30,79400,214824,72709,8229,0,1182084,0,0,0
1991:Q1,1399558,5050,14967,0,830761,51468,63000,129000,14000,573293,333811,64812,268999,84851,31188,0,0,0,3355,95575,1,16331,0,79243,1340189,0,0,0,374501,577110,5479,2240,380859,0,30,80658,221275,78896,8574,0,1203486,0,0,0
1991:Q2,1436916,5145,15098,0,864257,53504,65104,145581,11329,588739,337065,65391,271674,84816,34125,0,0,0,3344,93066,1,16104,0,76961,1377004,0,0,0,382601,592780,5750,2384,393489,0,30,81905,227141,84413,8537,0,1234103,0,0,0
1991:Q3,1467830,5416,14758,0,883563,56337,72274,148864,11909,594179,336765,66671,270094,88695,36133,0,0,0,3181,99319,1,15875,0,83443,1404190,0,0,0,387380,605615,6049,2546,402600,0,30,83140,235003,84427,9670,0,1260547,0,0,0
1991:Q4,1474517,5428,14429,0,888099,45760,77751,164184,10228,590176,325873,66364,259509,97220,41289,0,0,0,4714,97465,1,15737,0,81727,1434270,0,0,0,393494,621159,6358,1843,411416,0,30,84360,244532,82494,8987,0,1292691,0,0,0
1992:Q1,1500386,5399,14766,0,912978,48233,80317,171663,10138,602627,325372,66907,258465,97724,43372,0,0,0,4888,95887,8,15673,0,80206,1455735,0,1,0,400623,629576,6680,1862,416993,0,30,86218,245603,85142,9286,0,1310792,0,0,0
1992:Q2,1527360,5284,14510,0,937577,48707,82362,176868,10281,619359,322437,67987,254450,99454,46602,0,0,0,5074,96422,24,15652,0,80746,1480314,0,4,0,404384,646785,7022,1971,420148,0,30,88061,246814,85243,9654,0,1334447,0,0,0
1992:Q3,1556300,5063,14426,0,962770,46964,86254,185766,10743,633043,318558,69441,249117,102264,50553,0,0,0,5037,97629,24,15680,0,81925,1508452,0,49,0,413608,661665,7381,1904,423845,0,30,89889,248455,85471,9546,0,1361693,0,0,0
1992:Q4,1580910,4800,14118,0,984291,43213,88778,193006,11375,647919,314055,72058,241997,108479,55784,0,0,0,4825,94558,24,15762,0,78772,1549592,0,7,0,421121,693328,7754,2064,425318,0,30,91703,247586,85999,10411,0,1401400,0,0,0
1993:Q1,1630288,4898,13675,0,1021485,46387,96075,199330,11501,668192,312558,72875,239683,113978,63095,0,0,0,4911,95688,30,15889,0,79769,1589494,0,39,0,429360,713058,8154,1936,436947,0,30,93320,255081,88516,9469,0,1438179,0,0,0
1993:Q2,1676548,4996,13658,0,1054490,49617,101624,209211,12545,681493,311402,73857,237545,117024,70535,0,0,0,4668,99775,33,16015,0,83727,1626244,0,184,0,437945,733844,8597,2142,443532,0,30,94807,257893,90802,9921,0,1471665,0,0,0
1993:Q3,1718775,5094,13927,0,1086787,47794,108703,216867,13898,699525,308637,75707,232930,123674,82289,0,0,0,4623,93744,34,16141,0,77569,1671886,0,149,0,447603,761115,9027,2271,451721,0,30,97542,261806,92343,10126,0,1514884,0,0,0
1993:Q4,1747418,5191,14038,0,1106457,46859,109980,222812,14726,712080,301597,77725,223872,129421,92374,0,0,0,7135,91205,37,16268,0,74900,1705052,0,246,0,456749,774839,9389,3186,460643,0,30,97909,267861,94843,13824,0,1543952,0,0,0
1994:Q1,1784752,5295,15439,0,1130131,49366,106761,228816,14604,730584,300088,79269,220819,128078,96231,0,0,0,7234,102256,48,16400,0,85808,1727797,0,255,0,462773,784573,9677,3237,467282,0,30,99473,272422,95357,14274,0,1565509,0,0,0
1994:Q2,1792996,5398,16140,0,1138314,49404,109342,227119,13025,739424,300561,81746,218815,129466,102873,0,0,0,7494,92750,50,16533,0,76167,1742585,0,261,0,468669,786683,9886,3237,473849,0,30,100165,278678,94976,14302,0,1580134,0,0,0
1994:Q3,1837278,5501,16371,0,1161277,52626,112854,227953,12598,755246,300401,83648,216753,136575,109725,0,0,0,7377,100051,51,16665,0,83335,1780459,0,269,0,485905,799660,10093,3290,481242,0,30,102836,283400,94976,14538,0,1617415,0,0,0
1994:Q4,1853726,5604,16843,0,1177143,52806,107084,234129,12837,770287,301272,85499,215773,136812,110952,0,0,0,6734,98366,86,16797,0,81483,1798268,0,592,0,490916,796009,10378,2372,498001,0,0,104247,297926,95828,11045,0,1634712,0,0,0
1995:Q1,1912275,5488,16510,0,1211320,55528,111163,242145,11736,790748,302701,87038,215663,143850,121160,0,0,0,6759,104487,82,16977,0,87428,1843120,0,585,0,503183,814060,10741,2325,512226,0,0,106501,303617,102108,11317,0,1672232,0,0,0
1995:Q2,1971338,5371,17391,0,1242946,54746,111774,243972,13159,819295,304530,88719,215811,150037,145743,0,0,0,7020,98300,83,17156,0,81061,1908190,0,622,0,518031,851452,11154,2360,524571,0,0,108729,309154,106688,11458,0,1731659,0,0,0
1995:Q3,2015971,5254,17652,0,1255991,56222,111837,247446,12706,827780,308723,91039,217684,157700,161848,0,0,0,6903,101900,84,17336,0,84480,1950048,0,609,0,526628,875883,11590,2406,532932,0,0,109306,315759,107867,11781,0,1771252,0,0,0
1995:Q4,2052365,5137,17990,0,1264204,45487,108102,242864,11894,855857,312141,99003,213138,158874,175205,0,0,0,8642,110172,75,17515,0,92582,1981947,0,512,0,535613,889945,11975,2750,541152,0,0,110162,322167,108823,17673,0,1800868,0,0,0
1996:Q1,2086066,4916,18692,0,1276222,54218,105818,239102,12333,864751,313818,100860,212958,166544,192723,0,0,0,8860,104291,110,17713,0,86468,2007716,0,1143,0,540592,905485,12090,2877,545529,0,0,109767,326999,108763,17740,0,1826282,0,0,0
1996:Q2,2111340,4799,19312,0,1274063,56586,100672,234608,12111,870086,314843,102067,212776,173646,210072,0,0,0,9043,105562,121,17911,0,87530,2034010,0,1213,0,548419,918545,12200,2914,550719,0,0,110118,332133,108468,17809,0,1852543,0,0,0
1996:Q3,2162031,4681,19970,0,1304831,54641,101802,242394,12382,893612,313385,105025,208360,179131,226106,0,0,0,9296,104631,123,18108,0,86400,2069748,0,1112,0,563166,928539,12350,2942,561639,0,0,110807,340885,109947,18216,0,1886405,0,0,0
1996:Q4,2269658,4270,21716,0,1355432,52087,92748,246156,13486,950955,312026,103571,208455,196974,245837,0,0,0,10648,122755,166,18306,0,104283,2137762,0,1600,0,579302,883659,7761,3539,661901,0,0,115382,429552,116967,25520,0,1950478,0,0,0
1997:Q1,2316286,3410,22850,0,1381916,58858,93260,245525,13729,970544,312512,105328,207184,197877,257310,0,0,0,11387,129024,168,18390,0,110466,2149613,0,1788,0,590520,899763,7725,3834,645983,0,0,117614,423782,104587,26070,0,1973846,0,0,0
1997:Q2,2431700,3964,22590,0,1426213,61412,94402,248729,14047,1007623,315264,107331,207933,223823,301495,0,0,0,11510,126841,173,18473,0,108195,2250022,0,1822,0,607545,960612,7688,4446,667909,0,59,120423,445345,102082,29150,0,2074853,0,0,0
1997:Q3,2523447,3591,21958,0,1453735,67772,97858,252796,14538,1020771,314340,108357,205983,242936,338794,0,0,0,11360,136733,400,18557,0,117776,2320120,0,1867,0,624584,1004991,7652,4527,676499,0,92,123189,459895,93323,30071,0,2152703,0,0,0
1997:Q4,2553124,8025,22190,0,1461305,68867,86874,230240,17277,1058047,314936,107900,207036,244591,344416,0,0,0,15206,142455,179,18641,0,123635,2344484,0,1783,0,631795,1000354,7615,5481,697456,0,92,125651,465024,106689,44527,0,2161916,0,0,0
1998:Q1,2668644,3420,22634,0,1487494,71346,84290,229403,17980,1084475,315157,108495,206662,270271,398214,0,0,0,15848,155606,175,18607,0,136824,2450351,0,1785,0,643719,1057615,7914,5573,733745,0,99,126679,485699,121268,44691,0,2252403,0,0,0
1998:Q2,2717605,4667,24528,0,1500509,71719,81015,226789,18565,1102421,317984,110082,207902,275251,421349,0,0,0,16742,156575,161,18892,0,137522,2494411,0,1632,0,653710,1094503,8213,5768,730585,0,581,126933,481068,122003,45244,0,2296889,0,0,0
1998:Q3,2679696,4237,28469,0,1517414,77345,77497,223885,19140,1119547,318511,110993,207518,246060,381219,0,0,0,16039,167747,181,18379,0,149187,2457581,0,2037,0,655295,1069091,8512,5907,716739,0,858,129033,457579,129269,45383,0,2252283,0,0,0
1998:Q4,2809128,5205,28062,0,1529623,76825,73815,221142,19752,1138089,323663,109876,213787,287753,454614,0,0,0,21250,158958,207,17227,0,141524,2580590,0,2475,0,683428,1138476,8811,6182,741218,0,917,132448,484610,123243,58400,0,2382138,0,0,0
1999:Q1,2867410,2454,30585,0,1541903,74535,71864,224556,20023,1150925,324884,105751,219133,302409,477610,0,0,0,21618,165947,267,18523,0,147157,2645089,0,3288,0,695863,1154437,9010,6710,775781,0,2091,132912,490004,150774,58595,0,2421132,0,0,0
1999:Q2,2939712,3719,31487,0,1540556,72812,68686,225838,20097,1153123,329874,105158,224716,326691,520802,0,0,0,22108,164475,301,18604,0,145570,2722335,0,4033,0,714214,1196247,9209,7607,791025,0,3699,132599,498549,156178,67502,0,2496421,0,0,0
1999:Q3,2920584,3601,36252,0,1537071,76571,65217,225940,20061,1149282,331941,105571,226370,317180,501042,0,0,0,22764,170733,356,18645,0,151732,2714873,0,4307,0,716928,1167259,9408,8022,808949,0,4230,137030,494549,173140,67408,0,2472626,0,0,0
1999:Q4,3148558,5095,37323,1,1526269,81289,61865,224810,19860,1138445,336395,105417,230978,367123,618512,10971,46467,24714,18669,157019,342,19435,15636,121606,2947168,0,3200,15992,793606,1310950,9607,7802,806011,0,4230,156991,511516,133274,72359,0,2677561,84216,77751,324
2000:Q1,3243737,3711,35584,2,1546477,78090,61473,229037,19876,1158001,334979,105413,229566,377738,682477,11266,47316,25081,19487,159619,259,18702,16709,123949,3030350,0,3016,16648,812002,1360279,9621,8041,820743,0,4951,159145,516521,140126,74085,0,2755985,86574,78376,332
2000:Q2,3248974,5326,34941,2,1556826,80657,60819,231452,19669,1164229,339445,106629,232816,366544,667897,11561,48165,25438,19917,172912,259,18896,17781,135976,3027939,0,2746,17304,815567,1356404,9635,8400,817883,0,8025,161898,499597,148363,76930,0,2745103,88362,78996,336
2000:Q3,3308506,3363,35216,2,1576975,83035,60369,235273,19582,1178716,343268,108327,234941,368446,682203,11854,49014,25801,20353,192011,364,18750,18851,154046,3074682,0,2659,17958,828147,1386531,9649,10659,819079,0,9542,166086,489583,153868,86016,0,2783527,90417,79616,343
