date,Agency-and GSE-backed mortgage pools; total mortgages; asset,Agency-and GSE-backed mortgage pools; one-to-four-family residential mortgages; asset,Agency-and GSE-backed mortgage pools; multifamily residential mortgages; asset,Agency-and GSE-backed mortgage pools; commercial mortgages; asset,Agency-and GSE-backed mortgage pools; farm mortgages; asset,Agency-and GSE-backed mortgage pools; total mortgages; asset
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,0,0
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4,0,0,0,4,4
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,3,0,0,0,3,3
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,25,0,0,0,25,25
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
1981:Q3,14076,13512,692,0,-128,14076
1981:Q4,18464,16652,1828,0,-16,18464
1982:Q1,34568,34896,156,0,-484,34568
1982:Q2,37292,36932,432,0,-72,37292
1982:Q3,53120,52804,420,0,-104,53120
1982:Q4,73152,72724,436,0,-8,73152
1983:Q1,71992,70504,1172,0,316,71992
1983:Q2,66176,65460,1092,0,-376,66176
1983:Q3,73908,72180,1804,0,-76,73908
1983:Q4,53076,52216,856,0,4,53076
1984:Q1,44492,43968,532,0,-8,44492
1984:Q2,31124,29324,1952,0,-152,31124
1984:Q3,48776,45996,1708,0,1072,48776
1984:Q4,53796,54768,68,0,-1040,53796
1985:Q1,60184,56572,3612,0,0,60184
1985:Q2,68228,66668,1388,0,172,68228
1985:Q3,88968,88808,632,0,-472,88968
1985:Q4,98128,98172,288,0,-332,98128
1986:Q1,106892,98644,7972,0,276,106892
1986:Q2,137940,137504,448,0,-12,137940
1986:Q3,187296,183236,4212,0,-152,187296
1986:Q4,222780,216664,6836,528,-1248,222780
1987:Q1,175376,168056,7356,-20,-16,175376
1987:Q2,158828,154244,4600,-4,-12,158828
1987:Q3,127768,123768,4016,-8,-8,127768
1987:Q4,89240,87420,2080,-244,-16,89240
1988:Q1,33788,28456,5400,-20,-48,33788
1988:Q2,69896,66800,3192,-68,-28,69896
1988:Q3,103288,97268,6036,-12,-4,103288
1988:Q4,96600,90316,6288,0,-4,96600
1989:Q1,100687,94904,5807,-16,-8,100687
1989:Q2,96094,89839,6294,-32,-8,96094
1989:Q3,130118,126423,3700,-1,-4,130118
1989:Q4,170148,169625,531,-1,-7,170148
1990:Q1,142464,138081,4395,-3,-9,142464
1990:Q2,156133,154803,1338,-2,-6,156133
1990:Q3,137338,138105,-763,-1,-3,137338
1990:Q4,165313,158149,7178,-2,-12,165313
1991:Q1,121782,128904,-7114,-1,-6,121782
1991:Q2,142708,141798,932,-10,-12,142708
1991:Q3,149316,154321,-4998,-2,-5,149316
1991:Q4,132707,132043,679,-5,-11,132707
1992:Q1,92953,94849,-1886,-4,-6,92953
1992:Q2,157039,159564,-2522,0,-2,157039
1992:Q3,98639,101007,-2362,-2,-4,98639
1992:Q4,113600,115921,-2315,-3,-3,113600
1993:Q1,113074,115601,-2513,-6,-8,113074
1993:Q2,10834,13441,-2603,-2,-2,10834
1993:Q3,113468,114365,-890,-5,-2,113468
1993:Q4,101498,100990,514,-5,-2,101498
1994:Q1,191423,192026,-597,-3,-3,191423
1994:Q2,128414,128489,-63,-8,-4,128414
1994:Q3,85163,86143,-972,-4,-3,85163
1994:Q4,56125,54556,1571,0,-2,56125
1995:Q1,56238,57123,-936,-9,61,56238
1995:Q2,68902,62241,6597,-3,67,68902
1995:Q3,102842,99498,3280,-3,67,102842
1995:Q4,165321,156392,8861,-1,70,165321
1996:Q1,146555,142923,3640,0,-8,146555
1996:Q2,157248,152716,4540,0,-8,157248
1996:Q3,129690,122638,7068,-4,-12,129690
1996:Q4,130415,123259,7176,-16,-4,130415
1997:Q1,130343,125319,5000,0,24,130343
1997:Q2,82054,76358,5672,0,24,82054
1997:Q3,96982,92138,4820,0,24,96982
1997:Q4,148965,143249,5688,0,28,148965
1998:Q1,104333,99437,4804,0,92,104333
1998:Q2,239675,233983,5592,0,100,239675
1998:Q3,239002,222154,16748,0,100,239002
1998:Q4,187691,172887,14700,0,104,187691
1999:Q1,394648,384372,9524,0,752,394648
1999:Q2,274462,265354,8344,0,764,274462
1999:Q3,230747,221627,8368,0,752,230747
1999:Q4,198390,186974,10656,0,760,198390
2000:Q1,133026,126202,6496,0,328,133026
2000:Q2,153111,145075,7708,0,328,153111
2000:Q3,229843,221707,7812,0,324,229843
2000:Q4,282876,270520,12028,0,328,282876
2001:Q1,161149,148025,13100,0,24,161149
2001:Q2,432414,413198,19192,0,24,432414
2001:Q3,495632,482624,12984,0,24,495632
2001:Q4,264961,247725,17208,0,28,264961
2002:Q1,522545,512401,11432,0,-1288,522545
2002:Q2,354574,347222,8640,0,-1288,354574
2002:Q3,168398,162314,7372,0,-1288,168398
2002:Q4,261758,238778,24272,0,-1292,261758
2003:Q1,287936,273336,14716,0,-116,287936
2003:Q2,278825,264341,14480,0,4,278825
2003:Q3,310483,277103,30620,0,2760,310483
2003:Q4,464244,418268,46080,0,-104,464244
2004:Q1,-9974,8342,-18168,0,-148,-9974
2004:Q2,90117,77625,12488,0,4,90117
2004:Q3,51062,54778,-3704,0,-12,51062
2004:Q4,31863,34595,-2628,0,-104,31863
2005:Q1,83250,88470,-4996,0,-224,83250
2005:Q2,163650,168734,-5056,0,-28,163650
2005:Q3,145453,150137,-4524,0,-160,145453
2005:Q4,265507,268703,-3232,0,36,265507
2006:Q1,327590,337002,-11228,0,1816,327590
2006:Q2,267167,277891,-12784,0,2060,267167
2006:Q3,268373,276149,-12952,0,5176,268373
2006:Q4,307414,320010,-12900,0,304,307414
2007:Q1,493285,499533,-7124,0,876,493285
2007:Q2,484036,484020,-5092,0,5108,484036
2007:Q3,651969,651637,576,0,-244,651969
2007:Q4,874775,866235,8840,0,-300,874775
2008:Q1,585037,586525,-1128,0,-360,585037
2008:Q2,621528,611896,10216,0,-584,621528
2008:Q3,495770,501906,-7800,0,1664,495770
2008:Q4,327362,310254,17308,0,-200,327362
2009:Q1,357207,353219,4212,0,-224,357207
2009:Q2,519759,505035,14916,0,-192,519759
2009:Q3,532012,518840,13432,0,-260,532012
2009:Q4,424338,405138,19272,0,-72,424338
2010:Q1,155891,150759,7688,0,-2556,155891
2010:Q2,246962,229010,16032,0,1920,246962
2010:Q3,185818,171854,14064,0,-100,185818
2010:Q4,188256,176232,12196,0,-172,188256
2011:Q1,205615,190387,17344,0,-2116,205615
2011:Q2,180599,157507,23196,0,-104,180599
2011:Q3,150616,140784,15868,0,-6036,150616
2011:Q4,123450,103074,20556,0,-180,123450
2012:Q1,117157,98493,18856,0,-192,117157
2012:Q2,178815,145327,31760,0,1728,178815
2012:Q3,101945,81189,20912,0,-156,101945
2012:Q4,125454,89706,36032,0,-284,125454
2013:Q1,122339,93535,29040,0,-236,122339
2013:Q2,132970,95750,37348,0,-128,132970
2013:Q3,145153,110513,34752,0,-112,145153
2013:Q4,122678,89618,33212,0,-152,122678
2014:Q1,88726,69166,19672,0,-112,88726
2014:Q2,57068,34932,22256,0,-120,57068
2014:Q3,64250,41890,22472,0,-112,64250
2014:Q4,89925,57317,32784,0,-176,89925
2015:Q1,15856,1624,14388,0,-156,15856
2015:Q2,127306,91890,35516,0,-100,127306
2015:Q3,177947,150663,24100,0,3184,177947
2015:Q4,186683,132123,54708,0,-148,186683
2016:Q1,138487,100511,36568,0,1408,138487
2016:Q2,165574,113170,52280,0,124,165574
2016:Q3,135788,104824,31176,0,-212,135788
2016:Q4,190175,144747,45352,0,76,190175
2017:Q1,201126,169270,31880,0,-24,201126
2017:Q2,187355,144403,46744,0,-3792,187355
2017:Q3,189958,138646,51360,0,-48,189958
2017:Q4,195564,111820,83780,0,-36,195564
2018:Q1,163863,116011,48288,0,-436,163863
2018:Q2,159354,122370,36920,0,64,159354
2018:Q3,159987,127695,32284,0,8,159987
2018:Q4,180056,126048,54600,0,-592,180056
2019:Q1,113809,85145,28692,0,-28,113809
2019:Q2,105666,78794,26880,0,-8,105666
2019:Q3,98831,51991,46880,0,-40,98831
2019:Q4,136770,88246,49864,0,-1340,136770
2020:Q1,117339,106015,11492,0,-168,117339
2020:Q2,-44418,-54802,10472,0,-88,-44418
2020:Q3,30701,-42055,73040,0,-284,30701
2020:Q4,-14490,-72378,58044,0,-156,-14490
2021:Q1,33705,-28739,62808,0,-364,33705
2021:Q2,117458,67250,50100,0,108,117458
2021:Q3,51497,32593,18808,0,96,51497
2021:Q4,91196,70604,19260,0,1332,91196
