date,State and local governments; total financial assets,State and local governments; checkable deposits and currency; asset,State and local governments; total time and savings deposits; asset,State and local governments; money market fund shares; asset,State and local governments; security repurchase agreements; asset,State and local governments; debt securities; asset,State and local governments; commercial paper; asset,State and local governments; Treasury securities, including SLGS; asset,State and local governments; agency- and GSE-backed securities; asset,State and local governments; municipal securities; asset,State and local governments; corporate and foreign bonds; asset,State and local governments; total mortgages; asset,State and local governments; corporate equities; asset,State and local governments; mutual fund shares; asset,State and local governments; trade receivables; asset,State and local governments; taxes receivable; asset,State and local governments; unidentified miscellaneous assets,State and local governments; total liabilities,State and local governments; municipal securities; liability,State and local governments; short-term municipal securities; liability,State and local governments; long-term municipal securities; liability,State and local governments; U.S. government loans; liability,State and local governments; trade payables; liability,State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset
1945:Q4,13379,3784,529,0,0,7524,0,5531,234,1759,0,0,0,0,1042,500,0,23648,12130,312,11818,505,632,10381
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,13824,4659,708,0,0,6767,0,5179,134,1454,0,25,0,0,1165,500,0,25739,12199,313,11886,484,778,12278
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,15635,5400,867,0,0,7442,0,5890,137,1415,0,50,0,0,1376,500,0,29529,13810,512,13298,503,646,14570
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,17149,5899,1138,0,0,8046,0,6277,334,1435,0,104,0,0,1462,500,0,33227,15144,677,14467,573,789,16721
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,17972,6145,1290,0,0,8425,0,6343,334,1748,0,185,0,0,1427,500,0,36435,16130,881,15249,488,950,18867
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,19747,6614,1391,0,0,9118,0,6852,234,2032,0,237,0,0,1887,500,0,43301,20655,1274,19381,555,1064,21027
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,21329,7028,1543,0,0,9827,0,7332,434,2061,0,306,0,0,2125,500,0,47329,22770,1586,21184,816,1150,22593
1952:Q1,22107,7343,1637,0,80,10127,0,7680,354,2093,0,334,0,0,2057,498,31,50208,25016,1787,23229,771,1271,23150
1952:Q2,22879,7322,1631,0,167,10804,0,8140,559,2105,0,359,0,0,1964,504,128,53501,27480,1700,25780,844,1397,23780
1952:Q3,23350,6871,1624,0,679,10955,0,8218,624,2113,0,385,0,0,2092,500,244,55457,28695,1863,26832,980,1517,24265
1952:Q4,23954,7351,1628,0,247,11249,0,8538,600,2111,0,409,0,0,2199,510,361,57333,29657,1779,27878,1138,1640,24898
1953:Q1,24131,7390,1658,0,256,11478,0,8826,538,2114,0,430,0,0,2169,505,245,59264,31221,1906,29315,913,1768,25362
1953:Q2,24336,7695,1742,0,0,11627,0,8988,495,2144,0,451,0,0,2181,504,136,60856,32379,1778,30601,839,1893,25745
1953:Q3,24916,7121,1696,0,815,11810,0,9114,493,2203,0,471,0,0,2234,496,273,62818,33795,1992,31803,842,2024,26157
