1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1220891,430981,308963,1592,366,120060,333814,255779,31391,3103,43541,0,198117,176042,22075,120256,71927,39900,8429,123206,120380,2464,362,14517,31671,1390,30281,17154,3450,13704,1220891,126974,11.60726735078469,1280578,109082,9.311300173536333
1952:Q1,1233874,437146,311906,1634,365,123241,336412,257823,31893,3103,43592,0,201326,179258,22068,121850,71817,41423,8610,123195,120306,2530,359,13945,31253,363,30890,17308,3454,13854,1233874,12983,1.063387354398799,1298495,17917,1.399115007076678
1952:Q2,1257592,448860,322754,1682,366,124058,338615,259926,32447,3126,43116,0,204185,182526,21659,124515,72871,42832,8812,126827,123898,2569,360,14590,32485,789,31696,17895,3539,14356,1257592,23718,1.922262842032309,1321042,22548,1.736456901873648
1952:Q3,1270329,453482,324183,1697,369,127233,339342,262026,32452,3181,41682,0,202951,181750,21201,128160,74518,44611,9031,131718,128739,2615,364,14676,33187,1128,32059,18511,3434,15077,1270329,12737,1.012793596107692,1334038,12996,0.983774199934853
1952:Q4,1272403,463972,334895,1728,375,126974,336949,262603,32713,3221,38412,0,194872,174589,20283,130505,74903,46335,9267,130592,127574,2646,372,15513,34068,1459,32609,18555,3705,14850,1272403,2075,0.163321257859925,1338212,4174,0.312867574172764
1953:Q1,1280323,472930,340387,1787,380,130376,335903,262881,33089,3283,36650,0,190810,170603,20207,131996,74987,47505,9504,132496,129388,2736,372,16188,34664,1492,33172,18476,3569,14907,1280323,7920,0.622442038225493,1348600,10387,0.776219516559652
1953:Q2,1281631,481964,347238,1855,386,132485,335536,263388,33681,3326,35141,0,181313,161433,19880,135164,75937,49502,9725,131263,128139,2745,379,16391,35178,1399,33779,18787,3476,15311,1281631,1307,0.102102853717301,1350869,2269,0.168256709574877
1953:Q3,1293822,493031,357332,1926,390,133383,337198,265056,34340,3381,34421,0,176759,157177,19582,137981,76392,51644,9945,132149,128998,2765,386,16704,35908,1290,34618,19204,3430,15774,1293822,12191,0.95122684307938,1365489,14620,1.082302333131446
1953:Q4,1308449,493420,355919,1980,394,135127,337210,264204,34706,3430,34869,0,192738,174080,18658,138681,75199,53327,10155,129389,126196,2799,394,17011,36504,1329,35175,19493,3650,15843,1308449,14627,1.130520499957237,1386237,20748,1.519453217866645
1954:Q1,1325393,498300,357485,2045,399,138371,338557,264500,35127,3518,35412,0,203034,185039,17995,141310,75987,54945,10378,127575,124311,2862,402,16617,36996,1439,35557,20379,3996,16383,1325393,16944,1.294960144804563,1408984,22747,1.640914087279078
