1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q3,3848580,1362891,1005793,8169,2791,346138,766767,636223,74170,8028,48346,0,820178,794260,25918,363003,163847,109541,89615,482361,467076,12628,2657,53380,161196,6471,154725,107816,24473,83343,3848580,132286,3.559626689473035,3752351,127731,3.523969905857054
1970:Q4,3990286,1390872,1025204,8354,2862,354452,778647,648064,75679,8142,46762,0,896230,867549,28681,370169,168165,110090,91914,499590,483690,13154,2746,54778,166764,6573,160191,111986,27209,84777,3990286,141706,3.682031279038089,3875615,123264,3.284974118729723
1971:Q1,4147975,1427159,1051931,8579,2936,363713,801879,666254,77253,8282,50090,0,980748,940553,40195,376450,172118,110250,94082,512790,496505,13451,2834,48949,167703,7287,160416,118754,30545,88209,4147975,157689,3.951816066355393,4038266,162651,4.196778827975633
1971:Q2,4220645,1461016,1078498,8773,3007,370738,822799,684249,78606,8288,51656,0,980665,946784,33881,382823,175923,110836,96064,526005,509411,13672,2922,47337,171144,7486,163658,123807,29701,94106,4220645,72670,1.751943983986311,4112149,73882,1.829558275962533
1971:Q3,4266642,1490789,1104238,8921,3077,374553,842003,702377,79567,8279,51780,0,971554,933310,38244,386451,178150,110427,97874,536317,519408,13898,3011,39528,173468,7218,166250,133940,29859,104081,4266642,45997,1.08980204312995,4172516,60368,1.468034822729979
1971:Q4,4395721,1517895,1127739,9063,3143,377950,861879,719630,80393,8216,53640,0,1032869,993331,39538,391164,182422,109194,99548,550710,533464,14148,3098,41204,181277,7641,173636,140073,30811,109262,4395721,129079,3.025316935844435,4294158,121641,2.915301058459121
1972:Q1,4570070,1570890,1171254,9454,3215,386967,887510,742508,81844,8337,54821,0,1085066,1039183,45883,427954,185589,141135,101230,563316,545649,14479,3188,35334,181719,8779,172940,146385,33513,112872,4570070,174349,3.966340925313314,4452478,158320,3.686878852116911
1972:Q2,4626501,1600642,1192509,9833,3292,395008,910211,760606,83073,8362,58169,0,1085052,1044038,41014,423607,189858,130622,103127,572273,554204,14791,3278,34716,184601,9359,175242,149885,33803,116082,4626501,56430,1.234782608810342,4517336,64857,1.456657753806827
1972:Q3,4736073,1649565,1232534,10196,3371,403464,936108,783638,84119,8342,60009,0,1111777,1067161,44616,422646,197234,120250,105162,585853,567389,15090,3374,30124,187497,9616,177881,157373,35099,122274,4736073,109573,2.368368871594138,4642659,125323,2.774271211545865
1972:Q4,4998513,1714191,1290675,10558,3458,409500,969759,812021,85051,8279,64408,0,1242108,1198703,43405,424734,205043,112319,107372,603135,584266,15403,3466,44586,211377,10537,200840,166791,39059,127732,4998513,262439,5.541284042602878,4889284,246625,5.312157092293076
1973:Q1,5004203,1758700,1322715,11001,3553,421431,1008058,841729,87153,8349,70828,257,1151005,1138052,12953,435535,212754,112871,109910,623444,604043,15826,3575,27204,200426,12272,188154,173222,37594,135628,5004203,5691,0.113845456372016,4913282,23998,0.490827829497223
1973:Q2,5076764,1819177,1369699,11537,3668,434273,1053771,877440,89916,8383,78032,506,1076274,1081837,-5563,449578,219994,116763,112821,644767,624687,16374,3706,32691,205094,11887,193207,172403,34552,137851,5076764,72561,1.450003432073073,4952921,39639,0.806769898217104
1973:Q3,5298220,1891339,1430284,12057,3806,445192,1101651,918459,92526,8415,82250,735,1144475,1142839,1636,461882,226697,119108,116077,665888,645037,16990,3861,32250,208735,11711,197024,176485,37905,138580,5298220,221455,4.362133859759022,5134009,181088,3.656193590594838
1973:Q4,5294382,1943353,1472632,12517,3967,454237,1137616,952736,94516,8450,81914,950,996779,1010724,-13945,470817,232712,118393,119712,692867,671307,17519,4041,52000,222671,10026,212645,170671,33516,137155,5294382,-3837,-0.072424031045278,5098548,-35461,-0.690708421901766
1974:Q1,5349294,1944537,1462386,13193,4139,464819,1167150,981955,97210,8606,79379,1146,972177,991479,-19302,485192,239841,121833,123518,730848,708237,18381,4230,48244,225780,10625,215155,177536,34242,143294,5349294,54912,1.037167357836594,5128135,29586,0.580290526395777
1974:Q2,5398032,1962314,1461485,14046,4306,482477,1199806,1015815,101121,8745,74125,1343,894853,946073,-51220,498464,249724,121507,127233,784537,760756,19376,4405,56715,231750,9769,221981,175035,30543,144492,5398032,48738,0.911115624703264,5110992,-17143,-0.334291979562488
1974:Q3,5398471,2002139,1475406,15167,4466,507100,1253390,1056064,107047,8872,81407,1530,714867,772523,-57656,521529,263858,126912,130759,841279,815983,20731,4565,63736,238888,8388,230500,175152,24012,151140,5398471,438,0.008120143985797,5071166,-39825,-0.77921204946086
1974:Q4,5507996,2064503,1517696,16435,4615,525757,1292560,1092686,114459,8952,76463,1706,662399,722202,-59803,539658,278687,126812,134159,879746,852740,22293,4713,67425,248685,9011,239674,181260,23921,157339,5507996,109526,2.028831454560151,5209755,138589,2.732884971577267
1975:Q1,5935834,2142419,1582858,17398,4768,537395,1328110,1125228,119509,9094,74279,1829,940795,994200,-53405,551822,285213,129318,137291,901134,872974,23303,4857,69725,259527,11291,248236,189802,30308,159494,5935834,427838,7.767577331179698,5461816,252061,4.838253078873722
1975:Q2,6170631,2216083,1642027,18153,4903,551000,1365071,1151517,123212,9291,81050,1921,1048247,1097245,-48998,560180,285856,134303,140021,906443,877350,24099,4994,72686,265567,10805,254762,192881,35096,157785,6170631,234797,3.955577560957704,5694553,232736,4.261151236047362
1975:Q3,6139957,2228654,1642336,18651,5025,562642,1388241,1171453,125261,9265,82262,2015,970323,1028519,-58196,563336,286492,134474,142370,910817,880924,24768,5125,76571,268730,9108,259622,192159,32046,160113,6139957,-30674,-0.497100017548573,5690632,-3921,-0.068846988997206
1975:Q4,6301905,2286339,1684206,19180,5136,577817,1413721,1196957,127374,9264,80126,2135,1024717,1085475,-60758,572094,288182,139536,144376,918768,888025,25495,5248,84131,279214,9585,269629,195083,33399,161684,6301905,161948,2.637616157273512,5858630,167998,2.952189937278292
1976:Q1,6515042,2334914,1717934,19842,5250,591888,1441839,1222964,130399,9318,79158,1837,1137716,1191688,-53972,584543,291817,146487,146239,929453,897966,26118,5369,84740,288440,9885,278555,203700,39514,164186,6515042,213136,3.382095507940465,6057958,199327,3.402282910101502
1976:Q2,6695497,2420257,1789837,20418,5419,604583,1491685,1266334,132831,9496,83024,1861,1152742,1206601,-53859,592958,296556,147244,149158,942696,910390,26799,5507,93298,296325,9642,286683,203027,39559,163468,6695497,180455,2.76982601658644,6234932,176974,2.921345335042008
1976:Q3,6815363,2471450,1826561,21082,5572,618235,1526239,1302418,135743,9639,78439,1799,1173447,1228451,-55004,604691,303708,149043,151940,948504,915385,27469,5650,89233,302898,9283,293615,213665,40120,173545,6815363,119866,1.790249139296808,6351184,116252,1.864527704866416
1976:Q4,7046353,2543163,1880025,21838,5735,635565,1568517,1341057,139076,9686,78698,1943,1230083,1287687,-57604,619525,311938,152580,155007,958936,925030,28100,5806,124186,370629,9453,361176,246443,47475,198968,7046353,230990,3.389251166014285,6519976,168792,2.657650963332762
1977:Q1,7152709,2630038,1949358,22450,5882,652348,1613769,1381470,142540,9824,79935,1803,1173432,1235077,-61645,632426,315880,158898,157648,976681,942054,28671,5956,124560,375650,9591,366059,251090,44313,206777,7152709,106356,1.509375352961396,6628387,108412,1.662760571955444
1977:Q2,7358027,2742978,2047570,23059,6053,666296,1656354,1421959,145843,9914,78638,1927,1199523,1264315,-64792,643294,320108,162519,160667,991013,955541,29356,6116,122938,384102,9823,374279,261164,46038,215126,7358027,205319,2.870504411354269,6807387,179000,2.700502652522593
1977:Q3,7490933,2839326,2125108,23729,6239,684250,1707140,1467924,149508,9968,79740,1877,1172474,1240524,-68050,646157,319288,162851,164018,1009102,972754,30064,6284,114857,389870,10252,379618,275013,44502,230511,7490933,132906,1.806272243683248,6947734,140347,2.061687583645033
1977:Q4,7664036,2947298,2211304,24480,6434,705080,1762656,1512675,153767,10008,86205,1711,1154957,1230141,-75184,656003,321005,167403,167595,1023738,986408,30871,6459,117673,409235,10110,399125,291562,45129,246433,7664036,173102,2.310824522095415,7106422,158688,2.284019676778484
1978:Q1,7837158,3042450,2286391,25249,6657,724153,1832785,1567898,157880,10337,96669,1858,1130179,1207316,-77137,670938,326284,173592,171062,1041163,1002764,31749,6650,117785,420426,10544,409882,302641,43234,259407,7837158,173122,2.258885345864944,7279931,173509,2.441585168178679
1978:Q2,8157838,3172610,2392252,26115,6894,747349,1903380,1627928,162884,10561,102007,1937,1206281,1282063,-75782,690309,335604,180071,174634,1069249,1029713,32674,6862,114072,426343,10730,415613,312271,47584,264687,8157838,320680,4.091795736528458,7529101,249169,3.422687916222634
1978:Q3,8441462,3288677,2483986,27005,7164,770522,1969756,1685335,168329,10779,105313,2082,1275945,1353180,-77235,707383,344482,184150,178751,1097674,1056941,33644,7089,99945,431532,11832,419700,331587,51327,280260,8441462,283624,3.476700738930245,7775642,246542,3.274518151261691
1978:Q4,8684354,3408033,2577511,27912,7463,795147,2038866,1742628,173996,10958,111284,1973,1249550,1339584,-90034,722130,350840,188067,183223,1126093,1084343,34412,7338,137709,476919,11236,465683,339210,47859,291351,8684354,242892,2.877371052549937,7957259,181617,2.335713928146403
1979:Q1,9055732,3562042,2704236,28853,7779,821174,2125824,1806493,181008,11220,127103,2065,1331283,1417903,-86620,742072,363959,190086,188027,1156678,1113232,35827,7619,135768,495200,11735,483465,359432,51322,308110,9055732,371378,4.276404769062292,8268015,310756,3.90531667954479
1979:Q2,9402974,3717645,2832579,29758,8116,847192,2214007,1884491,187908,11581,130027,2315,1362750,1446519,-83769,760950,375832,191841,193277,1199040,1154194,36935,7911,146267,507654,12022,495632,361387,52534,308853,9402974,347242,3.834499218787094,8540573,272557,3.296527987499111
1979:Q3,9757671,3845429,2937035,30635,8482,869277,2300944,1963857,194803,11869,130415,2495,1433365,1521046,-87681,782528,388795,194756,198977,1247485,1201642,37610,8233,145425,530599,14087,516512,385174,55881,329293,9757671,354697,3.772181230402326,8823823,283250,3.316523166368814
1979:Q4,10111725,3962150,3025997,31525,8850,895778,2378703,2033458,202094,12203,130949,2694,1493076,1589506,-96430,800182,397310,198111,204761,1296016,1248901,38561,8554,178904,568791,14803,553988,389887,55434,334453,10111725,354054,3.628470463648524,9104386,280564,3.17961670122236
1980:Q1,10372553,4113377,3142501,32849,9252,928775,2450492,2100246,209107,12533,128605,1594,1465107,1580527,-115420,816287,405210,199547,211530,1343390,1294569,39911,8910,182306,585371,14344,571027,403065,53575,349490,10372553,260827,2.579452921060363,9297039,192653,2.116044219251643
1980:Q2,10793646,4224000,3229277,34074,9621,951028,2528520,2167113,215949,12894,132565,2036,1615345,1714238,-98893,841414,414842,208682,217890,1393296,1342658,41368,9270,189035,601384,17548,583836,412349,60991,351358,10793646,421094,4.059694350537399,9643675,346636,3.728450895980254
1980:Q3,11228176,4369921,3354028,35214,9989,970690,2608462,2237962,222425,13315,134760,2022,1741344,1844366,-103022,861754,428874,208624,224256,1450874,1398442,42801,9631,193799,613730,19083,594647,419931,67590,352341,11228176,434529,4.025786984163484,10037709,394034,4.085933460743915
1980:Q4,11644465,4451457,3413722,36150,10389,991196,2689178,2313816,227614,13666,134082,2172,1893089,2001384,-108295,888644,441487,216249,230908,1505883,1451854,44026,10003,214042,666577,18930,647647,452535,74586,377949,11644465,416290,3.707546139033342,10362045,324336,3.231176785882658
1981:Q1,11878102,4514991,3458906,37243,10750,1008092,2751405,2368248,234959,14113,134085,2351,1929036,2031197,-102161,903140,447283,218410,237447,1556190,1500540,45266,10384,220989,688739,18883,669856,467750,76834,390916,11878102,233637,2.006420054803902,10557341,195296,1.884723304316685
1981:Q2,12188230,4716030,3637211,38344,11185,1029290,2804507,2410788,242299,14408,137012,2489,1918964,2012138,-93174,924123,453053,226290,244780,1598064,1540605,46703,10756,224053,703496,18417,685079,479443,78076,401367,12188230,310128,2.610922449650665,10842575,285234,2.701757288202961
1981:Q3,12277500,4842252,3743288,39224,11567,1048173,2839678,2445487,248209,14812,131170,2259,1781134,1882575,-101441,944126,457580,235398,251148,1636858,1578225,47526,11107,231193,711327,15333,695994,480134,69484,410650,12277500,89270,0.732423892168516,10943837,101262,0.933931329443184
1981:Q4,12610949,4916986,3803851,40085,12053,1060997,2883139,2485585,253950,15311,128293,2191,1914322,1995857,-81535,960014,463386,237973,258655,1670133,1609908,48747,11478,264165,757580,16467,741113,493415,74683,418732,12610949,333450,2.715940250104356,11255734,311897,2.849975962472204
1982:Q1,12581180,5030606,3903891,40830,12379,1073506,2932137,2524585,257127,15410,135014,2192,1775540,1864524,-88984,973411,469817,238930,264664,1698235,1636945,49450,11840,169059,591922,14044,577878,422862,68554,354308,12581180,-29769,-0.236057008646028,11392782,137048,1.217585517615336
1982:Q2,12751465,5075210,3935371,41669,12713,1085457,2969346,2554064,260968,15629,138685,2287,1771823,1869237,-97414,1002884,476555,256023,270306,1731602,1669042,50368,12192,198313,615585,13513,602072,417271,67704,349567,12751465,170285,1.353488953312847,11525159,132377,1.161939178753882
1982:Q3,12943919,5096901,3948646,42230,13032,1092993,2986686,2575497,263285,16003,131900,2532,1896314,1971827,-75513,1009626,479615,254603,275408,1755692,1691847,51330,12515,196168,614531,13693,600838,418363,74449,343914,12943919,192453,1.509264659939555,11750848,225689,1.958230054651093
1982:Q4,13231944,5147965,3989640,42670,13405,1102250,3005156,2589753,265251,16566,133586,2994,2091246,2177802,-86556,1024488,480445,263111,280932,1762494,1697641,52025,12828,197601,651748,17442,634306,454147,88324,365823,13231944,288025,2.22517803376035,12078016,327168,2.784207528912532
1983:Q1,13516035,5221734,4047656,43250,13682,1117146,3041159,2618859,265412,16582,140305,3171,2232860,2313285,-80425,1032538,480588,265856,286094,1770069,1704149,52776,13144,214505,666556,19401,647155,452051,98625,353426,13516035,284092,2.147012853860101,12414503,336487,2.785943335168612
1983:Q2,13798315,5290132,4100094,43777,13933,1132328,3052537,2634449,265470,16796,135822,3402,2425903,2489338,-63435,1046336,481326,274235,290775,1772673,1705630,53563,13480,207331,679043,22898,656145,471712,110389,361323,13798315,282279,2.088475977668528,12713367,298864,2.407375146145787
1983:Q3,13903820,5365194,4154821,44367,14299,1151707,3075873,2663921,265973,17282,128697,3408,2395668,2474576,-78908,1068516,488049,283509,296958,1779355,1710951,54544,13860,215806,700488,24289,676199,484682,110130,374552,13903820,105506,0.764626642009184,12874213,160846,1.265173854603914
1983:Q4,14084813,5444616,4209746,45262,14644,1174964,3120868,2704844,268062,17915,130047,3642,2382029,2416355,-34326,1084610,491876,289714,303020,1784726,1715008,55465,14253,264322,807350,26154,781196,543028,109555,433473,14084813,180993,1.30175023196507,12975073,100861,0.783431976500565
1984:Q1,14251524,5651389,4395429,45872,14989,1195099,3144250,2720812,269351,18024,136063,3686,2245636,2349559,-103923,1117576,503345,304153,310078,1794250,1722890,56696,14664,294737,834620,28801,805819,539883,105627,434256,14251524,166711,1.183623398689859,13215524,240451,1.8531769715927
1984:Q2,14408496,5827923,4542505,46612,15202,1223604,3164136,2738911,271346,18478,135401,3322,2181749,2300906,-119157,1135057,503562,316231,315264,1811797,1739093,57657,15047,284512,856746,25051,831695,572234,100731,471503,14408496,156972,1.101439804226322,13441279,225754,1.708250300759584
1984:Q3,14728890,5991339,4682643,47316,15499,1245881,3190023,2765063,273073,19160,132727,3821,2300338,2386190,-85852,1157888,505415,331290,321183,1828761,1754451,58878,15432,256721,849464,25456,824008,592743,107372,485371,14728890,320394,2.223644815573254,13772993,331714,2.467878954338023
1984:Q4,14929481,6149614,4816178,48100,15698,1269638,3221700,2789414,275477,19854,136955,3966,2319473,2393214,-73741,1182183,512526,344428,325229,1845356,1769715,59829,15812,207189,830772,25994,804778,623582,104852,518730,14929481,200591,1.361890133375668,14057391,284397,2.064891127857151
1985:Q1,15333652,6326852,4962883,48555,15968,1299446,3248343,2813346,276396,20214,138387,4284,2501552,2555704,-54152,1189841,517854,340820,331167,1865761,1788066,61480,16215,197018,840817,30324,810493,643799,112979,530820,15333652,404170,2.707195125333304,14458823,401433,2.85566955361208
1985:Q2,15661617,6522317,5131451,49116,16221,1325529,3261576,2830101,277918,20620,132937,4552,2634317,2656223,-21906,1193438,522710,333936,336792,1883582,1804079,62914,16589,161835,842890,32398,810492,681054,120428,560626,15661617,327966,2.138862029098588,14796472,337649,2.335243881480007
1985:Q3,15829274,6729321,5312706,49694,16487,1350434,3294305,2863586,279980,21259,129480,4724,2540015,2588823,-48808,1206414,525900,337942,342572,1904937,1823762,64221,16954,149559,854795,37738,817057,705236,115106,590130,15829274,167657,1.070496533001708,15002847,206375,1.394758887209432
1985:Q4,16494369,6935288,5491281,50419,16706,1376882,3353922,2912260,283728,22011,135923,4718,2907185,2901984,5201,1210428,528614,334377,347437,1929568,1846433,65834,17301,153259,981066,44383,936683,827806,136791,691015,16494369,665095,4.201675855345055,15501749,498902,3.325379962279428
1986:Q1,16969327,7078879,5608650,51159,17057,1402013,3382671,2943501,284415,22408,132347,5285,3200576,3128357,72219,1218714,532906,333416,352392,1957516,1872876,66963,17677,125686,1011208,58372,952836,885522,162113,723409,16969327,474958,2.879516491129934,16005788,504039,3.25149857308157
1986:Q2,17295843,7264989,5759538,52297,17420,1435734,3413772,2975024,287953,22842,127953,6157,3305338,3238095,67243,1227833,536692,333749,357392,1991963,1905053,68811,18099,85791,1032499,64259,968240,946708,178274,768434,17295843,326516,1.924151797929624,16382418,376630,2.353085950560511
1986:Q3,17363732,7461602,5908083,53402,17745,1482372,3457095,3016220,291699,23532,125643,6136,3086087,3055834,30253,1242510,541665,338898,361947,2024752,1935718,70492,18542,85550,1063714,72043,991671,978164,172779,805385,17363732,67889,0.392516868039115,16563161,180743,1.103276684484925
1986:Q4,17949519,7644018,6049612,54289,18069,1522048,3498187,3054746,294535,24417,124489,6398,3339295,3294106,45189,1260085,553366,340135,366584,2057519,1965555,72955,19009,144017,1194772,72399,1122373,1050754,183172,867582,17949519,585787,3.373626120999539,17135470,572308,3.455309072922499
1987:Q1,18645138,7824064,6196257,55365,18524,1553918,3543553,3093671,296519,24779,128584,7192,3814323,3745356,68967,1275675,558496,344858,372321,2086759,1993076,74175,19508,93572,1230358,91583,1138775,1136786,228339,908447,18645138,695619,3.875417777746092,17759084,623615,3.639319774331034
1987:Q2,18968567,8011674,6348169,56214,19002,1588289,3579612,3128899,297568,25450,127695,7056,3894890,3830891,63999,1290751,562990,348856,378905,2119943,2024288,75626,20029,64641,1236080,99680,1136400,1171439,242944,928495,18968567,323429,1.734654129773396,18049671,290587,1.636274457539676
1987:Q3,19351214,8192943,6491264,57090,19498,1625091,3615642,3163813,298854,26521,126454,7278,4048163,3985338,62825,1312808,571876,354917,386015,2155127,2057542,77001,20584,19252,1258233,107277,1150956,1238980,259413,979567,19351214,382647,2.017268474962606,18459842,410171,2.272455882722385
1987:Q4,19032950,8330502,6599024,58601,20155,1652722,3669599,3208385,303633,28106,129475,5877,3404216,3424713,-20497,1318182,570498,352545,395139,2180829,2081188,78467,21174,123745,1312281,94700,1217581,1188537,189006,999531,19032950,-318264,-1.644673134155349,18403442,-56400,-0.305530541794889
1988:Q1,19475640,8517225,6756398,59712,20947,1680168,3728172,3258009,307457,29092,133614,6345,3589454,3593467,-4013,1338567,571191,362994,404382,2211258,2109281,80172,21805,84620,1332376,110010,1222366,1247756,199740,1048016,19475640,442691,2.325918429407123,18911201,507759,2.759042294170358
1988:Q2,19889882,8753208,6951651,60742,21684,1719131,3776339,3300172,310739,30379,135049,6500,3728930,3712551,16379,1356270,576432,367559,412279,2235522,2131023,82034,22465,33113,1338442,105733,1232709,1305329,211473,1093856,19889882,414242,2.126975254264279,19344109,432909,2.289166501990056
1988:Q3,20107856,8927680,7085148,61705,22332,1758495,3822935,3340495,313491,32074,136875,6664,3681660,3675222,6438,1374191,585832,369823,418536,2261639,2154327,84178,23134,33086,1360781,108506,1252275,1327695,211836,1115859,20107856,217973,1.095899868859519,19663458,319348,1.650880334074962
1988:Q4,20586078,9095132,7208363,63306,23011,1800452,3877709,3388668,319662,33847,135532,6578,3807811,3808761,-950,1405825,601146,380107,424572,2286272,2176227,86195,23850,106751,1502044,128662,1373382,1395293,213813,1181480,20586078,478222,2.378284317356488,20166586,503129,2.558699495470453
1989:Q1,20993115,9260974,7336428,64584,23750,1836212,3932347,3433238,323247,35276,140586,6649,3968165,3965426,2739,1419010,603078,385044,430888,2310658,2197405,88640,24613,95312,1546404,133621,1412783,1451093,226810,1224283,20993115,407038,1.977248169800805,20594530,427944,2.12204482257188
1989:Q2,21475284,9433813,7479395,65728,24499,1864191,3989362,3486034,326247,36649,140432,6188,4197466,4154166,43300,1439833,610521,392609,436703,2348050,2231979,90633,25438,60571,1563229,137833,1425396,1502657,247993,1254664,21475284,482168,2.296791815674141,21017255,422724,2.052604043176994
1989:Q3,22067578,9672554,7683760,67215,25229,1896350,4024434,3519714,330592,38314,135814,6475,4460374,4412870,47504,1464091,619268,403079,441744,2383198,2263956,92948,26294,56453,1621977,171711,1450266,1565525,275749,1289776,22067578,592295,2.758030121792905,21556834,539579,2.567316215885326
1989:Q4,22469700,9817873,7797521,68558,26019,1925775,4070055,3557102,333527,39929,139497,5788,4631867,4608613,23254,1477700,627901,403015,446784,2412950,2290404,95378,27168,53466,1774931,197345,1577586,1721465,275709,1445756,22469700,402121,1.822226380462084,21959144,402310,1.866275954949301
1990:Q1,22492468,9906239,7842319,70032,26759,1967129,4103999,3584416,336256,40943,142385,5725,4540359,4532181,8178,1493836,631165,410540,452131,2448308,2322803,97455,28050,-5999,1741990,162878,1579112,1747988,260910,1487078,22492468,22768,0.101328670656417,22050264,91120,0.41495407925851
1990:Q2,22821635,9989700,7898508,71144,27537,1992511,4126075,3604708,336848,42362,142158,5497,4701499,4674785,26714,1508945,634840,416292,457813,2485402,2356346,100136,28920,4516,1798067,190890,1607177,1793550,269743,1523807,22821635,329167,1.463455790465149,22321301,271037,1.229177665930212
1990:Q3,22465895,10069351,7952142,72647,28316,2016246,4145204,3618668,338543,44099,143894,5225,4201853,4262824,-60971,1525717,640604,421610,463503,2523478,2390518,103180,29780,-4932,1813837,166628,1647209,1818769,230043,1588726,22465895,-355740,-1.558784169266443,22160224,-161077,-0.7216312662526
1990:Q4,22770871,10097900,7955530,74319,28931,2039120,4158957,3627450,340707,46014,144787,4524,4494828,4536850,-42022,1540998,644532,428892,467574,2541762,2405277,105841,30644,-68098,1726320,197596,1528724,1794418,242615,1551803,22770871,304976,1.357506145319866,22634912,474688,2.142072732854026
1991:Q1,23355132,10150972,7977349,75981,29813,2067829,4153427,3615560,343634,47303,146929,5004,4991239,4978898,12341,1557483,649393,434103,473987,2557969,2417956,108432,31581,-60962,1771492,220890,1550602,1832454,276092,1556362,23355132,584261,2.56582721578213,23178010,543098,2.399382226606346
1991:Q2,23339928,10200828,8009621,76826,30674,2083707,4143790,3612153,342711,48754,140172,5186,4933258,4918756,14502,1566808,654657,433144,479007,2590709,2448562,109796,32351,-100651,1748968,224206,1524762,1849619,276334,1573285,23339928,-15205,-0.065101904934722,23235827,57818,0.249450115544074
1991:Q3,23634329,10252951,8040296,77694,31518,2103443,4112448,3586967,341890,50326,133264,5644,5139314,5103313,36001,1585924,664619,438086,483219,2615680,2471465,111153,33062,-77632,1796224,258216,1538008,1873856,282180,1591676,23634329,294401,1.261362872613551,23541491,305664,1.315484535595129
1991:Q4,24258307,10318399,8090172,78767,32071,2117389,4082622,3556622,341091,51819,133090,5680,5767890,5644115,123775,1592542,662815,445832,483895,2621535,2474531,113302,33702,-130360,1888274,278976,1609298,2018635,291200,1727435,24258307,623978,2.640135673490969,24119839,578347,2.456715635790381
1992:Q1,24207633,10413693,8168857,80072,32669,2132095,4068371,3532868,343173,52461,139869,5685,5783375,5678660,104715,1598407,665706,447937,484764,2637692,2488410,114989,34293,-299590,1879164,257473,1621691,2178754,279172,1899582,24207633,-50674,-0.208894609600533,24169105,49266,0.20425666154761
1992:Q2,24283046,10470088,8202466,80953,33590,2153079,4050967,3514657,342938,53881,139491,5521,5766369,5646662,119707,1613414,671688,453250,488476,2675098,2523316,116740,35042,-298411,1919785,272908,1646877,2218196,280355,1937841,24283046,75413,0.311524591055998,24280516,111411,0.460963945489932
1992:Q3,24514118,10565174,8277121,82042,34469,2171542,4036392,3497867,342624,55451,140450,6048,5883154,5750095,133059,1628432,677542,458870,492020,2703786,2549900,118036,35850,-308869,1958300,296190,1662110,2267169,285368,1981801,24514118,231072,0.951578163841917,24627955,347439,1.430937177939082
1992:Q4,25051361,10652429,8340768,82840,35566,2193255,4029954,3489791,341465,57225,141474,5889,6397540,6151125,246415,1652145,689103,465812,497230,2738425,2581990,119708,36727,-425021,1895532,314266,1581266,2320553,308847,2011706,25051361,537243,2.19156725156477,25227904,599949,2.436049108332142
1993:Q1,25339110,10673004,8347347,83413,35844,2206400,4059686,3511525,342948,58190,147023,6875,6566098,6290399,275699,1667768,697592,472564,497612,2778421,2619300,121589,37532,-412743,1968632,365074,1603558,2381375,323329,2058046,25339110,287749,1.148635267354054,25560153,332250,1.316992338023966
1993:Q2,25552184,10792832,8436238,83928,36414,2236252,4078815,3531400,344477,59415,143523,6516,6545119,6287590,257529,1677188,703603,473061,500524,2816003,2654561,123225,38217,-364289,2062447,426520,1635927,2426736,320431,2106305,25552184,213075,0.840892049524517,25823822,263669,1.031562747365288
1993:Q3,25888302,10916010,8529014,84400,36717,2265879,4104677,3559356,345553,60375,139393,7255,6688790,6380073,308717,1689330,708735,479210,501385,2837242,2673529,124904,38809,-355001,2161330,491186,1670144,2516331,327673,2188658,25888302,336118,1.31541714102974,26222917,399094,1.545450170204082
1993:Q4,26463958,11048387,8623500,85114,37695,2302078,4140930,3591179,347756,62097,139898,6966,6851144,6573368,277776,1704793,714854,482890,507049,2874791,2709436,125967,39388,-163053,2479275,543862,1935413,2642328,340997,2301331,26463958,575655,2.223611383589869,26665848,442932,1.689100964916211
1994:Q1,26498014,11143117,8692954,86054,38072,2326037,4199676,3639276,351868,63149,145383,6982,6727976,6388000,339976,1713438,720597,484363,508478,2913865,2745322,128616,39927,-207041,2520690,578653,1942037,2727731,330689,2397042,26498014,34056,0.128688341451756,26823788,157940,0.592292464937108
1994:Q2,26695579,11274123,8789128,86834,38613,2359548,4254546,3692764,356013,64231,141538,6352,6651252,6297950,353302,1735410,726941,496714,511755,2946633,2775186,130919,40528,-172737,2600413,616744,1983669,2773150,328840,2444310,26695579,197566,0.745586202165135,26999964,176176,0.656790225236495
1994:Q3,27104231,11398377,8875197,87310,39371,2396499,4290693,3724413,358816,65581,141883,6450,6880831,6556742,324089,1750612,736633,497396,516583,2998370,2824161,133016,41193,-221103,2639770,626046,2013724,2860873,351444,2509429,27104231,408651,1.530783281182201,27366201,366237,1.35643351598754
1994:Q4,27451326,11497112,8945071,87566,40312,2424163,4343667,3769774,359957,67201,146735,5868,6885742,6527304,358438,1770425,747045,500502,522878,3054114,2878279,133901,41934,-105602,2719030,626762,2092268,2824631,352812,2471819,27451326,347095,1.280593675205913,27580760,214559,0.78403045543021
