date,Households and nonprofit organizations; personal income,Households and nonprofit organizations; personal current taxes,Households and nonprofit organizations; disposable personal income,Households and nonprofit organizations; total personal outlays,Households and nonprofit organizations; personal saving excluding consumer durables and federal government life insurance reserves and Railroad Retirement Board and National Railroad Retirement Investment Trust pension fund reserves (NIPA),Federal government; life insurance and pension fund reserves, adjustment to convert NIPA to FOF savings; liability,Households and nonprofit organizations; adjustment to contributions for government social insurance paid for U.S. affiliated areas,Households and nonprofit organizations; consumer durable goods, current cost basis,Households and nonprofit organizations; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis, including consumer durables, current cost basis (FOF basis),Households and nonprofit organizations; net capital transfers paid,Households and nonprofit organizations; gross saving less net capital transfers paid including consumer durables, government insurance and pension fund reserves, and contributions for,Households and nonprofit organizations; gross investment,Households and nonprofit organizations; total capital expenditures including consumer durables,Households and nonprofit organizations; gross fixed investment, consumer durable goods,Households and nonprofit organizations; gross fixed investment, residential equipment and structures (includes farm houses),Nonprofit organizations; gross fixed investment, nonresidential structures, equipment, and intellectual property products,Households and nonprofit organizations; acquisition of nonproduced nonfinancial assets (net),Households and nonprofit organizations; net lending (+) or borrowing (-) (financial account),Households and nonprofit organizations; total financial assets,Households and nonprofit organizations; private foreign deposits; asset,Households and nonprofit organizations; checkable deposits and currency; asset,Households and nonprofit organizations; total time and savings deposits; asset,Households and nonprofit organizations; money market fund shares; asset,Households and nonprofit organizations; debt securities; asset,Households and nonprofit organizations; Treasury securities; asset,Households and nonprofit organizations; agency- and GSE-backed securities; asset,Households and nonprofit organizations; municipal securities; asset,Households and nonprofit organizations; corporate and foreign bonds; asset,Households and nonprofit organizations; loans; asset,Households and nonprofit organizations; other loans and advances; asset,Households and nonprofit organizations; total mortgages; asset,Nonprofit organizations; consumer credit, student loans; asset,Households and nonprofit organizations; corporate equities; asset,Households and nonprofit organizations; mutual fund shares; asset,Nonprofit organizations; grants and trade receivables; asset,Households and nonprofit organizations; life insurance reserves; asset,Households and nonprofit organizations; pension entitlements; asset,Households and nonprofit organizations; proprietors' equity in noncorporate business,Households and nonprofit organizations; total miscellaneous assets,Households and nonprofit organizations; total liabilities,Nonprofit organizations; municipal securities; liability,Households and nonprofit organizations; loans; liability,Households and nonprofit organizations; one-to-four-family residential mortgages; liability,Households and nonprofit organizations; consumer credit; liability,Households and nonprofit organizations; depository institution loans n.e.c.; liability,Households and nonprofit organizations; other loans and advances; liability,Nonprofit organizations; commercial mortgages; liability,Nonprofit organizations; trade payables; liability,Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset,Households and nonprofit organizations; sector discrepancy
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,213496,19205,194291,177100,17191,641,0,7588,18750,1068,43102,47190,37442,22947,13381,1114,0,9748,18389,0,-2398,2201,0,914,752,-53,171,44,1192,-6,1198,0,915,148,0,2843,7357,4821,395,8641,0,8510,5155,3034,5,101,215,80,51,-4088
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,211071,16733,194338,180715,13623,592,0,8536,20262,915,42098,45917,38945,25176,12451,1318,0,6972,14924,0,-1779,2594,0,61,1439,-66,-905,-407,773,48,725,0,561,275,0,2751,7904,1414,370,7952,0,7850,3984,3042,16,563,245,33,69,-3819
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,233735,18912,214823,194826,19997,547,0,11863,22768,825,54350,57797,50053,30690,17692,1671,0,7744,21486,0,2561,2365,0,806,-756,92,1741,-271,965,269,696,0,766,211,0,2945,8430,2102,335,13742,0,13572,7844,4573,142,713,300,67,103,-3447
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
