1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q1,17820,0,1456,1456,0,0,0,0,16364,17820
1968:Q2,18288,0,1936,1936,0,0,0,0,16352,18288
1968:Q3,18656,0,992,992,0,0,0,0,17664,18656
1968:Q4,18820,0,960,960,0,0,0,0,17860,18820
1969:Q1,19052,0,1816,1816,0,0,0,0,17236,19052
1969:Q2,19572,0,1284,1284,0,0,0,0,18288,19572
1969:Q3,21532,0,2288,2288,0,0,0,0,19244,21532
1969:Q4,21692,0,688,688,0,0,0,0,21004,21692
1970:Q1,23396,0,2776,2776,0,0,0,0,20620,23396
1970:Q2,24732,0,1396,1396,0,0,0,0,23336,24732
1970:Q3,26580,0,2696,2696,0,0,0,0,23884,26580
1970:Q4,27088,0,2656,2656,0,0,0,0,24432,27088
1971:Q1,27536,0,3696,3696,0,0,0,0,23840,27536
1971:Q2,27972,0,1460,1460,0,0,0,0,26512,27972
1971:Q3,28964,0,3288,3288,0,0,0,0,25676,28964
1971:Q4,29412,0,2928,2928,0,0,0,0,26484,29412
1972:Q1,29420,0,3440,3440,0,0,0,0,25980,29420
1972:Q2,29528,0,-1376,-1376,0,0,0,0,30904,29528
1972:Q3,30824,0,5512,5512,0,0,0,0,25312,30824
1972:Q4,30604,0,4396,4396,0,0,0,0,26208,30604
1973:Q1,30248,0,3112,3112,0,0,0,0,27136,30248
1973:Q2,30724,0,-1428,-1428,0,0,0,0,32152,30724
1973:Q3,31700,0,3956,3956,0,0,0,0,27744,31700
1973:Q4,31772,0,2900,2900,0,0,0,0,28872,31772
1974:Q1,31272,0,2256,2256,0,0,0,0,29016,31272
1974:Q2,31852,0,2656,2656,0,0,0,0,29196,31852
1974:Q3,32092,0,5144,5144,0,0,0,0,26948,32092
1974:Q4,31860,0,900,900,0,0,0,0,30960,31860
1975:Q1,31680,0,2156,2156,0,0,0,0,29524,31680
1975:Q2,31812,0,5916,5916,0,0,0,0,25896,31812
1975:Q3,32252,0,8068,8068,0,0,0,0,24184,32252
1975:Q4,32044,0,-1320,-1320,0,0,0,0,33364,32044
1976:Q1,33180,0,768,768,0,0,0,0,32412,33180
1976:Q2,33380,0,10132,10132,0,0,0,0,23248,33380
1976:Q3,33336,0,10344,10344,0,0,0,0,22992,33336
1976:Q4,34124,0,-2864,-2864,0,0,0,0,36988,34124
1977:Q1,33508,0,-768,-768,0,0,0,0,34276,33508
1977:Q2,35236,0,-7908,-7908,0,0,0,0,43144,35236
1977:Q3,37092,0,39844,39844,0,0,0,0,-2752,37092
1977:Q4,37772,0,-4868,-4868,0,0,0,0,42640,37772
1978:Q1,39884,0,-92,-92,0,0,0,0,39976,39884
1978:Q2,42052,0,-4524,-4524,0,0,0,0,46576,42052
1978:Q3,42724,0,35580,35580,0,0,0,0,7144,42724
1978:Q4,43656,0,-2848,-2848,0,0,0,0,46504,43656
1979:Q1,42508,0,244,244,0,0,0,0,42264,42508
1979:Q2,43352,0,284,284,0,0,0,0,43068,43352
1979:Q3,44060,0,32024,32024,0,0,0,0,12036,44060
1979:Q4,44472,0,-552,-552,0,0,0,0,45024,44472
1980:Q1,43244,0,13356,13356,0,0,0,0,29888,43244
1980:Q2,43056,0,9548,9548,0,0,0,0,33508,43056
1980:Q3,44500,0,3444,3444,0,0,0,0,41056,44500
1980:Q4,45824,0,9352,9352,0,0,0,0,36472,45824
1981:Q1,43912,0,11288,11288,0,0,0,0,32624,43912
1981:Q2,45176,0,9540,9540,0,0,0,0,35636,45176
1981:Q3,46360,0,9792,9792,0,0,0,0,36568,46360
1981:Q4,46928,0,9364,9364,0,0,0,0,37564,46928
1982:Q1,45452,0,13552,13552,0,0,0,0,31900,45452
1982:Q2,48744,0,12316,12316,0,0,0,0,36428,48744
1982:Q3,49908,0,12328,12328,0,0,0,0,37580,49908
