1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,7091,509,409,101,2115,3957,7091,5743,0,3356,272,2115,1071,78,19,227,11,0,736,0,0,0,0,277,7091,1072,-564,922,0,5,709,5944,2879,-336,131,-44,10,572,257,755,710,699,0,64,40,0,55,0,0,0,-219,0,371,75
1952:Q1,2121,281,-1268,-149,2246,1011,2121,2081,0,1140,-1305,2246,1,-26,-6,-114,2,0,145,0,0,0,0,39,2121,2016,2469,-762,0,9,300,202,-1376,79,55,1,2,242,545,243,99,241,0,39,13,0,137,0,0,0,-310,0,192,-97
1952:Q2,4113,118,-14,-56,2464,1601,4113,3741,0,1446,-169,2464,323,-34,-9,97,2,0,267,0,0,0,0,49,4113,1490,2093,-1270,0,-10,677,2513,278,253,61,7,1,134,288,243,386,177,0,9,16,0,-69,0,0,0,825,0,-96,110
1952:Q3,6154,209,3273,441,1215,1016,6154,6005,0,1169,3621,1215,232,31,8,90,3,0,100,0,0,0,0,-83,6154,2288,1687,452,0,-2,151,3468,709,1365,-82,8,1,295,837,277,425,340,0,6,16,0,-13,0,0,0,-865,0,149,398
1952:Q4,6044,-190,3951,202,962,1119,6044,6150,0,1012,4176,962,-128,31,7,-26,3,0,-143,0,0,0,0,22,6044,1503,561,648,0,0,294,4710,819,1641,50,5,3,252,657,336,48,198,0,23,15,0,12,0,0,0,652,0,-1,-169
1953:Q1,-60,194,-3020,-2,1564,1204,-60,-555,0,799,-2918,1564,444,-30,-7,-106,2,0,585,0,0,0,0,51,-60,1254,387,586,0,52,229,-1435,-765,-2208,-40,2,1,296,717,348,60,274,0,3,15,0,200,0,0,0,-572,0,234,121
1953:Q2,2433,-192,460,-430,1158,1437,2433,2113,0,940,15,1158,445,-22,-6,14,1,0,458,0,0,0,0,-125,2433,2029,3574,-1660,0,-34,149,173,877,-2275,27,0,1,221,564,342,333,371,0,-22,15,0,-121,0,0,0,-93,0,-67,231
1953:Q3,9317,328,6540,261,1416,772,9317,8678,0,580,6682,1416,684,70,18,117,2,0,477,0,0,0,0,-45,9317,2374,324,1886,0,-19,183,6644,489,4072,-9,-1,1,302,491,312,98,359,0,4,15,0,18,0,0,0,319,0,174,299
1953:Q4,6375,48,1943,1802,1217,1365,6375,6255,0,1267,3771,1217,113,47,12,-28,2,0,80,0,0,0,0,7,6375,747,-575,982,0,-1,341,5605,682,2938,58,-1,3,305,656,272,39,223,0,23,15,0,-3,0,0,0,468,0,-73,23
1954:Q1,-1271,355,-4544,431,1504,983,-1271,-1482,0,900,-3886,1504,40,6,1,-228,1,0,260,0,0,0,0,171,-1271,-698,389,-1287,0,18,182,-818,-1085,-1386,-29,3,2,191,695,277,20,384,0,48,15,0,312,0,0,0,-389,0,124,245
1954:Q2,1453,-140,151,-812,1350,904,1453,1486,0,894,-758,1350,30,7,2,96,1,0,-76,0,0,0,0,-63,1453,-3342,-446,-3028,0,-10,142,4930,505,2379,-1,7,2,224,416,292,312,407,0,13,14,0,-29,0,0,0,519,0,-130,-135
1954:Q3,4533,76,3296,-1332,1510,983,4533,4716,0,1375,1831,1510,-85,16,4,125,8,0,-238,0,0,0,0,-98,4533,835,-923,1529,0,-2,231,3350,-791,2880,-12,7,2,266,386,333,8,301,0,40,14,0,24,0,0,0,-112,0,4,348
1954:Q4,7202,-11,3828,1781,1287,317,7202,7411,0,495,5629,1287,-149,214,53,-28,8,0,-396,0,0,0,0,-60,7202,1305,-22,1123,0,-5,209,5735,942,3495,82,0,2,270,395,386,78,306,0,23,17,0,-47,0,0,0,9,0,-223,162
1955:Q1,-1919,208,-4372,246,1492,507,-1919,-2146,0,477,-4115,1492,321,-54,-13,-19,8,0,399,0,0,0,0,-94,-1919,2373,1863,253,0,6,251,-4291,-1383,-4157,-17,-1,3,79,567,375,-12,276,0,6,18,0,133,0,0,0,-485,0,307,-1
