1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,24943,0,0,0,14592,0,638,2963,816,0,0,0,10175,2765,175,2590,0,0,911,911,0,0,0,0,0,1175,0,17,1158,0,1421,1421,893,893,0,0,0,0,0,0,0,0,0,0,0,0,0,2696,2426,270,0,0,0,0,0,0,0,0,0,0
1952:Q1,24613,0,0,0,14764,0,624,3064,771,0,0,0,10305,2807,180,2627,0,0,589,589,0,0,0,0,0,1210,0,18,1192,0,1422,1422,748,748,0,0,0,0,0,0,0,0,0,0,0,0,0,2615,2354,262,0,0,0,0,0,0,0,0,0,0
1952:Q2,25106,0,0,0,15033,0,608,3133,844,0,0,0,10448,2846,185,2661,0,0,653,653,0,0,0,0,0,1245,0,20,1225,0,1454,1454,695,695,0,0,0,0,0,0,0,0,0,0,0,0,0,2764,2488,276,0,0,0,0,0,0,0,0,0,0
1952:Q3,25639,0,0,0,15395,0,624,3166,980,0,0,0,10625,2882,185,2697,0,0,715,715,0,0,0,0,0,1220,0,19,1201,0,1465,1465,677,677,0,0,0,0,0,0,0,0,0,0,0,0,0,2831,2548,283,0,0,0,0,0,0,0,0,0,0
1952:Q4,26391,0,0,0,15593,0,660,3189,1138,0,0,0,10606,2902,189,2713,0,0,864,864,0,0,0,0,0,1197,0,18,1179,0,1502,1502,714,714,0,0,0,0,0,0,0,0,0,0,0,0,0,3127,2814,313,0,0,0,0,0,0,0,0,0,0
1953:Q1,26652,0,0,0,15749,0,681,3372,913,0,0,0,10783,2953,195,2758,0,0,611,611,0,0,0,0,0,1110,0,17,1093,0,1665,1665,737,737,0,0,0,0,0,0,0,0,0,0,0,0,0,3372,3035,337,0,0,0,0,0,0,0,0,0,0
1953:Q2,27616,0,0,0,16394,4,996,3378,839,0,0,0,11177,3006,200,2806,0,0,718,718,0,0,0,0,0,1149,0,19,1130,0,1854,1854,639,639,0,0,0,0,0,0,0,0,0,0,0,0,0,3428,3085,343,0,0,0,0,0,0,0,0,0,0
1953:Q3,28309,0,0,0,16966,6,1014,3410,842,0,0,0,11694,3055,205,2850,0,0,801,801,0,0,0,0,0,1124,0,18,1106,0,1789,1789,663,663,0,0,0,0,0,0,0,0,0,0,0,0,0,3396,3056,340,0,0,0,0,0,0,0,0,0,0
1953:Q4,28596,0,0,0,17136,8,963,3476,774,0,0,0,11915,3122,208,2914,0,0,952,952,0,0,0,0,0,987,0,14,973,0,1866,1866,708,708,0,0,0,0,0,0,0,0,0,0,0,0,0,3252,2927,325,0,0,0,0,0,0,0,0,0,0
1954:Q1,28545,0,0,0,17114,11,920,3612,670,0,0,0,11901,3187,215,2972,0,0,630,630,0,0,0,0,0,1024,0,15,1009,0,1888,1888,786,786,0,0,0,0,0,0,0,0,0,0,0,0,0,3336,3002,334,0,0,0,0,0,0,0,0,0,0
1954:Q2,28535,0,0,0,16742,14,819,3591,477,0,0,0,11841,3252,220,3032,0,0,675,675,0,0,0,0,0,1095,0,18,1077,0,2045,2045,833,833,0,0,0,0,0,0,0,0,0,0,0,0,0,3304,2974,330,0,0,0,0,0,0,0,0,0,0
1954:Q3,28736,0,0,0,16663,16,830,3633,453,0,0,0,11731,3309,225,3084,0,0,689,689,0,0,0,0,0,1119,0,18,1101,0,2290,2290,919,919,0,0,0,0,0,0,0,0,0,0,0,0,0,3138,2824,314,0,0,0,0,0,0,0,0,0,0
1954:Q4,29794,0,0,0,16720,18,818,3741,439,0,0,0,11704,3357,230,3127,0,0,867,867,0,0,0,0,0,1027,0,16,1011,0,2672,2672,1020,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,3258,2932,326,0,0,0,0,0,0,0,0,0,0
1955:Q1,29981,0,0,0,16917,43,827,3927,447,0,0,0,11673,3428,240,3188,0,0,702,702,0,0,0,0,0,1097,0,18,1079,0,2971,2971,1023,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,3036,2732,304,0,0,0,0,0,0,0,0,0,0
1955:Q2,30636,0,0,0,17060,49,847,3995,438,0,0,0,11731,3470,245,3225,0,0,1017,1017,0,0,0,0,0,1172,0,22,1150,0,3033,3033,913,913,0,0,0,0,0,0,0,0,0,0,0,0,0,3316,2984,332,0,0,0,0,0,0,0,0,0,0
1955:Q3,31051,0,0,0,17121,51,822,4096,441,16,0,0,11695,3517,250,3267,0,0,1275,1275,0,0,0,0,0,1191,0,22,1169,0,3133,3133,985,985,0,0,0,0,0,0,0,0,0,0,0,0,0,3158,2842,316,0,0,0,0,0,0,0,0,0,0
1955:Q4,31498,0,0,0,17056,55,698,4152,451,66,0,0,11634,3550,260,3290,0,0,1417,1417,0,0,0,0,0,1064,0,17,1047,0,3108,3108,899,899,0,0,0,0,0,0,0,0,0,0,0,0,0,3762,3386,376,0,0,0,0,0,0,0,0,0,0
1956:Q1,31715,0,0,0,17004,60,663,4144,458,26,0,0,11653,3611,265,3346,0,0,1138,1138,0,0,0,0,0,1118,0,20,1098,0,3099,3099,972,972,0,0,0,0,0,0,0,0,0,0,0,0,0,4113,3702,411,0,0,0,0,0,0,0,0,0,0
1956:Q2,31928,0,0,0,17233,69,705,4173,460,94,0,0,11732,3685,271,3414,0,0,1173,1173,0,0,0,0,0,1247,0,24,1223,0,3102,3102,835,835,0,0,0,0,0,0,0,0,0,0,0,0,0,3969,3572,397,0,0,0,0,0,0,0,0,0,0
1956:Q3,31785,0,0,0,17256,78,703,4197,495,98,0,0,11685,3730,280,3450,0,0,1142,1142,0,0,0,0,0,1280,0,24,1256,0,3097,3097,867,867,0,0,0,0,0,0,0,0,0,0,0,0,0,3608,3247,361,0,0,0,0,0,0,0,0,0,0
1956:Q4,32734,0,0,0,17661,88,698,4367,519,361,0,0,11628,3804,285,3519,0,0,1228,1228,0,0,0,0,0,1204,0,20,1184,0,3142,3142,882,882,0,0,0,0,0,0,0,0,0,0,0,0,0,3846,3461,385,0,0,0,0,0,0,0,0,0,0
1957:Q1,33062,0,0,0,17625,106,709,4401,576,211,0,0,11622,3885,290,3595,0,0,961,961,0,0,0,0,0,1268,0,22,1246,0,3015,3015,815,815,0,0,0,0,0,0,0,0,0,0,0,0,0,4474,4027,447,0,0,0,0,0,0,0,0,0,0
1957:Q2,33380,0,0,0,17366,127,783,4353,578,3,0,0,11522,3980,302,3678,0,0,1079,1079,0,0,0,0,0,1383,0,25,1358,0,3210,3210,814,814,0,0,0,0,0,0,0,0,0,0,0,0,0,4569,4112,457,0,0,0,0,0,0,0,0,0,0
1957:Q3,33778,0,0,0,17508,145,734,4348,644,118,0,0,11519,4076,310,3766,0,0,1119,1119,0,0,0,0,0,1426,0,26,1400,0,3106,3106,833,833,0,0,0,0,0,0,0,0,0,0,0,0,0,4513,4062,451,0,0,0,0,0,0,0,0,0,0
1957:Q4,34593,0,0,0,17937,166,756,4327,670,81,0,0,11937,4189,320,3869,0,0,1265,1265,0,0,0,0,0,1386,0,26,1360,0,2805,2805,894,894,0,0,0,0,0,0,0,0,0,0,0,0,0,4810,4329,481,0,0,0,0,0,0,0,0,0,0
1958:Q1,35193,0,0,0,18134,196,729,4436,721,7,0,0,12045,4300,330,3970,0,0,696,696,0,0,0,0,0,1467,0,28,1439,0,3054,3054,951,951,0,0,0,0,0,0,0,0,0,0,0,0,0,5062,4556,506,0,0,0,0,0,0,0,0,0,0
1958:Q2,35873,0,0,0,18211,227,744,4426,758,0,0,0,12056,4398,340,4058,0,0,929,929,0,0,0,0,0,1635,0,33,1602,0,3486,3486,1045,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,4817,4335,482,0,0,0,0,0,0,0,0,0,0
1958:Q3,35982,0,0,0,18550,251,748,4452,817,19,0,0,12263,4475,350,4125,0,0,1010,1010,0,0,0,0,0,1706,0,34,1672,0,3554,3554,1116,1116,0,0,0,0,0,0,0,0,0,0,0,0,0,4290,3861,429,0,0,0,0,0,0,0,0,0,0
1958:Q4,37422,0,0,0,18931,273,769,4468,850,60,0,0,12511,4548,360,4188,0,0,1298,1298,0,0,0,0,0,1666,0,34,1632,0,3770,3770,1156,1156,0,0,0,0,0,0,0,0,0,0,0,0,0,4859,4373,486,0,0,0,0,0,0,0,0,0,0
1959:Q1,38400,0,0,0,19210,295,788,4584,875,85,0,0,12583,4643,370,4273,0,0,1087,1087,0,0,0,0,0,1831,0,40,1791,0,3804,3804,1272,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,5499,4949,550,0,0,0,0,0,0,0,0,0,0
1959:Q2,39904,0,0,0,19570,337,829,4590,938,42,0,0,12834,4747,380,4367,0,0,1537,1537,0,0,0,0,0,2073,0,48,2025,0,3901,3901,1118,1118,0,0,0,0,0,0,0,0,0,0,0,0,0,5975,5378,598,0,0,0,0,0,0,0,0,0,0
1959:Q3,39977,0,0,0,19723,373,800,4564,981,35,0,0,12970,4864,390,4474,0,0,1795,1795,0,0,0,0,0,2136,0,50,2086,0,3747,3747,1031,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,5727,5154,573,0,0,0,0,0,0,0,0,0,0
1959:Q4,39688,0,0,0,19677,415,797,4511,1035,139,0,0,12780,5018,400,4618,0,0,2134,2134,0,0,0,0,0,2012,0,44,1968,0,3773,3773,-358,-358,0,0,0,0,0,0,0,0,0,0,0,0,0,6281,5653,628,0,0,0,0,0,0,0,0,0,0
1960:Q1,40191,0,0,0,19945,434,802,4535,1073,232,0,0,12869,5196,410,4786,0,0,1520,1520,0,0,0,0,0,2105,0,50,2055,0,3460,3460,-721,-721,0,0,0,0,0,0,0,0,0,0,0,0,0,7320,6588,732,0,0,0,0,0,0,0,0,0,0
1960:Q2,41605,0,0,0,20177,503,971,4505,1171,0,0,0,13027,5391,425,4966,0,0,1770,1770,0,0,0,0,0,2249,0,57,2192,0,3507,3507,-897,-897,0,0,0,0,0,0,0,0,0,0,0,0,0,8026,7223,803,0,0,0,0,0,0,0,0,0,0
1960:Q3,42199,0,0,0,20310,552,852,4525,1250,56,0,0,13075,5542,430,5112,0,0,1736,1736,0,0,0,0,0,2281,0,57,2224,0,3585,3585,-540,-540,0,0,0,0,0,0,0,0,0,0,0,0,0,7617,6855,762,0,0,0,0,0,0,0,0,0,0
1960:Q4,44153,0,0,0,20438,581,875,4507,1240,37,0,0,13198,5671,440,5231,0,0,1981,1981,0,0,0,0,0,2150,0,51,2099,0,3649,3649,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,8189,7370,819,0,0,0,0,0,0,0,0,0,0
1961:Q1,44233,0,0,0,20964,627,871,4670,1290,13,0,0,13493,5823,450,5373,0,0,1477,1477,0,0,0,0,0,2291,0,56,2235,0,4022,4022,-607,-607,0,0,0,0,0,0,0,0,0,0,0,0,0,8032,7229,803,0,0,0,0,0,0,0,0,0,0
1961:Q2,45917,0,0,0,20696,659,1043,4617,1403,0,0,0,12974,5998,475,5523,0,0,1869,1869,0,0,0,0,0,2426,0,63,2363,0,4482,4482,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,8092,7283,809,0,0,0,0,0,0,0,0,0,0
1961:Q3,46004,0,0,0,21290,718,997,4697,1441,9,0,0,13428,6120,486,5634,0,0,2124,2124,0,0,0,0,0,2488,0,65,2423,0,4441,4441,-602,-602,0,0,0,0,0,0,0,0,0,0,0,0,0,7721,6949,772,0,0,0,0,0,0,0,0,0,0
1961:Q4,47891,0,0,0,21594,747,947,4653,1466,104,0,0,13677,6230,497,5733,0,0,2662,2662,0,0,0,0,0,2347,0,59,2288,0,4723,4723,-740,-740,0,0,0,0,0,0,0,0,0,0,0,0,0,8392,7553,839,0,0,0,0,0,0,0,0,0,0
1962:Q1,47582,0,0,0,22229,790,1007,4816,1551,44,0,0,14021,6356,508,5848,0,0,2151,2151,0,0,0,0,0,2493,0,63,2430,0,4379,4379,-1100,-1100,0,0,0,0,0,0,0,0,0,0,0,0,0,8576,7718,858,0,0,0,0,0,0,0,0,0,0
1962:Q2,49286,0,0,0,22805,846,1120,4814,1712,0,0,0,14313,6515,520,5995,0,0,2767,2767,0,0,0,0,0,2690,0,72,2618,0,4001,4001,-450,-450,0,0,0,0,0,0,0,0,0,0,0,0,0,8616,7754,862,0,0,0,0,0,0,0,0,0,0
1962:Q3,49721,0,0,0,22938,924,1134,4870,1764,34,0,0,14212,6654,530,6124,0,0,3046,3046,0,0,0,0,0,2697,0,73,2624,0,4305,4305,-338,-338,0,0,0,0,0,0,0,0,0,0,0,0,0,8138,7324,814,0,0,0,0,0,0,0,0,0,0
1962:Q4,51202,0,0,0,23462,970,1163,4876,1970,89,0,0,14394,6774,540,6234,0,0,3479,3479,0,0,0,0,0,2575,0,70,2505,0,4564,4564,-864,-864,0,0,0,0,0,0,0,0,0,0,0,0,0,8562,7706,856,0,0,0,0,0,0,0,0,0,0
1963:Q1,51278,0,0,0,24184,1032,1128,5123,2031,63,0,0,14807,6898,550,6348,0,0,2514,2514,0,0,0,0,0,2766,0,76,2690,0,4645,4645,-1464,-1464,0,0,0,0,0,0,0,0,0,0,0,0,0,9146,8231,915,0,0,0,0,0,0,0,0,0,0
1963:Q2,54661,0,0,0,24626,1075,1168,5065,2052,0,0,0,15266,7033,561,6472,0,0,3270,3270,0,0,0,0,0,2994,0,88,2906,0,5423,5423,-908,-908,0,0,0,0,0,0,0,0,0,0,0,0,0,9526,8573,953,0,0,0,0,0,0,0,0,0,0
1963:Q3,55804,0,0,0,24851,1131,1178,5085,2154,0,0,0,15303,7137,570,6567,0,0,4024,4024,0,0,0,0,0,3053,0,92,2961,0,5893,5893,-994,-994,0,0,0,0,0,0,0,0,0,0,0,0,0,9131,8218,913,0,0,0,0,0,0,0,0,0,0
1963:Q4,58120,0,0,0,25347,1173,1215,5209,2203,0,0,0,15547,7234,579,6655,0,0,4784,4784,0,0,0,0,0,2939,0,83,2856,0,6095,6095,-1146,-1146,0,0,0,0,0,0,0,0,0,0,0,0,0,9977,8979,998,0,0,0,0,0,0,0,0,0,0
1964:Q1,60326,0,0,0,26031,1246,1249,5457,2199,0,0,0,15880,7366,589,6777,0,0,4168,4168,0,0,0,0,0,3053,0,92,2961,0,5926,5926,-153,-153,0,0,0,0,0,0,0,0,0,0,0,0,0,10833,9750,1083,0,0,0,0,0,0,0,0,0,0
1964:Q2,61435,0,0,0,26720,1281,1271,5519,2274,4,0,0,16371,7510,599,6911,0,0,4769,4769,0,0,0,0,0,3261,0,104,3157,0,5927,5927,-1377,-1377,0,0,0,0,0,0,0,0,0,0,0,0,0,11476,10328,1148,0,0,0,0,0,0,0,0,0,0
1964:Q3,62903,0,0,0,27505,1348,1321,5546,2372,134,0,0,16784,7637,608,7029,0,0,4837,4837,0,0,0,0,0,3325,0,104,3221,0,5764,5764,-573,-573,0,0,0,0,0,0,0,0,0,0,0,0,0,11233,10110,1123,0,0,0,0,0,0,0,0,0,0
1964:Q4,64169,0,0,0,28142,1397,1418,5635,2464,131,0,0,17097,7758,618,7140,0,0,5325,5325,0,0,0,0,0,3205,0,93,3112,0,5610,5610,-823,-823,0,0,0,0,0,0,0,0,0,0,0,0,0,11567,10410,1157,0,0,0,0,0,0,0,0,0,0
1965:Q1,65418,0,0,0,28919,1461,1513,5800,2523,27,0,0,17595,7897,628,7269,0,0,4747,4747,0,0,0,0,0,3387,0,100,3287,0,5572,5572,-756,-756,0,0,0,0,0,0,0,0,0,0,0,0,0,12327,11094,1233,0,0,0,0,0,0,0,0,0,0
1965:Q2,68197,0,0,0,29698,1507,1571,5842,2655,0,0,0,18123,8057,638,7419,0,0,5586,5586,0,0,0,0,0,3617,0,115,3502,0,5592,5592,-678,-678,0,0,0,0,0,0,0,0,0,0,0,0,0,12970,11673,1297,0,0,0,0,0,0,0,0,0,0
1965:Q3,68425,0,0,0,30140,1585,1620,5853,2719,129,0,0,18234,8210,649,7561,0,0,5802,5802,0,0,0,0,0,3665,0,117,3548,0,5420,5420,-548,-548,0,0,0,0,0,0,0,0,0,0,0,0,0,12422,11180,1242,0,0,0,0,0,0,0,0,0,0
1965:Q4,71532,0,0,0,31026,1632,1716,5879,2777,336,0,0,18686,8338,660,7678,0,0,5997,5997,0,0,0,0,0,3571,0,108,3463,0,5986,5986,-310,-310,0,0,0,0,0,0,0,0,0,0,0,0,0,13532,12179,1353,0,0,0,0,0,0,0,0,0,0
1966:Q1,73285,0,0,0,31988,1739,1883,6217,2823,238,0,0,19088,8533,672,7861,0,0,5687,5687,0,0,0,0,0,3845,0,118,3727,0,6137,6137,-644,-644,0,0,0,0,0,0,0,0,0,0,0,0,0,14351,12916,1435,0,0,0,0,0,0,0,0,0,0
1966:Q2,76362,0,0,0,32411,1856,1932,6120,2910,0,0,0,19593,8857,684,8173,0,0,6783,6783,0,0,0,0,0,4170,0,133,4037,0,6303,6303,-305,-305,0,0,0,0,0,0,0,0,0,0,0,0,0,14723,13251,1472,0,0,0,0,0,0,0,0,0,0
1966:Q3,77087,0,0,0,33571,2062,1986,6161,3207,401,0,0,19754,9354,697,8657,0,0,7175,7175,0,0,0,0,0,4275,0,134,4141,0,5905,5905,-53,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,13490,12141,1349,0,0,0,0,0,0,0,0,0,0
1966:Q4,78916,0,0,0,33847,2114,2083,6078,3404,103,0,0,20065,9827,710,9117,0,0,6935,6935,0,0,0,0,0,4213,0,130,4083,0,5950,5950,-65,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,14606,13145,1461,0,0,0,0,0,0,0,0,0,0
1967:Q1,81056,0,0,0,35241,2198,2172,6282,3414,56,0,0,21119,10119,723,9396,0,0,5175,5175,0,0,0,0,0,4531,0,142,4389,0,6479,6479,762,762,0,0,0,0,0,0,0,0,0,0,0,0,0,15045,13541,1505,0,0,0,0,0,0,0,0,0,0
1967:Q2,82437,0,0,0,35953,2258,2245,6392,3464,0,0,0,21594,10406,736,9670,0,0,4302,4302,0,0,0,0,0,4843,0,162,4681,0,6983,6983,1299,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,14520,13068,1452,0,0,0,0,0,0,0,0,0,0
1967:Q3,84240,0,0,0,37069,2360,2207,6372,3570,497,0,0,22063,10609,749,9860,0,0,4122,4122,0,0,0,0,0,4907,0,164,4743,0,7922,7922,1576,1576,0,0,0,0,0,0,0,0,0,0,0,0,0,13889,12500,1389,0,0,0,0,0,0,0,0,0,0
1967:Q4,87458,0,0,0,37439,2443,2283,6593,3579,36,0,0,22505,10819,760,10059,0,0,4386,4386,0,0,0,0,0,4917,0,157,4760,0,9164,9164,2159,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,14257,12831,1426,0,0,0,0,0,0,0,0,0,0
1968:Q1,88968,0,0,0,38583,2557,2370,6619,3636,62,0,0,23339,11107,771,10336,0,0,4269,4269,0,0,0,0,0,5212,0,172,5040,0,8593,8593,1569,1569,0,0,0,0,0,0,0,0,0,0,0,0,0,15299,13769,1530,0,0,0,0,0,0,0,0,0,0
1968:Q2,95608,0,0,0,39102,2938,1678,6673,3835,56,0,0,23922,11478,781,10697,0,0,4889,4889,0,0,0,0,0,5394,0,189,5205,0,10514,10514,3722,3722,0,0,0,0,0,0,0,0,0,0,0,0,0,16223,14601,1622,0,0,0,0,0,0,0,0,0,0
1968:Q3,98148,0,0,0,40107,3059,1683,6764,3878,294,0,0,24429,11836,794,11042,0,0,5026,5026,0,0,0,0,0,5320,0,184,5136,0,10759,10759,5153,5153,0,0,0,0,0,0,0,0,0,0,0,0,0,15620,14058,1562,0,0,0,0,0,0,0,0,0,0
1968:Q4,101170,0,0,0,40770,3206,1706,6868,3993,283,0,0,24714,12109,803,11306,0,0,5259,5259,0,0,0,0,0,5231,0,174,5057,0,12005,12005,4878,4878,0,0,0,0,0,0,0,0,0,0,0,0,0,16490,14841,1649,0,0,0,0,0,0,0,0,0,0
1969:Q1,98729,0,0,0,41644,3329,1747,7045,4130,0,0,0,25393,12542,817,11725,0,0,5331,5331,0,0,0,0,0,5584,0,187,5397,0,10271,10271,1483,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,17060,15354,1706,350,350,0,0,0,0,0,0,0,0
