1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1955:Q2,38325,1386,22865,5293,7968,4514,0,3454,0,813,426,387,0,38325,0,37341,984,0,0
1955:Q3,39917,1451,23814,5665,8095,4859,0,3236,0,892,434,458,0,39917,0,38958,959,0,0
1955:Q4,42972,1799,25662,5737,8819,4972,0,3847,0,955,427,528,0,42972,0,42021,951,0,0
1956:Q1,43595,1432,27113,5764,8296,4987,0,3309,0,990,422,568,0,43595,0,42629,966,0,0
1956:Q2,45698,1388,28607,6217,8460,5080,0,3380,0,1026,439,587,0,45698,0,44673,1025,0,0
1956:Q3,46164,874,29331,6565,8314,5256,0,3058,0,1080,436,644,0,46164,0,45075,1089,0,0
1956:Q4,47961,1181,30747,6279,8544,5268,0,3276,0,1210,500,710,0,47961,0,46872,1089,0,0
1957:Q1,47531,1507,30873,6218,7730,5057,0,2673,0,1203,477,726,0,47531,0,46463,1068,0,0
1957:Q2,49888,1972,32125,6582,7951,4969,0,2982,0,1258,522,736,0,49888,0,48775,1113,0,0
1957:Q3,49581,1724,31811,6658,8006,4971,0,3035,0,1382,609,773,0,49581,0,48483,1098,0,0
1957:Q4,50144,1568,31971,6732,8336,4943,0,3393,0,1537,678,859,0,50144,0,49063,1081,0,0
1958:Q1,48162,762,30808,6609,8355,5057,0,3298,0,1628,704,924,0,48162,0,47054,1108,0,0
1958:Q2,49534,333,30687,7098,9659,5171,0,4488,0,1757,799,958,0,49534,0,48358,1176,0,0
1958:Q3,47888,472,30474,7158,7861,4885,0,2976,0,1923,900,1023,0,47888,0,46684,1204,0,0
1958:Q4,51260,1239,31650,7288,9092,5400,0,3692,0,1991,892,1099,0,51260,0,50087,1173,0,0
1959:Q1,50317,781,31437,7374,8831,5914,0,2917,0,1894,798,1096,0,50317,0,49117,1200,0,0
1959:Q2,53914,1016,33407,7986,9576,6457,0,3119,0,1929,798,1131,0,53914,0,52689,1225,0,0
1959:Q3,55887,1320,34014,8279,10264,6963,0,3301,0,2010,818,1192,0,55887,0,54615,1272,0,0
1959:Q4,59837,1424,35439,8343,12492,7247,0,5245,0,2139,888,1251,0,59837,0,58565,1272,0,0
1960:Q1,58983,908,35977,8464,11584,7180,0,4404,0,2050,860,1190,0,58983,0,57727,1256,0,0
1960:Q2,61452,1572,36856,8850,12153,7238,0,4915,0,2021,800,1221,0,61452,0,60129,1323,0,0
1960:Q3,60918,1526,36543,8881,11938,6658,0,5280,0,2030,788,1242,0,60918,0,59508,1410,0,0
1960:Q4,62903,2122,37651,8858,12027,6693,0,5334,0,2245,861,1384,0,62903,0,61457,1446,0,0
1961:Q1,61003,1795,37641,8971,10386,5247,0,5139,0,2210,849,1361,0,61003,0,59167,1836,0,0
1961:Q2,62145,2857,37343,9214,10385,5149,0,5236,0,2346,839,1507,0,62145,0,60157,1988,0,0
1961:Q3,63013,2725,37134,9395,11384,5449,0,5935,0,2375,793,1582,0,63013,0,61167,1846,0,0
1961:Q4,67109,2992,38585,9459,13346,6350,0,6996,0,2727,988,1739,0,67109,0,65339,1770,0,0
1962:Q1,65746,3202,38089,9617,11872,5232,0,6640,0,2966,1120,1846,0,65746,0,64099,1647,0,0
1962:Q2,67489,3084,39474,10147,11812,5987,0,5825,0,2972,1200,1772,0,67489,0,66008,1481,0,0
1962:Q3,68945,3259,40045,10332,12318,6129,0,6189,0,2991,1163,1828,0,68945,0,67357,1588,0,0
1962:Q4,74085,3450,42226,10573,14929,6999,0,7930,0,2907,1033,1874,0,74085,0,72484,1601,0,0
1963:Q1,71918,3160,41735,10639,13572,6239,0,7333,0,2812,914,1898,0,71918,0,70161,1757,0,0
1963:Q2,75234,3756,42769,11221,14556,6830,0,7726,0,2932,880,2052,0,75234,0,73331,1903,0,0
1963:Q3,76661,3373,43000,11350,15871,7417,0,8454,0,3067,916,2151,0,76661,0,74557,2104,0,0
1963:Q4,81834,3794,45623,11731,17313,8428,0,8885,0,3373,914,2459,0,81834,0,79786,2048,0,0
1964:Q1,78260,3561,45036,11911,14201,7208,0,6993,0,3551,890,2661,0,78260,0,76184,2076,0,0
1964:Q2,84780,4366,46688,12393,17648,8416,0,9232,0,3685,818,2867,0,84780,0,82651,2129,0,0
1964:Q3,83670,3863,47295,12529,16084,7824,0,8260,0,3899,816,3083,0,83670,0,81476,2194,0,0
1964:Q4,90007,5134,50264,12477,17588,8388,0,9200,0,4544,939,3605,0,90007,0,87946,2061,0,0
1965:Q1,91087,4309,52461,12968,16179,7881,0,8298,0,5170,1074,4096,0,91087,0,88958,2129,0,0
1965:Q2,97692,4292,55467,13599,19377,9726,0,9651,0,4957,1034,3923,0,97692,0,95640,2052,0,0
1965:Q3,97101,3929,56660,13801,17722,10233,0,7489,0,4989,1073,3916,0,97101,0,94914,2187,0,0
1965:Q4,105630,4707,61141,14046,20753,11706,0,9047,0,4983,1064,3919,0,105630,0,103738,1892,0,0
1966:Q1,104231,3546,62119,14668,19018,10895,0,8123,0,4880,954,3926,0,104231,0,102277,1954,0,0
1966:Q2,113634,5292,66583,15622,21255,12095,0,9160,0,4882,987,3895,0,113634,0,111704,1930,0,0
1966:Q3,110787,4707,67759,15650,17885,10585,0,7300,0,4786,957,3829,0,110787,0,108707,2080,0,0
1966:Q4,116906,5378,69715,16296,20715,11074,0,9641,0,4802,960,3842,0,116906,0,114609,2297,0,0
1967:Q1,114065,4488,70151,16495,18190,9285,0,8905,0,4741,888,3853,0,114065,0,111685,2380,0,0
1967:Q2,118872,5045,73315,17240,18717,10311,0,8406,0,4555,891,3664,0,118872,0,116515,2357,0,0
1967:Q3,117645,3532,72504,17199,19714,10233,0,9481,0,4696,970,3726,0,117645,0,115209,2436,0,0
1967:Q4,133476,13404,76269,17657,21298,10712,0,10586,0,4848,975,3873,0,133476,0,131054,2422,0,0
1968:Q1,122267,4976,75965,17895,18762,8707,105,9950,0,4669,927,3742,0,122267,0,119693,2574,0,0
1968:Q2,128992,6276,79707,18759,19725,10278,207,9240,0,4525,856,3669,0,128992,0,126317,2675,0,0
1968:Q3,129278,5424,80255,18709,20474,9889,335,10250,0,4416,818,3598,0,129278,0,126479,2799,0,0
1968:Q4,140129,6808,86106,19120,23706,11819,566,11321,0,4389,774,3615,0,140129,0,137361,2768,0,0
