1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q3,50201,-1123,66505,-9001,-4030,-998,28,935,-339,4,70,-213,603,-32,-8,0,-1828,-17,11,-212,-1152
1954:Q4,5404,4085,8730,-5517,3199,-2997,248,-382,493,0,82,-369,-864,-376,12,0,-1628,-17,13,-209,-2096
1955:Q1,14807,-19475,39281,-11310,1683,2735,-184,795,-185,-1,51,334,251,-100,4,0,2054,-42,5,-247,1893
1955:Q2,81960,-8322,104324,-19545,2782,-108,-21,-203,66,3,66,-97,900,-32,8,0,-490,-46,6,-269,2829
1955:Q3,40788,-2786,55497,-5491,-5318,-1215,-53,1009,-342,3,69,-415,100,-104,-16,0,-1124,-51,2,-293,101
1955:Q4,12651,499,16951,-4301,1804,-243,258,675,478,-1,77,-213,-42,-596,12,0,-535,-53,9,-312,-2059
1956:Q1,60078,-20090,86330,-9843,1001,2435,-345,1244,-198,-5,89,335,1057,-216,-8,0,922,-40,23,-423,245
1956:Q2,-59040,-15739,-26029,-20617,3373,-537,-22,-661,89,3,89,12,232,-40,24,0,193,-41,19,-435,509
1956:Q3,-44611,-2138,-33894,-2762,-4913,-105,-42,1233,-347,-5,92,-495,-172,-92,-12,0,214,-44,16,-451,-799
1956:Q4,78700,-977,80659,-3648,3091,-46,414,2216,489,-1,100,-407,-244,-700,28,0,-1485,-43,38,-450,-379
1957:Q1,-73229,-21169,-45700,-12979,2729,3757,-480,1497,-201,-1,97,304,721,-304,-80,0,2538,-27,22,-329,132
1957:Q2,56896,-17778,85642,-16542,4468,-196,-20,-61,63,-1,106,326,466,-36,36,0,-743,-26,19,-325,1302
1957:Q3,-131836,-4595,-121226,-2109,-3991,335,304,1152,-393,-1,113,-305,-67,-32,-12,0,-80,-27,10,-327,-250
1957:Q4,-7500,-2166,4865,-11090,2899,-398,204,472,555,-5,139,-551,272,-568,12,0,-567,-25,-27,-308,-1610
1958:Q1,36974,-24948,70781,-11775,3064,513,-191,-203,-301,-5,145,278,742,-276,0,0,614,-22,19,-287,-661
1958:Q2,59745,-11115,81859,-13519,3661,-696,21,-692,97,-1,140,303,1176,80,28,0,-1592,-19,20,-258,-445
1958:Q3,109642,-5439,121732,88,-5049,-209,153,227,-379,-1,137,-471,262,48,-31,0,84,-17,22,-243,-1481
1958:Q4,46256,-512,56031,-10424,3087,255,221,1511,608,-5,148,-496,-993,-608,-7,0,124,-19,27,-255,-2181
