1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,23653,22753,591,892,-174,-409,25282,1203,22753,0,0,0,1326,-1629,2697,2697,0,20056,20056,0,0,0,1203,0,1203,1184,19,715,715,0,1023,1226,203,62,53,9,350,298,52,0,0,0,1326,-976,-946,100,174,409,30,-1629
1952:Q1,23442,22696,324,1013,-176,-415,25092,867,22696,0,0,0,1529,-1650,2420,2420,0,20276,20276,0,0,0,867,0,867,710,157,728,728,0,1166,1395,229,56,46,10,309,248,61,0,0,0,1529,-977,-944,115,176,415,33,-1650
1952:Q2,22231,21777,-47,1112,-175,-436,24083,625,21777,0,0,0,1681,-1852,2396,2396,0,19381,19381,0,0,0,625,0,625,581,44,722,722,0,1281,1533,252,55,44,11,267,203,64,0,0,0,1681,-1147,-1113,128,175,436,34,-1852
1952:Q3,24500,23111,1025,978,-173,-441,25678,1093,23111,0,0,0,1474,-1178,2530,2530,0,20581,20581,0,0,0,1093,0,1093,738,355,655,655,0,1123,1352,229,52,42,10,252,205,47,0,0,0,1474,-476,-446,118,173,441,30,-1178
1952:Q4,23572,22703,509,1021,-170,-491,25310,1094,22703,0,0,0,1513,-1738,2753,2753,0,19950,19950,0,0,0,1094,0,1094,967,127,661,661,0,1183,1424,241,86,76,10,245,185,60,0,0,0,1513,-985,-953,124,170,491,32,-1738
1953:Q1,23974,22698,982,938,-170,-474,25679,1500,22698,0,0,0,1481,-1705,2550,2550,0,20148,20148,0,0,0,1500,0,1500,810,690,706,706,0,1095,1366,271,59,48,11,261,207,54,0,0,0,1481,-969,-939,122,170,474,30,-1705
1953:Q2,22655,22151,200,996,-171,-521,24377,655,22151,0,0,0,1571,-1722,2590,2590,0,19561,19561,0,0,0,655,0,655,601,54,699,699,0,1155,1398,243,71,60,11,212,160,52,0,0,0,1571,-934,-904,126,171,521,30,-1722
1953:Q3,23223,21959,974,983,-172,-521,24587,1014,21959,0,0,0,1614,-1364,2650,2650,0,19309,19309,0,0,0,1014,0,1014,685,329,738,738,0,1131,1373,242,71,60,11,184,142,42,0,0,0,1614,-576,-546,125,172,521,30,-1364
1953:Q4,23181,22672,242,1021,-173,-581,25053,948,22672,0,0,0,1433,-1872,2512,2512,0,20160,20160,0,0,0,948,0,948,935,13,570,570,0,1191,1447,256,79,66,13,249,193,56,0,0,0,1433,-1017,-985,133,173,581,32,-1872
1954:Q1,21669,21824,-389,1017,-173,-610,23852,667,21824,0,0,0,1361,-2183,2630,2630,0,19194,19194,0,0,0,667,0,667,535,132,489,489,0,1182,1439,257,69,57,12,241,189,52,0,0,0,1361,-1299,-1267,133,173,610,32,-2183
1954:Q2,21684,21671,-211,1044,-172,-648,23613,589,21671,0,0,0,1353,-1929,2660,2660,0,19011,19011,0,0,0,589,0,589,567,22,480,480,0,1213,1479,266,87,73,14,253,203,50,0,0,0,1353,-1004,-972,137,172,648,32,-1929
1954:Q3,21543,21161,175,1068,-171,-690,23214,685,21161,0,0,0,1368,-1671,2830,2830,0,18331,18331,0,0,0,685,0,685,511,174,510,510,0,1231,1503,272,114,100,14,259,216,43,0,0,0,1368,-704,-670,140,171,690,34,-1671
1954:Q4,21170,21345,-400,1174,-167,-782,23577,818,21345,0,0,0,1414,-2407,2469,2469,0,18876,18876,0,0,0,818,0,818,808,10,509,509,0,1361,1658,297,141,126,15,315,257,58,0,0,0,1414,-1344,-1306,152,167,782,38,-2407
1955:Q1,21343,21218,-66,1140,-168,-781,23795,1150,21218,0,0,0,1427,-2452,2830,2830,0,18388,18388,0,0,0,1150,0,1150,552,598,511,511,0,1315,1604,289,107,93,14,292,242,50,0,0,0,1427,-1392,-1356,147,168,781,36,-2452
1955:Q2,20918,20747,-78,1229,-169,-811,23156,925,20747,0,0,0,1484,-2238,2681,2681,0,18066,18066,0,0,0,925,0,925,850,75,538,538,0,1410,1714,304,128,113,15,336,287,49,0,0,0,1484,-1141,-1103,155,169,811,38,-2238
1955:Q3,22397,21435,769,1203,-171,-839,24346,1437,21435,0,0,0,1474,-1949,2960,2960,0,18475,18475,0,0,0,1437,0,1437,788,649,570,570,0,1369,1665,296,107,92,15,358,321,37,0,0,0,1474,-825,-787,152,171,839,38,-1949
1955:Q4,22376,21687,554,1233,-174,-924,24769,1692,21687,0,0,0,1390,-2393,2682,2682,0,19005,19005,0,0,0,1692,0,1692,1585,107,553,553,0,1409,1712,303,116,102,14,456,410,46,0,0,0,1390,-1179,-1141,154,174,924,38,-2393
1956:Q1,22002,21472,444,1257,-178,-993,24497,1499,21472,0,0,0,1526,-2495,2890,2890,0,18582,18582,0,0,0,1499,0,1499,793,706,615,615,0,1434,1745,311,105,90,15,418,375,43,0,0,0,1526,-1205,-1167,157,178,993,38,-2495
1956:Q2,20966,20716,94,1348,-183,-1009,23594,1438,20716,0,0,0,1440,-2628,2273,2273,0,18443,18443,0,0,0,1438,0,1438,1206,232,446,446,0,1533,1866,333,89,72,17,450,407,43,0,0,0,1440,-1311,-1268,168,183,1009,43,-2628
1956:Q3,23072,21756,1076,1436,-189,-1007,25082,1633,21756,0,0,0,1693,-2010,3100,3100,0,18656,18656,0,0,0,1633,0,1633,1060,573,677,677,0,1628,1982,354,146,127,19,466,426,40,0,0,0,1693,-681,-636,178,189,1007,45,-2010
1956:Q4,23107,22320,639,1460,-195,-1117,25653,1690,22320,0,0,0,1643,-2546,3261,3261,0,19059,19059,0,0,0,1690,0,1690,1665,25,614,614,0,1666,2029,363,84,64,20,553,503,50,0,0,0,1643,-1098,-1051,183,195,1117,47,-2546
1957:Q1,21281,21260,-36,1437,-202,-1178,24197,1399,21260,0,0,0,1538,-2916,2910,2910,0,18350,18350,0,0,0,1399,0,1399,807,592,553,553,0,1638,1997,359,94,70,24,559,516,43,0,0,0,1538,-1402,-1355,181,202,1178,47,-2916
1957:Q2,21981,21578,253,1530,-210,-1170,24904,1853,21578,0,0,0,1473,-2923,2950,2950,0,18628,18628,0,0,0,1853,0,1853,1029,824,444,444,0,1734,2108,374,104,76,28,601,559,42,0,0,0,1473,-1409,-1356,187,210,1170,53,-2923
1957:Q3,22482,21634,689,1522,-218,-1145,24839,1761,21634,0,0,0,1444,-2357,3040,3040,0,18594,18594,0,0,0,1761,0,1761,985,776,391,391,0,1717,2086,369,101,68,33,563,532,31,0,0,0,1444,-863,-810,184,218,1145,53,-2357
1957:Q4,22140,22369,-266,1541,-223,-1281,25238,1474,22369,0,0,0,1395,-3098,3335,3335,0,19034,19034,0,0,0,1474,0,1474,1424,50,331,331,0,1748,2121,373,120,79,41,564,525,39,0,0,0,1395,-1467,-1410,184,223,1281,57,-3098
1958:Q1,19614,21316,-1641,1601,-229,-1433,23715,822,21316,0,0,0,1577,-4101,2890,2890,0,18426,18426,0,0,0,822,0,822,704,118,401,401,0,1791,2171,380,93,65,28,522,490,32,0,0,0,1577,-2309,-2251,188,229,1433,58,-4101
1958:Q2,19674,21585,-1926,1730,-235,-1480,24202,924,21585,0,0,0,1693,-4528,3017,3017,0,18568,18568,0,0,0,924,0,924,796,128,515,515,0,1917,2317,400,128,114,14,611,574,37,0,0,0,1693,-2677,-2614,199,235,1480,63,-4528
1958:Q3,20587,21241,-670,1774,-239,-1519,24181,1286,21241,0,0,0,1654,-3594,3140,3140,0,18101,18101,0,0,0,1286,0,1286,949,337,465,465,0,1951,2357,406,140,125,15,622,596,26,0,0,0,1654,-1700,-1634,202,239,1519,66,-3594
1958:Q4,20864,21753,-744,1760,-240,-1665,24568,1342,21753,0,0,0,1473,-3704,3249,3249,0,18504,18504,0,0,0,1342,0,1342,1296,46,292,292,0,1955,2361,406,136,120,16,638,594,44,0,0,0,1473,-1664,-1598,201,240,1665,66,-3704
1959:Q1,20722,21284,-334,1716,-188,-1756,24238,1318,21284,0,0,0,1636,-3516,3090,3090,0,18194,18194,0,0,0,1318,0,1318,746,572,458,458,0,1911,2339,428,99,84,15,634,592,42,0,0,0,1636,-1434,-1371,201,188,1756,63,-3516
1959:Q2,21647,21448,394,1656,-130,-1721,24730,1738,21448,0,0,0,1544,-3083,3260,3260,0,18188,18188,0,0,0,1738,0,1738,846,892,450,450,0,1854,2315,461,97,82,15,663,621,42,0,0,0,1544,-1091,-1031,201,130,1721,60,-3083
1959:Q3,21318,21000,414,1619,-74,-1641,23696,1280,21000,0,0,0,1416,-2378,3240,3240,0,17760,17760,0,0,0,1280,0,1280,951,329,391,391,0,1811,2300,489,116,102,14,670,637,33,0,0,0,1416,-518,-461,202,74,1641,57,-2378
1959:Q4,21622,21186,728,1519,-66,-1745,24644,2043,21186,0,0,0,1415,-3022,3012,3012,0,18174,18174,0,0,0,2043,0,2043,1590,453,525,525,0,1735,2164,429,128,114,14,717,666,51,0,0,0,1415,-1060,-1007,204,66,1745,53,-3022
1960:Q1,21247,21076,400,1621,-67,-1783,24417,1638,21076,0,0,0,1703,-3170,3360,3360,0,17716,17716,0,0,0,1638,0,1638,823,815,643,643,0,1840,2286,446,109,95,14,671,638,33,0,0,0,1703,-1148,-1105,215,67,1783,43,-3170
1960:Q2,21036,21018,95,1687,-71,-1693,24212,1135,21018,0,0,0,2059,-3176,3490,3490,0,17528,17528,0,0,0,1135,0,1135,868,267,923,923,0,1934,2409,475,119,103,16,679,642,37,0,0,0,2059,-1218,-1184,228,71,1693,34,-3176
1960:Q3,22773,21598,1093,1792,-77,-1633,25471,1580,21598,0,0,0,2293,-2698,3540,3540,0,18058,18058,0,0,0,1580,0,1580,987,593,1057,1057,0,2058,2542,484,137,120,17,685,651,34,0,0,0,2293,-773,-747,241,77,1633,26,-2698
1960:Q4,21336,20427,911,1857,-83,-1776,24523,1893,20427,0,0,0,2203,-3187,3346,3346,0,17081,17081,0,0,0,1893,0,1893,1868,25,948,948,0,2174,2676,502,162,144,18,757,696,61,0,0,0,2203,-1090,-1073,255,83,1776,17,-3187
1961:Q1,19216,19622,-381,2011,-91,-1945,22907,861,19622,0,0,0,2424,-3691,3630,3630,0,15992,15992,0,0,0,861,0,861,755,106,1004,1004,0,2367,2900,533,148,131,17,799,687,112,0,0,0,2424,-1428,-1402,253,91,1945,26,-3691
1961:Q2,19578,19619,-218,2221,-101,-1943,23516,1206,19619,0,0,0,2691,-3938,2903,2903,0,16716,16716,0,0,0,1206,0,1206,1171,35,1162,1162,0,2555,3123,568,164,148,16,862,759,103,0,0,0,2691,-1679,-1643,251,101,1943,36,-3938
1961:Q3,20808,20180,473,2233,-111,-1967,24241,1382,20180,0,0,0,2679,-3433,3870,3870,0,16310,16310,0,0,0,1382,0,1382,1300,82,1170,1170,0,2573,3133,560,181,164,17,883,784,99,0,0,0,2679,-1131,-1098,257,111,1967,33,-3433
1961:Q4,22210,21076,1440,1969,-119,-2156,25580,2415,21076,0,0,0,2089,-3370,3689,3689,0,17387,17387,0,0,0,2415,0,2415,2300,115,1033,1033,0,2330,2866,536,276,254,22,998,905,93,0,0,0,2089,-849,-773,322,119,2156,76,-3370
1962:Q1,19466,20686,-768,2022,-124,-2350,24025,1088,20686,0,0,0,2251,-4559,3900,3900,0,16786,16786,0,0,0,1088,0,1088,918,170,1191,1191,0,2353,2888,535,195,177,18,1098,1019,79,0,0,0,2251,-1851,-1801,284,124,2350,50,-4559
1962:Q2,19569,20391,-499,2044,-127,-2240,24119,1505,20391,0,0,0,2223,-4550,3185,3185,0,17206,17206,0,0,0,1505,0,1505,1462,43,1190,1190,0,2369,2910,541,197,182,15,1139,1050,89,0,0,0,2223,-1962,-1938,245,127,2240,24,-4550
1962:Q3,22338,21375,1226,2045,-129,-2179,26019,2403,21375,0,0,0,2241,-3681,4270,4270,0,17105,17105,0,0,0,2403,0,2403,1641,762,1126,1126,0,2388,2926,538,176,161,15,1097,1011,86,0,0,0,2241,-1131,-1118,255,129,2179,13,-3681
1962:Q4,21822,21973,218,2091,-131,-2329,26649,2940,21973,0,0,0,1736,-4827,4519,4519,0,17454,17454,0,0,0,2940,0,2940,2903,37,851,851,0,2391,2943,552,261,242,19,1245,1154,91,0,0,0,1736,-2177,-2072,295,131,2329,105,-4827
1963:Q1,18986,20620,-1152,2156,-134,-2504,24461,1417,20620,0,0,0,2424,-5475,4210,4210,0,16410,16410,0,0,0,1417,0,1417,1223,194,1291,1291,0,2484,3039,555,212,194,18,1139,1038,101,0,0,0,2424,-2628,-2555,282,134,2504,73,-5475
1963:Q2,19232,20448,-932,2216,-136,-2364,24436,1734,20448,0,0,0,2254,-5204,3483,3483,0,16965,16965,0,0,0,1734,0,1734,1638,96,1130,1130,0,2566,3134,568,269,252,17,1173,1071,102,0,0,0,2254,-2473,-2433,271,136,2364,40,-5204
