1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q3,42831,29458,13284,2499,-275,-2135,44775,3839,29458,0,0,0,11478,-1944,6950,6950,0,22508,22508,0,0,0,3839,0,3839,2313,1526,9519,10199,680,4393,5710,1317,396,344,52,2038,1759,279,0,0,0,11478,2029,2384,1918,275,2135,355,-1944
1969:Q4,45293,29405,15583,2875,-284,-2286,47777,3623,29405,0,0,0,14749,-2484,7320,7320,0,22085,22085,0,0,0,3623,0,3623,3440,183,12529,13242,713,4734,6013,1279,419,363,56,2095,1785,310,0,0,0,14749,1579,1979,1893,284,2286,400,-2484
1970:Q1,43656,29508,14783,2344,-305,-2674,46783,3791,29508,0,0,0,13484,-3127,6940,6940,0,22568,22568,0,0,0,3791,0,3791,2237,1554,11355,12045,690,4539,6080,1541,352,285,67,2058,1661,397,0,0,0,13484,1583,2062,2210,305,2674,479,-3127
1970:Q2,42844,29081,14782,1899,-334,-2584,44940,2892,29081,0,0,0,12967,-2096,7090,7090,0,21991,21991,0,0,0,2892,0,2892,2562,330,10775,11404,629,4558,6134,1576,472,390,82,1894,1501,393,0,0,0,12967,3006,3527,2705,334,2584,521,-2096
1970:Q3,44113,31198,14010,1623,-364,-2354,45714,3166,31198,0,0,0,11350,-1601,7260,7260,0,23938,23938,0,0,0,3166,0,3166,2313,853,9541,10195,654,4494,6188,1694,497,399,98,2188,1690,498,0,0,0,11350,3392,3844,2727,364,2354,452,-1601
1970:Q4,41568,31197,11823,1801,-387,-2866,44218,4596,31197,0,0,0,8425,-2650,7047,7047,0,24150,24150,0,0,0,4596,0,4596,4261,335,6523,7236,713,4493,6252,1759,560,450,110,2031,1492,539,0,0,0,8425,2646,3302,2699,387,2866,656,-2650
1971:Q1,39839,33162,9581,1109,-408,-3605,41674,2941,33162,0,0,0,5571,-1835,7230,7230,0,25932,25932,0,0,0,2941,0,2941,2550,391,3486,4045,559,4453,6284,1831,634,514,120,1734,1215,519,0,0,0,5571,4883,5302,3124,408,3605,419,-1835
1971:Q2,37573,32184,9423,163,-443,-3754,39493,2995,32184,0,0,0,4314,-1920,7634,7634,0,24550,24550,0,0,0,2995,0,2995,2549,446,2135,2658,523,4465,6431,1966,624,496,128,1662,1155,507,0,0,0,4314,5944,6452,4175,443,3754,508,-1920
1971:Q3,37329,33524,7401,528,-507,-3617,40670,2909,33524,0,0,0,4237,-3341,8100,8100,0,25424,25424,0,0,0,2909,0,2909,2527,382,2468,2968,500,4649,6721,2072,693,557,136,2187,1646,541,0,0,0,4237,4227,5037,4254,507,3617,810,-3341
1971:Q4,38457,35329,5054,2483,-514,-3895,43185,4382,35329,0,0,0,3474,-4728,7541,7541,0,27788,27788,0,0,0,4382,0,4382,4343,39,1642,2300,658,4974,6967,1993,770,625,145,2372,1789,583,0,0,0,3474,1444,3208,3527,514,3895,1764,-4728
1972:Q1,35824,36521,-1139,5650,-561,-4647,42951,3703,36521,0,0,0,2727,-7127,8050,8050,0,28471,28471,0,0,0,3703,0,3703,2673,1030,1485,2130,645,4629,6743,2114,901,747,154,2486,1860,626,0,0,0,2727,-3720,581,2500,561,4647,4301,-7127
1972:Q2,35587,34281,-56,6298,-623,-4313,41121,3429,34281,0,0,0,3411,-5534,6799,6799,0,27482,27482,0,0,0,3429,0,3429,3299,130,1622,2265,643,4874,7195,2321,878,717,161,2207,1583,624,0,0,0,3411,-2807,2992,3590,623,4313,5799,-5534
1972:Q3,34677,35532,-3345,7366,-676,-4200,42799,4584,35532,0,0,0,2683,-8122,8840,8840,0,26692,26692,0,0,0,4584,0,4584,3742,842,1496,2222,726,5106,7624,2518,875,703,172,3044,2349,695,0,0,0,2683,-6373,874,4120,676,4200,7247,-8122
1972:Q4,33006,34295,-676,4618,-683,-4548,43509,5955,34295,0,0,0,3259,-10503,8648,8648,0,25647,25647,0,0,0,5955,0,5955,3974,1981,1116,2113,997,6727,9750,3023,1056,647,409,3528,2570,958,0,0,0,3259,-4530,-737,4535,683,4548,3793,-10503
1973:Q1,31233,35762,-3714,5010,-688,-5137,40541,4149,35762,0,0,0,630,-9308,8889,8889,0,26873,26873,0,0,0,4149,0,4149,2121,2028,767,1976,1209,5204,8281,3077,1164,576,588,4177,3006,1171,0,0,0,630,-5048,866,4349,688,5137,5914,-9308
1973:Q2,26731,32484,-4913,4940,-694,-5086,37620,3818,32484,0,0,0,1318,-10889,7666,7666,0,24818,24818,0,0,0,3818,0,3818,2048,1770,1320,2325,1005,5884,9515,3631,1267,695,572,4619,3346,1273,0,0,0,1318,-6010,1582,6691,694,5086,7592,-10889
1973:Q3,42208,40633,-57,6588,-832,-4124,49145,7558,40633,0,0,0,954,-6937,9671,9671,0,30962,30962,0,0,0,7558,0,7558,3036,4522,737,1917,1180,5743,9499,3756,1101,542,559,4425,3218,1207,0,0,0,954,-4592,2749,4730,832,4124,7341,-6937
1973:Q4,31196,37748,-6624,5181,-969,-4140,41074,4357,37748,0,0,0,-1031,-9878,10688,10688,0,27060,27060,0,0,0,4357,0,4357,3099,1258,244,1886,1642,5242,9494,4252,1389,686,703,5128,3440,1688,0,0,0,-1031,-7099,1076,5845,969,4140,8175,-9878
1974:Q1,35254,38119,-4312,7554,-850,-5257,45497,4255,38119,0,0,0,3123,-10243,9709,9709,0,28410,28410,0,0,0,4255,0,4255,2222,2033,2907,5336,2429,7765,11903,4138,1129,547,582,6420,4741,1679,0,0,0,3123,-6186,2265,6401,850,5257,8451,-10243
1974:Q2,34344,38441,-1765,3854,-730,-5456,40501,5507,38441,0,0,0,-3447,-6157,8355,8355,0,30086,30086,0,0,0,5507,0,5507,2297,3210,670,4158,3488,6205,12562,6357,1856,1013,843,8466,5738,2728,0,0,0,-3447,-1191,10423,10394,730,5456,11614,-6157
1974:Q3,44795,43763,-2828,8849,-675,-4314,50013,8913,43763,0,0,0,-2663,-5218,10507,10507,0,33256,33256,0,0,0,8913,0,8913,3721,5192,-1436,3622,5058,7984,13552,5568,1708,976,732,7503,5372,2131,0,0,0,-2663,-3957,5922,6151,675,4314,9879,-5218
1974:Q4,27362,37483,-13770,9191,-787,-4755,35401,2300,37483,0,0,0,-4382,-8039,11640,11640,0,25843,25843,0,0,0,2300,0,2300,2001,299,-1345,4464,5809,7468,13983,6515,2261,1332,929,8244,5269,2975,0,0,0,-4382,-8124,4825,7322,787,4755,12949,-8039
1975:Q1,27665,40999,-15835,9521,-795,-6225,35684,2976,40999,0,0,0,-8291,-8019,10562,10562,0,30437,30437,0,0,0,2976,0,2976,2163,813,-6298,2643,8941,7246,13423,6177,2513,1485,1028,6726,4469,2257,0,0,0,-8291,-6559,4618,5617,795,6225,11177,-8019
1975:Q2,12674,36060,-22727,6859,-803,-6715,24695,2352,36060,0,0,0,-13717,-12021,10084,10084,0,25976,25976,0,0,0,2352,0,2352,1791,561,-9939,2344,12283,7246,13524,6278,3002,1835,1167,8022,5143,2879,0,0,0,-13717,-8162,4010,8513,803,6715,12172,-12021
1975:Q3,25219,40531,-17717,8440,-850,-5185,33751,3808,40531,0,0,0,-10588,-8532,11168,11168,0,29363,29363,0,0,0,3808,0,3808,2406,1402,-7758,3268,11026,8313,15138,6825,2135,1181,954,9008,6243,2765,0,0,0,-10588,-6343,3633,6130,850,5185,9976,-8532
1975:Q4,14136,38304,-23841,5712,-899,-5140,26889,3917,38304,0,0,0,-15332,-12753,12252,12252,0,26052,26052,0,0,0,3917,0,3917,3688,229,-8484,3665,12149,6599,14841,8242,4112,2607,1505,9335,6199,3136,0,0,0,-15332,-10468,1581,8295,899,5140,12049,-12753
1976:Q1,14177,39407,-24438,6236,-875,-6153,24831,2164,39407,0,0,0,-16740,-10654,11257,11257,0,28150,28150,0,0,0,2164,0,2164,2110,54,-11770,3525,15295,7465,15120,7655,2343,1374,969,10092,6044,4048,0,0,0,-16740,-7414,4305,7931,875,6153,11719,-10654
1976:Q2,10581,39441,-28531,6276,-864,-5741,21609,3891,39441,0,0,0,-21723,-11028,11981,11981,0,27460,27460,0,0,0,3891,0,3891,3577,314,-13230,3272,16502,7609,16484,8875,4743,3624,1119,11359,6652,4707,0,0,0,-21723,-8916,3194,7617,864,5741,12110,-11028
1976:Q3,15997,42003,-26447,5725,-800,-4484,25949,3137,42003,0,0,0,-19191,-9952,12287,12287,0,29716,29716,0,0,0,3137,0,3137,2811,326,-15763,3247,19010,9841,17671,7830,2510,1518,992,10759,6038,4721,0,0,0,-19191,-6265,5917,10585,800,4484,12182,-9952
1976:Q4,982,37279,-35126,4471,-744,-4898,14524,2626,37279,0,0,0,-25381,-13542,12121,12121,0,25158,25158,0,0,0,2626,0,2626,2601,25,-15450,4323,19773,9532,18814,9282,5929,4526,1403,13534,6552,6982,0,0,0,-25381,-11224,2976,10876,744,4898,14200,-13542
1977:Q1,2584,39007,-33953,4684,-900,-6254,17474,3062,39007,0,0,0,-24595,-14890,12124,12124,0,26883,26883,0,0,0,3062,0,3062,2913,149,-17395,3622,21017,10255,17667,7412,5776,4463,1313,11679,6053,5626,0,0,0,-24595,-9104,4792,12528,900,6254,13896,-14890
1977:Q2,1729,37287,-33340,4807,-1093,-5932,15300,3864,37287,0,0,0,-25851,-13571,12725,12725,0,24562,24562,0,0,0,3864,0,3864,3604,260,-19209,3612,22821,10844,19284,8440,5327,3801,1526,12159,6174,5985,0,0,0,-25851,-8020,6853,13399,1093,5932,14873,-13571
1977:Q3,615,35279,-33419,5272,-1172,-5345,17133,3248,35279,0,0,0,-21394,-16518,11326,11326,0,23953,23953,0,0,0,3248,0,3248,1956,1292,-11842,8231,20073,11010,20447,9437,6811,4056,2755,13751,6256,7495,0,0,0,-21394,-14513,2236,12237,1172,5345,16749,-16518
1977:Q4,-4330,40792,-41247,3253,-1252,-5876,16016,4075,40792,0,0,0,-28851,-20346,13922,13922,0,26870,26870,0,0,0,4075,0,4075,3810,265,-16736,7806,24542,12025,24398,12373,7956,4934,3022,16184,7268,8916,0,0,0,-28851,-16384,1392,14610,1252,5876,17776,-20346
1978:Q1,-6792,39522,-42894,5334,-1332,-7422,8703,3064,39322,200,0,0,-33883,-15495,11622,11622,0,27900,27700,200,0,0,3064,0,3064,2732,332,-20942,6708,27650,11056,24098,13042,7176,4385,2791,16821,6784,10037,0,0,0,-33883,-13847,5508,12249,1332,7422,19355,-15495
1978:Q2,-2030,39808,-41123,6798,-1414,-6099,14938,4746,39319,489,0,0,-29616,-16968,11888,11888,0,27920,27431,489,0,0,4746,0,4746,3318,1428,-18449,6750,25199,12743,25542,12799,6500,3590,2910,17410,6643,10767,0,0,0,-29616,-17187,3324,12779,1414,6099,20511,-16968
1978:Q3,4346,38971,-35673,7674,-1489,-5137,22109,5084,38497,474,0,0,-21946,-17763,12141,12141,0,26830,26356,474,0,0,5084,0,5084,3719,1365,-12237,10693,22930,15910,30115,14205,6209,3299,2910,19410,7387,12023,0,0,0,-21946,-17834,4431,15568,1489,5137,22265,-17763
1978:Q4,843,46693,-46833,7098,-1578,-4537,21430,7688,46115,578,0,0,-32951,-20587,15470,15470,0,31223,30645,578,0,0,7688,0,7688,6516,1172,-15521,12161,27682,15761,31472,15711,7484,4081,3403,25707,10166,15541,0,0,0,-32951,-24753,2774,17246,1578,4537,27527,-20587
1979:Q1,14691,44059,-32748,10975,-1673,-5922,36589,5300,43442,617,0,0,-12770,-21898,12345,12345,0,31714,31097,617,0,0,5300,0,5300,4337,963,-4572,17314,21886,21551,37520,15969,7790,3381,4409,21959,7618,14341,0,0,0,-12770,-22477,3725,18028,1673,5922,26202,-21898
1979:Q2,18043,43679,-28757,11679,-1755,-6803,40247,5482,42879,800,0,0,-8914,-22204,13272,13272,0,30407,29607,800,0,0,5482,0,5482,3924,1558,1380,22641,21261,21908,41001,19093,8771,3337,5434,23431,7005,16426,0,0,0,-8914,-25277,4024,17670,1755,6803,29301,-22204
1979:Q3,17417,42698,-34331,17552,-2090,-6412,42390,3810,41805,893,0,0,-4118,-24973,13609,13609,0,29089,28196,893,0,0,3810,0,3810,2654,1156,5842,29931,24089,25038,45391,20353,9611,4739,4872,25387,7439,17948,0,0,0,-4118,-31805,4366,20837,2090,6412,36171,-24973
1979:Q4,22089,48280,-39148,21158,-2441,-5760,46248,8221,47714,566,0,0,-10253,-24159,18488,18488,0,29792,29226,566,0,0,8221,0,8221,6767,1454,-2860,25925,28785,21524,46942,25418,7295,3916,3379,21622,7848,13774,0,0,0,-10253,-32745,6070,22028,2441,5760,38815,-24159
1980:Q1,28616,47603,-38028,27017,-2531,-5445,53068,6184,46837,766,0,0,-719,-24452,15333,15333,0,32270,31504,766,0,0,6184,0,6184,3682,2502,3158,28224,25066,21641,49348,27707,6033,3957,2076,19485,7142,12343,0,0,0,-719,-36271,4154,20630,2531,5445,40425,-24452
1980:Q2,26,49660,-64308,25280,-2621,-7985,28147,4382,48853,807,0,0,-25895,-28121,16048,16029,19,33612,32824,788,0,0,4382,0,4382,4167,215,-14076,18565,32641,18642,50097,31455,9525,4953,4572,20936,7390,13546,0,0,0,-25895,-42271,1047,18562,2621,7985,43318,-28121
1980:Q3,-13472,45473,-75959,28533,-2711,-8808,17032,4174,44941,532,0,0,-32615,-30504,17327,17307,20,28146,27634,512,0,0,4174,0,4174,3192,982,-22507,19685,42192,23352,55491,32139,9984,5685,4299,23476,8150,15326,0,0,0,-32615,-43791,1961,20946,2711,8808,45752,-30504
1980:Q4,-17998,47284,-87696,33484,-2800,-8270,14157,6276,46544,740,0,0,-39403,-32155,19828,19807,21,27456,26737,719,0,0,6276,0,6276,4467,1809,-23083,20202,43285,22687,60398,37711,12707,7319,5388,26300,10342,15958,0,0,0,-39403,-53228,213,21298,2800,8270,53441,-32155
1981:Q1,-27065,43473,-94362,35742,-2754,-9164,5773,3917,42545,928,0,0,-41617,-32838,17309,17288,21,26164,25257,907,0,0,3917,0,3917,3261,656,-26826,18641,45467,19721,55529,35808,11681,8119,3562,22831,9874,12957,0,0,0,-41617,-53460,3548,24468,2754,9164,57008,-32838
1981:Q2,-26264,42198,-97925,40760,-2775,-8522,5396,3516,41031,1167,0,0,-40318,-31660,18572,18549,23,23626,22482,1144,0,0,3516,0,3516,2506,1010,-24807,24311,49118,21334,60889,39555,13168,9360,3808,23677,9655,14022,0,0,0,-40318,-57619,18454,38817,2775,8522,76073,-31660
1981:Q3,-17959,46450,-100983,46863,-2833,-7456,15210,5297,45011,1439,0,0,-36537,-33169,19207,19185,22,27243,25826,1417,0,0,5297,0,5297,2811,2486,-21101,32272,53373,25223,68352,43129,15132,10838,4294,25527,10663,14864,0,0,0,-36537,-63678,15143,38023,2833,7456,78821,-33169
1981:Q4,-49281,43873,-115806,34261,-2900,-8709,-14697,3363,42535,1338,0,0,-61933,-34584,18645,18623,22,25228,23912,1316,0,0,3363,0,3363,1762,1601,-24095,32905,57000,19101,68156,49055,21035,13018,8017,35904,13814,22090,0,0,0,-61933,-68242,-8282,14693,2900,8709,59960,-34584
1982:Q1,-66016,42993,-126382,32949,-2999,-12577,-31875,4528,41576,1417,0,0,-79396,-34142,16636,16612,24,26357,24964,1393,0,0,4528,0,4528,1882,2646,-32342,34908,67250,17695,66095,48400,30080,19857,10223,34668,16485,18183,0,0,0,-79396,-62226,-4048,14518,2999,12577,58178,-34142
1982:Q2,-88966,40321,-142997,29758,-3145,-12903,-58155,4183,38983,1338,0,0,-102659,-30811,20123,20097,26,20198,18886,1312,0,0,4183,0,4183,2545,1638,-42606,34894,77500,19725,68025,48300,41217,26839,14378,38561,18700,19861,0,0,0,-102659,-59035,1446,16209,3145,12903,60481,-30811
1982:Q3,-109366,39542,-160233,28685,-3294,-14066,-79822,1673,37969,1573,0,0,-121037,-29544,19224,19198,26,20318,18771,1547,0,0,1673,0,1673,550,1123,-54254,33496,87750,18238,66438,48200,45428,28211,17217,39593,17692,21901,0,0,0,-121037,-61749,9255,21439,3294,14066,71004,-29544
1982:Q4,-116301,46045,-166086,23470,-3400,-16330,-85203,3452,44358,1687,0,0,-134700,-31098,19556,19532,24,26489,24826,1663,0,0,3452,0,3452,2735,717,-59728,31176,90904,17376,65476,48100,48458,30105,18353,43890,19103,24787,0,0,0,-134700,-60602,8847,20215,3400,16330,69449,-31098
1983:Q1,-134379,41729,-180880,30196,-3470,-21954,-94139,3294,39878,1851,0,0,-139162,-40240,18310,18286,24,23419,21592,1827,0,0,3294,0,3294,486,2808,-67450,31547,98997,21431,69431,48000,49168,30245,18923,43975,19686,24289,0,0,0,-139162,-66793,7825,22641,3470,21954,74618,-40240
1983:Q2,-137606,38480,-175764,24898,-3503,-21717,-102133,4630,37214,1266,0,0,-145243,-35473,20476,20451,25,18004,16763,1241,0,0,4630,0,4630,1020,3610,-67136,29443,96579,19794,67694,47900,53287,33188,20099,44614,20532,24082,0,0,0,-145243,-59538,13040,23293,3503,21717,72578,-35473
1983:Q3,-131091,38131,-175319,27566,-3536,-17933,-101041,1565,37169,962,0,0,-140737,-30050,17434,17410,24,20697,19759,938,0,0,1565,0,1565,-60,1625,-60998,30494,91492,20602,68402,47800,54784,32607,22177,45557,21369,24188,0,0,0,-140737,-61910,18306,26887,3536,17933,80216,-30050
1983:Q4,-106520,42469,-161796,34783,-3600,-18376,-59647,2481,41445,1024,0,0,-104597,-46873,21023,20996,27,21446,20449,997,0,0,2481,0,2481,1563,918,-51179,40646,91825,26646,74346,47700,44676,22930,21746,35388,11954,23434,0,0,0,-104597,-78214,1043,25940,3600,18376,79257,-46873
1984:Q1,-116255,39525,-154657,22120,-3699,-19544,-78811,1683,38600,925,0,0,-120019,-37444,17358,17333,25,22167,21267,900,0,0,1683,0,1683,787,896,-50989,41537,92526,21176,68776,47600,50982,26279,24703,39224,14220,25004,0,0,0,-120019,-64852,17792,31993,3699,19544,82644,-37444
1984:Q2,-107476,38350,-143229,21460,-3825,-20232,-71900,4105,37325,1025,0,0,-114355,-35575,18098,18073,25,20252,19252,1000,0,0,4105,0,4105,-655,4760,-46135,47984,94119,26620,74120,47500,56410,26425,29985,38431,13365,25066,0,0,0,-114355,-61409,23292,34810,3825,20232,84701,-35575
1984:Q3,-99791,41986,-137076,18114,-3958,-18857,-68721,6922,40857,1129,0,0,-117629,-31070,18374,18345,29,23612,22512,1100,0,0,6922,0,6922,289,6633,-48387,44310,92697,27824,75224,47400,57804,27848,29956,39262,15767,23495,0,0,0,-117629,-51996,30073,38328,3958,18857,82069,-31070
1984:Q4,-104529,46092,-145860,16898,-4075,-17584,-76829,4432,44757,1335,0,0,-127353,-27701,24273,24238,35,21819,20519,1300,0,0,4432,0,4432,855,3577,-53244,42511,95755,29783,77083,47300,61619,29424,32195,42272,17420,24852,0,0,0,-127353,-50204,32007,38049,4075,17584,82211,-27701
1985:Q1,-104669,45080,-138424,12545,-4194,-19676,-76104,2880,43605,1475,0,0,-124064,-28564,18083,18058,25,26997,25547,1450,0,0,2880,0,2880,298,2582,-44899,47172,92071,27838,75038,47200,62878,30061,32817,44126,17620,26506,0,0,0,-124064,-48724,37151,41845,4194,19676,85875,-28564
1985:Q2,-101337,46118,-140049,18163,-4325,-21244,-71957,1600,44493,1625,0,0,-119675,-29380,18882,18857,25,27236,25636,1600,0,0,1600,0,1600,262,1338,-47480,51260,98740,29533,76633,47100,58777,27980,30797,42951,17202,25749,0,0,0,-119675,-48987,37558,41369,4325,21244,86545,-29380
1985:Q3,-99210,48266,-141447,20020,-4438,-21611,-68539,2589,46532,1734,0,0,-119394,-30672,21104,21070,34,27162,25462,1700,0,0,2589,0,2589,69,2520,-47504,51953,99457,33447,80447,47000,60226,28324,31902,45110,17928,27182,0,0,0,-119394,-50280,39817,44440,4438,21611,90097,-30672
1985:Q4,-67164,54168,-125240,31664,-4500,-23256,-31432,4048,52154,2014,0,0,-89648,-35732,25537,25537,0,28631,26617,2014,0,0,4048,0,4048,988,3060,-44234,55761,99995,41522,91403,49881,57233,25961,31272,44867,16752,28115,15164,3145,12019,-89648,-45486,34109,42085,4500,23256,79595,-35732
1986:Q1,-70706,52033,-127844,36153,-4529,-26519,-24585,1378,50181,1852,0,0,-77996,-46121,21251,21251,0,30782,28930,1852,0,0,1378,0,1378,560,818,-42388,51488,93876,47521,102140,54619,57461,25105,32356,43068,15816,27252,17400,3713,13687,-77996,-49626,29158,44231,4529,26519,78784,-46121
1986:Q2,-76516,54161,-132933,35810,-4533,-29021,-26393,1235,51595,2566,0,0,-81789,-50123,22221,22221,0,31940,29374,2566,0,0,1235,0,1235,283,952,-49169,44561,93730,51479,110349,58870,58055,23868,34187,42998,15764,27234,16953,3457,13496,-81789,-48825,32527,49096,4533,29021,81352,-50123
1986:Q3,-73221,59403,-128370,31038,-4498,-30794,-26357,1728,57438,1965,0,0,-87488,-46864,22609,22609,0,36794,34829,1965,0,0,1728,0,1728,849,879,-48084,51682,99766,49669,118165,68496,65952,24886,41066,41877,14142,27735,18756,3498,15258,-87488,-46484,43769,55341,4498,30794,90253,-46864
1986:Q4,-64758,73759,-140153,37049,-4406,-31007,-13830,2826,71153,2606,0,0,-90415,-50929,25652,25652,0,48107,45501,2606,0,0,2826,0,2826,1261,1565,-50965,47730,98695,51085,143130,92045,65153,24795,40358,47418,15993,31425,22037,3846,18191,-90415,-55072,45207,60723,4406,31007,100279,-50929
1987:Q1,-49026,64466,-113513,37655,-4248,-33386,-5096,6828,62232,2234,0,0,-76390,-43930,22493,22493,0,41973,39739,2234,0,0,6828,0,6828,5241,1587,-38000,47374,85374,49396,135081,85685,64636,24175,40461,43789,13847,29942,20639,3306,17333,-76390,-47625,53178,59474,4248,33386,100803,-43930
1987:Q2,-70876,60052,-114103,22480,-4002,-35303,-23454,2551,57256,2796,0,0,-86057,-47422,23950,23950,0,36102,33306,2796,0,0,2551,0,2551,1579,972,-30929,55182,86111,41156,136995,95839,73606,23828,49778,45738,12951,32787,23060,3652,19408,-86057,-52598,55827,63944,4002,35303,108425,-47422
1987:Q3,-39113,63449,-98062,30972,-3751,-31721,-882,2189,60748,2701,0,0,-66520,-38231,24422,24422,0,39027,36326,2701,0,0,2189,0,2189,248,1941,-21819,67330,89149,49763,146397,96634,72593,22389,50204,46688,13239,33449,24817,3805,21012,-66520,-46609,64274,67033,3751,31721,110883,-38231
1987:Q4,-35547,66642,-105082,37872,-3571,-31408,12204,4626,64452,2190,0,0,-59064,-47751,24858,24858,0,41784,39594,2190,0,0,4626,0,4626,811,3815,-20137,62731,82868,53775,168739,114964,73323,24169,49154,48176,14084,34092,28797,4392,24405,-59064,-55710,55259,68031,3571,31408,110969,-47751
1988:Q1,-52127,61887,-106285,30133,-3405,-34457,-2119,2609,59757,2130,0,0,-66615,-50009,23110,23110,0,38777,36647,2130,0,0,2609,0,2609,298,2311,-22366,57181,79547,47764,167594,119830,70458,22604,47854,47015,13495,33520,25460,3910,21550,-66615,-54340,53279,65426,3405,34457,107619,-50009
1988:Q2,-40777,61246,-96194,30320,-3257,-32892,6380,2723,59956,1290,0,0,-57589,-47157,25565,25565,0,35681,34391,1290,0,0,2723,0,2723,259,2464,-9498,64405,73903,52731,183875,131144,77971,26135,51836,45744,13827,31917,22893,3507,19386,-57589,-52964,57717,68725,3257,32892,110681,-47157
1988:Q3,-49882,61131,-100482,22236,-3123,-29644,-3965,3353,59770,1361,0,0,-68449,-45917,22093,22093,0,39038,37677,1361,0,0,3353,0,3353,1199,2154,-9933,71528,81461,40794,186413,145619,80550,26439,54111,42304,12854,29450,23545,3523,20022,-68449,-58131,62156,75306,3123,29644,120287,-45917
1988:Q4,-39891,66908,-107746,32095,-2997,-28151,9427,3456,65834,1074,0,0,-60937,-49317,27561,27561,0,39347,38273,1074,0,0,3456,0,3456,1286,2170,-16305,76065,92370,56500,196941,140441,83846,24933,58913,42225,11142,31083,24938,3405,21533,-60937,-62227,54348,72517,2997,28151,116575,-49317
1989:Q1,-61607,59597,-105945,15806,-2888,-28177,-18334,3011,58577,1020,0,0,-80942,-43272,22203,22203,0,37394,36374,1020,0,0,3011,0,3011,557,2454,-20776,73112,93888,45293,200103,154810,87463,25198,62265,43052,11355,31697,25055,3424,21631,-80942,-55051,61420,73627,2888,28177,116471,-43272
1989:Q2,-67192,60156,-111297,13274,-2791,-26534,-15986,638,58773,1383,0,0,-76780,-51206,22775,22775,0,37381,35998,1383,0,0,638,0,638,-203,841,-15929,67196,83125,36874,179219,142345,85221,23998,61223,39108,10868,28240,26604,3637,22967,-76780,-64777,58222,80103,2791,26534,122999,-51206
1989:Q3,-74936,55375,-112579,10643,-2708,-25667,-24239,1099,54458,917,0,0,-80713,-50697,23122,23122,0,32253,31336,917,0,0,1099,0,1099,501,598,-16149,61045,77194,34940,188642,153702,88375,23517,64858,36150,10458,25692,25021,3088,21933,-80713,-66642,67498,89820,2708,25667,134140,-50697
1989:Q4,-78047,66998,-128185,11824,-2637,-26047,-21403,1612,65963,1035,0,0,-90013,-56644,28671,28671,0,38327,37292,1035,0,0,1612,0,1612,1131,481,-25826,63635,89461,33292,194928,161636,91028,22684,68344,34940,9650,25290,28489,3352,25137,-90013,-74989,60878,88838,2637,26047,135867,-56644
1990:Q1,-74098,59380,-112709,9076,-2499,-27346,-21507,2539,57910,1371,99,0,-83426,-52592,23251,23251,0,36129,34659,1371,99,0,2539,0,2539,376,2163,-21724,50652,72376,31314,189540,158226,86296,20238,66058,31141,8339,22802,24422,3035,21387,-83426,-67982,61063,83810,2499,27346,129045,-52592
1990:Q2,-73070,60630,-103887,681,-2528,-27966,-20835,1242,59526,1033,71,0,-82707,-52235,24294,24294,0,36336,35232,1033,71,0,1242,0,1242,656,586,-7227,54283,61510,16778,190053,173275,86573,19818,66755,32657,8478,24179,26972,3491,23481,-82707,-73097,55471,77212,2528,27966,128568,-52235
1990:Q3,-57898,58586,-93071,5783,-2503,-26693,-3741,2382,57182,1318,86,0,-64709,-54158,24752,24752,0,33834,32430,1318,86,0,2382,0,2382,1877,505,-9214,62062,71276,36267,201504,165237,90670,19785,70885,30031,8046,21985,28940,3664,25276,-64709,-62072,59650,84612,2503,26693,121722,-54158
1990:Q4,-61459,71248,-112802,8982,-2411,-26476,-1083,2412,69940,1210,98,0,-74743,-60376,32590,32590,0,38658,37350,1210,98,0,2412,0,2412,2222,190,-19539,77529,97068,27682,195510,167828,90469,17683,72786,27901,6126,21775,35484,3825,31659,-74743,-75691,58082,89571,2411,26476,133773,-60376
1991:Q1,-75350,48774,-86350,-5620,-2265,-29889,-21536,2826,48155,525,94,0,-73136,-53814,24707,24707,0,24067,23448,525,94,0,2826,0,2826,2582,244,-15115,79937,95052,22135,195446,173311,85761,17392,68369,28798,6471,22327,34403,3876,30527,-73136,-54074,66154,87814,2265,29889,120228,-53814
